,0
0,2.6
1,2.59
2,2.59
3,2.6
4,2.6
5,2.55
6,2.52
7,2.52
8,2.53
9,2.53
10,2.52
11,2.53
12,2.59
13,2.6
14,2.6
15,2.56
16,2.53
17,2.52
18,2.51
19,2.51
20,2.52
21,2.54
22,2.57
23,2.57
24,2.57
25,2.58
26,2.58
27,2.58
28,2.59
29,2.6
30,2.62
31,2.59
32,2.57
33,2.59
34,2.62
35,2.57
36,2.56
37,2.55
38,2.55
39,2.58
40,2.62
41,2.63
42,2.64
43,2.65
44,2.65
45,2.64
46,2.63
47,2.64
48,2.64
49,2.65
50,2.64
51,2.63
52,2.63
53,2.63
54,2.64
55,2.65
56,2.66
57,2.65
58,2.63
59,2.63
60,2.63
61,2.65
62,2.65
63,2.66
64,2.67
65,2.66
66,2.65
67,2.65
68,2.66
69,2.66
70,2.67
71,2.67
72,2.66
73,2.65
74,2.65
75,2.66
76,2.66
77,2.67
78,2.67
79,2.67
80,2.65
81,2.65
82,2.67
83,2.68
84,2.69
85,2.68
86,2.65
87,2.66
88,2.66
89,2.67
90,2.67
91,2.68
92,2.67
93,2.66
94,2.66
95,2.66
96,2.67
97,2.68
98,2.68
99,2.66
100,2.66
101,2.66
102,2.68
103,2.67
104,2.68
105,2.69
106,2.68
107,2.66
108,2.66
109,2.66
110,2.66
111,2.69
112,2.69
113,2.68
114,2.63
115,2.63
116,2.63
117,2.65
118,2.69
119,2.69
120,2.69
121,2.67
122,2.63
123,2.64
124,2.65
125,2.66
126,2.69
127,2.69
128,2.66
129,2.62
130,2.62
131,2.62
132,2.64
133,2.65
134,2.68
135,2.68
136,2.65
137,2.62
138,2.63
139,2.65
140,2.66
141,2.67
142,2.67
143,2.66
144,2.61
145,2.61
146,2.63
147,2.66
148,2.67
149,2.67
150,2.68
151,2.66
152,2.63
153,2.65
154,2.65
155,2.67
156,2.66
157,2.65
158,2.63
159,2.62
160,2.63
161,2.65
162,2.65
163,2.67
164,2.68
165,2.67
166,2.64
167,2.62
168,2.64
169,2.66
170,2.68
171,2.7
172,2.69
173,2.62
174,2.62
175,2.64
176,2.65
177,2.67
178,2.69
179,2.68
180,2.65
181,2.63
182,2.64
183,2.65
