,0
0,2.56
1,2.58
2,2.58
3,2.58
4,2.58
5,2.58
6,2.56
7,2.56
8,2.55
9,2.55
10,2.57
11,2.58
12,2.58
13,2.58
14,2.58
15,2.57
16,2.57
17,2.57
18,2.56
19,2.56
20,2.57
21,2.58
22,2.58
23,2.58
24,2.58
25,2.57
26,2.55
27,2.56
28,2.54
29,2.57
30,2.57
31,2.57
32,2.58
33,2.58
34,2.58
35,2.58
36,2.57
37,2.56
38,2.55
39,2.53
40,2.56
41,2.58
42,2.58
43,2.58
44,2.58
45,2.58
46,2.56
47,2.56
48,2.55
49,2.54
50,2.57
51,2.58
52,2.58
53,2.58
54,2.58
55,2.58
56,2.57
57,2.57
58,2.57
59,2.57
60,2.58
61,2.58
62,2.58
63,2.59
64,2.58
65,2.58
66,2.57
67,2.57
68,2.56
69,2.56
70,2.58
71,2.58
72,2.59
73,2.58
74,2.58
75,2.57
76,2.57
77,2.56
78,2.57
79,2.56
80,2.58
81,2.58
82,2.59
83,2.59
84,2.58
85,2.57
86,2.57
87,2.57
88,2.56
89,2.57
90,2.58
91,2.58
92,2.58
93,2.58
94,2.58
95,2.57
96,2.57
97,2.57
98,2.57
99,2.58
100,2.58
101,2.58
102,2.58
103,2.58
104,2.58
105,2.58
106,2.58
107,2.57
108,2.58
109,2.58
110,2.58
111,2.58
112,2.58
113,2.58
114,2.57
115,2.58
116,2.58
117,2.57
118,2.57
119,2.58
120,2.58
121,2.58
122,2.58
123,2.58
124,2.58
125,2.58
126,2.56
127,2.57
128,2.58
129,2.58
130,2.58
131,2.58
132,2.58
133,2.58
134,2.58
135,2.57
136,2.56
137,2.56
138,2.58
139,2.58
140,2.58
141,2.58
142,2.58
143,2.58
144,2.56
145,2.56
146,2.55
147,2.55
148,2.57
149,2.58
150,2.59
151,2.58
152,2.57
153,2.57
154,2.56
155,2.52
156,2.53
157,2.57
158,2.58
159,2.58
160,2.58
161,2.58
162,2.58
163,2.57
164,2.56
165,2.55
166,2.52
167,2.56
168,2.58
169,2.58
170,2.58
171,2.58
172,2.58
173,2.58
174,2.57
175,2.57
176,2.58
177,2.56
178,2.27
179,2.34
180,2.31
181,2.31
182,2.31
183,2.3
184,2.31
185,2.27
186,2.27
187,2.3
188,2.29
189,2.32
190,2.42
191,2.45
192,2.4
193,2.45
194,2.49
195,2.48
196,2.46
197,2.48
198,2.54
199,2.54
200,2.53
201,2.5
202,2.52
203,2.5
204,2.5
205,2.5
206,2.52
207,2.52
208,2.51
209,2.5
210,2.51
211,2.51
212,2.52
213,2.52
214,2.53
215,2.54
216,2.54
217,2.54
218,2.54
219,2.54
220,2.53
221,2.54
222,2.54
223,2.54
224,2.55
225,2.55
226,2.53
227,2.5
228,2.48
229,2.49
230,2.49
231,2.52
232,2.53
233,2.54
234,2.55
235,2.55
236,2.55
237,2.55
238,2.54
239,2.49
240,2.49
241,2.5
242,2.54
243,2.54
244,2.55
245,2.55
246,2.55
247,2.55
248,2.55
249,2.55
250,2.55
251,2.54
252,2.55
253,2.55
254,2.55
255,2.55
256,2.55
257,2.55
258,2.55
259,2.54
260,2.55
261,2.55
262,2.55
263,2.55
264,2.56
265,2.56
266,2.51
267,2.47
268,2.49
269,2.48
270,2.51
271,2.54
272,2.54
273,2.54
274,2.55
275,2.54
276,2.54
277,2.53
278,2.52
279,2.54
280,2.55
281,2.55
282,2.56
283,2.55
284,2.55
285,2.55
286,2.51
287,2.51
288,2.52
289,2.54
290,2.55
291,2.55
292,2.56
293,2.56
294,2.56
295,2.53
296,2.53
297,2.54
298,2.56
299,2.56
300,2.56
301,2.56
302,2.56
303,2.56
304,2.56
305,2.56
306,2.56
307,2.56
308,2.56
309,2.56
310,2.56
311,2.56
312,2.56
313,2.53
314,2.54
315,2.54
316,2.56
317,2.56
318,2.56
319,2.56
320,2.56
321,2.56
322,2.51
323,2.52
324,2.52
325,2.53
326,2.55
327,2.56
328,2.56
329,2.56
330,2.56
331,2.56
332,2.56
333,2.56
334,2.55
335,2.55
336,2.56
337,2.56
338,2.56
339,2.56
340,2.56
341,2.55
342,2.49
343,2.48
344,2.49
345,2.5
346,2.56
347,2.56
348,2.56
349,2.56
350,2.56
351,2.56
352,2.56
353,2.56
354,2.56
355,2.56
356,2.56
357,2.56
358,2.56
359,2.56
360,2.55
361,2.53
362,2.41
363,2.44
364,2.5
365,2.54
366,2.56
367,2.56
368,2.56
369,2.56
370,2.47
371,2.5
372,2.44
373,2.52
374,2.55
375,2.56
376,2.56
377,2.56
378,2.55
379,2.55
380,2.52
381,2.53
382,2.54
383,2.56
384,2.56
385,2.56
386,2.56
387,2.56
388,2.53
389,2.52
390,2.51
391,2.51
392,2.55
393,2.55
394,2.56
395,2.56
396,2.52
397,2.53
398,2.51
399,2.51
400,2.55
401,2.56
402,2.56
403,2.56
404,2.53
405,2.52
406,2.53
407,2.53
408,2.55
409,2.55
410,2.56
411,2.56
412,2.56
413,2.56
414,2.52
415,2.53
416,2.5
417,2.53
418,2.55
419,2.55
420,2.56
421,2.56
422,2.56
423,2.51
424,2.44
425,2.51
426,2.53
427,2.55
428,2.56
429,2.56
430,2.56
431,2.56
432,2.56
433,2.54
434,2.53
435,2.52
436,2.54
437,2.56
438,2.56
439,2.56
440,2.56
441,2.56
442,2.56
443,2.53
444,2.54
445,2.56
446,2.56
447,2.56
448,2.56
449,2.56
450,2.53
451,2.44
452,2.41
453,2.43
454,2.44
455,2.51
456,2.55
457,2.56
458,2.56
459,2.56
460,2.54
461,2.51
462,2.5
463,2.5
464,2.54
465,2.55
466,2.55
467,2.56
468,2.56
469,2.56
470,2.53
471,2.41
472,2.43
473,2.47
474,2.52
475,2.56
476,2.56
477,2.56
478,2.56
479,2.56
480,2.55
481,2.53
482,2.54
483,2.51
484,2.53
485,2.56
486,2.56
487,2.56
488,2.56
489,2.56
490,2.5
491,2.4
492,2.43
493,2.41
494,2.41
495,2.53
496,2.54
497,2.56
498,2.56
499,2.56
500,2.54
501,2.45
502,2.45
503,2.44
504,2.52
505,2.54
506,2.55
507,2.56
508,2.56
509,2.56
510,2.56
511,2.55
512,2.56
513,2.56
514,2.56
515,2.56
516,2.56
517,2.56
518,2.47
519,2.46
520,2.46
521,2.52
522,2.56
523,2.55
524,2.56
525,2.56
526,2.56
527,2.54
528,2.51
529,2.53
530,2.52
531,2.56
532,2.55
533,2.55
534,2.53
535,2.54
536,2.55
537,2.55
538,2.56
539,2.56
540,2.56
541,2.56
542,2.56
543,2.56
544,2.56
545,2.57
546,2.56
547,2.56
548,2.55
549,2.56
550,2.56
551,2.56
552,2.56
553,2.56
554,2.56
555,2.56
556,2.56
557,2.56
558,2.56
559,2.56
560,2.56
561,2.55
562,2.53
563,2.53
564,2.53
565,2.54
566,2.56
567,2.56
568,2.56
569,2.56
570,2.56
571,2.55
572,2.54
573,2.53
574,2.53
575,2.55
576,2.56
577,2.56
578,2.56
579,2.56
580,2.55
581,2.53
582,2.53
583,2.53
584,2.54
585,2.55
586,2.55
587,2.55
588,2.56
589,2.55
590,2.54
591,2.53
592,2.55
593,2.55
594,2.55
595,2.55
596,2.55
597,2.55
598,2.55
599,2.55
600,2.54
601,2.54
602,2.55
603,2.55
604,2.56
605,2.56
606,2.56
607,2.55
608,2.51
609,2.51
610,2.53
611,2.53
612,2.56
613,2.56
614,2.56
615,2.56
616,2.56
617,2.56
618,2.55
619,2.55
620,2.55
621,2.56
622,2.56
623,2.56
624,2.56
625,2.56
626,2.56
627,2.55
628,2.52
629,2.53
630,2.54
631,2.55
632,2.56
633,2.56
634,2.56
635,2.56
636,2.55
637,2.55
638,2.52
639,2.56
640,2.56
641,2.55
642,2.55
643,2.55
644,2.55
645,2.56
646,2.55
647,2.55
648,2.54
649,2.55
650,2.56
651,2.56
652,2.56
653,2.55
654,2.55
655,2.55
656,2.5
657,2.51
658,2.53
659,2.55
660,2.55
661,2.56
662,2.56
663,2.56
664,2.55
665,2.54
666,2.49
667,2.49
668,2.52
669,2.55
670,2.56
671,2.56
672,2.56
673,2.55
674,2.55
675,2.51
676,2.5
677,2.52
678,2.54
679,2.55
680,2.56
681,2.56
682,2.55
683,2.55
684,2.52
685,2.5
686,2.49
687,2.53
688,2.55
689,2.56
690,2.56
691,2.56
692,2.56
693,2.56
694,2.56
695,2.56
696,2.56
697,2.55
698,2.55
699,2.55
700,2.55
701,2.55
702,2.55
703,2.56
704,2.55
705,2.55
706,2.55
707,2.55
708,2.55
709,2.55
710,2.55
711,2.55
712,2.56
713,2.55
714,2.55
715,2.55
716,2.55
717,2.56
718,2.56
719,2.56
720,2.56
721,2.56
722,2.56
723,2.52
724,2.52
725,2.55
726,2.56
727,2.56
728,2.56
729,2.56
730,2.56
731,2.56
732,2.56
733,2.55
734,2.55
735,2.56
736,2.56
737,2.56
738,2.56
739,2.56
740,2.55
741,2.55
742,2.53
743,2.53
744,2.56
745,2.56
746,2.56
747,2.56
748,2.56
749,2.56
750,2.56
751,2.55
752,2.55
753,2.56
754,2.56
755,2.56
756,2.56
757,2.56
758,2.56
759,2.56
760,2.52
761,2.52
762,2.53
763,2.55
764,2.56
765,2.56
766,2.56
767,2.56
768,2.56
769,2.56
770,2.55
771,2.55
772,2.56
773,2.56
774,2.56
775,2.55
776,2.55
777,2.56
778,2.56
779,2.55
780,2.55
781,2.55
782,2.55
783,2.56
784,2.56
785,2.56
786,2.56
787,2.56
788,2.56
789,2.55
790,2.55
791,2.55
792,2.55
793,2.56
794,2.56
795,2.56
796,2.56
797,2.56
798,2.56
799,2.56
800,2.55
801,2.55
