,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,LABEL
0,-1.2520436,-1.4849378,-1.4849378,-1.2520436,-1.2520436,-2.4165144,-3.1151967,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,3
1,-1.4849378,-1.4849378,-1.2520436,-1.2520436,-2.4165144,-3.1151967,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,3
2,-1.4849378,-1.2520436,-1.2520436,-2.4165144,-3.1151967,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,3
3,-1.2520436,-1.2520436,-2.4165144,-3.1151967,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,3
4,-1.2520436,-2.4165144,-3.1151967,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,3
5,-2.4165144,-3.1151967,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,3
6,-3.1151967,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,3
7,-3.1151967,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,3
8,-2.8823028,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,3
9,-2.8823028,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,3
10,-3.1151967,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,3
11,-2.8823028,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,3
12,-1.4849378,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,3
13,-1.2520436,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,3
14,-1.2520436,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,3
15,-2.1836202,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,3
16,-2.8823028,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,3
17,-3.1151967,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,3
18,-3.348091,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,3
