,0
0,2.62
1,2.62
2,2.64
3,2.64
4,2.64
5,2.63
6,2.64
7,2.58
8,2.64
9,2.65
10,2.67
11,2.63
12,2.63
13,2.63
14,2.66
15,2.67
16,2.68
17,2.67
18,2.66
19,2.67
20,2.63
21,2.68
22,2.68
23,2.68
24,2.66
25,2.67
26,2.64
27,2.66
28,2.67
29,2.68
30,2.66
31,2.67
32,2.68
33,2.6
34,2.67
35,2.67
36,2.68
37,2.63
38,2.65
39,2.64
40,2.59
41,2.68
42,2.68
43,2.67
44,2.68
45,2.65
46,2.62
47,2.66
48,2.66
49,2.67
50,2.65
51,2.66
52,2.65
53,2.62
54,2.63
55,2.65
56,2.68
57,2.67
58,2.67
59,2.66
60,2.63
61,2.65
62,2.69
63,2.69
64,2.67
65,2.68
66,2.69
67,2.62
68,2.66
69,2.68
70,2.68
71,2.68
72,2.69
73,2.65
74,2.63
75,2.68
76,2.69
77,2.69
78,2.7
79,2.66
80,2.67
81,2.62
82,2.66
83,2.68
84,2.68
85,2.7
86,2.66
87,2.62
88,2.59
89,2.64
90,2.66
91,2.67
92,2.65
93,2.64
94,2.64
95,2.61
96,2.67
97,2.67
98,2.68
99,2.67
100,2.64
101,2.62
102,2.64
103,2.67
104,2.68
105,2.69
106,2.65
107,2.65
108,2.58
109,2.68
110,2.7
111,2.71
112,2.67
113,2.69
114,2.62
115,2.63
116,2.65
117,2.66
118,2.68
119,2.63
120,2.66
121,2.63
122,2.59
123,2.68
124,2.69
125,2.7
126,2.66
127,2.66
128,2.62
129,2.66
130,2.68
131,2.7
132,2.69
133,2.62
134,2.65
135,2.62
136,2.67
137,2.7
138,2.71
139,2.69
140,2.7
141,2.61
142,2.61
143,2.68
144,2.69
145,2.7
146,2.71
147,2.65
148,2.61
149,2.65
150,2.68
151,2.69
152,2.65
153,2.66
154,2.64
155,2.65
156,2.68
157,2.69
158,2.69
159,2.69
160,2.64
161,2.61
162,2.67
163,2.69
164,2.69
165,2.69
166,2.71
167,2.63
168,2.6
169,2.65
170,2.68
171,2.68
172,2.64
173,2.67
174,2.62
175,2.59
176,2.68
177,2.69
178,2.69
179,2.67
180,2.65
181,2.62
182,2.66
183,2.68
184,2.69
185,2.63
186,2.68
187,2.63
188,2.62
189,2.6
190,2.69
191,2.7
192,2.71
193,2.7
194,2.66
195,2.57
196,2.68
197,2.69
198,2.69
199,2.7
200,2.69
201,2.63
202,2.61
203,2.68
204,2.71
205,2.71
206,2.73
207,2.7
208,2.6
209,2.61
210,2.69
211,2.72
212,2.71
213,2.7
214,2.7
215,2.62
216,2.71
217,2.71
218,2.72
219,2.72
220,2.72
221,2.64
222,2.59
223,2.69
224,2.72
225,2.72
226,2.71
227,2.73
228,2.64
229,2.63
230,2.71
231,2.72
232,2.72
233,2.67
234,2.7
235,2.67
236,2.64
237,2.71
238,2.73
239,2.73
240,2.71
241,2.71
242,2.63
243,2.71
244,2.71
245,2.73
246,2.73
247,2.7
248,2.71
249,2.65
250,2.71
251,2.72
252,2.74
253,2.73
254,2.71
255,2.71
256,2.63
257,2.72
258,2.73
259,2.74
260,2.72
261,2.69
262,2.69
263,2.61
264,2.71
265,2.73
266,2.74
267,2.73
268,2.73
269,2.61
270,2.7
271,2.75
272,2.76
273,2.76
274,2.74
275,2.7
276,2.62
277,2.69
278,2.73
279,2.74
280,2.71
281,2.76
282,2.69
283,2.63
284,2.65
285,2.66
286,2.68
287,2.79
288,2.8
289,2.77
290,2.58
291,2.66
292,2.66
293,2.77
294,2.8
295,2.79
296,2.71
297,2.58
298,2.66
299,2.77
300,2.73
301,2.79
302,2.78
303,2.58
304,2.66
305,2.68
306,2.65
307,2.7
308,2.61
309,2.59
310,2.67
311,2.67
312,2.68
313,2.81
314,2.8
315,2.62
316,2.65
317,2.67
318,2.67
319,2.66
320,2.73
321,2.65
322,2.69
323,2.68
324,2.69
325,2.69
326,2.7
327,2.65
328,2.68
329,2.69
330,2.71
331,2.64
332,2.67
333,2.67
334,2.67
335,2.68
336,2.71
337,2.7
338,2.68
339,2.67
340,2.65
341,2.69
342,2.69
343,2.73
344,2.77
345,2.73
346,2.74
347,2.59
348,2.66
349,2.7
350,2.72
351,2.74
352,2.67
353,2.65
354,2.67
355,2.69
356,2.71
357,2.8
358,2.74
359,2.73
360,2.64
361,2.67
362,2.71
363,2.73
364,2.74
365,2.71
366,2.66
367,2.71
368,2.7
369,2.72
370,2.78
371,2.7
372,2.68
373,2.65
374,2.71
375,2.71
376,2.75
377,2.79
378,2.78
379,2.74
380,2.64
381,2.66
382,2.75
383,2.71
384,2.76
385,2.72
386,2.69
387,2.67
388,2.68
389,2.68
390,2.71
391,2.69
392,2.71
393,2.63
394,2.67
395,2.69
396,2.7
397,2.69
398,2.68
399,2.67
400,2.68
401,2.68
402,2.68
403,2.71
404,2.7
405,2.67
406,2.65
407,2.67
408,2.67
409,2.69
410,2.68
411,2.69
412,2.66
413,2.67
414,2.64
415,2.66
416,2.72
417,2.68
418,2.73
419,2.66
420,2.68
421,2.67
422,2.68
423,2.68
424,2.67
425,2.7
426,2.67
427,2.66
428,2.65
429,2.67
430,2.68
431,2.73
432,2.75
433,2.67
434,2.64
435,2.67
436,2.66
437,2.7
438,2.72
439,2.7
440,2.63
441,2.63
442,2.66
443,2.67
444,2.73
445,2.7
446,2.66
447,2.66
448,2.65
449,2.67
450,2.67
451,2.67
452,2.72
453,2.66
454,2.68
455,2.66
456,2.68
457,2.67
458,2.71
459,2.74
460,2.66
461,2.64
462,2.66
463,2.66
464,2.67
465,2.7
466,2.67
467,2.65
468,2.65
469,2.69
470,2.66
471,2.71
472,2.66
473,2.65
474,2.66
475,2.7
476,2.67
477,2.66
478,2.71
479,2.67
480,2.64
481,2.65
482,2.67
483,2.68
484,2.68
485,2.68
486,2.67
487,2.68
488,2.66
489,2.67
490,2.66
491,2.71
492,2.67
493,2.65
494,2.68
495,2.68
496,2.67
497,2.68
498,2.7
499,2.74
500,2.65
501,2.67
502,2.66
503,2.67
504,2.67
505,2.69
506,2.73
507,2.65
508,2.69
509,2.66
510,2.68
511,2.66
512,2.68
513,2.64
514,2.67
515,2.71
516,2.63
517,2.7
518,2.66
519,2.71
520,2.78
521,2.78
522,2.74
523,2.58
524,2.67
525,2.71
526,2.74
527,2.76
528,2.65
529,2.7
530,2.64
531,2.67
532,2.68
533,2.74
534,2.76
535,2.69
536,2.67
537,2.66
538,2.67
539,2.67
540,2.75
541,2.78
542,2.75
543,2.7
544,2.65
545,2.66
546,2.67
547,2.7
548,2.79
549,2.72
550,2.67
551,2.66
552,2.66
553,2.69
554,2.78
555,2.78
556,2.71
557,2.66
558,2.65
559,2.67
560,2.7
561,2.78
562,2.78
563,2.76
564,2.61
565,2.7
566,2.67
567,2.77
568,2.77
569,2.62
570,2.67
571,2.66
572,2.7
573,2.77
574,2.73
575,2.69
576,2.64
577,2.64
578,2.68
579,2.77
580,2.76
581,2.68
582,2.65
583,2.64
584,2.67
585,2.65
586,2.64
587,2.63
588,2.6
589,2.61
590,2.64
591,2.65
592,2.66
593,2.66
594,2.66
595,2.65
596,2.71
597,2.72
598,2.65
599,2.65
600,2.65
601,2.72
602,2.63
603,2.64
604,2.67
605,2.67
606,2.65
607,2.67
608,2.68
609,2.72
610,2.68
611,2.67
612,2.71
613,2.66
614,2.65
615,2.72
616,2.71
617,2.7
618,2.66
619,2.66
620,2.65
621,2.69
622,2.69
623,2.69
624,2.65
625,2.65
626,2.73
627,2.68
628,2.7
629,2.66
630,2.65
631,2.69
632,2.68
633,2.69
634,2.75
635,2.59
636,2.67
637,2.65
638,2.67
639,2.74
640,2.77
641,2.66
642,2.65
643,2.68
644,2.67
645,2.69
646,2.75
647,2.69
648,2.61
649,2.66
650,2.65
651,2.67
652,2.72
653,2.74
654,2.69
655,2.66
656,2.64
657,2.67
658,2.73
659,2.77
660,2.67
661,2.62
662,2.66
663,2.66
664,2.67
665,2.76
666,2.73
667,2.65
668,2.66
669,2.65
670,2.71
671,2.77
672,2.7
673,2.6
674,2.66
675,2.65
676,2.67
677,2.71
678,2.78
679,2.71
680,2.65
681,2.67
682,2.65
683,2.67
684,2.78
685,2.68
686,2.66
687,2.63
688,2.66
689,2.78
690,2.79
691,2.67
692,2.66
693,2.68
694,2.65
695,2.76
696,2.79
697,2.74
698,2.61
699,2.67
700,2.65
701,2.66
702,2.66
703,2.76
704,2.74
705,2.61
706,2.67
707,2.65
708,2.69
709,2.71
710,2.78
711,2.73
712,2.65
713,2.69
714,2.65
715,2.66
716,2.78
717,2.78
718,2.64
719,2.71
720,2.66
721,2.67
722,2.75
723,2.72
724,2.63
725,2.69
726,2.66
727,2.68
728,2.73
729,2.73
730,2.63
731,2.73
732,2.64
733,2.68
734,2.76
735,2.79
736,2.69
737,2.63
738,2.67
739,2.65
740,2.68
741,2.71
742,2.72
743,2.64
744,2.69
745,2.62
746,2.66
747,2.65
748,2.71
749,2.69
750,2.61
751,2.71
752,2.64
753,2.67
754,2.78
755,2.72
756,2.7
757,2.61
758,2.7
759,2.65
760,2.71
761,2.73
762,2.74
763,2.61
764,2.66
765,2.63
766,2.71
767,2.79
768,2.79
769,2.74
770,2.6
771,2.66
772,2.64
773,2.67
774,2.73
775,2.78
776,2.69
777,2.63
778,2.65
779,2.65
780,2.66
781,2.77
782,2.79
783,2.65
784,2.62
785,2.66
786,2.61
787,2.68
788,2.76
789,2.72
790,2.59
791,2.66
792,2.65
793,2.74
794,2.75
795,2.73
796,2.61
797,2.66
798,2.67
799,2.75
800,2.79
801,2.72
802,2.63
803,2.65
804,2.64
805,2.68
806,2.75
807,2.74
808,2.68
809,2.63
810,2.67
811,2.66
812,2.7
813,2.73
814,2.76
815,2.67
816,2.63
817,2.67
818,2.65
819,2.72
820,2.76
821,2.74
822,2.78
823,2.69
824,2.58
825,2.65
826,2.64
827,2.63
828,2.73
829,2.73
830,2.71
831,2.59
832,2.65
833,2.63
834,2.66
835,2.77
836,2.8
837,2.61
838,2.6
839,2.65
840,2.66
841,2.71
842,2.76
843,2.77
844,2.71
845,2.63
846,2.63
847,2.64
848,2.65
849,2.79
850,2.74
851,2.59
852,2.64
853,2.63
854,2.66
855,2.66
856,2.77
857,2.76
858,2.58
859,2.63
860,2.63
861,2.79
862,2.77
863,2.8
864,2.65
865,2.58
866,2.65
867,2.71
868,2.76
869,2.77
870,2.75
871,2.66
872,2.59
873,2.64
874,2.7
875,2.8
876,2.72
877,2.79
878,2.66
879,2.58
880,2.64
881,2.63
882,2.79
883,2.65
884,2.78
885,2.8
886,2.61
887,2.61
888,2.62
889,2.65
890,2.8
891,2.76
892,2.81
893,2.63
894,2.64
895,2.63
896,2.72
897,2.79
898,2.8
899,2.8
900,2.63
901,2.59
902,2.61
903,2.65
904,2.79
905,2.77
906,2.63
907,2.59
908,2.58
909,2.59
910,2.56
911,2.81
912,2.81
913,2.58
914,2.57
915,2.63
916,2.63
917,2.67
918,2.75
919,2.78
920,2.67
921,2.61
922,2.61
923,2.64
924,2.76
925,2.77
926,2.79
927,2.64
928,2.6
929,2.58
930,2.59
931,2.63
932,2.78
933,2.74
934,2.59
935,2.64
936,2.6
937,2.68
938,2.79
939,2.79
940,2.59
941,2.61
942,2.62
943,2.65
944,2.77
945,2.68
946,2.58
947,2.66
948,2.66
949,2.67
950,2.77
951,2.76
952,2.57
953,2.6
954,2.61
955,2.62
956,2.79
957,2.81
958,2.61
959,2.62
960,2.6
961,2.67
962,2.79
963,2.8
964,2.63
965,2.58
966,2.62
967,2.71
968,2.74
969,2.77
970,2.74
971,2.59
972,2.62
973,2.67
974,2.74
975,2.77
976,2.79
977,2.71
978,2.65
979,2.63
980,2.65
981,2.77
982,2.77
983,2.78
984,2.61
985,2.6
986,2.61
987,2.62
988,2.67
989,2.78
990,2.79
991,2.59
992,2.59
993,2.61
994,2.6
995,2.66
996,2.63
997,2.71
998,2.6
999,2.66
