,0
0,2.57
1,2.56
2,2.56
3,2.57
4,2.56
5,2.56
6,2.52
7,2.5
8,2.56
9,2.57
10,2.56
11,2.56
12,2.57
13,2.57
14,2.57
15,2.57
16,2.51
17,2.5
18,2.54
19,2.55
20,2.5
21,2.51
22,2.53
23,2.51
24,2.56
25,2.55
26,2.5
27,2.5
28,2.56
29,2.56
30,2.51
31,2.55
32,2.56
33,2.56
34,2.56
35,2.51
36,2.56
37,2.57
38,2.55
39,2.55
40,2.55
41,2.51
42,2.54
43,2.55
44,2.5
45,2.56
46,2.5
47,2.51
48,2.49
49,2.55
50,2.56
51,2.56
52,2.56
53,2.55
54,2.5
55,2.54
56,2.56
57,2.52
58,2.54
59,2.55
60,2.57
61,2.56
62,2.57
63,2.56
64,2.34
65,2.36
66,2.49
67,2.53
68,2.51
69,2.5
70,2.51
71,2.51
72,2.55
73,2.47
74,2.47
75,2.49
76,2.49
77,2.49
78,2.5
79,2.53
80,2.52
81,2.5
82,2.55
83,2.53
84,2.5
85,2.52
86,2.5
87,2.5
88,2.49
89,2.55
90,2.55
91,2.51
92,2.51
93,2.52
94,2.55
95,2.55
96,2.55
97,2.52
98,2.53
99,2.56
100,2.55
101,2.54
102,2.53
103,2.54
104,2.54
105,2.55
106,2.54
107,2.56
108,2.55
109,2.56
110,2.54
111,2.56
112,2.55
113,2.52
114,2.55
115,2.56
116,2.56
117,2.56
118,2.52
119,2.49
120,2.5
121,2.51
122,2.5
123,2.54
124,2.55
125,2.55
126,2.56
127,2.56
128,2.56
129,2.53
130,2.5
131,2.52
132,2.55
133,2.56
134,2.56
135,2.56
136,2.56
137,2.56
138,2.55
139,2.5
140,2.55
141,2.55
142,2.56
143,2.56
144,2.55
145,2.39
146,2.56
147,2.55
148,2.55
149,2.42
150,2.49
151,2.54
152,2.54
153,2.56
154,2.56
155,2.55
156,2.56
157,2.51
158,2.55
159,2.55
160,2.56
161,2.53
162,2.55
163,2.56
164,2.56
165,2.56
166,2.5
167,2.5
168,2.55
169,2.55
170,2.56
171,2.56
172,2.56
173,2.55
174,2.52
175,2.55
176,2.56
177,2.56
178,2.57
179,2.55
180,2.56
181,2.57
182,2.57
183,2.5
184,2.5
185,2.54
186,2.52
187,2.55
188,2.56
189,2.56
190,2.57
191,2.57
192,2.53
193,2.56
194,2.57
195,2.56
196,2.56
197,2.51
198,2.54
199,2.36
200,2.55
201,2.56
202,2.57
203,2.57
204,2.54
205,2.56
206,2.55
207,2.56
208,2.56
209,2.57
210,2.57
211,2.57
212,2.54
213,2.55
214,2.56
215,2.54
216,2.56
217,2.56
218,2.56
219,2.57
220,2.56
221,2.53
222,2.51
223,2.56
224,2.56
225,2.57
226,2.57
227,2.57
228,2.48
229,2.32
230,2.56
231,2.55
232,2.36
233,2.47
234,2.5
235,2.55
236,2.56
237,2.5
238,2.35
239,2.4
240,2.54
241,2.46
242,2.35
243,2.39
244,2.47
245,2.51
246,2.38
247,2.55
248,2.55
249,2.5
250,2.39
251,2.51
252,2.56
253,2.56
254,2.55
255,2.45
256,2.53
257,2.54
258,2.54
259,2.56
260,2.56
261,2.57
262,2.57
263,2.56
264,2.47
265,2.41
266,2.56
267,2.55
268,2.52
269,2.54
270,2.45
271,2.37
272,2.54
273,2.56
274,2.56
275,2.5
276,2.43
277,2.34
278,2.52
279,2.56
280,2.51
281,2.51
282,2.36
283,2.36
284,2.53
285,2.53
286,2.52
287,2.51
288,2.55
289,2.42
290,2.35
291,2.53
292,2.35
293,2.36
294,2.54
295,2.5
296,2.49
297,2.53
298,2.5
299,2.54
300,2.45
301,2.52
302,2.56
303,2.56
304,2.57
305,2.55
306,2.51
307,2.4
308,2.55
309,2.57
310,2.57
311,2.57
312,2.57
313,2.56
314,2.49
315,2.36
316,2.34
317,2.33
318,2.48
319,2.53
320,2.34
321,2.39
322,2.35
323,2.38
324,2.36
325,2.42
326,2.46
327,2.54
328,2.51
329,2.5
330,2.48
331,2.56
332,2.55
333,2.56
334,2.5
335,2.34
336,2.35
337,2.34
338,2.51
339,2.34
340,2.52
341,2.56
342,2.57
343,2.56
344,2.56
345,2.31
346,2.32
347,2.33
348,2.34
349,2.5
350,2.56
351,2.52
352,2.41
353,2.34
354,2.34
355,2.48
356,2.42
357,2.54
358,2.56
359,2.56
360,2.56
361,2.54
362,2.39
363,2.4
364,2.37
365,2.52
366,2.54
367,2.55
368,2.56
369,2.56
370,2.57
371,2.36
372,2.37
373,2.55
374,2.56
375,2.51
376,2.5
377,2.33
378,2.34
379,2.37
380,2.36
381,2.38
382,2.35
383,2.34
384,2.35
385,2.36
386,2.34
387,2.53
388,2.33
389,2.35
390,2.33
391,2.34
392,2.43
393,2.51
394,2.5
395,2.35
396,2.35
397,2.35
398,2.36
399,2.39
400,2.48
401,2.36
402,2.32
403,2.5
404,2.36
405,2.38
406,2.48
407,2.54
408,2.55
409,2.56
410,2.56
411,2.55
412,2.56
413,2.55
414,2.37
415,2.51
416,2.51
417,2.34
418,2.31
419,2.35
420,2.55
421,2.5
422,2.39
423,2.46
424,2.54
425,2.53
426,2.34
427,2.33
428,2.56
429,2.55
430,2.56
431,2.55
432,2.56
433,2.56
434,2.53
435,2.34
436,2.57
437,2.56
438,2.54
439,2.54
440,2.56
441,2.57
442,2.54
443,2.56
444,2.56
445,2.55
446,2.51
447,2.56
448,2.56
449,2.57
450,2.57
451,2.57
452,2.57
453,2.57
454,2.4
455,2.53
456,2.56
457,2.57
458,2.57
459,2.56
460,2.54
461,2.57
462,2.55
463,2.42
464,2.43
465,2.56
466,2.56
467,2.56
468,2.56
469,2.52
470,2.55
471,2.55
472,2.56
473,2.56
474,2.56
475,2.56
476,2.56
477,2.57
478,2.54
479,2.44
480,2.56
481,2.51
482,2.56
483,2.56
484,2.57
485,2.57
486,2.57
487,2.56
488,2.56
489,2.55
490,2.53
491,2.53
492,2.56
493,2.55
494,2.57
495,2.55
496,2.56
497,2.57
498,2.57
499,2.31
500,2.39
501,2.54
502,2.56
503,2.54
504,2.55
505,2.56
506,2.57
507,2.55
508,2.38
509,2.57
510,2.57
511,2.57
512,2.54
513,2.54
514,2.55
515,2.56
516,2.35
517,2.33
518,2.39
519,2.54
520,2.5
521,2.52
522,2.56
523,2.56
524,2.37
525,2.53
526,2.39
527,2.54
528,2.56
529,2.56
530,2.55
531,2.56
532,2.56
533,2.56
