,0
0,2.51
1,2.51
2,2.5
3,2.53
4,2.61
5,2.64
6,2.55
7,2.51
8,2.5
9,2.49
10,2.52
11,2.61
12,2.61
13,2.64
14,2.58
15,2.5
16,2.49
17,2.5
18,2.57
19,2.56
20,2.61
21,2.5
22,2.5
23,2.49
24,2.55
25,2.55
26,2.61
27,2.49
28,2.49
29,2.5
30,2.6
31,2.63
32,2.57
33,2.5
34,2.49
35,2.49
36,2.5
37,2.53
38,2.6
39,2.57
40,2.51
41,2.49
42,2.49
43,2.55
44,2.51
45,2.62
46,2.53
47,2.49
48,2.49
49,2.49
50,2.55
51,2.56
52,2.6
53,2.5
54,2.49
55,2.49
56,2.5
57,2.54
58,2.53
59,2.6
60,2.51
61,2.5
62,2.49
63,2.53
64,2.52
65,2.61
66,2.49
67,2.5
68,2.5
69,2.56
70,2.58
71,2.5
72,2.49
73,2.49
74,2.52
75,2.55
76,2.59
77,2.63
78,2.54
79,2.5
80,2.5
81,2.49
82,2.51
83,2.49
84,2.58
85,2.68
86,2.61
87,2.51
88,2.5
89,2.5
90,2.52
91,2.5
92,2.51
93,2.5
94,2.64
95,2.61
96,2.5
97,2.49
98,2.5
99,2.54
100,2.53
101,2.52
102,2.5
103,2.55
104,2.5
105,2.49
106,2.5
107,2.51
108,2.51
109,2.5
110,2.72
111,2.58
112,2.49
113,2.5
114,2.6
115,2.53
116,2.49
117,2.61
118,2.5
119,2.49
120,2.5
121,2.55
122,2.5
123,2.55
124,2.61
125,2.57
126,2.49
127,2.5
128,2.53
129,2.55
130,2.56
131,2.59
132,2.59
133,2.51
134,2.5
135,2.5
136,2.55
137,2.55
138,2.55
139,2.61
140,2.53
141,2.5
142,2.5
143,2.5
144,2.56
145,2.55
146,2.57
147,2.57
148,2.5
149,2.5
150,2.51
151,2.5
152,2.54
153,2.53
154,2.57
155,2.59
156,2.57
157,2.5
158,2.51
159,2.52
160,2.54
161,2.52
162,2.57
163,2.56
164,2.49
165,2.5
166,2.5
167,2.54
168,2.55
169,2.59
170,2.58
171,2.5
172,2.49
173,2.5
174,2.53
175,2.56
176,2.6
177,2.67
178,2.56
179,2.5
180,2.5
181,2.5
182,2.56
183,2.54
184,2.64
185,2.52
186,2.5
187,2.5
188,2.5
189,2.55
190,2.53
191,2.6
192,2.61
193,2.5
194,2.5
195,2.5
196,2.5
197,2.56
198,2.58
199,2.6
200,2.61
201,2.56
202,2.5
203,2.5
204,2.5
205,2.58
206,2.6
207,2.58
208,2.59
209,2.56
210,2.5
211,2.49
212,2.52
213,2.53
214,2.56
215,2.61
216,2.54
217,2.56
218,2.54
219,2.5
220,2.5
221,2.5
222,2.56
223,2.56
224,2.6
225,2.55
226,2.5
227,2.49
228,2.49
229,2.51
230,2.55
231,2.59
232,2.57
233,2.51
234,2.52
235,2.5
236,2.54
237,2.57
238,2.51
239,2.58
240,2.5
241,2.5
242,2.5
243,2.52
244,2.56
245,2.49
246,2.61
247,2.51
248,2.5
249,2.5
250,2.51
251,2.51
252,2.55
253,2.5
254,2.55
255,2.48
256,2.49
257,2.49
258,2.5
259,2.55
260,2.53
261,2.51
262,2.51
263,2.5
264,2.5
265,2.5
266,2.52
267,2.52
268,2.52
269,2.54
270,2.52
271,2.54
272,2.5
273,2.5
274,2.52
275,2.57
276,2.53
277,2.52
278,2.49
279,2.51
280,2.49
281,2.5
282,2.6
283,2.57
284,2.64
285,2.52
286,2.49
287,2.49
288,2.48
289,2.51
290,2.59
291,2.57
292,2.5
293,2.48
294,2.48
295,2.49
296,2.49
297,2.49
298,2.49
299,2.54
300,2.58
301,2.59
302,2.52
303,2.54
304,2.48
305,2.48
306,2.49
307,2.62
308,2.63
309,2.57
310,2.52
311,2.54
312,2.48
313,2.5
314,2.53
315,2.56
316,2.48
317,2.54
318,2.54
319,2.49
320,2.48
321,2.48
322,2.49
323,2.54
324,2.49
325,2.61
326,2.49
327,2.48
328,2.48
329,2.48
330,2.48
331,2.51
332,2.5
333,2.63
334,2.59
335,2.5
336,2.48
337,2.48
338,2.48
339,2.55
340,2.5
341,2.49
342,2.63
343,2.53
344,2.48
345,2.48
346,2.51
347,2.52
348,2.65
349,2.48
350,2.59
351,2.57
352,2.48
353,2.48
354,2.48
355,2.56
356,2.55
357,2.5
358,2.59
359,2.52
360,2.48
361,2.48
362,2.48
363,2.5
364,2.59
365,2.56
366,2.49
367,2.5
368,2.5
369,2.48
370,2.49
371,2.49
372,2.49
373,2.49
374,2.5
375,2.5
376,2.5
377,2.52
378,2.52
379,2.5
380,2.63
381,2.57
382,2.58
383,2.49
384,2.52
385,2.54
386,2.5
387,2.52
388,2.64
389,2.61
390,2.51
391,2.48
392,2.48
393,2.48
394,2.48
395,2.5
396,2.64
397,2.58
398,2.57
399,2.54
400,2.54
401,2.5
402,2.5
403,2.53
404,2.63
405,2.53
406,2.48
407,2.48
408,2.48
409,2.49
410,2.48
411,2.52
412,2.59
413,2.49
414,2.49
415,2.49
416,2.49
417,2.49
418,2.51
419,2.57
420,2.51
421,2.5
422,2.49
423,2.5
424,2.49
425,2.5
426,2.49
427,2.49
428,2.63
429,2.7
430,2.53
431,2.49
432,2.48
433,2.5
434,2.53
435,2.48
436,2.51
437,2.56
438,2.67
439,2.55
440,2.48
441,2.48
442,2.5
443,2.49
444,2.5
445,2.56
446,2.69
447,2.51
448,2.48
449,2.48
450,2.52
451,2.5
452,2.51
453,2.61
454,2.49
455,2.5
456,2.37
457,2.42
458,2.48
459,2.52
460,2.46
461,2.57
462,2.5
463,2.46
464,2.45
465,2.45
466,2.45
467,2.46
468,2.44
469,2.54
470,2.56
471,2.59
472,2.59
473,2.55
474,2.5
475,2.46
476,2.46
477,2.47
478,2.44
479,2.46
480,2.48
481,2.59
482,2.6
483,2.63
484,2.63
485,2.59
486,2.45
487,2.47
488,2.45
489,2.43
490,2.45
491,2.47
492,2.61
493,2.59
494,2.59
495,2.58
496,2.55
497,2.53
498,2.46
499,2.44
500,2.48
501,2.61
502,2.56
503,2.45
504,2.43
505,2.46
506,2.43
507,2.46
508,2.44
509,2.46
510,2.64
511,2.63
512,2.51
513,2.44
514,2.43
515,2.47
516,2.47
517,2.43
518,2.47
519,2.46
520,2.64
521,2.64
522,2.63
523,2.63
524,2.53
525,2.53
526,2.44
527,2.45
528,2.5
529,2.64
530,2.63
531,2.47
532,2.43
533,2.43
534,2.47
535,2.45
536,2.46
537,2.62
538,2.57
539,2.44
540,2.44
541,2.45
542,2.43
543,2.44
544,2.47
545,2.63
546,2.56
547,2.43
548,2.43
549,2.46
550,2.43
551,2.43
552,2.49
553,2.6
554,2.46
555,2.43
556,2.43
557,2.44
558,2.44
559,2.43
560,2.53
561,2.58
562,2.5
563,2.43
564,2.43
565,2.43
566,2.46
567,2.43
568,2.46
569,2.6
570,2.6
571,2.44
572,2.43
573,2.43
574,2.43
575,2.43
576,2.43
577,2.48
578,2.52
579,2.54
580,2.55
581,2.55
582,2.59
583,2.57
584,2.44
585,2.44
586,2.46
587,2.58
588,2.59
589,2.52
590,2.65
591,2.64
592,2.44
593,2.44
594,2.48
595,2.55
596,2.45
597,2.57
598,2.55
599,2.5
600,2.5
601,2.44
602,2.46
603,2.6
604,2.54
605,2.67
606,2.67
607,2.66
608,2.54
609,2.44
610,2.44
611,2.57
612,2.57
613,2.7
614,2.68
615,2.5
616,2.44
617,2.53
618,2.6
619,2.6
620,2.49
621,2.54
622,2.5
623,2.44
624,2.53
625,2.57
626,2.57
627,2.57
628,2.61
629,2.5
630,2.43
631,2.51
632,2.57
633,2.53
634,2.49
635,2.52
636,2.52
637,2.44
638,2.46
639,2.52
640,2.6
641,2.6
642,2.63
643,2.64
644,2.62
645,2.51
646,2.46
647,2.5
648,2.62
649,2.63
650,2.57
651,2.59
652,2.6
653,2.53
654,2.45
655,2.48
656,2.56
657,2.52
658,2.45
659,2.49
660,2.5
661,2.5
662,2.44
663,2.44
664,2.5
665,2.52
666,2.59
667,2.67
668,2.59
669,2.44
670,2.44
671,2.51
672,2.6
673,2.6
674,2.66
675,2.54
676,2.44
677,2.45
678,2.51
679,2.56
680,2.56
681,2.62
682,2.62
683,2.47
684,2.44
685,2.49
686,2.57
687,2.53
688,2.53
689,2.66
690,2.52
691,2.44
692,2.45
693,2.47
694,2.55
695,2.61
696,2.61
697,2.64
698,2.64
699,2.6
700,2.45
701,2.46
702,2.55
703,2.58
704,2.46
705,2.48
706,2.53
707,2.56
708,2.57
709,2.54
710,2.46
711,2.49
712,2.5
713,2.49
714,2.56
715,2.59
716,2.46
717,2.46
718,2.45
719,2.48
720,2.55
721,2.56
722,2.64
723,2.6
724,2.48
725,2.48
726,2.46
727,2.5
728,2.57
729,2.63
730,2.66
731,2.55
732,2.45
733,2.45
734,2.49
735,2.55
736,2.55
737,2.59
738,2.6
739,2.61
740,2.5
741,2.45
742,2.46
743,2.53
744,2.47
745,2.58
746,2.61
747,2.51
748,2.45
749,2.46
750,2.48
751,2.53
752,2.48
753,2.54
754,2.57
755,2.57
756,2.48
757,2.46
758,2.48
759,2.52
760,2.5
761,2.59
762,2.59
763,2.6
764,2.46
765,2.46
766,2.48
767,2.57
768,2.53
769,2.61
770,2.63
771,2.56
772,2.49
773,2.47
774,2.48
775,2.49
776,2.51
777,2.58
778,2.58
779,2.59
780,2.46
781,2.46
782,2.5
783,2.53
784,2.54
785,2.59
