,0
0,2.74
1,2.74
2,2.74
3,2.73
4,2.72
5,2.73
6,2.74
7,2.74
8,2.74
9,2.74
10,2.75
11,2.74
12,2.74
13,2.74
14,2.75
15,2.67
16,2.74
17,2.75
18,2.73
19,2.72
20,2.73
21,2.73
22,2.74
23,2.75
24,2.76
25,2.76
26,2.76
27,2.75
28,2.76
29,2.76
30,2.76
31,2.76
32,2.75
33,2.76
34,2.76
35,2.76
36,2.76
37,2.75
38,2.76
39,2.76
40,2.76
41,2.76
42,2.75
43,2.76
44,2.76
45,2.75
46,2.76
47,2.76
48,2.75
49,2.75
50,2.76
51,2.75
52,2.76
53,2.76
54,2.76
55,2.76
56,2.76
57,2.76
58,2.76
59,2.75
60,2.75
61,2.75
62,2.76
63,2.74
64,2.76
65,2.74
66,2.74
67,2.74
68,2.75
69,2.75
70,2.76
71,2.75
72,2.75
73,2.75
74,2.76
75,2.76
76,2.75
77,2.75
78,2.75
79,2.75
80,2.76
81,2.76
82,2.74
83,2.75
84,2.75
85,2.76
86,2.76
87,2.74
88,2.75
89,2.76
90,2.76
91,2.76
92,2.75
93,2.75
94,2.75
95,2.75
96,2.75
97,2.75
98,2.75
99,2.75
100,2.76
101,2.76
102,2.76
103,2.76
104,2.76
105,2.76
106,2.76
107,2.75
108,2.75
109,2.75
110,2.74
111,2.75
112,2.76
113,2.75
114,2.74
115,2.75
116,2.75
117,2.76
118,2.74
119,2.76
120,2.76
121,2.76
122,2.75
123,2.75
124,2.75
125,2.76
126,2.76
127,2.76
128,2.76
129,2.75
130,2.76
131,2.76
132,2.76
133,2.76
134,2.75
135,2.76
136,2.76
137,2.76
138,2.76
139,2.75
140,2.76
141,2.76
142,2.76
143,2.76
144,2.75
145,2.76
146,2.76
147,2.76
148,2.77
149,2.75
150,2.75
151,2.76
152,2.76
153,2.76
154,2.75
155,2.75
156,2.75
157,2.76
158,2.76
159,2.76
160,2.75
161,2.76
162,2.76
163,2.76
164,2.75
165,2.62
166,2.63
167,2.63
168,2.63
169,2.62
170,2.61
171,2.71
172,2.73
173,2.74
174,2.75
175,2.75
176,2.75
177,2.75
178,2.76
179,2.75
180,2.75
181,2.75
182,2.75
183,2.74
184,2.75
185,2.75
186,2.75
187,2.75
188,2.75
189,2.77
190,2.77
191,2.77
192,2.76
193,2.78
194,2.78
195,2.78
196,2.76
197,2.76
198,2.78
199,2.78
200,2.78
201,2.77
202,2.77
203,2.77
204,2.78
205,2.77
206,2.76
207,2.77
208,2.77
209,2.78
210,2.76
211,2.77
212,2.77
213,2.77
214,2.78
215,2.76
216,2.77
217,2.77
218,2.78
219,2.78
220,2.76
221,2.77
222,2.78
223,2.78
224,2.78
225,2.77
226,2.77
227,2.77
228,2.77
229,2.78
230,2.77
231,2.77
232,2.78
233,2.78
234,2.78
235,2.77
236,2.77
237,2.77
238,2.78
239,2.78
240,2.77
241,2.78
242,2.78
243,2.78
244,2.78
245,2.77
246,2.77
247,2.78
248,2.78
249,2.78
250,2.77
251,2.77
252,2.77
253,2.77
254,2.78
255,2.77
256,2.77
257,2.77
258,2.77
259,2.77
260,2.78
261,2.77
262,2.77
263,2.77
264,2.78
265,2.77
266,2.64
267,2.75
268,2.76
269,2.77
270,2.77
271,2.76
272,2.75
273,2.77
274,2.77
275,2.77
276,2.76
277,2.77
278,2.77
279,2.77
280,2.77
281,2.77
282,2.77
283,2.77
284,2.73
285,2.77
286,2.77
287,2.77
288,2.77
289,2.76
290,2.77
291,2.75
292,2.77
293,2.77
294,2.75
295,2.77
296,2.76
297,2.77
298,2.77
299,2.75
300,2.77
301,2.76
302,2.77
303,2.77
304,2.72
305,2.75
306,2.76
307,2.76
308,2.77
309,2.77
310,2.73
311,2.76
312,2.75
313,2.76
314,2.76
315,2.75
316,2.76
317,2.75
318,2.75
319,2.76
320,2.76
321,2.76
322,2.76
323,2.76
324,2.76
325,2.76
326,2.75
327,2.77
328,2.77
329,2.76
330,2.76
331,2.76
332,2.74
333,2.76
334,2.75
335,2.76
336,2.76
337,2.73
338,2.77
339,2.76
340,2.76
341,2.75
342,2.73
343,2.76
344,2.75
345,2.76
346,2.76
347,2.73
348,2.75
349,2.75
350,2.76
351,2.76
352,2.75
353,2.76
354,2.75
355,2.75
356,2.75
357,2.75
358,2.75
359,2.75
360,2.76
361,2.75
362,2.74
363,2.75
364,2.75
365,2.76
366,2.73
367,2.75
368,2.75
369,2.75
370,2.75
371,2.77
372,2.75
373,2.76
374,2.76
375,2.77
376,2.74
377,2.76
378,2.76
379,2.72
380,2.76
381,2.74
382,2.76
383,2.74
384,2.75
385,2.74
386,2.75
387,2.76
388,2.76
389,2.76
390,2.75
391,2.76
392,2.75
393,2.74
394,2.73
395,2.75
396,2.75
397,2.75
398,2.76
399,2.75
400,2.76
401,2.76
402,2.74
403,2.74
404,2.75
405,2.76
406,2.76
407,2.75
408,2.75
409,2.75
410,2.76
411,2.75
412,2.76
413,2.75
414,2.76
415,2.75
416,2.74
417,2.76
418,2.75
419,2.76
420,2.75
421,2.75
422,2.75
423,2.76
424,2.76
425,2.75
426,2.76
427,2.75
428,2.75
429,2.75
430,2.75
431,2.74
432,2.75
433,2.76
434,2.76
435,2.76
436,2.74
437,2.73
438,2.76
439,2.76
440,2.76
441,2.76
442,2.77
443,2.77
444,2.77
445,2.76
446,2.77
447,2.75
448,2.76
449,2.76
450,2.75
451,2.77
452,2.76
453,2.77
454,2.76
455,2.74
456,2.76
457,2.76
458,2.76
459,2.76
460,2.74
461,2.75
462,2.76
463,2.76
464,2.75
465,2.75
466,2.76
467,2.77
468,2.77
469,2.77
470,2.74
471,2.76
472,2.75
473,2.76
474,2.77
475,2.75
476,2.76
477,2.75
478,2.75
479,2.76
480,2.74
481,2.76
482,2.75
483,2.75
484,2.76
485,2.74
486,2.76
487,2.75
488,2.76
489,2.76
490,2.74
491,2.76
492,2.74
493,2.75
494,2.76
495,2.75
496,2.75
497,2.75
498,2.75
499,2.76
500,2.74
501,2.76
502,2.75
503,2.75
504,2.76
505,2.74
506,2.75
507,2.76
508,2.76
509,2.76
510,2.75
511,2.76
512,2.75
513,2.76
514,2.77
515,2.76
516,2.75
517,2.76
518,2.76
519,2.76
520,2.76
521,2.76
522,2.75
523,2.76
524,2.75
525,2.75
526,2.75
527,2.75
528,2.75
529,2.75
530,2.76
531,2.74
532,2.75
533,2.76
534,2.75
535,2.74
536,2.74
537,2.76
538,2.76
539,2.76
540,2.75
541,2.75
542,2.76
543,2.76
544,2.75
545,2.75
546,2.76
547,2.76
548,2.75
549,2.76
550,2.75
551,2.76
552,2.76
553,2.75
554,2.76
555,2.76
556,2.76
557,2.75
558,2.74
559,2.76
560,2.76
561,2.76
562,2.75
563,2.75
564,2.76
565,2.76
566,2.76
567,2.75
568,2.76
569,2.76
570,2.75
571,2.75
572,2.76
573,2.74
574,2.75
575,2.75
576,2.75
577,2.75
578,2.75
579,2.76
580,2.76
581,2.76
582,2.76
583,2.76
584,2.76
585,2.76
586,2.76
587,2.76
588,2.76
589,2.75
590,2.76
591,2.76
592,2.76
593,2.75
594,2.76
595,2.75
596,2.76
597,2.74
598,2.74
599,2.74
600,2.75
601,2.76
602,2.74
603,2.74
604,2.74
605,2.74
606,2.75
607,2.74
608,2.73
609,2.76
610,2.73
611,2.73
612,2.74
613,2.74
614,2.74
615,2.74
616,2.73
617,2.74
618,2.75
619,2.74
620,2.74
621,2.73
622,2.74
623,2.74
624,2.73
625,2.75
626,2.73
627,2.73
628,2.74
629,2.73
630,2.75
631,2.72
632,2.74
633,2.75
634,2.74
635,2.75
636,2.73
637,2.74
638,2.75
639,2.75
640,2.75
641,2.73
642,2.75
643,2.75
644,2.74
645,2.73
646,2.74
647,2.74
648,2.74
649,2.74
650,2.73
651,2.75
652,2.76
653,2.75
654,2.75
655,2.74
656,2.75
657,2.76
658,2.75
659,2.75
660,2.74
661,2.76
662,2.76
663,2.74
664,2.76
665,2.73
666,2.74
667,2.75
668,2.75
669,2.75
670,2.73
671,2.75
672,2.76
673,2.74
674,2.75
675,2.73
676,2.74
677,2.76
678,2.76
679,2.75
680,2.73
681,2.74
682,2.75
683,2.76
684,2.75
685,2.76
686,2.74
687,2.75
688,2.76
689,2.74
690,2.76
691,2.74
692,2.74
693,2.76
694,2.75
695,2.75
696,2.74
697,2.75
698,2.76
699,2.76
700,2.74
701,2.76
702,2.76
703,2.76
704,2.76
705,2.75
706,2.76
707,2.75
708,2.75
709,2.77
710,2.75
711,2.74
712,2.74
713,2.75
714,2.76
715,2.77
716,2.75
717,2.74
718,2.75
719,2.76
720,2.76
721,2.74
722,2.75
723,2.75
724,2.75
725,2.76
726,2.75
727,2.75
728,2.76
729,2.76
730,2.75
731,2.75
732,2.74
733,2.75
734,2.75
735,2.75
736,2.74
737,2.75
738,2.74
739,2.76
740,2.76
741,2.75
742,2.74
743,2.75
744,2.77
745,2.75
746,2.75
747,2.74
748,2.75
749,2.76
750,2.75
751,2.76
752,2.72
753,2.75
754,2.76
755,2.75
756,2.76
