,0
0,2.43
1,2.39
2,2.41
3,2.49
4,2.51
5,2.5
6,2.4
7,2.32
8,2.37
9,2.54
10,2.43
11,2.46
12,2.36
13,2.45
14,2.51
15,2.51
16,2.55
17,2.55
18,2.55
19,2.55
20,2.54
21,2.53
22,2.56
23,2.56
24,2.56
25,2.56
26,2.53
27,2.52
28,2.31
29,2.31
30,2.32
31,2.29
32,2.29
33,2.38
34,2.34
35,2.49
36,2.5
37,2.53
38,2.47
39,2.43
40,2.27
41,2.3
42,2.33
43,2.43
44,2.44
45,2.54
46,2.55
47,2.28
48,2.3
49,2.33
50,2.36
51,2.26
52,2.24
53,2.31
54,2.4
55,2.41
56,2.24
57,2.24
58,2.25
59,2.26
60,2.25
61,2.4
62,2.29
63,2.41
64,2.24
65,2.27
66,2.26
67,2.27
68,2.31
69,2.35
70,2.36
71,2.36
72,2.34
73,2.35
74,2.35
75,2.41
76,2.41
77,2.32
78,2.32
79,2.37
80,2.41
81,2.38
82,2.37
83,2.39
84,2.36
85,2.35
86,2.35
87,2.35
88,2.38
89,2.39
90,2.44
91,2.48
92,2.46
93,2.3
94,2.25
95,2.34
96,2.36
97,2.29
98,2.34
99,2.38
100,2.42
101,2.39
102,2.45
103,2.29
104,2.3
105,2.32
106,2.34
107,2.35
108,2.41
109,2.53
110,2.5
111,2.54
112,2.34
113,2.49
114,2.34
115,2.34
116,2.35
117,2.35
118,2.39
119,2.54
120,2.54
121,2.54
122,2.48
123,2.32
124,2.31
125,2.49
126,2.37
127,2.36
128,2.45
129,2.5
130,2.46
131,2.43
132,2.5
133,2.49
134,2.37
135,2.37
136,2.35
137,2.43
138,2.41
139,2.47
140,2.51
141,2.43
142,2.4
143,2.4
144,2.4
145,2.4
146,2.36
147,2.38
148,2.5
149,2.49
150,2.49
151,2.5
152,2.46
153,2.45
154,2.46
155,2.42
156,2.37
157,2.36
158,2.41
159,2.43
160,2.5
161,2.52
162,2.53
163,2.5
164,2.33
165,2.36
166,2.37
167,2.35
168,2.45
169,2.37
170,2.29
171,2.31
172,2.34
173,2.33
174,2.29
175,2.33
176,2.32
177,2.35
178,2.32
179,2.35
180,2.38
181,2.35
182,2.33
183,2.33
184,2.34
185,2.4
186,2.42
187,2.36
188,2.44
189,2.41
190,2.39
191,2.38
192,2.38
193,2.41
194,2.44
195,2.45
196,2.44
197,2.44
198,2.41
199,2.38
200,2.43
201,2.43
202,2.5
203,2.42
204,2.5
205,2.49
206,2.24
207,2.47
208,2.45
209,2.4
210,2.41
211,2.43
212,2.41
213,2.44
214,2.35
215,2.37
216,2.3
217,2.49
218,2.4
219,2.42
220,2.43
221,2.38
222,2.43
223,2.35
224,2.38
225,2.28
226,2.28
227,2.27
228,2.31
229,2.3
230,2.32
231,2.31
232,2.37
233,2.37
234,2.32
235,2.32
236,2.42
237,2.28
238,2.31
239,2.27
240,2.37
241,2.4
242,2.39
243,2.36
244,2.36
245,2.4
246,2.37
247,2.37
248,2.34
249,2.36
250,2.34
251,2.33
252,2.34
253,2.37
254,2.38
255,2.36
256,2.36
257,2.36
258,2.37
259,2.34
260,2.38
261,2.4
262,2.41
263,2.37
264,2.37
265,2.38
266,2.34
267,2.35
268,2.34
269,2.34
270,2.34
271,2.35
272,2.39
273,2.43
274,2.29
275,2.32
276,2.32
277,2.32
278,2.32
279,2.31
280,2.29
281,2.27
282,2.31
283,2.31
284,2.32
285,2.4
286,2.39
287,2.47
288,2.42
289,2.41
290,2.36
291,2.39
292,2.39
293,2.43
294,2.34
295,2.33
296,2.39
297,2.43
298,2.5
299,2.5
300,2.51
301,2.48
302,2.5
303,2.38
304,2.37
305,2.4
306,2.5
307,2.45
308,2.44
309,2.45
310,2.5
311,2.38
312,2.4
313,2.41
314,2.34
315,2.44
316,2.45
317,2.52
318,2.33
319,2.33
320,2.41
321,2.51
322,2.54
323,2.52
324,2.44
325,2.42
326,2.42
327,2.4
328,2.36
329,2.37
330,2.36
331,2.29
332,2.44
333,2.47
334,2.44
335,2.5
336,2.51
337,2.39
338,2.33
339,2.32
340,2.47
341,2.45
342,2.46
343,2.49
344,2.45
345,2.44
346,2.38
347,2.32
348,2.46
349,2.4
350,2.45
351,2.49
352,2.43
353,2.53
354,2.4
355,2.44
356,2.36
357,2.32
358,2.44
359,2.44
360,2.44
361,2.38
362,2.44
363,2.47
364,2.48
365,2.45
366,2.34
367,2.35
368,2.43
369,2.42
370,2.49
371,2.36
372,2.5
373,2.39
374,2.39
375,2.42
376,2.31
377,2.39
378,2.47
379,2.46
380,2.43
381,2.48
382,2.43
383,2.4
384,2.43
385,2.44
386,2.41
387,2.34
388,2.42
389,2.37
390,2.47
391,2.42
392,2.47
393,2.5
394,2.36
395,2.35
396,2.35
397,2.36
398,2.4
399,2.48
400,2.53
401,2.33
402,2.29
403,2.32
404,2.28
405,2.38
406,2.37
407,2.46
408,2.37
409,2.39
410,2.33
411,2.31
412,2.31
413,2.33
414,2.43
415,2.45
416,2.3
417,2.31
418,2.27
419,2.27
420,2.28
421,2.41
422,2.52
423,2.45
424,2.48
425,2.38
426,2.35
427,2.38
428,2.37
429,2.32
430,2.33
431,2.5
432,2.53
433,2.53
434,2.54
435,2.49
436,2.36
437,2.38
438,2.38
439,2.37
440,2.38
441,2.5
442,2.54
443,2.49
444,2.5
445,2.42
446,2.42
447,2.41
448,2.42
449,2.4
450,2.39
451,2.37
452,2.53
453,2.51
454,2.52
455,2.52
456,2.46
457,2.38
458,2.41
459,2.4
460,2.4
461,2.39
462,2.5
463,2.48
464,2.49
465,2.5
466,2.52
467,2.42
468,2.42
469,2.41
470,2.39
471,2.36
472,2.5
473,2.47
474,2.51
475,2.51
476,2.51
477,2.4
478,2.42
479,2.4
480,2.39
481,2.37
482,2.51
483,2.49
484,2.5
485,2.5
486,2.31
487,2.37
488,2.42
489,2.41
490,2.39
491,2.44
492,2.49
493,2.52
494,2.45
495,2.48
496,2.32
497,2.36
498,2.36
499,2.34
500,2.32
501,2.34
502,2.35
503,2.46
504,2.44
505,2.47
506,2.53
507,2.37
508,2.5
509,2.51
510,2.39
511,2.35
512,2.3
513,2.38
514,2.48
515,2.51
516,2.5
517,2.52
518,2.43
519,2.42
520,2.45
521,2.49
522,2.34
523,2.31
524,2.45
525,2.47
526,2.47
527,2.52
528,2.52
529,2.54
530,2.33
531,2.52
532,2.36
533,2.36
534,2.35
535,2.49
536,2.45
537,2.48
538,2.47
539,2.52
540,2.32
541,2.51
542,2.5
543,2.4
544,2.35
545,2.36
546,2.45
547,2.47
548,2.49
549,2.51
550,2.5
551,2.51
552,2.52
553,2.51
554,2.39
555,2.34
556,2.35
557,2.46
558,2.46
559,2.5
560,2.52
561,2.52
562,2.52
563,2.53
564,2.53
565,2.38
566,2.38
567,2.4
568,2.39
569,2.38
570,2.47
571,2.53
572,2.5
573,2.55
574,2.51
575,2.35
576,2.34
577,2.37
578,2.38
579,2.47
580,2.53
581,2.5
582,2.49
583,2.56
584,2.52
585,2.52
586,2.39
587,2.36
588,2.32
589,2.31
590,2.43
591,2.52
592,2.5
593,2.31
594,2.48
595,2.51
596,2.33
597,2.31
598,2.29
599,2.3
600,2.28
601,2.4
602,2.51
603,2.53
604,2.52
605,2.39
606,2.52
607,2.4
608,2.38
609,2.4
610,2.45
611,2.46
612,2.51
613,2.48
614,2.49
615,2.52
616,2.52
617,2.53
618,2.5
619,2.39
620,2.39
621,2.38
622,2.46
623,2.5
624,2.51
625,2.51
626,2.51
627,2.32
628,2.4
629,2.39
630,2.36
631,2.36
632,2.39
633,2.51
634,2.53
635,2.52
636,2.53
637,2.53
638,2.53
639,2.41
640,2.4
641,2.36
642,2.36
643,2.35
644,2.47
645,2.46
646,2.49
647,2.5
648,2.52
649,2.51
650,2.53
651,2.54
652,2.39
653,2.37
654,2.33
655,2.34
656,2.5
657,2.49
658,2.53
659,2.51
660,2.5
661,2.4
662,2.37
663,2.39
664,2.32
665,2.47
666,2.47
667,2.47
668,2.5
669,2.46
670,2.49
671,2.5
672,2.41
673,2.35
674,2.38
675,2.34
676,2.45
677,2.51
678,2.53
679,2.53
680,2.55
681,2.54
682,2.49
683,2.38
684,2.36
685,2.4
686,2.43
687,2.47
688,2.5
689,2.47
690,2.48
691,2.55
692,2.51
693,2.5
694,2.34
695,2.36
696,2.33
697,2.34
698,2.47
699,2.49
700,2.5
701,2.55
702,2.48
703,2.55
704,2.53
705,2.32
706,2.29
707,2.45
708,2.38
709,2.43
710,2.49
711,2.46
712,2.44
713,2.44
714,2.49
715,2.48
716,2.35
717,2.36
718,2.35
719,2.31
720,2.48
721,2.48
722,2.45
723,2.5
724,2.52
725,2.5
726,2.53
727,2.54
728,2.5
729,2.37
730,2.33
731,2.29
732,2.48
733,2.42
734,2.47
735,2.42
736,2.44
737,2.52
738,2.37
739,2.37
740,2.38
741,2.39
742,2.36
743,2.47
744,2.48
745,2.51
746,2.53
747,2.54
748,2.54
749,2.45
750,2.42
751,2.37
752,2.38
753,2.32
754,2.45
755,2.49
756,2.5
757,2.53
758,2.55
759,2.36
760,2.5
761,2.5
762,2.51
763,2.32
764,2.36
765,2.29
766,2.3
767,2.43
768,2.44
769,2.54
770,2.49
771,2.53
772,2.54
773,2.34
774,2.35
775,2.35
776,2.33
777,2.33
778,2.41
779,2.52
780,2.52
781,2.33
782,2.31
783,2.5
784,2.51
785,2.45
786,2.35
787,2.37
788,2.36
789,2.45
790,2.34
791,2.37
792,2.4
793,2.4
794,2.4
795,2.41
796,2.37
797,2.43
798,2.34
799,2.33
800,2.35
801,2.32
802,2.33
803,2.3
804,2.47
805,2.45
806,2.48
807,2.46
808,2.49
809,2.37
810,2.4
811,2.38
812,2.39
813,2.35
814,2.46
815,2.48
816,2.49
817,2.51
818,2.53
819,2.54
820,2.51
821,2.41
822,2.42
823,2.39
824,2.49
825,2.39
826,2.39
827,2.43
828,2.42
829,2.41
830,2.5
831,2.48
832,2.51
833,2.46
834,2.33
835,2.37
836,2.38
837,2.41
838,2.46
839,2.51
840,2.52
841,2.52
842,2.49
843,2.52
844,2.52
845,2.38
846,2.36
847,2.37
848,2.38
849,2.38
850,2.34
851,2.51
852,2.51
853,2.53
854,2.52
855,2.51
856,2.32
857,2.35
858,2.35
859,2.37
860,2.5
861,2.5
862,2.52
863,2.52
864,2.52
865,2.36
866,2.36
867,2.36
868,2.35
869,2.45
870,2.51
871,2.51
872,2.51
873,2.52
874,2.5
875,2.36
876,2.35
877,2.42
878,2.49
879,2.5
880,2.51
881,2.53
882,2.53
883,2.51
884,2.38
885,2.37
886,2.43
887,2.51
888,2.54
889,2.54
890,2.33
891,2.29
892,2.31
893,2.32
894,2.39
895,2.45
896,2.46
897,2.46
898,2.46
899,2.5
900,2.51
901,2.48
902,2.48
903,2.43
904,2.28
905,2.28
906,2.29
907,2.27
908,2.41
909,2.42
910,2.29
911,2.31
912,2.46
913,2.31
914,2.43
915,2.4
916,2.41
917,2.38
918,2.46
919,2.54
920,2.5
921,2.43
922,2.3
923,2.44
924,2.46
925,2.46
926,2.53
927,2.53
928,2.46
929,2.52
930,2.52
931,2.42
932,2.45
933,2.45
934,2.46
935,2.52
936,2.46
937,2.34
938,2.51
939,2.51
940,2.45
941,2.32
942,2.45
943,2.48
944,2.5
945,2.46
946,2.52
947,2.5
948,2.54
949,2.53
950,2.44
951,2.48
952,2.5
953,2.52
954,2.45
955,2.46
956,2.41
957,2.52
958,2.5
959,2.45
960,2.48
961,2.47
962,2.47
963,2.53
964,2.54
965,2.43
966,2.52
967,2.54
968,2.54
969,2.5
970,2.41
971,2.48
972,2.49
973,2.54
974,2.54
975,2.54
976,2.48
977,2.53
978,2.53
979,2.53
980,2.43
981,2.48
982,2.51
983,2.52
984,2.52
985,2.54
986,2.45
987,2.53
988,2.53
989,2.46
990,2.45
991,2.47
992,2.52
993,2.51
994,2.5
995,2.53
996,2.53
997,2.54
998,2.54
999,2.54
