,0
0,2.61
1,2.61
2,2.54
3,2.53
4,2.55
5,2.62
6,2.59
7,2.62
8,2.54
9,2.57
10,2.57
11,2.61
12,2.61
13,2.51
14,2.52
15,2.58
16,2.59
17,2.68
18,2.5
19,2.54
20,2.57
21,2.62
22,2.68
23,2.63
24,2.54
25,2.58
26,2.61
27,2.62
28,2.69
29,2.53
30,2.53
31,2.68
32,2.56
33,2.66
34,2.55
35,2.56
36,2.61
37,2.68
38,2.66
39,2.54
40,2.56
41,2.61
42,2.62
43,2.66
44,2.64
45,2.52
46,2.55
47,2.56
48,2.61
49,2.66
50,2.54
51,2.54
52,2.56
53,2.61
54,2.6
55,2.61
56,2.53
57,2.6
58,2.6
59,2.59
60,2.65
61,2.63
62,2.53
63,2.55
64,2.52
65,2.59
66,2.6
67,2.64
68,2.61
69,2.53
70,2.52
71,2.58
72,2.59
73,2.59
74,2.49
75,2.5
76,2.5
77,2.57
78,2.59
79,2.57
80,2.53
81,2.51
82,2.52
83,2.56
84,2.61
85,2.58
86,2.47
87,2.52
88,2.56
89,2.54
90,2.6
91,2.55
92,2.51
93,2.52
94,2.61
95,2.62
96,2.59
97,2.5
98,2.55
99,2.57
100,2.58
101,2.58
102,2.59
103,2.52
104,2.53
105,2.55
106,2.56
107,2.65
108,2.63
109,2.5
110,2.57
111,2.55
112,2.55
113,2.59
114,2.62
115,2.68
116,2.57
117,2.56
118,2.55
119,2.53
120,2.6
121,2.62
122,2.7
123,2.51
124,2.5
125,2.57
126,2.59
127,2.55
128,2.5
129,2.53
130,2.57
131,2.67
132,2.62
133,2.52
134,2.52
135,2.5
136,2.57
137,2.58
138,2.71
139,2.51
140,2.53
141,2.67
142,2.53
143,2.52
144,2.49
145,2.55
146,2.55
147,2.62
148,2.64
149,2.49
150,2.49
151,2.51
152,2.5
153,2.54
154,2.61
155,2.6
156,2.52
157,2.54
158,2.52
159,2.57
160,2.59
161,2.59
162,2.53
163,2.57
164,2.5
165,2.54
166,2.58
167,2.63
168,2.53
169,2.53
170,2.54
171,2.53
172,2.65
173,2.63
174,2.58
175,2.55
176,2.55
177,2.56
178,2.54
179,2.57
180,2.56
181,2.51
182,2.51
183,2.54
184,2.59
185,2.64
186,2.68
187,2.59
188,2.52
189,2.51
190,2.54
191,2.6
192,2.58
193,2.58
194,2.54
195,2.5
196,2.52
197,2.59
198,2.51
199,2.52
200,2.54
201,2.54
202,2.61
203,2.6
204,2.53
205,2.51
206,2.54
207,2.54
208,2.61
209,2.61
210,2.5
211,2.52
212,2.53
213,2.59
214,2.6
215,2.66
216,2.49
217,2.55
218,2.53
219,2.67
220,2.69
221,2.57
222,2.48
223,2.53
224,2.5
225,2.55
226,2.6
227,2.51
228,2.55
229,2.54
230,2.6
231,2.68
232,2.61
233,2.51
234,2.56
235,2.65
236,2.7
237,2.52
238,2.51
239,2.56
240,2.64
241,2.65
242,2.52
243,2.54
244,2.54
245,2.6
246,2.61
247,2.53
248,2.55
249,2.54
250,2.59
251,2.68
252,2.65
253,2.54
254,2.55
255,2.56
256,2.61
257,2.7
258,2.51
259,2.51
260,2.57
261,2.59
262,2.62
263,2.59
264,2.56
265,2.54
266,2.55
267,2.61
268,2.61
269,2.6
270,2.57
271,2.55
272,2.53
273,2.6
274,2.61
275,2.51
276,2.56
277,2.57
278,2.57
279,2.57
280,2.61
281,2.58
282,2.53
283,2.55
284,2.54
285,2.6
286,2.64
287,2.51
288,2.53
289,2.54
290,2.6
291,2.64
292,2.62
293,2.6
294,2.52
295,2.5
296,2.56
297,2.58
298,2.59
299,2.58
300,2.6
301,2.54
302,2.54
303,2.53
304,2.57
305,2.61
306,2.61
307,2.53
308,2.51
309,2.55
310,2.56
311,2.56
312,2.58
313,2.51
314,2.54
315,2.52
316,2.57
317,2.57
318,2.58
319,2.52
320,2.52
321,2.56
322,2.63
323,2.59
324,2.56
325,2.57
326,2.57
327,2.62
328,2.52
329,2.61
330,2.5
331,2.54
332,2.56
333,2.63
334,2.59
335,2.62
336,2.61
337,2.51
338,2.56
339,2.58
340,2.56
341,2.63
342,2.61
343,2.5
344,2.53
345,2.55
346,2.62
347,2.59
348,2.59
349,2.54
350,2.55
351,2.56
352,2.58
353,2.62
354,2.62
355,2.53
356,2.51
357,2.57
358,2.59
359,2.64
360,2.63
361,2.61
362,2.59
363,2.5
364,2.58
365,2.57
366,2.64
367,2.62
368,2.54
369,2.56
370,2.55
371,2.52
372,2.59
373,2.56
374,2.6
375,2.53
376,2.53
377,2.58
378,2.58
379,2.61
380,2.62
381,2.6
382,2.52
383,2.54
384,2.53
385,2.6
386,2.55
387,2.69
388,2.62
389,2.55
390,2.54
391,2.59
392,2.58
393,2.6
394,2.52
395,2.6
396,2.54
397,2.55
398,2.59
399,2.58
400,2.63
401,2.57
402,2.57
403,2.58
404,2.58
405,2.65
406,2.69
407,2.69
408,2.51
409,2.61
410,2.58
411,2.6
412,2.63
413,2.62
414,2.62
415,2.53
416,2.52
417,2.55
418,2.58
419,2.6
420,2.6
421,2.59
422,2.5
423,2.51
424,2.57
425,2.61
426,2.56
427,2.55
428,2.58
429,2.5
430,2.52
431,2.63
432,2.65
433,2.62
434,2.5
435,2.53
436,2.53
437,2.58
438,2.61
439,2.63
440,2.59
441,2.6
442,2.49
443,2.52
444,2.5
445,2.59
446,2.6
447,2.58
448,2.54
449,2.5
450,2.52
451,2.58
452,2.62
453,2.59
454,2.66
455,2.59
456,2.53
457,2.52
458,2.66
459,2.61
460,2.64
461,2.61
462,2.48
463,2.54
464,2.58
465,2.61
466,2.59
467,2.58
468,2.57
469,2.54
470,2.53
471,2.57
472,2.59
473,2.6
474,2.61
475,2.67
476,2.51
477,2.52
478,2.64
479,2.55
480,2.58
481,2.66
482,2.63
483,2.51
484,2.52
485,2.56
486,2.63
487,2.57
488,2.61
489,2.51
490,2.55
491,2.58
492,2.67
493,2.63
494,2.59
495,2.63
496,2.48
497,2.52
498,2.58
499,2.69
500,2.52
501,2.6
502,2.5
503,2.54
504,2.52
505,2.57
506,2.56
507,2.59
508,2.62
509,2.51
510,2.51
511,2.53
512,2.61
513,2.61
514,2.67
515,2.63
516,2.51
517,2.53
518,2.57
519,2.58
520,2.6
521,2.6
522,2.49
523,2.51
524,2.58
525,2.6
526,2.64
527,2.51
528,2.66
529,2.49
530,2.53
531,2.56
532,2.56
533,2.56
534,2.57
535,2.48
536,2.52
537,2.53
538,2.57
539,2.53
540,2.55
541,2.48
542,2.52
543,2.52
544,2.53
545,2.54
546,2.59
547,2.55
548,2.5
549,2.59
550,2.52
551,2.53
552,2.56
553,2.55
554,2.6
555,2.49
556,2.54
557,2.53
558,2.53
559,2.58
560,2.52
561,2.5
562,2.51
563,2.53
564,2.54
565,2.56
566,2.55
567,2.49
568,2.54
569,2.56
570,2.57
571,2.56
572,2.56
573,2.53
574,2.49
575,2.53
576,2.57
577,2.54
578,2.58
579,2.57
580,2.5
581,2.52
582,2.52
583,2.54
584,2.52
585,2.52
586,2.48
587,2.51
588,2.51
589,2.56
590,2.53
591,2.51
592,2.55
593,2.49
594,2.51
595,2.51
596,2.59
597,2.54
598,2.55
599,2.59
600,2.56
601,2.52
602,2.54
603,2.54
604,2.52
605,2.55
606,2.52
607,2.53
608,2.52
609,2.56
610,2.53
611,2.55
612,2.57
613,2.54
614,2.53
615,2.57
616,2.56
617,2.62
618,2.65
619,2.54
620,2.49
621,2.51
622,2.56
623,2.52
624,2.63
625,2.48
626,2.52
627,2.52
628,2.57
629,2.56
630,2.65
631,2.49
632,2.49
633,2.55
634,2.53
635,2.59
636,2.64
637,2.6
638,2.53
639,2.52
640,2.52
641,2.56
642,2.57
643,2.56
644,2.5
645,2.52
646,2.55
647,2.52
648,2.6
649,2.61
650,2.5
651,2.51
652,2.54
653,2.54
654,2.58
655,2.65
656,2.57
657,2.5
658,2.52
659,2.56
660,2.53
661,2.57
662,2.7
663,2.51
664,2.52
665,2.55
666,2.54
667,2.6
668,2.64
669,2.51
670,2.54
671,2.53
672,2.57
673,2.57
674,2.57
675,2.5
676,2.52
677,2.55
678,2.54
679,2.56
680,2.56
681,2.51
682,2.5
683,2.54
684,2.55
685,2.58
686,2.61
687,2.52
688,2.53
689,2.53
690,2.57
691,2.54
692,2.56
693,2.56
694,2.51
695,2.52
696,2.54
697,2.67
698,2.56
699,2.64
700,2.54
701,2.56
702,2.57
703,2.52
704,2.54
705,2.65
706,2.5
707,2.53
708,2.54
709,2.53
710,2.52
711,2.66
712,2.56
713,2.51
714,2.55
715,2.55
716,2.52
717,2.55
718,2.52
719,2.52
720,2.54
721,2.53
722,2.57
723,2.53
724,2.53
725,2.64
726,2.54
727,2.52
728,2.56
729,2.55
730,2.58
731,2.52
732,2.55
733,2.54
734,2.54
735,2.53
736,2.6
737,2.53
738,2.61
739,2.51
740,2.52
741,2.54
742,2.57
743,2.52
744,2.64
745,2.7
746,2.52
747,2.5
748,2.51
749,2.52
750,2.56
751,2.53
752,2.55
753,2.62
754,2.5
755,2.48
756,2.53
757,2.55
758,2.57
759,2.54
760,2.62
761,2.7
