,0
0,2.57
1,2.57
2,2.57
3,2.33
4,2.53
5,2.55
6,2.53
7,2.47
8,2.45
9,2.53
10,2.6
11,2.66
12,2.54
13,2.64
14,2.56
15,2.5
16,2.55
17,2.45
18,2.54
19,2.56
20,2.64
21,2.5
22,2.58
23,2.54
24,2.65
25,2.53
26,2.36
27,2.52
28,2.53
29,2.58
30,2.31
31,2.55
32,2.53
33,2.59
34,2.57
35,2.44
36,2.55
37,2.51
38,2.52
39,2.45
40,2.55
41,2.54
42,2.55
43,2.56
44,2.57
45,2.55
46,2.54
47,2.54
48,2.58
49,2.55
50,2.53
51,2.43
52,2.56
53,2.64
54,2.56
55,2.57
56,2.49
57,2.54
58,2.61
59,2.57
60,2.56
61,2.42
62,2.54
63,2.54
64,2.37
65,2.35
66,2.51
67,2.46
68,2.56
69,2.55
70,2.57
71,2.56
72,2.57
73,2.5
74,2.58
75,2.61
76,2.64
77,2.57
78,2.54
79,2.6
80,2.49
81,2.56
82,2.42
83,2.56
84,2.62
85,2.53
86,2.6
87,2.55
88,2.63
89,2.59
90,2.59
91,2.56
92,2.57
93,2.57
94,2.58
95,2.58
96,2.51
97,2.55
98,2.63
99,2.6
100,2.56
101,2.54
102,2.57
103,2.59
104,2.63
105,2.58
106,2.57
107,2.59
108,2.61
109,2.62
110,2.59
111,2.56
112,2.57
113,2.58
114,2.58
115,2.62
116,2.58
117,2.6
118,2.58
119,2.61
120,2.58
121,2.59
122,2.58
123,2.59
124,2.62
125,2.58
126,2.63
127,2.54
128,2.58
129,2.58
130,2.57
131,2.57
132,2.55
133,2.61
134,2.58
135,2.67
136,2.58
137,2.61
138,2.57
139,2.62
140,2.57
141,2.54
142,2.56
143,2.58
144,2.58
145,2.54
146,2.57
147,2.55
148,2.59
149,2.58
150,2.57
151,2.54
152,2.57
153,2.58
154,2.6
155,2.57
156,2.53
157,2.58
158,2.58
159,2.59
160,2.55
161,2.55
162,2.57
163,2.56
164,2.59
165,2.48
166,2.56
167,2.57
168,2.56
169,2.57
170,2.61
171,2.57
172,2.57
173,2.57
174,2.57
175,2.57
176,2.61
177,2.53
178,2.61
179,2.56
180,2.54
181,2.57
182,2.57
183,2.51
184,2.43
185,2.64
186,2.58
187,2.56
188,2.52
189,2.58
190,2.55
191,2.54
192,2.57
193,2.58
194,2.57
195,2.63
196,2.56
197,2.55
198,2.58
199,2.57
200,2.54
201,2.57
202,2.56
203,2.56
204,2.56
205,2.55
206,2.56
207,2.56
208,2.51
209,2.55
210,2.46
211,2.55
212,2.53
213,2.33
214,2.54
215,2.57
216,2.46
217,2.46
218,2.32
219,2.54
220,2.64
221,2.54
222,2.56
223,2.59
224,2.59
225,2.46
226,2.34
227,2.58
228,2.62
229,2.67
230,2.56
231,2.59
232,2.6
233,2.58
234,2.49
235,2.54
236,2.59
237,2.57
238,2.54
239,2.57
240,2.57
241,2.58
242,2.56
243,2.54
244,2.52
245,2.54
246,2.57
247,2.35
248,2.59
249,2.56
250,2.54
251,2.56
252,2.51
253,2.54
254,2.56
255,2.56
256,2.54
257,2.57
258,2.55
259,2.58
260,2.57
261,2.58
262,2.52
263,2.58
264,2.58
265,2.69
266,2.57
267,2.58
268,2.59
269,2.59
270,2.57
271,2.56
272,2.57
273,2.58
274,2.57
275,2.57
276,2.58
277,2.57
278,2.57
279,2.56
280,2.58
281,2.55
282,2.58
283,2.59
284,2.71
285,2.62
286,2.53
287,2.62
288,2.6
289,2.65
290,2.57
291,2.58
292,2.58
293,2.58
294,2.6
295,2.57
296,2.58
297,2.61
298,2.63
299,2.59
300,2.57
301,2.56
302,2.57
303,2.64
304,2.6
