,0
0,2.7
1,2.74
2,2.77
3,2.73
4,2.75
5,2.71
6,2.76
7,2.78
8,2.75
9,2.74
10,2.74
11,2.71
12,2.69
13,2.72
14,2.74
15,2.7
16,2.71
17,2.72
18,2.75
19,2.74
20,2.71
21,2.72
22,2.72
23,2.75
24,2.77
25,2.71
26,2.72
27,2.71
28,2.76
29,2.77
30,2.72
31,2.73
32,2.72
33,2.78
34,2.73
35,2.72
36,2.72
37,2.77
38,2.72
39,2.73
40,2.72
41,2.72
42,2.77
43,2.71
44,2.72
45,2.72
46,2.71
47,2.72
48,2.72
49,2.73
50,2.73
51,2.73
52,2.72
53,2.7
54,2.7
55,2.71
56,2.75
57,2.74
58,2.72
59,2.71
60,2.72
61,2.72
62,2.75
63,2.72
64,2.75
65,2.73
66,2.7
67,2.76
68,2.72
69,2.74
70,2.72
71,2.74
72,2.74
73,2.73
74,2.74
75,2.69
76,2.73
77,2.75
78,2.72
79,2.73
80,2.6
81,2.68
82,2.69
83,2.71
84,2.71
85,2.71
86,2.71
87,2.73
88,2.73
89,2.71
90,2.73
91,2.72
92,2.76
93,2.75
94,2.72
95,2.75
96,2.72
97,2.71
98,2.75
99,2.74
100,2.72
101,2.75
102,2.71
103,2.73
104,2.77
105,2.72
106,2.71
107,2.72
108,2.71
109,2.76
110,2.77
111,2.73
112,2.71
113,2.71
114,2.71
115,2.75
116,2.76
117,2.72
118,2.73
119,2.71
120,2.71
121,2.76
122,2.76
123,2.72
124,2.74
125,2.71
126,2.75
127,2.75
128,2.73
129,2.73
130,2.72
131,2.72
132,2.76
133,2.75
134,2.73
135,2.73
136,2.72
137,2.73
138,2.75
139,2.76
140,2.75
141,2.73
142,2.71
143,2.71
144,2.73
145,2.75
146,2.74
147,2.74
148,2.72
149,2.71
150,2.73
151,2.76
152,2.73
153,2.72
154,2.73
155,2.71
156,2.75
157,2.73
158,2.72
159,2.72
160,2.69
161,2.75
162,2.76
163,2.73
164,2.72
165,2.71
166,2.72
167,2.72
168,2.75
169,2.74
170,2.73
171,2.73
172,2.71
173,2.73
174,2.75
175,2.74
176,2.74
177,2.73
178,2.7
179,2.75
180,2.74
181,2.74
182,2.73
183,2.72
184,2.69
185,2.72
186,2.76
187,2.71
188,2.72
189,2.72
190,2.73
191,2.72
192,2.73
193,2.72
194,2.72
195,2.68
196,2.72
197,2.77
198,2.73
199,2.72
200,2.71
201,2.71
202,2.74
203,2.75
204,2.73
205,2.73
206,2.72
207,2.72
208,2.74
209,2.78
210,2.73
211,2.72
212,2.71
213,2.73
214,2.74
215,2.75
216,2.73
217,2.71
218,2.71
219,2.72
220,2.74
221,2.75
222,2.73
223,2.71
224,2.72
225,2.74
226,2.73
227,2.73
228,2.73
229,2.71
230,2.72
231,2.73
232,2.74
233,2.73
234,2.73
235,2.68
236,2.74
237,2.75
238,2.73
239,2.73
240,2.73
241,2.72
242,2.71
243,2.76
244,2.73
245,2.74
246,2.69
247,2.7
248,2.75
249,2.74
250,2.72
251,2.71
252,2.71
253,2.74
254,2.72
255,2.73
256,2.65
257,2.7
258,2.67
259,2.71
260,2.71
261,2.72
262,2.7
263,2.68
264,2.67
265,2.74
266,2.68
267,2.68
268,2.7
269,2.71
270,2.72
271,2.72
272,2.73
273,2.71
274,2.7
275,2.73
276,2.73
277,2.71
278,2.72
279,2.71
280,2.71
281,2.74
282,2.72
283,2.74
284,2.72
285,2.71
286,2.74
287,2.72
288,2.73
289,2.73
290,2.72
291,2.71
292,2.75
293,2.72
294,2.74
295,2.73
296,2.74
297,2.76
298,2.73
299,2.74
300,2.73
301,2.74
302,2.75
303,2.74
304,2.71
305,2.73
306,2.72
307,2.71
308,2.73
309,2.74
310,2.75
311,2.72
312,2.68
313,2.7
314,2.72
315,2.72
316,2.72
317,2.67
318,2.7
319,2.74
320,2.72
321,2.74
322,2.73
323,2.75
324,2.75
325,2.73
326,2.73
327,2.72
328,2.71
329,2.75
330,2.73
331,2.72
332,2.73
333,2.74
334,2.73
335,2.69
336,2.72
337,2.71
338,2.72
339,2.74
340,2.72
341,2.69
342,2.75
343,2.72
344,2.72
345,2.72
346,2.68
347,2.75
348,2.72
349,2.74
350,2.71
351,2.71
352,2.68
353,2.75
354,2.71
355,2.71
356,2.73
357,2.71
358,2.69
359,2.74
360,2.71
361,2.72
362,2.72
363,2.69
364,2.75
365,2.69
366,2.71
367,2.71
368,2.71
369,2.69
370,2.75
371,2.71
372,2.73
373,2.7
374,2.67
375,2.74
376,2.71
377,2.69
378,2.71
379,2.74
380,2.72
381,2.72
382,2.62
383,2.71
384,2.71
385,2.72
386,2.7
387,2.71
388,2.71
389,2.66
390,2.63
391,2.68
392,2.67
393,2.68
394,2.7
395,2.64
396,2.67
397,2.73
398,2.71
399,2.68
400,2.69
401,2.67
402,2.72
403,2.7
404,2.7
405,2.7
406,2.72
407,2.71
408,2.7
409,2.68
410,2.7
411,2.69
412,2.7
413,2.71
414,2.72
415,2.73
416,2.71
417,2.71
418,2.72
419,2.72
420,2.73
421,2.72
422,2.71
423,2.71
424,2.73
425,2.74
426,2.72
427,2.72
428,2.69
429,2.71
430,2.71
431,2.72
432,2.71
433,2.71
434,2.7
435,2.71
436,2.72
437,2.7
438,2.69
439,2.67
440,2.71
441,2.71
442,2.71
443,2.71
444,2.71
445,2.7
446,2.7
447,2.75
448,2.7
449,2.68
450,2.68
451,2.69
452,2.73
453,2.71
454,2.7
455,2.71
456,2.71
457,2.73
458,2.73
459,2.71
460,2.71
461,2.71
462,2.69
463,2.73
464,2.63
465,2.73
466,2.72
467,2.7
468,2.71
469,2.71
470,2.73
471,2.72
472,2.72
473,2.72
474,2.72
475,2.71
476,2.72
477,2.71
478,2.71
479,2.72
480,2.67
481,2.7
482,2.73
483,2.73
484,2.72
485,2.73
486,2.68
487,2.7
488,2.73
489,2.73
490,2.66
491,2.74
492,2.71
493,2.74
494,2.73
495,2.7
496,2.68
497,2.69
498,2.72
499,2.73
500,2.71
501,2.71
502,2.7
503,2.72
504,2.75
505,2.71
506,2.71
507,2.67
508,2.72
509,2.74
510,2.72
511,2.71
512,2.7
513,2.71
514,2.73
515,2.75
516,2.72
517,2.71
518,2.7
519,2.75
520,2.76
521,2.73
522,2.7
523,2.71
524,2.67
525,2.75
526,2.74
527,2.73
528,2.72
529,2.71
530,2.73
531,2.74
532,2.74
533,2.71
534,2.7
535,2.69
536,2.7
537,2.75
538,2.75
539,2.71
540,2.73
541,2.72
542,2.73
543,2.76
544,2.73
545,2.7
546,2.68
547,2.7
548,2.74
549,2.75
550,2.72
551,2.7
552,2.68
553,2.73
554,2.74
555,2.75
556,2.72
557,2.71
558,2.72
559,2.74
560,2.75
561,2.73
562,2.71
563,2.71
564,2.72
565,2.76
566,2.74
567,2.72
568,2.71
569,2.71
570,2.74
571,2.75
572,2.72
573,2.7
574,2.7
575,2.75
576,2.76
577,2.73
578,2.71
579,2.71
580,2.72
581,2.75
582,2.75
583,2.72
584,2.71
585,2.71
586,2.74
587,2.77
588,2.73
589,2.72
590,2.69
591,2.71
592,2.75
593,2.76
594,2.73
595,2.71
596,2.7
597,2.7
598,2.75
599,2.75
600,2.72
601,2.7
602,2.69
603,2.71
604,2.76
605,2.74
606,2.7
607,2.71
608,2.69
609,2.72
610,2.74
611,2.74
612,2.64
613,2.67
614,2.74
615,2.75
616,2.72
617,2.71
618,2.68
619,2.68
620,2.74
621,2.75
622,2.72
623,2.71
624,2.71
625,2.7
626,2.69
627,2.76
628,2.73
629,2.72
630,2.69
631,2.68
632,2.71
633,2.72
634,2.71
635,2.72
636,2.7
637,2.69
638,2.71
639,2.75
640,2.72
641,2.69
642,2.68
643,2.69
644,2.74
645,2.74
646,2.74
647,2.69
648,2.68
649,2.71
650,2.74
651,2.74
652,2.72
653,2.64
654,2.66
