,0
0,2.58
1,2.59
2,2.59
3,2.47
4,2.55
5,2.55
6,2.49
7,2.58
8,2.57
9,2.57
10,2.58
11,2.59
12,2.6
13,2.6
14,2.59
15,2.59
16,2.59
17,2.59
18,2.59
19,2.58
20,2.58
21,2.59
22,2.59
23,2.59
24,2.59
25,2.59
26,2.59
27,2.59
28,2.59
29,2.58
30,2.58
31,2.33
32,2.56
33,2.58
34,2.59
35,2.58
36,2.59
37,2.59
38,2.59
39,2.57
40,2.58
41,2.58
42,2.59
43,2.59
44,2.59
45,2.6
46,2.6
47,2.6
48,2.59
49,2.6
50,2.59
51,2.59
52,2.59
53,2.59
54,2.57
55,2.42
56,2.56
57,2.56
58,2.58
59,2.58
60,2.58
61,2.58
62,2.58
63,2.58
64,2.58
65,2.42
66,2.52
67,2.57
68,2.58
69,2.58
70,2.58
71,2.58
72,2.58
73,2.59
74,2.58
75,2.58
76,2.59
77,2.6
78,2.6
79,2.59
80,2.59
81,2.59
82,2.59
83,2.59
84,2.59
85,2.59
86,2.45
87,2.55
88,2.58
89,2.59
90,2.58
91,2.58
92,2.57
93,2.58
94,2.58
95,2.58
96,2.59
97,2.58
98,2.59
99,2.59
100,2.59
101,2.58
102,2.58
103,2.58
104,2.58
105,2.58
106,2.59
107,2.59
108,2.59
109,2.59
110,2.59
111,2.58
112,2.59
113,2.59
114,2.58
115,2.59
116,2.59
117,2.6
118,2.59
119,2.59
120,2.59
121,2.59
122,2.59
123,2.59
124,2.59
125,2.59
126,2.6
127,2.6
128,2.59
129,2.59
130,2.58
131,2.58
132,2.58
133,2.59
134,2.59
135,2.58
136,2.59
137,2.57
138,2.58
139,2.58
140,2.58
141,2.59
142,2.58
143,2.58
144,2.58
145,2.57
146,2.57
147,2.55
148,2.57
149,2.58
150,2.58
151,2.56
152,2.57
153,2.57
154,2.58
155,2.57
156,2.58
157,2.58
158,2.58
159,2.58
160,2.58
161,2.58
162,2.57
163,2.58
164,2.58
165,2.57
166,2.58
167,2.31
168,2.31
169,2.47
170,2.58
171,2.58
172,2.58
173,2.58
174,2.58
175,2.58
176,2.58
177,2.54
178,2.33
179,2.48
180,2.58
181,2.58
182,2.58
183,2.58
184,2.58
185,2.58
186,2.58
