,0
0,2.63
1,2.7
2,2.53
3,2.54
4,2.55
5,2.7
6,2.62
7,2.61
8,2.62
9,2.55
10,2.54
11,2.63
12,2.59
13,2.61
14,2.54
15,2.54
16,2.54
17,2.69
18,2.6
19,2.64
20,2.54
21,2.55
22,2.65
23,2.73
24,2.59
25,2.54
26,2.54
27,2.55
28,2.65
29,2.66
30,2.59
31,2.54
32,2.55
33,2.65
34,2.67
35,2.61
36,2.54
37,2.55
38,2.56
39,2.54
40,2.54
41,2.63
42,2.54
43,2.54
44,2.55
45,2.54
46,2.66
47,2.65
48,2.56
49,2.55
50,2.54
51,2.71
52,2.59
53,2.54
54,2.54
55,2.55
56,2.54
57,2.58
58,2.63
59,2.61
60,2.54
61,2.55
62,2.56
63,2.65
64,2.6
65,2.63
66,2.54
67,2.54
68,2.56
69,2.63
70,2.61
71,2.53
72,2.54
73,2.6
74,2.64
75,2.61
76,2.62
77,2.61
78,2.54
79,2.64
80,2.54
81,2.59
82,2.55
83,2.54
84,2.54
85,2.64
86,2.6
87,2.54
88,2.54
89,2.54
90,2.62
91,2.55
92,2.61
93,2.54
94,2.54
95,2.71
96,2.58
97,2.55
98,2.56
99,2.55
100,2.65
101,2.58
102,2.58
103,2.54
104,2.54
105,2.56
106,2.64
107,2.59
108,2.61
109,2.54
110,2.54
111,2.57
112,2.57
113,2.62
114,2.53
115,2.54
116,2.54
117,2.62
118,2.58
119,2.53
120,2.54
121,2.54
122,2.54
123,2.55
124,2.54
125,2.64
126,2.58
127,2.6
128,2.54
129,2.6
130,2.6
131,2.54
132,2.55
133,2.54
134,2.65
135,2.61
136,2.57
137,2.54
138,2.54
139,2.61
140,2.64
141,2.61
142,2.54
143,2.55
144,2.54
145,2.55
146,2.63
147,2.54
148,2.57
149,2.54
150,2.55
151,2.58
152,2.6
153,2.54
154,2.54
155,2.59
156,2.62
157,2.65
158,2.55
159,2.54
160,2.54
161,2.55
162,2.63
163,2.61
164,2.62
165,2.54
166,2.54
167,2.54
168,2.71
169,2.53
170,2.62
171,2.53
172,2.54
173,2.54
174,2.64
175,2.63
176,2.53
177,2.54
178,2.54
179,2.54
180,2.62
181,2.61
182,2.61
183,2.54
184,2.54
185,2.71
186,2.54
187,2.56
188,2.57
189,2.54
190,2.54
191,2.66
192,2.65
193,2.55
194,2.54
195,2.54
196,2.54
197,2.54
198,2.62
199,2.71
200,2.65
201,2.54
202,2.56
203,2.55
204,2.65
205,2.6
206,2.54
207,2.54
208,2.53
209,2.68
210,2.53
211,2.53
212,2.54
213,2.53
214,2.54
215,2.54
216,2.61
217,2.56
218,2.57
219,2.53
220,2.55
221,2.53
222,2.59
223,2.58
224,2.61
225,2.57
226,2.56
227,2.63
228,2.58
229,2.58
230,2.53
231,2.54
232,2.53
233,2.59
234,2.53
235,2.61
236,2.53
237,2.55
238,2.54
239,2.54
240,2.54
241,2.53
242,2.53
243,2.59
244,2.54
245,2.56
246,2.64
247,2.6
248,2.55
249,2.6
250,2.56
251,2.53
252,2.67
253,2.56
254,2.56
255,2.53
256,2.54
257,2.54
258,2.68
259,2.61
260,2.54
261,2.53
262,2.53
263,2.55
264,2.68
265,2.53
266,2.54
267,2.54
268,2.55
269,2.53
270,2.67
271,2.53
272,2.53
273,2.57
274,2.56
275,2.53
276,2.61
277,2.57
278,2.62
279,2.65
280,2.59
281,2.55
282,2.62
283,2.53
284,2.54
285,2.57
286,2.57
287,2.6
288,2.54
289,2.57
290,2.53
291,2.57
292,2.54
293,2.61
294,2.56
295,2.53
296,2.55
297,2.53
298,2.53
299,2.54
300,2.53
301,2.58
302,2.6
303,2.55
304,2.53
305,2.55
306,2.53
307,2.55
308,2.55
309,2.63
310,2.53
311,2.61
312,2.53
313,2.55
314,2.54
315,2.65
316,2.6
317,2.55
318,2.54
319,2.55
320,2.54
321,2.59
322,2.61
323,2.53
324,2.54
325,2.53
326,2.54
327,2.56
328,2.56
329,2.54
330,2.53
331,2.54
332,2.64
333,2.55
334,2.55
335,2.53
336,2.54
337,2.53
338,2.71
339,2.53
340,2.54
341,2.53
342,2.57
343,2.54
344,2.54
345,2.58
346,2.53
347,2.63
348,2.53
349,2.53
350,2.59
351,2.53
352,2.59
353,2.54
354,2.57
355,2.62
356,2.53
357,2.62
358,2.57
359,2.55
360,2.54
361,2.67
362,2.53
363,2.56
364,2.6
365,2.53
366,2.54
367,2.63
368,2.54
369,2.65
370,2.58
371,2.56
372,2.53
373,2.66
374,2.62
375,2.59
376,2.53
377,2.53
378,2.55
379,2.55
380,2.62
381,2.55
382,2.61
383,2.53
384,2.53
385,2.53
386,2.56
387,2.64
388,2.58
389,2.54
390,2.53
391,2.55
392,2.53
393,2.63
394,2.63
395,2.55
396,2.53
397,2.53
398,2.54
399,2.54
400,2.6
401,2.53
402,2.59
403,2.56
404,2.57
405,2.54
406,2.61
407,2.53
408,2.58
409,2.53
410,2.61
411,2.54
412,2.59
413,2.56
414,2.6
415,2.53
416,2.65
417,2.53
418,2.59
419,2.59
420,2.59
421,2.52
422,2.59
423,2.56
424,2.57
425,2.53
426,2.63
427,2.63
428,2.52
429,2.56
430,2.54
431,2.52
432,2.54
433,2.6
434,2.54
435,2.53
436,2.53
437,2.61
438,2.54
439,2.57
440,2.53
441,2.61
442,2.53
443,2.61
444,2.53
445,2.52
446,2.59
447,2.54
448,2.53
449,2.61
450,2.54
451,2.61
452,2.53
453,2.53
454,2.53
455,2.53
456,2.56
457,2.54
458,2.61
459,2.53
460,2.53
461,2.55
462,2.58
463,2.53
464,2.64
465,2.55
466,2.59
467,2.53
468,2.58
469,2.54
470,2.53
471,2.69
472,2.52
473,2.57
474,2.63
475,2.56
476,2.57
477,2.55
478,2.64
479,2.53
480,2.53
481,2.53
482,2.53
483,2.53
484,2.67
485,2.55
486,2.64
487,2.59
488,2.58
489,2.57
490,2.56
491,2.63
492,2.53
493,2.59
494,2.73
495,2.57
496,2.61
497,2.59
498,2.62
499,2.51
500,2.58
501,2.52
502,2.55
503,2.56
504,2.52
505,2.6
506,2.57
507,2.51
508,2.5
509,2.54
510,2.5
511,2.59
512,2.56
513,2.48
514,2.51
515,2.55
516,2.5
517,2.56
518,2.47
519,2.53
520,2.54
521,2.54
522,2.51
523,2.48
524,2.48
525,2.48
526,2.48
527,2.48
528,2.48
529,2.48
530,2.48
531,2.48
532,2.48
533,2.49
534,2.53
535,2.5
536,2.49
537,2.49
538,2.49
539,2.5
540,2.51
541,2.5
542,2.57
543,2.52
544,2.5
545,2.52
546,2.5
547,2.51
548,2.55
549,2.54
550,2.57
551,2.5
552,2.53
553,2.52
554,2.58
555,2.5
556,2.56
557,2.51
558,2.52
559,2.53
560,2.53
561,2.57
562,2.5
563,2.52
564,2.5
565,2.51
566,2.53
567,2.5
568,2.54
569,2.49
570,2.55
571,2.5
572,2.49
573,2.52
574,2.5
575,2.61
576,2.53
577,2.51
578,2.49
579,2.54
580,2.52
581,2.63
582,2.61
583,2.54
584,2.5
585,2.52
586,2.51
587,2.51
588,2.62
589,2.49
590,2.49
591,2.51
592,2.51
593,2.67
594,2.5
595,2.49
596,2.53
597,2.55
598,2.51
599,2.56
600,2.49
601,2.56
602,2.53
603,2.54
604,2.52
605,2.56
606,2.5
607,2.51
608,2.5
609,2.5
610,2.6
611,2.71
612,2.56
613,2.51
614,2.5
615,2.51
616,2.53
617,2.63
618,2.56
619,2.56
620,2.5
621,2.51
622,2.49
623,2.65
624,2.59
625,2.51
626,2.48
627,2.5
628,2.49
629,2.61
630,2.5
631,2.55
632,2.48
633,2.52
634,2.51
635,2.57
636,2.54
637,2.5
638,2.49
639,2.5
640,2.52
641,2.5
642,2.57
643,2.58
644,2.53
645,2.48
646,2.52
647,2.5
648,2.57
649,2.56
650,2.6
651,2.5
652,2.5
653,2.51
654,2.56
655,2.59
656,2.54
657,2.53
658,2.48
659,2.49
660,2.5
661,2.5
662,2.59
663,2.49
664,2.5
665,2.48
666,2.51
667,2.49
668,2.55
669,2.55
670,2.52
671,2.47
672,2.49
673,2.48
674,2.51
675,2.51
676,2.5
677,2.49
678,2.51
679,2.53
680,2.66
681,2.5
682,2.6
683,2.52
684,2.53
685,2.59
686,2.63
687,2.5
688,2.51
689,2.5
690,2.5
691,2.61
692,2.59
693,2.57
694,2.5
695,2.5
696,2.51
697,2.5
698,2.62
699,2.59
700,2.55
701,2.48
702,2.48
703,2.5
704,2.49
705,2.6
706,2.6
707,2.5
708,2.5
709,2.5
710,2.51
711,2.57
712,2.58
713,2.55
714,2.55
715,2.49
716,2.53
717,2.5
718,2.5
719,2.6
720,2.53
721,2.5
722,2.5
723,2.51
724,2.51
725,2.57
726,2.55
727,2.54
728,2.5
729,2.52
730,2.53
731,2.51
732,2.58
733,2.51
734,2.5
735,2.57
736,2.51
737,2.54
738,2.51
739,2.54
740,2.5
741,2.5
742,2.5
743,2.52
744,2.52
745,2.51
746,2.61
747,2.5
748,2.5
749,2.51
750,2.55
751,2.54
