,0
0,2.74
1,2.74
2,2.74
3,2.75
4,2.76
5,2.76
6,2.76
7,2.74
8,2.74
9,2.73
10,2.73
11,2.74
12,2.75
13,2.75
14,2.75
15,2.74
16,2.74
17,2.74
18,2.74
19,2.74
20,2.74
21,2.74
22,2.74
23,2.71
24,2.71
25,2.71
26,2.72
27,2.73
28,2.75
29,2.76
30,2.75
31,2.71
32,2.7
33,2.71
34,2.71
35,2.72
36,2.73
37,2.74
38,2.74
39,2.74
40,2.73
41,2.73
42,2.73
43,2.73
44,2.73
45,2.74
46,2.74
47,2.74
48,2.7
49,2.7
50,2.7
51,2.7
52,2.71
53,2.75
54,2.77
55,2.77
56,2.76
57,2.75
58,2.74
59,2.75
60,2.75
61,2.75
62,2.76
63,2.76
64,2.76
65,2.75
66,2.75
67,2.75
68,2.75
69,2.75
70,2.75
71,2.75
72,2.75
73,2.7
74,2.71
75,2.71
76,2.71
77,2.71
78,2.74
79,2.75
80,2.76
81,2.73
82,2.71
83,2.7
84,2.71
85,2.71
86,2.73
87,2.74
88,2.74
89,2.74
90,2.73
91,2.72
92,2.72
93,2.72
94,2.73
95,2.73
96,2.73
97,2.73
98,2.7
99,2.7
100,2.7
101,2.71
102,2.72
103,2.72
104,2.73
105,2.71
106,2.7
107,2.71
108,2.7
109,2.71
110,2.71
111,2.72
112,2.72
113,2.72
114,2.71
115,2.71
116,2.71
117,2.71
118,2.71
119,2.72
120,2.72
121,2.72
122,2.72
123,2.72
124,2.72
125,2.72
126,2.71
127,2.72
128,2.72
129,2.72
130,2.72
131,2.72
132,2.72
133,2.72
134,2.72
135,2.72
136,2.72
137,2.72
138,2.72
139,2.71
140,2.72
141,2.72
142,2.72
143,2.72
144,2.72
145,2.72
146,2.72
147,2.72
148,2.72
149,2.72
150,2.72
151,2.72
152,2.72
153,2.72
154,2.72
155,2.72
156,2.72
157,2.72
158,2.72
159,2.73
160,2.73
161,2.73
162,2.72
163,2.72
164,2.72
165,2.72
166,2.72
167,2.73
168,2.73
169,2.73
170,2.72
171,2.72
172,2.72
173,2.72
174,2.73
175,2.73
176,2.73
177,2.67
178,2.67
179,2.69
180,2.71
181,2.73
182,2.77
183,2.78
184,2.78
185,2.77
186,2.77
187,2.75
188,2.75
189,2.76
190,2.76
191,2.76
192,2.76
193,2.76
194,2.76
195,2.76
196,2.76
197,2.76
198,2.76
199,2.76
200,2.76
201,2.76
202,2.75
203,2.75
204,2.75
205,2.75
206,2.74
207,2.75
208,2.75
209,2.76
210,2.76
211,2.75
212,2.75
213,2.75
214,2.75
215,2.75
216,2.76
217,2.74
218,2.71
219,2.71
220,2.71
221,2.71
222,2.73
223,2.74
224,2.75
225,2.75
226,2.73
227,2.73
228,2.73
229,2.73
230,2.73
231,2.73
232,2.74
233,2.74
234,2.71
235,2.67
236,2.69
237,2.7
238,2.71
239,2.76
240,2.77
241,2.78
242,2.77
243,2.74
244,2.74
245,2.73
246,2.73
247,2.74
248,2.75
249,2.75
250,2.75
251,2.75
252,2.74
253,2.74
254,2.74
255,2.74
256,2.74
257,2.75
258,2.72
259,2.7
260,2.71
261,2.71
262,2.71
263,2.73
264,2.74
265,2.74
266,2.73
267,2.72
268,2.72
269,2.72
270,2.72
271,2.72
272,2.73
273,2.73
274,2.72
275,2.72
276,2.72
277,2.72
278,2.72
279,2.72
280,2.73
281,2.73
282,2.72
283,2.71
284,2.71
285,2.71
286,2.71
287,2.72
288,2.73
289,2.74
290,2.74
291,2.73
292,2.73
293,2.72
294,2.73
295,2.72
296,2.73
297,2.73
298,2.73
299,2.73
300,2.73
301,2.73
302,2.73
303,2.73
304,2.73
305,2.73
306,2.73
307,2.72
308,2.72
309,2.72
310,2.72
311,2.72
312,2.73
313,2.72
314,2.73
315,2.72
316,2.72
317,2.72
318,2.72
319,2.72
320,2.72
321,2.73
322,2.72
323,2.72
324,2.72
325,2.72
326,2.72
327,2.72
328,2.72
329,2.72
330,2.72
331,2.72
332,2.72
333,2.72
334,2.72
335,2.72
336,2.72
337,2.72
338,2.72
339,2.72
340,2.72
341,2.72
342,2.72
343,2.72
344,2.72
345,2.72
346,2.72
347,2.72
348,2.72
349,2.72
350,2.72
351,2.73
352,2.72
353,2.72
354,2.69
355,2.7
356,2.7
357,2.7
358,2.72
359,2.73
360,2.74
361,2.74
362,2.7
363,2.67
364,2.68
365,2.7
366,2.71
367,2.72
368,2.76
369,2.77
370,2.77
371,2.75
372,2.75
373,2.75
374,2.74
375,2.75
376,2.75
377,2.75
378,2.76
379,2.76
380,2.75
381,2.75
382,2.75
383,2.75
384,2.75
385,2.75
386,2.75
387,2.75
388,2.75
389,2.75
390,2.75
391,2.75
392,2.75
393,2.75
394,2.75
395,2.76
396,2.71
397,2.7
398,2.7
399,2.71
400,2.71
401,2.71
402,2.72
403,2.72
404,2.72
405,2.7
406,2.71
407,2.71
408,2.71
409,2.71
410,2.71
411,2.71
412,2.71
413,2.71
414,2.71
415,2.71
416,2.71
417,2.71
418,2.72
419,2.72
420,2.72
421,2.72
422,2.72
423,2.72
424,2.72
425,2.72
426,2.73
427,2.73
428,2.72
429,2.72
430,2.72
431,2.72
432,2.72
433,2.74
434,2.75
435,2.74
436,2.74
437,2.73
438,2.73
439,2.74
440,2.74
441,2.74
442,2.73
443,2.72
444,2.71
445,2.72
446,2.72
447,2.72
448,2.72
449,2.7
450,2.7
451,2.7
452,2.7
453,2.7
454,2.7
455,2.71
456,2.71
457,2.71
458,2.71
459,2.71
460,2.71
461,2.71
462,2.71
463,2.72
464,2.73
465,2.72
466,2.71
467,2.71
468,2.72
469,2.72
470,2.73
471,2.74
472,2.74
473,2.75
474,2.75
475,2.73
476,2.73
477,2.72
478,2.72
479,2.73
480,2.72
481,2.73
482,2.73
483,2.72
484,2.72
485,2.72
486,2.72
487,2.73
488,2.73
489,2.73
490,2.72
491,2.72
492,2.71
493,2.72
494,2.72
495,2.72
496,2.72
497,2.72
498,2.72
499,2.72
500,2.72
501,2.7
502,2.7
503,2.7
504,2.7
505,2.71
506,2.71
507,2.71
508,2.71
509,2.71
510,2.71
511,2.71
512,2.71
513,2.71
514,2.71
515,2.71
516,2.71
517,2.7
518,2.7
519,2.7
520,2.7
521,2.7
522,2.71
523,2.72
524,2.73
525,2.73
526,2.73
527,2.73
528,2.73
529,2.73
530,2.73
531,2.73
532,2.74
533,2.74
534,2.74
535,2.74
536,2.74
537,2.73
538,2.73
539,2.73
540,2.74
541,2.74
542,2.74
543,2.73
544,2.73
545,2.73
546,2.73
547,2.73
548,2.73
549,2.73
550,2.73
551,2.72
552,2.72
553,2.72
554,2.72
555,2.72
556,2.72
557,2.72
558,2.73
559,2.73
560,2.73
561,2.73
562,2.73
563,2.73
564,2.73
565,2.73
566,2.73
567,2.73
568,2.67
569,2.67
570,2.68
571,2.68
572,2.71
573,2.75
574,2.76
575,2.78
576,2.78
577,2.78
578,2.77
579,2.77
580,2.77
581,2.77
582,2.77
583,2.77
584,2.77
585,2.77
586,2.74
587,2.73
588,2.73
589,2.73
590,2.73
591,2.74
592,2.76
593,2.76
594,2.76
595,2.76
596,2.75
597,2.76
598,2.76
599,2.76
600,2.76
601,2.76
602,2.7
603,2.7
604,2.71
605,2.71
606,2.71
607,2.73
608,2.75
609,2.76
610,2.76
611,2.75
612,2.73
613,2.73
614,2.73
615,2.73
616,2.73
617,2.74
618,2.74
619,2.74
620,2.74
621,2.73
622,2.73
623,2.73
624,2.73
625,2.73
626,2.74
627,2.74
628,2.74
629,2.73
630,2.73
631,2.73
632,2.73
633,2.73
634,2.73
635,2.73
636,2.74
637,2.73
638,2.74
639,2.73
640,2.73
641,2.73
642,2.73
643,2.73
644,2.74
645,2.74
646,2.73
647,2.73
648,2.73
649,2.73
650,2.73
651,2.74
652,2.74
653,2.74
654,2.74
655,2.74
656,2.74
657,2.74
658,2.74
659,2.74
660,2.74
661,2.74
662,2.74
663,2.74
664,2.74
665,2.74
666,2.74
667,2.74
668,2.74
669,2.74
670,2.74
671,2.74
672,2.74
673,2.74
674,2.74
675,2.74
676,2.74
677,2.74
678,2.75
679,2.75
680,2.74
681,2.67
682,2.68
683,2.68
684,2.68
685,2.69
686,2.72
687,2.72
688,2.72
689,2.72
690,2.72
691,2.72
692,2.72
693,2.73
694,2.75
695,2.76
696,2.73
697,2.73
698,2.73
699,2.73
700,2.73
701,2.74
702,2.75
703,2.76
704,2.76
705,2.76
706,2.75
707,2.75
708,2.75
709,2.75
710,2.75
711,2.75
712,2.75
713,2.75
714,2.75
715,2.75
716,2.75
717,2.75
718,2.75
719,2.75
720,2.75
721,2.75
722,2.75
723,2.75
724,2.74
725,2.74
726,2.74
727,2.74
728,2.74
729,2.74
730,2.74
731,2.74
732,2.74
733,2.74
734,2.74
735,2.74
736,2.75
737,2.75
738,2.75
739,2.75
740,2.74
741,2.74
742,2.74
743,2.75
744,2.75
745,2.75
746,2.75
747,2.75
748,2.75
749,2.75
750,2.75
751,2.75
752,2.75
753,2.75
754,2.75
755,2.75
756,2.75
