,0
0,2.51
1,2.53
2,2.54
3,2.54
4,2.52
5,2.51
6,2.45
7,2.49
8,2.5
9,2.5
10,2.5
11,2.51
12,2.5
13,2.49
14,2.47
15,2.45
16,2.49
17,2.39
18,2.37
19,2.44
20,2.47
21,2.49
22,2.49
23,2.5
24,2.51
25,2.52
26,2.49
27,2.49
28,2.5
29,2.45
30,2.48
31,2.48
32,2.49
33,2.5
34,2.49
35,2.49
36,2.46
37,2.44
38,2.39
39,2.4
40,2.45
41,2.46
42,2.47
43,2.48
44,2.46
45,2.44
46,2.46
47,2.41
48,2.44
49,2.44
50,2.44
51,2.45
52,2.45
53,2.47
54,2.49
55,2.49
56,2.48
57,2.51
58,2.52
59,2.52
60,2.52
61,2.5
62,2.49
63,2.47
64,2.5
65,2.5
66,2.51
67,2.5
68,2.51
69,2.52
70,2.5
71,2.5
72,2.43
73,2.43
74,2.47
75,2.49
76,2.5
77,2.51
78,2.5
79,2.47
80,2.45
81,2.43
82,2.44
83,2.45
84,2.43
85,2.47
86,2.47
87,2.48
88,2.5
89,2.5
90,2.49
91,2.4
92,2.4
93,2.49
94,2.52
95,2.49
96,2.45
97,2.45
98,2.47
99,2.47
100,2.49
101,2.49
102,2.5
103,2.5
104,2.5
105,2.45
106,2.46
107,2.43
108,2.46
109,2.48
110,2.49
111,2.5
112,2.5
113,2.48
114,2.46
115,2.45
116,2.45
117,2.45
118,2.45
119,2.43
120,2.47
121,2.49
122,2.5
123,2.5
124,2.48
125,2.44
126,2.41
127,2.45
128,2.45
129,2.45
130,2.46
131,2.46
132,2.46
133,2.46
134,2.47
135,2.45
136,2.45
137,2.46
138,2.45
139,2.46
140,2.45
141,2.45
142,2.48
143,2.47
144,2.48
145,2.48
146,2.49
147,2.49
148,2.5
149,2.51
150,2.51
151,2.5
152,2.52
153,2.52
154,2.5
155,2.5
156,2.5
157,2.5
158,2.48
159,2.44
160,2.42
161,2.45
162,2.46
163,2.45
164,2.45
165,2.41
166,2.46
167,2.46
168,2.49
169,2.49
170,2.48
171,2.5
172,2.48
173,2.49
174,2.5
175,2.51
176,2.44
177,2.46
178,2.48
179,2.5
180,2.49
181,2.47
182,2.46
183,2.45
184,2.45
185,2.44
186,2.45
187,2.44
188,2.45
189,2.45
190,2.47
191,2.47
192,2.46
193,2.46
194,2.45
195,2.46
196,2.46
197,2.48
198,2.45
199,2.46
200,2.46
201,2.47
202,2.48
203,2.49
204,2.5
205,2.5
206,2.48
207,2.5
208,2.45
209,2.45
210,2.45
211,2.45
212,2.48
213,2.48
214,2.48
215,2.48
216,2.46
217,2.45
218,2.45
219,2.46
220,2.46
221,2.47
222,2.46
223,2.46
224,2.44
225,2.47
226,2.48
227,2.48
228,2.49
229,2.49
230,2.5
231,2.46
232,2.45
233,2.45
234,2.45
235,2.47
236,2.48
237,2.49
238,2.49
239,2.49
240,2.5
241,2.47
242,2.44
243,2.47
244,2.47
245,2.41
246,2.45
247,2.43
248,2.48
249,2.49
250,2.5
251,2.5
252,2.5
253,2.47
254,2.45
255,2.44
256,2.46
257,2.45
258,2.45
259,2.47
260,2.48
261,2.48
262,2.48
263,2.48
264,2.48
265,2.47
266,2.46
267,2.45
268,2.46
269,2.45
270,2.45
271,2.43
272,2.47
273,2.47
274,2.47
275,2.47
276,2.48
277,2.45
278,2.45
279,2.46
280,2.47
281,2.44
