,0
0,2.54
1,2.53
2,2.59
3,2.58
4,2.52
5,2.54
6,2.59
7,2.53
8,2.6
9,2.57
10,2.53
11,2.53
12,2.59
13,2.54
14,2.59
15,2.53
16,2.55
17,2.53
18,2.55
19,2.53
20,2.58
21,2.53
22,2.53
23,2.57
24,2.58
25,2.56
26,2.53
27,2.53
28,2.53
29,2.54
30,2.53
31,2.54
32,2.56
33,2.53
34,2.53
35,2.52
36,2.53
37,2.58
38,2.55
39,2.52
40,2.53
41,2.53
42,2.57
43,2.54
44,2.52
45,2.55
46,2.63
47,2.52
48,2.57
49,2.54
50,2.52
51,2.6
52,2.64
53,2.53
54,2.56
55,2.52
56,2.52
57,2.54
58,2.52
59,2.56
60,2.53
61,2.53
62,2.52
63,2.6
64,2.53
65,2.59
66,2.54
67,2.52
68,2.55
69,2.52
70,2.52
71,2.58
72,2.54
73,2.52
74,2.59
75,2.56
76,2.52
77,2.54
78,2.52
79,2.52
80,2.53
81,2.64
82,2.53
83,2.58
84,2.52
85,2.52
86,2.58
87,2.54
88,2.52
89,2.56
90,2.52
91,2.52
92,2.52
93,2.53
94,2.52
95,2.57
96,2.52
97,2.55
98,2.53
99,2.53
100,2.58
101,2.52
102,2.52
103,2.55
104,2.55
105,2.52
106,2.52
107,2.52
108,2.52
109,2.54
110,2.54
111,2.52
112,2.52
113,2.52
114,2.52
115,2.52
116,2.56
117,2.52
118,2.52
119,2.55
120,2.52
121,2.54
122,2.53
123,2.53
124,2.57
125,2.54
126,2.53
127,2.52
128,2.52
129,2.6
130,2.53
131,2.52
132,2.53
133,2.52
134,2.53
135,2.55
136,2.52
137,2.53
138,2.56
139,2.52
140,2.59
141,2.54
142,2.53
143,2.53
144,2.52
145,2.59
146,2.52
147,2.52
148,2.52
149,2.52
150,2.58
151,2.55
152,2.52
153,2.52
154,2.52
155,2.59
156,2.52
157,2.52
158,2.52
159,2.54
160,2.53
161,2.57
162,2.54
163,2.52
164,2.55
165,2.52
166,2.52
167,2.54
168,2.52
169,2.54
170,2.52
171,2.52
172,2.55
173,2.54
174,2.53
175,2.54
176,2.52
177,2.52
178,2.52
179,2.52
180,2.56
181,2.54
182,2.52
183,2.52
184,2.53
185,2.53
186,2.52
187,2.52
188,2.6
189,2.52
190,2.52
191,2.56
192,2.52
193,2.56
194,2.52
195,2.52
196,2.53
197,2.52
198,2.55
199,2.52
200,2.52
201,2.56
202,2.52
203,2.58
204,2.56
205,2.52
206,2.54
207,2.55
208,2.52
209,2.55
210,2.52
211,2.53
212,2.53
213,2.55
214,2.53
215,2.52
216,2.52
217,2.52
218,2.52
219,2.57
220,2.52
221,2.56
222,2.53
223,2.52
224,2.53
225,2.52
226,2.53
227,2.6
228,2.52
229,2.52
230,2.54
231,2.53
232,2.52
233,2.52
234,2.52
235,2.52
236,2.53
237,2.52
238,2.56
239,2.56
240,2.54
241,2.51
242,2.52
243,2.53
244,2.51
245,2.58
246,2.54
247,2.51
248,2.52
249,2.52
250,2.53
251,2.56
252,2.52
253,2.52
254,2.54
255,2.55
256,2.52
257,2.56
258,2.52
259,2.52
260,2.52
261,2.55
262,2.52
263,2.57
264,2.53
265,2.52
266,2.53
267,2.52
268,2.52
269,2.52
270,2.52
271,2.54
272,2.53
273,2.52
274,2.52
275,2.53
276,2.55
277,2.52
278,2.52
279,2.52
280,2.52
281,2.58
282,2.52
283,2.52
284,2.52
285,2.53
286,2.52
287,2.58
288,2.52
289,2.52
290,2.54
291,2.52
292,2.52
293,2.56
294,2.52
295,2.53
296,2.52
297,2.51
298,2.52
299,2.59
300,2.52
301,2.52
302,2.53
303,2.56
304,2.51
305,2.58
306,2.51
307,2.51
308,2.52
309,2.52
310,2.51
311,2.54
312,2.51
313,2.51
314,2.52
315,2.52
316,2.54
317,2.54
318,2.51
319,2.51
320,2.52
321,2.51
322,2.51
323,2.54
324,2.51
325,2.52
326,2.53
327,2.51
328,2.51
329,2.57
330,2.54
331,2.52
332,2.54
333,2.63
334,2.61
335,2.55
336,2.51
337,2.64
338,2.66
339,2.53
340,2.57
341,2.51
342,2.59
343,2.58
344,2.52
345,2.54
346,2.52
347,2.55
348,2.53
349,2.51
350,2.56
351,2.56
352,2.52
353,2.52
354,2.52
355,2.53
356,2.55
357,2.51
358,2.51
359,2.56
360,2.51
361,2.5
362,2.51
363,2.51
364,2.51
365,2.56
366,2.51
367,2.5
368,2.54
369,2.51
370,2.51
371,2.56
372,2.6
373,2.56
374,2.55
375,2.51
376,2.51
377,2.51
378,2.52
379,2.6
380,2.51
381,2.51
382,2.55
383,2.51
384,2.51
385,2.55
386,2.51
387,2.53
388,2.53
389,2.51
390,2.53
391,2.51
392,2.51
393,2.54
394,2.51
395,2.51
396,2.57
397,2.51
398,2.51
399,2.53
400,2.51
401,2.51
402,2.56
403,2.51
404,2.53
405,2.54
406,2.51
407,2.51
408,2.56
409,2.51
410,2.54
411,2.52
412,2.51
413,2.57
414,2.51
415,2.51
416,2.53
417,2.53
418,2.51
419,2.57
420,2.51
421,2.51
422,2.54
423,2.54
424,2.51
425,2.53
426,2.51
427,2.51
428,2.53
429,2.54
430,2.52
431,2.53
432,2.51
433,2.51
434,2.54
435,2.52
436,2.52
437,2.52
438,2.51
439,2.51
440,2.51
441,2.53
442,2.51
443,2.53
444,2.51
445,2.51
446,2.56
447,2.51
448,2.51
449,2.55
450,2.51
451,2.53
452,2.55
453,2.51
454,2.55
455,2.52
456,2.52
457,2.54
458,2.59
459,2.51
460,2.52
461,2.52
462,2.52
463,2.52
464,2.55
465,2.51
466,2.53
467,2.53
468,2.51
469,2.54
470,2.54
471,2.51
472,2.58
473,2.51
474,2.52
475,2.54
476,2.58
477,2.51
478,2.61
479,2.51
480,2.56
481,2.56
482,2.51
483,2.51
484,2.51
485,2.51
486,2.54
487,2.52
488,2.51
489,2.51
490,2.51
491,2.51
492,2.52
493,2.52
494,2.55
495,2.51
496,2.58
497,2.53
498,2.51
499,2.53
500,2.52
501,2.52
502,2.57
503,2.51
504,2.51
505,2.52
506,2.59
507,2.51
508,2.54
509,2.51
510,2.51
511,2.53
512,2.51
513,2.59
514,2.55
515,2.51
516,2.52
517,2.52
518,2.51
519,2.51
520,2.57
521,2.6
522,2.51
523,2.54
524,2.51
525,2.51
526,2.56
527,2.51
528,2.51
529,2.52
530,2.52
531,2.51
532,2.54
533,2.51
534,2.52
535,2.51
536,2.54
537,2.55
538,2.51
539,2.51
540,2.57
541,2.51
542,2.5
543,2.57
544,2.51
545,2.5
546,2.52
547,2.51
548,2.52
549,2.56
550,2.51
551,2.51
552,2.54
553,2.5
554,2.5
555,2.52
556,2.51
557,2.5
558,2.6
559,2.51
560,2.51
561,2.57
562,2.5
563,2.5
564,2.5
565,2.5
566,2.51
567,2.51
568,2.54
569,2.56
570,2.51
571,2.51
572,2.57
573,2.56
574,2.5
575,2.54
576,2.52
577,2.58
578,2.53
579,2.52
580,2.52
581,2.51
582,2.59
583,2.51
584,2.51
585,2.52
586,2.5
587,2.52
588,2.52
589,2.52
590,2.52
591,2.52
592,2.52
593,2.51
594,2.51
595,2.53
596,2.51
597,2.53
598,2.55
599,2.51
600,2.63
601,2.51
602,2.53
603,2.54
604,2.51
605,2.59
606,2.51
607,2.52
608,2.55
609,2.52
610,2.56
611,2.51
612,2.52
613,2.53
614,2.57
615,2.51
616,2.51
617,2.53
618,2.51
619,2.57
620,2.51
621,2.51
622,2.52
623,2.52
624,2.56
625,2.52
626,2.51
627,2.52
628,2.52
629,2.51
630,2.64
631,2.51
632,2.52
633,2.52
634,2.51
635,2.51
636,2.56
637,2.51
638,2.53
639,2.51
640,2.52
641,2.56
642,2.51
643,2.51
644,2.52
645,2.54
646,2.51
647,2.54
648,2.51
649,2.52
650,2.52
651,2.53
652,2.51
653,2.56
654,2.51
655,2.51
656,2.55
657,2.53
658,2.51
659,2.56
660,2.51
661,2.51
662,2.52
663,2.55
664,2.53
665,2.54
666,2.58
667,2.51
668,2.51
669,2.53
670,2.51
671,2.5
672,2.57
673,2.51
