,0
0,2.38
1,2.4
2,2.39
3,2.4
4,2.5
5,2.51
6,2.5
7,2.49
8,2.49
9,2.5
10,2.33
11,2.37
12,2.39
13,2.38
14,2.4
15,2.5
16,2.5
17,2.53
18,2.52
19,2.46
20,2.53
21,2.33
22,2.33
23,2.36
24,2.34
25,2.41
26,2.49
27,2.5
28,2.51
29,2.51
30,2.52
31,2.5
32,2.33
33,2.37
34,2.37
35,2.34
36,2.43
37,2.47
38,2.52
39,2.49
40,2.52
41,2.52
42,2.52
43,2.37
44,2.38
45,2.39
46,2.34
47,2.48
48,2.5
49,2.49
50,2.49
51,2.49
52,2.5
53,2.47
54,2.29
55,2.3
56,2.45
57,2.5
58,2.49
59,2.5
60,2.52
61,2.5
62,2.51
63,2.52
64,2.35
65,2.37
66,2.39
67,2.38
68,2.42
69,2.48
70,2.53
71,2.5
72,2.51
73,2.53
74,2.47
75,2.52
76,2.45
77,2.5
78,2.48
79,2.48
80,2.5
81,2.53
82,2.53
83,2.52
84,2.49
85,2.5
86,2.34
87,2.33
88,2.36
89,2.37
90,2.37
91,2.41
92,2.43
93,2.5
94,2.5
95,2.51
96,2.5
97,2.5
98,2.51
99,2.49
100,2.48
101,2.41
102,2.48
103,2.47
104,2.48
105,2.5
106,2.51
107,2.52
108,2.52
109,2.5
110,2.51
111,2.35
112,2.33
113,2.39
114,2.38
115,2.41
116,2.4
117,2.49
118,2.5
119,2.51
120,2.51
121,2.51
122,2.48
123,2.38
124,2.38
125,2.37
126,2.36
127,2.46
128,2.51
129,2.51
130,2.48
131,2.46
132,2.52
133,2.53
134,2.49
135,2.51
136,2.48
137,2.44
138,2.37
139,2.49
140,2.5
141,2.51
142,2.51
143,2.52
144,2.49
145,2.41
146,2.5
147,2.48
148,2.36
149,2.4
150,2.44
151,2.48
152,2.5
153,2.51
154,2.51
155,2.52
156,2.5
157,2.52
158,2.51
159,2.39
160,2.38
161,2.4
162,2.47
163,2.49
164,2.5
165,2.5
166,2.5
167,2.52
168,2.45
169,2.41
170,2.45
171,2.43
172,2.4
173,2.41
174,2.5
175,2.5
176,2.51
177,2.5
178,2.51
179,2.49
180,2.44
181,2.5
182,2.46
183,2.37
184,2.38
185,2.48
186,2.5
187,2.5
188,2.48
189,2.5
190,2.42
191,2.4
192,2.42
193,2.43
194,2.37
195,2.38
196,2.37
197,2.46
198,2.49
199,2.51
200,2.5
201,2.4
202,2.38
203,2.41
204,2.46
205,2.43
206,2.37
207,2.37
208,2.47
209,2.49
210,2.49
211,2.48
212,2.4
213,2.38
214,2.36
215,2.4
216,2.47
217,2.39
218,2.38
219,2.46
220,2.49
221,2.49
222,2.4
223,2.39
224,2.36
225,2.37
226,2.48
227,2.48
228,2.38
229,2.44
230,2.48
231,2.48
232,2.41
233,2.38
234,2.37
235,2.39
236,2.44
237,2.5
238,2.47
239,2.4
240,2.48
241,2.49
242,2.46
243,2.41
244,2.4
245,2.37
246,2.35
247,2.43
248,2.5
249,2.47
250,2.4
251,2.47
252,2.48
253,2.51
254,2.41
255,2.42
256,2.39
257,2.36
258,2.46
259,2.49
260,2.41
261,2.39
262,2.48
263,2.52
264,2.5
265,2.41
266,2.4
267,2.38
268,2.36
269,2.52
270,2.42
271,2.41
272,2.41
273,2.48
274,2.5
275,2.45
276,2.44
277,2.42
278,2.39
279,2.47
280,2.51
281,2.42
282,2.39
283,2.4
284,2.49
285,2.5
286,2.45
287,2.46
288,2.41
289,2.44
290,2.49
291,2.5
292,2.39
293,2.34
294,2.45
295,2.5
296,2.48
297,2.43
298,2.43
299,2.43
300,2.44
301,2.5
302,2.5
303,2.4
304,2.39
305,2.5
306,2.5
307,2.42
308,2.45
309,2.47
310,2.42
311,2.4
312,2.51
313,2.49
314,2.4
315,2.39
316,2.41
317,2.49
318,2.51
319,2.48
320,2.44
321,2.47
322,2.41
323,2.42
324,2.51
325,2.52
326,2.39
327,2.39
328,2.38
329,2.42
330,2.45
331,2.49
332,2.46
333,2.45
334,2.43
335,2.45
336,2.52
337,2.45
338,2.4
339,2.41
340,2.44
341,2.48
342,2.44
343,2.49
344,2.43
345,2.5
346,2.51
347,2.36
348,2.36
349,2.35
350,2.38
351,2.47
352,2.38
353,2.44
354,2.45
355,2.45
356,2.45
357,2.5
358,2.49
359,2.5
360,2.5
361,2.5
362,2.51
363,2.5
364,2.51
365,2.44
366,2.44
367,2.5
368,2.47
369,2.48
370,2.5
371,2.52
372,2.42
373,2.41
374,2.38
375,2.48
376,2.51
377,2.52
378,2.47
379,2.48
380,2.46
381,2.47
382,2.53
383,2.49
384,2.5
385,2.45
386,2.48
387,2.53
388,2.5
389,2.45
390,2.45
391,2.44
392,2.46
393,2.5
394,2.49
395,2.47
396,2.38
397,2.48
398,2.51
399,2.5
400,2.46
401,2.48
402,2.46
403,2.48
404,2.53
405,2.5
406,2.5
407,2.38
408,2.44
409,2.51
410,2.51
411,2.53
412,2.52
413,2.47
414,2.46
415,2.53
416,2.51
417,2.4
418,2.39
419,2.36
420,2.43
421,2.44
422,2.48
423,2.49
424,2.48
425,2.47
426,2.48
427,2.51
428,2.49
429,2.37
430,2.4
431,2.5
432,2.52
433,2.49
434,2.42
435,2.43
436,2.46
437,2.44
438,2.5
439,2.49
440,2.47
441,2.38
442,2.37
443,2.49
444,2.5
445,2.49
446,2.45
447,2.46
448,2.48
449,2.43
450,2.5
451,2.5
452,2.42
453,2.39
454,2.41
455,2.49
456,2.49
457,2.48
458,2.46
459,2.47
460,2.44
461,2.51
462,2.51
463,2.46
464,2.38
465,2.34
466,2.41
467,2.43
468,2.41
469,2.4
470,2.48
471,2.44
472,2.45
473,2.51
474,2.5
475,2.38
476,2.33
477,2.42
478,2.43
479,2.44
480,2.43
481,2.45
482,2.47
483,2.53
484,2.46
485,2.51
486,2.5
487,2.5
488,2.39
489,2.41
490,2.42
491,2.43
492,2.42
493,2.5
494,2.5
495,2.5
496,2.5
497,2.5
498,2.5
499,2.47
500,2.39
501,2.41
502,2.44
503,2.45
504,2.44
505,2.47
506,2.46
507,2.48
508,2.51
509,2.51
510,2.49
511,2.38
512,2.35
513,2.35
514,2.43
515,2.49
516,2.51
517,2.52
518,2.5
519,2.52
520,2.52
521,2.41
522,2.38
523,2.37
524,2.39
525,2.41
526,2.42
527,2.49
528,2.5
529,2.51
530,2.45
531,2.5
532,2.51
533,2.34
534,2.35
535,2.35
536,2.37
537,2.37
538,2.38
539,2.39
540,2.38
541,2.41
542,2.48
543,2.49
544,2.45
545,2.49
546,2.37
547,2.34
548,2.34
549,2.33
550,2.38
551,2.39
552,2.41
553,2.41
554,2.39
555,2.42
556,2.37
557,2.34
558,2.39
559,2.4
560,2.36
561,2.41
562,2.42
563,2.46
564,2.4
565,2.4
566,2.41
567,2.34
568,2.29
569,2.39
570,2.4
571,2.31
572,2.35
573,2.41
574,2.45
575,2.44
576,2.35
577,2.36
578,2.33
579,2.44
580,2.44
581,2.45
582,2.47
583,2.48
584,2.48
585,2.48
586,2.49
587,2.5
588,2.41
589,2.47
590,2.36
591,2.43
592,2.52
593,2.5
594,2.47
595,2.45
596,2.42
597,2.4
598,2.35
599,2.41
600,2.41
601,2.48
602,2.48
603,2.47
604,2.46
605,2.5
606,2.5
607,2.47
608,2.41
609,2.49
610,2.47
611,2.5
612,2.49
613,2.46
614,2.47
615,2.52
616,2.49
617,2.39
618,2.34
619,2.36
620,2.41
621,2.5
622,2.5
623,2.49
624,2.49
625,2.47
626,2.41
627,2.34
628,2.36
629,2.41
630,2.43
631,2.48
632,2.48
633,2.53
634,2.51
635,2.56
636,2.4
637,2.39
638,2.34
639,2.42
640,2.43
641,2.46
642,2.5
643,2.5
644,2.55
645,2.49
646,2.52
647,2.39
648,2.35
649,2.37
650,2.34
651,2.37
652,2.5
653,2.53
654,2.52
655,2.53
656,2.51
657,2.36
658,2.35
659,2.34
660,2.35
661,2.4
662,2.46
663,2.48
664,2.47
665,2.51
666,2.47
667,2.41
668,2.33
669,2.37
670,2.32
671,2.35
672,2.5
673,2.5
674,2.52
675,2.51
676,2.47
677,2.43
678,2.36
679,2.36
680,2.36
681,2.35
682,2.35
683,2.35
684,2.5
685,2.49
686,2.5
687,2.5
688,2.49
689,2.45
690,2.36
691,2.37
692,2.35
693,2.34
694,2.36
695,2.38
696,2.39
697,2.41
698,2.43
699,2.44
700,2.34
701,2.34
702,2.33
703,2.33
