,0
2.468576,3.71
2.479356,3.71
2.545444,3.7
2.612084,3.7
2.677992,3.7
2.745348,3.7
2.808664,3.7
2.81944,3.7
2.891656,3.74
2.902436,3.75
2.969248,3.75
2.980024,3.74
3.04544,3.7
3.10826,3.7
3.119032,3.7
3.190908,3.7
3.258624,3.7
3.269396,3.7
3.3397,3.7
3.350476,3.7
3.422036,3.7
3.43282,3.72
3.500992,3.77
3.511772,3.77
3.582844,3.74
3.59362,3.73
3.604396,3.73
3.6781,3.7
3.744852,3.7
3.809368,3.7
3.878936,3.7
3.947932,3.7
3.958712,3.7
4.033184,3.75
4.04396,3.76
4.116372,3.75
4.127156,3.75
4.201444,3.72
4.212224,3.72
4.28238,3.7
4.293164,3.7
4.366296,3.7
4.377076,3.7
4.44936,3.7
4.460136,3.7
4.532404,3.7
4.543184,3.71
4.611556,3.73
4.674452,3.75
4.685228,3.75
4.756492,3.7
4.767276,3.7
4.832788,3.7
4.843552,3.7
4.910508,3.7
4.97222,3.7
4.983,3.7
5.049096,3.7
5.059872,3.7
5.12854,3.71
5.190136,3.76
5.200904,3.76
5.2672,3.75
5.277976,3.75
5.34732,3.7
5.358096,3.7
5.436224,3.7
5.447004,3.7
5.51666,3.7
5.52744,3.7
5.606504,3.7
5.617288,3.7
5.6844,3.7
5.69518,3.7
5.76768,3.72
5.778452,3.72
5.854976,3.75
5.865756,3.75
5.938068,3.7
5.948848,3.7
6.020224,3.7
6.031004,3.7
6.100652,3.7
6.111436,3.7
6.18224,3.7
6.193008,3.7
6.26788,3.7
6.278656,3.71
6.35056,3.76
6.361336,3.76
6.436216,3.7
6.446988,3.7
6.520372,3.7
6.531156,3.7
6.599256,3.7
6.610032,3.7
6.68028,3.7
6.69106,3.7
6.765904,3.7
6.776676,3.7
6.844148,3.7
6.917436,3.76
6.928212,3.77
6.99892,3.7
7.0097,3.7
7.082924,3.7
7.093704,3.7
7.168212,3.7
7.178988,3.7
7.253708,3.7
7.264496,3.7
7.337276,3.7
7.348056,3.7
7.426988,3.7
7.497996,3.76
7.508772,3.78
7.581848,3.7
7.592628,3.7
7.669312,3.7
7.680092,3.7
7.753092,3.7
7.763868,3.7
7.834712,3.7
7.845492,3.7
7.914172,3.7
7.924952,3.7
7.997856,3.7
8.008628,3.7
8.07884,3.77
8.089612,3.76
8.165568,3.7
8.176348,3.7
8.25022,3.7
8.261,3.7
8.334588,3.7
8.345368,3.7
8.4247,3.7
8.496156,3.7
8.50694,3.7
8.581988,3.75
8.592772,3.75
8.670424,3.74
8.6812,3.74
8.752164,3.74
8.762948,3.74
8.835048,3.72
8.845824,3.72
8.919928,3.71
8.930712,3.72
9.003492,3.72
9.014272,3.72
9.087108,3.73
9.153256,3.77
9.164032,3.74
9.238216,3.73
9.312632,3.72
9.323408,3.72
9.400736,3.7
9.411508,3.7
9.481396,3.71
9.492184,3.71
9.564532,3.71
9.575356,3.73
9.658036,3.77
9.727992,3.74
9.738816,3.74
9.810036,3.72
9.820864,3.72
9.894248,3.7
9.905064,3.7
9.979504,3.7
9.990328,3.7
10.063836,3.7
10.074664,3.7
10.147216,3.71
10.158032,3.71
10.231248,3.78
10.242064,3.77
10.3148,3.75
10.325628,3.75
10.403184,3.72
10.414004,3.72
10.48634,3.71
10.553584,3.71
10.62088,3.71
10.69508,3.74
10.7059,3.75
10.773732,3.75
10.841784,3.74
10.852604,3.74
10.93246,3.71
10.943276,3.7
11.010528,3.7
11.021348,3.7
11.099432,3.7
11.184724,3.7
11.195548,3.7
11.261504,3.71
11.272328,3.71
11.34152,3.74
11.35234,3.73
11.425616,3.71
11.43644,3.71
11.508628,3.71
11.51946,3.71
11.594616,3.7
11.60544,3.7
11.676592,3.7
11.687416,3.7
11.761572,3.7
11.7724,3.71
11.8489,3.74
11.85972,3.73
11.931204,3.71
11.942032,3.71
12.021564,3.71
12.093664,3.7
12.104476,3.7
12.179448,3.7
12.190268,3.7
12.262988,3.71
12.27382,3.71
12.350948,3.75
12.361764,3.77
12.43278,3.73
12.443604,3.73
12.5171,3.7
12.527932,3.7
12.604244,3.7
12.66874,3.7
12.732432,3.7
12.798352,3.7
12.809164,3.7
12.873304,3.7
12.884124,3.71
12.951232,3.71
13.015024,3.77
13.025844,3.76
13.095944,3.72
13.106768,3.71
13.173816,3.71
13.18464,3.71
13.251556,3.71
13.324996,3.71
13.335824,3.71
13.404572,3.71
13.469548,3.71
13.537356,3.72
13.598804,3.77
13.609628,3.75
13.674236,3.71
13.685068,3.71
13.751732,3.7
13.813216,3.7
13.824032,3.7
13.890824,3.71
13.90164,3.71
13.968256,3.7
14.033672,3.71
14.099196,3.72
14.170552,3.73
14.232932,3.7
14.243744,3.7
14.313616,3.7
14.324436,3.7
14.392744,3.7
14.403564,3.7
14.474812,3.7
14.485636,3.7
14.552916,3.7
14.622056,3.71
14.632876,3.76
14.700112,3.71
14.764656,3.7
14.77548,3.7
14.840496,3.7
14.851328,3.7
14.919372,3.7
14.985488,3.7
15.04938,3.7
15.114996,3.7
15.177604,3.7
15.188432,3.7
15.2584,3.76
15.269224,3.78
15.340176,3.72
15.351,3.71
15.4194,3.71
15.48122,3.71
15.547824,3.7
15.613396,3.7
15.675304,3.7
15.686132,3.7
15.754572,3.7
15.765396,3.7
15.833508,3.76
15.900344,3.72
15.962748,3.71
15.97358,3.71
16.0462,3.71
16.11508,3.7
16.17704,3.71
16.24806,3.7
16.316536,3.7
16.383608,3.76
16.449064,3.72
16.511048,3.71
16.521876,3.71
16.593588,3.71
16.60442,3.71
16.6716,3.71
16.682424,3.71
16.750128,3.71
16.816328,3.71
16.8876,3.72
16.898428,3.73
16.96734,3.71
17.031604,3.72
17.09972,3.72
17.165112,3.72
17.227284,3.72
17.2381,3.72
17.305448,3.71
17.316276,3.71
17.386668,3.71
17.3975,3.71
17.466624,3.71
17.530752,3.74
17.596792,3.72
17.607612,3.72
17.676752,3.72
17.687568,3.72
17.757276,3.72
17.768104,3.72
17.834116,3.72
17.898396,3.72
17.960332,3.72
17.971156,3.72
18.036756,3.72
18.04758,3.72
18.118508,3.72
18.12934,3.72
18.201388,3.72
18.212216,3.72
18.280756,3.71
18.346348,3.7
18.413884,3.7
18.481256,3.7
18.549908,3.7
18.611912,3.7
18.68142,3.7
18.745568,3.76
18.80566,3.74
18.816484,3.73
18.888168,3.7
18.898984,3.71
18.97052,3.71
18.981344,3.71
19.046732,3.7
19.113808,3.7
19.179912,3.7
19.241864,3.7
19.310032,3.78
19.320844,3.76
19.388852,3.7
19.39966,3.7
19.467308,3.7
19.478136,3.7
19.549216,3.7
19.617528,3.7
19.628356,3.7
19.695996,3.7
19.761304,3.7
19.772124,3.7
19.841476,3.7
19.8523,3.71
19.92226,3.75
19.933084,3.74
19.997728,3.7
20.065328,3.7
20.133672,3.7
20.144496,3.7
20.212888,3.7
20.279352,3.7
20.345756,3.7
20.409056,3.7
20.476636,3.75
20.487464,3.75
20.556152,3.7
20.566972,3.7
20.633724,3.7
20.644552,3.7
20.71134,3.7
20.779564,3.7
20.8437,3.7
20.91056,3.7
20.97602,3.7
20.986844,3.7
21.05464,3.76
21.065464,3.75
21.137532,3.7
21.14836,3.7
21.215944,3.7
21.226768,3.7
21.294528,3.7
21.357264,3.7
21.368084,3.7
21.435736,3.7
21.446552,3.7
21.512504,3.7
21.575484,3.71
21.641792,3.74
21.709596,3.7
21.776812,3.71
21.83868,3.7
21.849504,3.7
21.91756,3.7
21.928384,3.7
21.993088,3.71
22.056416,3.71
22.067236,3.71
22.135184,3.77
22.146004,3.78
22.211944,3.71
22.276676,3.7
22.341748,3.7
22.406204,3.7
22.417024,3.7
22.48538,3.7
22.4962,3.7
22.57132,3.7
22.582132,3.7
22.649684,3.71
22.660508,3.75
22.730272,3.73
22.7411,3.73
22.811712,3.72
22.877224,3.72
22.93954,3.71
22.950368,3.71
23.017756,3.7
23.028576,3.7
23.097332,3.7
23.108152,3.7
23.176236,3.71
23.242784,3.73
23.307768,3.71
23.37082,3.71
23.439864,3.71
23.450688,3.71
23.517248,3.7
23.528072,3.71
23.598616,3.71
23.609444,3.71
23.680332,3.71
23.691152,3.71
23.762212,3.76
23.773028,3.77
23.846872,3.71
23.8577,3.7
23.926964,3.7
23.989712,3.7
24.054208,3.7
24.065028,3.7
24.131312,3.7
24.142144,3.7
24.211208,3.7
24.27594,3.71
24.340052,3.78
24.407396,3.71
24.472896,3.7
24.53612,3.7
24.546944,3.7
24.614024,3.7
24.624844,3.7
24.68432,3.7
24.695144,3.7
24.754552,3.7
24.81716,3.7
24.827984,3.7
24.899364,3.77
24.910196,3.77
24.979264,3.7
24.990088,3.7
25.0641,3.7
25.074924,3.7
25.152008,3.7
25.162824,3.7
25.233188,3.7
25.244016,3.7
25.312608,3.7
25.323424,3.7
25.3948,3.72
25.405628,3.74
25.474748,3.75
25.540204,3.7
25.607576,3.7
25.67068,3.7
25.737204,3.7
25.803032,3.7
25.813848,3.7
25.882472,3.7
25.8933,3.7
25.960612,3.72
25.97144,3.72
26.039104,3.78
26.107952,3.7
26.169888,3.7
26.23838,3.7
26.249204,3.7
26.316684,3.7
26.327508,3.7
26.394252,3.7
26.40508,3.7
26.475832,3.71
26.542196,3.77
26.608288,3.7
26.674436,3.7
26.742464,3.7
26.753284,3.7
26.7641,3.7
26.832236,3.7
26.843056,3.7
26.908792,3.7
26.971452,3.7
27.044128,3.7
27.05494,3.7
27.12472,3.72
27.188768,3.7
27.25732,3.7
27.323976,3.7
27.391636,3.7
27.456672,3.7
27.521332,3.7
27.588872,3.7
27.652032,3.74
27.72056,3.7
