,0
0,3.25
1,3.25
2,3.25
3,3.25
4,3.25
5,3.25
6,3.25
7,3.25
8,3.25
9,3.25
10,3.25
11,3.25
12,3.25
13,3.25
14,3.25
15,3.25
16,3.25
17,3.25
18,3.25
19,3.25
20,3.25
21,3.25
22,3.25
23,3.25
24,3.25
25,3.25
26,3.25
27,3.25
28,3.25
29,3.25
30,3.25
31,3.25
32,3.25
33,3.25
34,3.25
35,3.25
36,3.25
37,3.25
38,3.25
39,3.25
40,3.25
41,3.25
42,3.25
43,3.25
44,3.25
45,3.25
46,3.25
47,3.25
48,3.25
49,3.25
50,3.25
51,3.25
52,3.25
53,3.25
54,3.25
55,3.25
56,3.25
57,3.25
58,3.25
59,3.25
60,3.25
61,3.25
62,3.25
63,3.25
64,3.25
65,3.25
66,3.25
67,3.25
68,3.25
69,3.25
70,3.25
71,3.25
72,3.25
73,3.25
74,3.25
75,3.25
76,3.25
77,3.25
78,3.25
79,3.25
80,3.25
81,3.25
82,3.25
83,3.25
84,3.25
85,3.25
86,3.25
87,3.25
88,3.25
89,3.25
90,3.25
91,3.25
92,3.25
93,3.25
94,3.25
95,3.25
96,3.25
97,3.25
98,3.25
99,3.25
100,3.25
101,3.25
102,3.25
103,3.25
104,3.25
105,3.25
106,3.25
107,3.25
108,3.25
109,3.25
110,3.25
111,3.25
112,3.25
113,3.25
114,3.25
115,3.25
116,3.25
117,3.25
118,3.25
119,3.25
120,3.25
121,3.25
122,3.25
123,3.25
124,3.25
125,3.25
126,3.25
127,3.25
128,3.25
129,3.25
130,3.25
131,3.25
132,3.25
133,3.25
134,3.25
135,3.25
136,3.25
137,3.25
138,3.25
139,3.25
140,3.25
141,3.25
142,3.25
143,3.25
144,3.25
145,3.25
146,3.25
147,3.25
148,3.25
149,3.25
150,3.25
151,3.25
152,3.25
153,3.25
154,3.25
155,3.25
156,3.25
157,3.25
158,3.25
159,3.25
160,3.25
161,3.25
162,3.25
163,3.25
164,3.25
165,3.25
166,3.25
167,3.25
168,3.25
169,3.25
170,3.25
171,3.25
172,3.25
173,3.25
174,3.25
175,3.25
176,3.25
177,3.25
178,3.25
179,3.25
180,3.25
181,3.25
182,3.25
183,3.25
184,3.25
185,3.25
186,3.25
187,3.25
188,3.25
189,3.25
190,3.25
191,3.25
192,3.25
193,3.25
194,3.25
195,3.25
196,3.25
197,3.25
198,3.25
199,3.25
200,3.25
201,3.25
202,3.25
203,3.25
204,3.25
205,3.25
206,3.25
207,3.25
208,3.25
209,3.25
210,3.25
211,3.25
212,3.25
213,3.25
214,3.25
215,3.25
216,3.25
217,3.25
218,3.25
219,3.25
220,3.25
221,3.25
222,3.25
223,3.25
224,3.25
225,3.25
226,3.25
227,3.25
228,3.25
229,3.25
230,3.25
231,3.25
232,3.25
233,3.25
234,3.25
235,3.25
236,3.25
237,3.25
238,3.25
239,3.25
240,3.25
241,3.25
242,3.25
243,3.25
244,3.25
245,3.25
246,3.25
247,3.25
248,3.25
249,3.25
250,3.25
251,3.25
252,3.25
253,3.25
254,3.25
255,3.25
256,3.25
257,3.25
258,3.25
259,3.25
260,3.25
261,3.25
262,3.25
263,3.25
264,3.25
265,3.25
266,3.25
267,3.25
268,3.25
269,3.25
270,3.25
271,3.25
272,3.25
273,3.25
274,3.25
275,3.25
276,3.25
277,3.25
278,3.25
279,3.25
280,3.25
281,3.25
282,3.25
283,3.25
