Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,179.7mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,121.093750
2,121.093750
3,121.093750
4,123.046875
5,123.046875
6,123.046875
7,115.234375
8,126.953125
9,123.046875
10,121.093750
11,123.046875
12,121.093750
13,121.093750
14,121.093750
15,125.000000
16,123.046875
17,123.046875
18,121.093750
19,123.046875
20,125.000000
21,125.000000
22,123.046875
23,123.046875
24,121.093750
25,123.046875
26,117.187500
27,126.953125
28,123.046875
29,121.093750
30,119.140625
31,117.187500
32,123.046875
33,123.046875
34,119.140625
35,123.046875
36,121.093750
37,123.046875
38,121.093750
39,117.187500
40,123.046875
41,123.046875
42,121.093750
43,117.187500
44,121.093750
45,119.140625
46,125.000000
47,119.140625
48,121.093750
49,123.046875
50,119.140625
51,121.093750
52,121.093750
53,115.234375
54,119.140625
55,123.046875
56,123.046875
57,123.046875
58,121.093750
59,115.234375
60,117.187500
61,123.046875
62,119.140625
63,123.046875
64,121.093750
65,121.093750
66,123.046875
67,123.046875
68,119.140625
69,123.046875
70,115.234375
71,121.093750
72,121.093750
73,117.187500
74,117.187500
75,117.187500
76,123.046875
77,115.234375
78,115.234375
79,117.187500
80,115.234375
81,117.187500
82,117.187500
83,121.093750
84,115.234375
85,121.093750
86,115.234375
87,115.234375
88,123.046875
89,119.140625
90,121.093750
91,121.093750
92,123.046875
93,125.000000
94,123.046875
95,121.093750
96,123.046875
97,123.046875
98,123.046875
99,123.046875
100,123.046875
101,126.953125
102,125.000000
103,126.953125
104,123.046875
105,119.140625
106,126.953125
107,125.000000
108,125.000000
109,130.859375
110,128.906250
111,123.046875
112,123.046875
113,125.000000
114,123.046875
115,130.859375
116,126.953125
117,123.046875
118,128.906250
119,126.953125
120,126.953125
121,125.000000
122,123.046875
123,125.000000
124,123.046875
125,126.953125
126,125.000000
127,126.953125
128,125.000000
129,121.093750
130,123.046875
131,123.046875
132,123.046875
133,121.093750
134,121.093750
135,126.953125
136,125.000000
137,123.046875
138,121.093750
139,126.953125
140,130.859375
141,126.953125
142,115.234375
143,123.046875
144,125.000000
145,123.046875
146,123.046875
147,125.000000
148,123.046875
149,125.000000
150,125.000000
151,123.046875
152,125.000000
153,123.046875
154,123.046875
155,123.046875
156,123.046875
157,126.953125
158,125.000000
159,126.953125
160,123.046875
161,123.046875
162,125.000000
163,125.000000
164,128.906250
165,126.953125
166,123.046875
167,125.000000
168,115.234375
169,121.093750
170,125.000000
171,123.046875
172,125.000000
173,123.046875
174,123.046875
175,119.140625
176,121.093750
177,121.093750
178,117.187500
179,115.234375
180,113.281250
181,107.421875
182,105.468750
183,107.421875
184,99.609375
185,95.703125
186,97.656250
187,95.703125
188,101.562500
189,93.750000
190,91.796875
191,95.703125
192,95.703125
193,91.796875
194,89.843750
195,95.703125
196,95.703125
197,91.796875
198,89.843750
199,91.796875
200,83.984375
201,89.843750
202,87.890625
203,85.937500
204,89.843750
205,87.890625
206,89.843750
207,87.890625
208,91.796875
209,87.890625
210,89.843750
211,89.843750
212,89.843750
213,95.703125
214,87.890625
215,83.984375
216,89.843750
217,78.125000
218,89.843750
219,83.984375
220,87.890625
221,83.984375
222,85.937500
223,83.984375
224,76.171875
225,80.078125
226,80.078125
227,78.125000
228,78.125000
229,80.078125
230,83.984375
231,80.078125
232,82.031250
233,83.984375
234,83.984375
235,83.984375
236,80.078125
237,76.171875
238,80.078125
239,80.078125
240,76.171875
241,72.265625
242,76.171875
243,83.984375
244,80.078125
245,80.078125
246,78.125000
247,80.078125
248,80.078125
249,83.984375
250,83.984375
251,80.078125
252,78.125000
253,80.078125
254,80.078125
255,72.265625
256,83.984375
257,80.078125
258,80.078125
259,80.078125
260,80.078125
261,76.171875
262,76.171875
263,78.125000
264,80.078125
265,80.078125
266,80.078125
267,83.984375
268,85.937500
269,80.078125
270,83.984375
271,83.984375
272,83.984375
273,80.078125
274,82.031250
275,76.171875
276,82.031250
277,85.937500
278,80.078125
279,78.125000
280,83.984375
281,83.984375
282,83.984375
283,78.125000
284,78.125000
285,83.984375
286,80.078125
287,80.078125
288,80.078125
289,76.171875
290,76.171875
291,85.937500
292,78.125000
293,80.078125
294,76.171875
295,83.984375
296,80.078125
297,80.078125
298,80.078125
299,78.125000
300,80.078125
301,80.078125
302,80.078125
303,80.078125
304,82.031250
305,78.125000
306,80.078125
307,74.218750
308,80.078125
309,80.078125
310,78.125000
311,78.125000
312,80.078125
313,80.078125
314,83.984375
315,76.171875
316,76.171875
317,78.125000
318,74.218750
319,76.171875
320,82.031250
321,78.125000
322,80.078125
323,80.078125
324,80.078125
325,80.078125
326,78.125000
327,80.078125
328,82.031250
329,78.125000
330,78.125000
331,72.265625
332,78.125000
333,83.984375
334,80.078125
335,76.171875
336,80.078125
337,80.078125
338,80.078125
339,76.171875
340,76.171875
341,76.171875
342,78.125000
343,83.984375
344,74.218750
345,74.218750
346,78.125000
347,80.078125
348,76.171875
349,78.125000
350,74.218750
351,76.171875
352,78.125000
353,66.406250
354,76.171875
355,80.078125
356,80.078125
357,78.125000
358,80.078125
359,78.125000
360,76.171875
361,76.171875
362,72.265625
363,78.125000
364,76.171875
365,74.218750
366,82.031250
367,80.078125
368,78.125000
369,76.171875
370,76.171875
371,80.078125
372,78.125000
373,68.359375
374,76.171875
375,76.171875
376,80.078125
377,76.171875
378,76.171875
379,76.171875
380,80.078125
381,68.359375
382,78.125000
383,76.171875
384,74.218750
385,80.078125
386,78.125000
387,72.265625
388,74.218750
389,76.171875
390,80.078125
391,78.125000
392,76.171875
393,78.125000
394,78.125000
395,82.031250
396,76.171875
397,76.171875
398,80.078125
399,76.171875
400,80.078125
401,76.171875
402,80.078125
403,80.078125
404,80.078125
405,80.078125
406,80.078125
407,76.171875
408,74.218750
409,70.312500
410,76.171875
411,80.078125
412,80.078125
413,83.984375
414,78.125000
415,82.031250
416,70.312500
417,80.078125
418,80.078125
419,80.078125
420,82.031250
421,80.078125
422,80.078125
423,80.078125
424,80.078125
425,83.984375
426,78.125000
427,83.984375
428,78.125000
429,80.078125
430,89.843750
431,83.984375
432,85.937500
433,83.984375
434,76.171875
435,82.031250
436,83.984375
437,83.984375
438,83.984375
439,80.078125
440,83.984375
441,83.984375
442,82.031250
443,80.078125
444,89.843750
445,80.078125
446,83.984375
447,83.984375
448,83.984375
449,80.078125
450,83.984375
451,83.984375
452,83.984375
453,78.125000
454,76.171875
455,80.078125
456,83.984375
457,78.125000
458,85.937500
459,87.890625
460,82.031250
461,83.984375
462,80.078125
463,80.078125
464,83.984375
465,85.937500
466,83.984375
467,87.890625
468,85.937500
469,83.984375
470,83.984375
471,87.890625
472,83.984375
473,83.984375
474,80.078125
475,89.843750
476,80.078125
477,82.031250
478,80.078125
479,83.984375
480,83.984375
481,80.078125
482,83.984375
483,83.984375
484,80.078125
485,80.078125
486,87.890625
487,80.078125
488,80.078125
489,80.078125
490,80.078125
491,78.125000
492,80.078125
493,83.984375
494,83.984375
495,76.171875
496,80.078125
497,80.078125
498,80.078125
499,76.171875
500,83.984375
501,80.078125
502,83.984375
503,74.218750
504,83.984375
505,82.031250
506,80.078125
507,83.984375
508,82.031250
509,76.171875
510,76.171875
511,80.078125
512,78.125000
513,85.937500
514,80.078125
515,83.984375
516,83.984375
517,76.171875
518,80.078125
519,78.125000
520,82.031250
521,80.078125
522,83.984375
523,82.031250
524,80.078125
525,83.984375
526,80.078125
527,83.984375
528,80.078125
529,80.078125
530,83.984375
531,80.078125
532,82.031250
533,80.078125
534,78.125000
535,85.937500
536,83.984375
537,80.078125
538,80.078125
539,82.031250
540,80.078125
541,80.078125
542,80.078125
543,76.171875
544,83.984375
545,80.078125
546,78.125000
547,80.078125
548,83.984375
549,83.984375
550,83.984375
551,83.984375
552,80.078125
553,78.125000
554,83.984375
555,74.218750
556,83.984375
557,83.984375
558,78.125000
559,82.031250
560,87.890625
561,82.031250
562,83.984375
563,83.984375
564,80.078125
565,80.078125
566,83.984375
567,82.031250
568,83.984375
569,80.078125
570,83.984375
571,85.937500
572,83.984375
573,83.984375
574,83.984375
575,83.984375
576,83.984375
577,83.984375
578,87.890625
579,83.984375
580,83.984375
581,82.031250
582,89.843750
583,83.984375
584,78.125000
585,80.078125
586,78.125000
587,80.078125
588,78.125000
589,80.078125
590,83.984375
591,83.984375
592,83.984375
593,83.984375
594,76.171875
595,83.984375
596,83.984375
597,83.984375
598,83.984375
599,83.984375
600,83.984375
601,83.984375
602,83.984375
603,91.796875
604,83.984375
605,83.984375
606,85.937500
607,82.031250
608,83.984375
609,85.937500
610,83.984375
611,87.890625
612,87.890625
613,85.937500
614,89.843750
615,89.843750
616,83.984375
617,89.843750
618,89.843750
619,83.984375
620,87.890625
621,85.937500
622,89.843750
623,85.937500
624,85.937500
625,93.750000
626,83.984375
627,85.937500
628,85.937500
629,91.796875
630,89.843750
631,85.937500
632,85.937500
633,89.843750
634,83.984375
635,89.843750
636,85.937500
637,87.890625
638,87.890625
639,91.796875
640,85.937500
641,87.890625
642,83.984375
643,89.843750
644,89.843750
645,85.937500
646,85.937500
647,87.890625
648,89.843750
649,89.843750
650,89.843750
651,89.843750
652,87.890625
653,89.843750
654,89.843750
