Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,37.11mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,101.562500
2,101.562500
3,105.468750
4,99.609375
5,97.656250
6,101.562500
7,101.562500
8,99.609375
9,99.609375
10,101.562500
11,103.515625
12,103.515625
13,101.562500
14,95.703125
15,99.609375
16,95.703125
17,93.750000
18,99.609375
19,99.609375
20,101.562500
21,99.609375
22,99.609375
23,99.609375
24,105.468750
25,99.609375
26,101.562500
27,99.609375
28,95.703125
29,95.703125
30,101.562500
31,95.703125
32,103.515625
33,107.421875
34,109.375000
35,107.421875
36,103.515625
37,101.562500
38,103.515625
39,95.703125
40,97.656250
41,105.468750
42,105.468750
43,105.468750
44,101.562500
45,99.609375
46,101.562500
47,103.515625
48,101.562500
49,99.609375
50,105.468750
51,101.562500
52,101.562500
53,99.609375
54,105.468750
55,105.468750
56,101.562500
57,109.375000
58,101.562500
59,105.468750
60,93.750000
61,99.609375
62,99.609375
63,101.562500
64,105.468750
65,99.609375
66,99.609375
67,99.609375
68,101.562500
69,99.609375
70,103.515625
71,105.468750
72,103.515625
73,99.609375
74,95.703125
75,101.562500
76,101.562500
77,97.656250
78,103.515625
79,107.421875
80,101.562500
81,101.562500
82,107.421875
83,97.656250
84,101.562500
85,99.609375
86,95.703125
87,105.468750
88,101.562500
89,103.515625
90,105.468750
91,103.515625
92,101.562500
93,95.703125
94,105.468750
95,101.562500
96,99.609375
97,101.562500
98,101.562500
99,101.562500
100,103.515625
101,103.515625
102,101.562500
103,101.562500
104,95.703125
105,101.562500
106,103.515625
107,99.609375
108,101.562500
109,101.562500
110,101.562500
111,109.375000
112,99.609375
113,99.609375
114,99.609375
115,99.609375
116,103.515625
117,101.562500
118,99.609375
119,101.562500
120,101.562500
121,99.609375
122,107.421875
123,101.562500
124,95.703125
125,103.515625
126,101.562500
127,105.468750
128,105.468750
129,99.609375
130,105.468750
131,99.609375
132,95.703125
133,103.515625
134,101.562500
135,101.562500
136,103.515625
137,107.421875
138,95.703125
139,103.515625
140,105.468750
141,103.515625
142,107.421875
143,105.468750
144,105.468750
145,103.515625
146,105.468750
147,105.468750
148,101.562500
149,105.468750
150,105.468750
151,99.609375
152,99.609375
153,105.468750
154,95.703125
155,101.562500
156,101.562500
157,105.468750
158,111.328125
159,103.515625
160,99.609375
161,101.562500
162,105.468750
163,105.468750
164,99.609375
165,101.562500
166,105.468750
167,105.468750
168,101.562500
169,103.515625
170,101.562500
171,101.562500
172,99.609375
173,105.468750
174,105.468750
175,103.515625
176,105.468750
177,105.468750
178,103.515625
179,105.468750
180,109.375000
181,101.562500
182,105.468750
183,103.515625
184,99.609375
185,103.515625
186,103.515625
187,103.515625
188,103.515625
189,107.421875
190,105.468750
191,111.328125
192,101.562500
193,105.468750
194,105.468750
195,105.468750
196,105.468750
197,105.468750
198,107.421875
199,107.421875
200,107.421875
201,105.468750
202,105.468750
203,101.562500
204,105.468750
205,109.375000
206,105.468750
207,101.562500
208,101.562500
209,103.515625
210,107.421875
211,101.562500
212,101.562500
213,103.515625
214,105.468750
215,101.562500
216,101.562500
217,103.515625
218,105.468750
219,101.562500
220,101.562500
221,103.515625
222,101.562500
223,103.515625
224,101.562500
225,107.421875
226,109.375000
227,103.515625
228,107.421875
229,103.515625
230,101.562500
231,107.421875
232,105.468750
233,105.468750
234,107.421875
235,107.421875
236,107.421875
237,99.609375
238,103.515625
239,105.468750
240,105.468750
241,109.375000
242,111.328125
243,107.421875
244,107.421875
245,107.421875
246,109.375000
247,105.468750
248,107.421875
249,107.421875
250,103.515625
251,107.421875
252,109.375000
253,113.281250
254,103.515625
255,101.562500
256,109.375000
257,107.421875
258,107.421875
259,103.515625
260,107.421875
261,111.328125
262,107.421875
263,101.562500
264,101.562500
265,107.421875
266,103.515625
267,103.515625
268,105.468750
269,111.328125
270,101.562500
271,101.562500
272,103.515625
273,105.468750
274,107.421875
275,105.468750
276,101.562500
277,109.375000
278,107.421875
279,101.562500
280,107.421875
281,107.421875
282,107.421875
283,105.468750
284,107.421875
285,103.515625
286,109.375000
287,105.468750
288,101.562500
289,111.328125
290,111.328125
291,107.421875
292,99.609375
293,107.421875
294,105.468750
295,107.421875
296,107.421875
297,105.468750
298,105.468750
299,107.421875
300,109.375000
301,103.515625
302,101.562500
303,105.468750
304,107.421875
305,103.515625
306,103.515625
307,103.515625
308,107.421875
309,103.515625
310,103.515625
311,101.562500
312,103.515625
313,107.421875
314,105.468750
315,105.468750
316,103.515625
317,105.468750
318,103.515625
319,105.468750
320,103.515625
321,107.421875
322,103.515625
323,109.375000
324,107.421875
325,105.468750
326,107.421875
327,107.421875
328,103.515625
329,105.468750
330,111.328125
331,101.562500
332,109.375000
333,107.421875
334,101.562500
335,111.328125
336,107.421875
337,107.421875
338,109.375000
339,103.515625
340,107.421875
341,107.421875
342,105.468750
343,107.421875
344,107.421875
345,111.328125
346,107.421875
347,103.515625
348,103.515625
349,105.468750
350,105.468750
351,105.468750
352,107.421875
353,105.468750
354,105.468750
355,109.375000
356,109.375000
357,105.468750
358,101.562500
359,107.421875
360,107.421875
361,105.468750
362,99.609375
363,99.609375
364,101.562500
365,111.328125
366,105.468750
367,105.468750
368,105.468750
369,105.468750
370,105.468750
371,105.468750
372,105.468750
373,109.375000
374,99.609375
375,105.468750
376,107.421875
377,99.609375
378,109.375000
379,107.421875
380,103.515625
381,95.703125
382,109.375000
383,107.421875
384,107.421875
385,109.375000
386,101.562500
387,107.421875
388,109.375000
389,105.468750
390,111.328125
391,109.375000
392,105.468750
393,107.421875
394,107.421875
395,107.421875
396,105.468750
397,107.421875
398,105.468750
399,105.468750
400,107.421875
401,105.468750
402,115.234375
403,109.375000
404,107.421875
405,105.468750
406,105.468750
407,109.375000
408,105.468750
409,103.515625
410,105.468750
411,109.375000
412,109.375000
413,107.421875
414,101.562500
415,107.421875
416,105.468750
417,103.515625
418,107.421875
419,103.515625
420,105.468750
421,105.468750
422,103.515625
423,105.468750
424,101.562500
425,107.421875
426,105.468750
427,109.375000
428,105.468750
429,103.515625
430,111.328125
431,107.421875
432,105.468750
433,105.468750
434,107.421875
435,111.328125
436,109.375000
437,109.375000
438,105.468750
439,111.328125
440,107.421875
441,107.421875
442,107.421875
443,105.468750
444,107.421875
445,107.421875
446,109.375000
447,107.421875
448,107.421875
449,113.281250
450,111.328125
451,105.468750
452,107.421875
453,105.468750
454,109.375000
455,109.375000
456,103.515625
457,107.421875
458,107.421875
459,109.375000
460,105.468750
461,101.562500
462,103.515625
463,105.468750
464,109.375000
465,101.562500
466,105.468750
467,105.468750
468,109.375000
469,103.515625
470,107.421875
471,103.515625
472,103.515625
473,107.421875
474,111.328125
475,103.515625
476,107.421875
477,103.515625
478,107.421875
479,107.421875
480,107.421875
481,105.468750
482,109.375000
483,111.328125
484,109.375000
485,111.328125
486,107.421875
487,109.375000
488,111.328125
489,107.421875
490,111.328125
491,109.375000
492,103.515625
493,109.375000
494,107.421875
495,107.421875
496,111.328125
497,109.375000
498,107.421875
499,109.375000
500,107.421875
501,111.328125
502,109.375000
503,107.421875
504,107.421875
505,111.328125
506,107.421875
507,101.562500
508,101.562500
509,105.468750
510,111.328125
511,109.375000
512,107.421875
513,103.515625
514,107.421875
515,111.328125
516,105.468750
517,99.609375
518,105.468750
519,105.468750
520,105.468750
521,101.562500
522,107.421875
523,105.468750
524,105.468750
525,109.375000
526,107.421875
527,101.562500
528,109.375000
529,107.421875
530,105.468750
531,111.328125
532,115.234375
533,105.468750
534,107.421875
535,111.328125
536,105.468750
537,111.328125
538,107.421875
539,111.328125
540,109.375000
541,109.375000
542,109.375000
543,99.609375
544,109.375000
545,107.421875
546,111.328125
547,107.421875
548,109.375000
549,109.375000
550,107.421875
551,107.421875
552,105.468750
553,109.375000
554,105.468750
555,105.468750
556,103.515625
557,107.421875
558,109.375000
559,111.328125
560,107.421875
561,101.562500
562,111.328125
563,111.328125
564,101.562500
565,103.515625
566,107.421875
567,107.421875
568,103.515625
569,107.421875
570,105.468750
571,109.375000
572,107.421875
573,107.421875
574,105.468750
575,111.328125
576,107.421875
577,105.468750
578,105.468750
579,101.562500
580,107.421875
581,107.421875
582,105.468750
583,107.421875
584,109.375000
585,105.468750
586,107.421875
587,105.468750
588,107.421875
589,111.328125
590,109.375000
591,109.375000
592,105.468750
593,111.328125
594,107.421875
595,107.421875
596,109.375000
597,103.515625
598,111.328125
599,105.468750
600,109.375000
601,111.328125
602,107.421875
603,103.515625
604,111.328125
605,109.375000
606,105.468750
607,107.421875
608,103.515625
609,111.328125
610,109.375000
611,101.562500
612,99.609375
613,105.468750
614,107.421875
615,111.328125
616,101.562500
617,101.562500
618,109.375000
619,105.468750
620,105.468750
621,107.421875
622,107.421875
623,103.515625
624,101.562500
625,101.562500
626,107.421875
627,105.468750
628,101.562500
629,107.421875
630,111.328125
631,105.468750
632,109.375000
633,111.328125
634,101.562500
635,109.375000
636,111.328125
637,109.375000
638,111.328125
639,107.421875
640,107.421875
641,111.328125
642,101.562500
643,109.375000
644,109.375000
645,107.421875
646,109.375000
647,111.328125
648,111.328125
649,105.468750
650,105.468750
651,107.421875
652,107.421875
653,107.421875
654,107.421875
