Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,52.73mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,140.625000
2,140.625000
3,136.718750
4,138.671875
5,142.578125
6,138.671875
7,140.625000
8,146.484375
9,142.578125
10,144.531250
11,146.484375
12,140.625000
13,140.625000
14,142.578125
15,146.484375
16,142.578125
17,136.718750
18,144.531250
19,146.484375
20,140.625000
21,140.625000
22,142.578125
23,142.578125
24,142.578125
25,142.578125
26,140.625000
27,146.484375
28,140.625000
29,140.625000
30,140.625000
31,138.671875
32,138.671875
33,142.578125
34,138.671875
35,140.625000
36,140.625000
37,140.625000
38,138.671875
39,142.578125
40,138.671875
41,138.671875
42,136.718750
43,142.578125
44,138.671875
45,140.625000
46,142.578125
47,136.718750
48,142.578125
49,142.578125
50,140.625000
51,142.578125
52,142.578125
53,142.578125
54,148.437500
55,146.484375
56,146.484375
57,146.484375
58,142.578125
59,146.484375
60,146.484375
61,142.578125
62,140.625000
63,146.484375
64,142.578125
65,146.484375
66,142.578125
67,148.437500
68,146.484375
69,152.343750
70,148.437500
71,152.343750
72,150.390625
73,148.437500
74,152.343750
75,154.296875
76,146.484375
77,148.437500
78,146.484375
79,148.437500
80,154.296875
81,142.578125
82,146.484375
83,148.437500
84,152.343750
85,152.343750
86,146.484375
87,146.484375
88,148.437500
89,146.484375
90,148.437500
91,152.343750
92,148.437500
93,156.250000
94,152.343750
95,152.343750
96,148.437500
97,150.390625
98,148.437500
99,146.484375
100,158.203125
101,148.437500
102,152.343750
103,150.390625
104,152.343750
105,148.437500
106,152.343750
107,146.484375
108,152.343750
109,154.296875
110,148.437500
111,162.109375
112,154.296875
113,152.343750
114,152.343750
115,154.296875
116,154.296875
117,154.296875
118,152.343750
119,152.343750
120,150.390625
121,154.296875
122,160.156250
123,146.484375
124,150.390625
125,150.390625
126,152.343750
127,158.203125
128,152.343750
129,148.437500
130,142.578125
131,150.390625
132,148.437500
133,150.390625
134,148.437500
135,152.343750
136,150.390625
137,152.343750
138,146.484375
139,150.390625
140,148.437500
141,154.296875
142,146.484375
143,154.296875
144,148.437500
145,150.390625
146,152.343750
147,150.390625
148,150.390625
149,154.296875
150,150.390625
151,148.437500
152,152.343750
153,150.390625
154,154.296875
155,154.296875
156,152.343750
157,152.343750
158,154.296875
159,154.296875
160,150.390625
161,154.296875
162,154.296875
163,154.296875
164,154.296875
165,154.296875
166,154.296875
167,148.437500
168,154.296875
169,156.250000
170,154.296875
171,148.437500
172,156.250000
173,152.343750
174,158.203125
175,150.390625
176,150.390625
177,154.296875
178,152.343750
179,152.343750
180,150.390625
181,150.390625
182,152.343750
183,154.296875
184,150.390625
185,152.343750
186,152.343750
187,154.296875
188,152.343750
189,152.343750
190,154.296875
191,152.343750
192,152.343750
193,154.296875
194,154.296875
195,152.343750
196,152.343750
197,146.484375
198,154.296875
199,162.109375
200,152.343750
201,156.250000
202,154.296875
203,152.343750
204,154.296875
205,154.296875
206,150.390625
207,158.203125
208,152.343750
209,156.250000
210,154.296875
211,158.203125
212,156.250000
213,150.390625
214,154.296875
215,152.343750
216,156.250000
217,154.296875
218,154.296875
219,150.390625
220,164.062500
221,154.296875
222,154.296875
223,146.484375
224,152.343750
225,154.296875
226,152.343750
227,154.296875
228,152.343750
229,152.343750
230,150.390625
231,152.343750
232,150.390625
233,152.343750
234,154.296875
235,154.296875
236,146.484375
237,152.343750
238,152.343750
239,154.296875
240,154.296875
241,152.343750
242,150.390625
243,152.343750
244,152.343750
245,152.343750
246,158.203125
247,154.296875
248,156.250000
249,152.343750
250,158.203125
251,154.296875
252,150.390625
253,152.343750
254,152.343750
255,154.296875
256,154.296875
257,152.343750
258,156.250000
259,156.250000
260,152.343750
261,156.250000
262,156.250000
263,152.343750
264,154.296875
265,154.296875
266,154.296875
267,148.437500
268,158.203125
269,154.296875
270,152.343750
271,154.296875
272,160.156250
273,154.296875
274,154.296875
275,152.343750
276,154.296875
277,158.203125
278,152.343750
279,148.437500
280,152.343750
281,154.296875
282,152.343750
283,158.203125
284,150.390625
285,152.343750
286,154.296875
287,156.250000
288,150.390625
289,152.343750
290,152.343750
291,156.250000
292,152.343750
293,156.250000
294,150.390625
295,154.296875
296,156.250000
297,154.296875
298,152.343750
299,154.296875
300,154.296875
301,152.343750
302,158.203125
303,154.296875
304,154.296875
305,154.296875
306,152.343750
307,152.343750
308,154.296875
309,152.343750
310,154.296875
311,156.250000
312,152.343750
313,154.296875
314,154.296875
315,154.296875
316,158.203125
317,162.109375
318,150.390625
319,154.296875
320,154.296875
321,152.343750
322,152.343750
323,150.390625
324,156.250000
325,154.296875
326,152.343750
327,156.250000
328,156.250000
329,152.343750
330,152.343750
331,152.343750
332,158.203125
333,148.437500
334,152.343750
335,154.296875
336,152.343750
337,152.343750
338,150.390625
339,154.296875
340,152.343750
341,154.296875
342,150.390625
343,152.343750
344,150.390625
345,152.343750
346,152.343750
347,146.484375
348,154.296875
349,156.250000
350,154.296875
351,162.109375
352,152.343750
353,148.437500
354,154.296875
355,148.437500
356,152.343750
357,158.203125
358,150.390625
359,154.296875
360,154.296875
361,148.437500
362,150.390625
363,154.296875
364,152.343750
365,150.390625
366,152.343750
367,154.296875
368,150.390625
369,146.484375
370,150.390625
371,152.343750
372,154.296875
373,146.484375
374,146.484375
375,150.390625
376,146.484375
377,142.578125
378,142.578125
379,146.484375
380,150.390625
381,150.390625
382,142.578125
383,146.484375
384,146.484375
385,148.437500
386,144.531250
387,146.484375
388,146.484375
389,126.953125
390,142.578125
391,146.484375
392,146.484375
393,144.531250
394,150.390625
395,146.484375
396,142.578125
397,148.437500
398,146.484375
399,140.625000
400,146.484375
401,146.484375
402,150.390625
403,148.437500
404,150.390625
405,146.484375
406,150.390625
407,146.484375
408,146.484375
409,148.437500
410,146.484375
411,148.437500
412,150.390625
413,148.437500
414,148.437500
415,148.437500
416,146.484375
417,148.437500
418,148.437500
419,152.343750
420,146.484375
421,146.484375
422,146.484375
423,148.437500
424,142.578125
425,146.484375
426,144.531250
427,152.343750
428,146.484375
429,140.625000
430,146.484375
431,148.437500
432,150.390625
433,146.484375
434,146.484375
435,146.484375
436,146.484375
437,150.390625
438,148.437500
439,146.484375
440,146.484375
441,150.390625
442,146.484375
443,150.390625
444,146.484375
445,146.484375
446,150.390625
447,146.484375
448,146.484375
449,148.437500
450,148.437500
451,146.484375
452,146.484375
453,146.484375
454,142.578125
455,142.578125
456,140.625000
457,142.578125
458,142.578125
459,142.578125
460,142.578125
461,150.390625
462,146.484375
463,142.578125
464,144.531250
465,142.578125
466,146.484375
467,148.437500
468,138.671875
469,140.625000
470,140.625000
471,144.531250
472,138.671875
473,140.625000
474,146.484375
475,140.625000
476,138.671875
477,140.625000
478,140.625000
479,138.671875
480,138.671875
481,138.671875
482,142.578125
483,146.484375
484,142.578125
485,142.578125
486,138.671875
487,142.578125
488,140.625000
489,136.718750
490,138.671875
491,142.578125
492,138.671875
493,138.671875
494,138.671875
495,142.578125
496,142.578125
497,144.531250
498,146.484375
499,146.484375
500,140.625000
501,140.625000
502,142.578125
503,142.578125
504,146.484375
505,142.578125
506,142.578125
507,146.484375
508,142.578125
509,142.578125
510,144.531250
511,142.578125
512,140.625000
513,146.484375
514,146.484375
515,146.484375
516,142.578125
517,142.578125
518,142.578125
519,146.484375
520,140.625000
521,146.484375
522,142.578125
523,140.625000
524,140.625000
525,146.484375
526,142.578125
527,146.484375
528,138.671875
529,140.625000
530,148.437500
531,140.625000
532,142.578125
533,138.671875
534,142.578125
535,146.484375
536,142.578125
537,142.578125
538,140.625000
539,142.578125
540,142.578125
541,146.484375
542,138.671875
543,146.484375
544,142.578125
545,142.578125
546,148.437500
547,142.578125
548,146.484375
549,140.625000
550,146.484375
551,144.531250
552,142.578125
553,142.578125
554,140.625000
555,140.625000
556,142.578125
557,142.578125
558,144.531250
559,148.437500
560,146.484375
561,142.578125
562,142.578125
563,142.578125
564,146.484375
565,142.578125
566,140.625000
567,138.671875
568,146.484375
569,142.578125
570,134.765625
571,136.718750
572,138.671875
573,136.718750
574,136.718750
575,128.906250
576,121.093750
577,130.859375
578,126.953125
579,123.046875
580,123.046875
581,125.000000
582,126.953125
583,126.953125
584,121.093750
585,125.000000
586,123.046875
587,123.046875
588,123.046875
589,121.093750
590,123.046875
591,119.140625
592,121.093750
593,126.953125
594,125.000000
595,123.046875
596,125.000000
597,123.046875
598,123.046875
599,125.000000
600,125.000000
601,121.093750
602,121.093750
603,123.046875
604,126.953125
605,130.859375
606,126.953125
607,126.953125
608,126.953125
609,125.000000
610,123.046875
611,126.953125
612,125.000000
613,126.953125
614,125.000000
615,126.953125
616,125.000000
617,123.046875
618,121.093750
619,128.906250
620,126.953125
621,123.046875
622,123.046875
623,121.093750
624,126.953125
625,128.906250
626,125.000000
627,123.046875
628,123.046875
629,126.953125
630,130.859375
631,123.046875
632,123.046875
633,130.859375
634,125.000000
635,125.000000
636,111.328125
637,123.046875
638,123.046875
639,125.000000
640,123.046875
641,125.000000
642,126.953125
643,123.046875
644,121.093750
645,125.000000
646,123.046875
647,121.093750
648,125.000000
649,126.953125
650,126.953125
651,126.953125
652,130.859375
653,123.046875
654,130.859375
