Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,78.13mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,126.953125
2,126.953125
3,123.046875
4,123.046875
5,126.953125
6,126.953125
7,126.953125
8,126.953125
9,125.000000
10,123.046875
11,126.953125
12,125.000000
13,126.953125
14,123.046875
15,126.953125
16,126.953125
17,126.953125
18,128.906250
19,130.859375
20,128.906250
21,126.953125
22,123.046875
23,126.953125
24,125.000000
25,126.953125
26,130.859375
27,130.859375
28,132.812500
29,130.859375
30,126.953125
31,126.953125
32,126.953125
33,130.859375
34,126.953125
35,126.953125
36,126.953125
37,126.953125
38,130.859375
39,130.859375
40,123.046875
41,126.953125
42,123.046875
43,130.859375
44,130.859375
45,125.000000
46,126.953125
47,126.953125
48,130.859375
49,130.859375
50,128.906250
51,130.859375
52,130.859375
53,126.953125
54,126.953125
55,125.000000
56,125.000000
57,125.000000
58,126.953125
59,125.000000
60,126.953125
61,126.953125
62,126.953125
63,125.000000
64,126.953125
65,130.859375
66,126.953125
67,126.953125
68,126.953125
69,125.000000
70,123.046875
71,126.953125
72,126.953125
73,125.000000
74,130.859375
75,125.000000
76,123.046875
77,126.953125
78,125.000000
79,125.000000
80,126.953125
81,128.906250
82,123.046875
83,130.859375
84,125.000000
85,125.000000
86,130.859375
87,126.953125
88,123.046875
89,119.140625
90,123.046875
91,126.953125
92,126.953125
93,126.953125
94,123.046875
95,125.000000
96,126.953125
97,123.046875
98,121.093750
99,123.046875
100,126.953125
101,117.187500
102,119.140625
103,117.187500
104,121.093750
105,119.140625
106,115.234375
107,117.187500
108,117.187500
109,115.234375
110,115.234375
111,119.140625
112,117.187500
113,113.281250
114,107.421875
115,119.140625
116,115.234375
117,115.234375
118,119.140625
119,111.328125
120,115.234375
121,111.328125
122,107.421875
123,111.328125
124,107.421875
125,109.375000
126,111.328125
127,111.328125
128,115.234375
129,123.046875
130,115.234375
131,111.328125
132,113.281250
133,115.234375
134,111.328125
135,111.328125
136,111.328125
137,111.328125
138,109.375000
139,115.234375
140,111.328125
141,113.281250
142,115.234375
143,115.234375
144,109.375000
145,107.421875
146,115.234375
147,115.234375
148,107.421875
149,111.328125
150,109.375000
151,115.234375
152,109.375000
153,109.375000
154,109.375000
155,109.375000
156,107.421875
157,107.421875
158,109.375000
159,107.421875
160,109.375000
161,111.328125
162,109.375000
163,113.281250
164,111.328125
165,111.328125
166,109.375000
167,111.328125
168,109.375000
169,111.328125
170,107.421875
171,103.515625
172,111.328125
173,111.328125
174,109.375000
175,111.328125
176,109.375000
177,105.468750
178,109.375000
179,101.562500
180,103.515625
181,109.375000
182,111.328125
183,107.421875
184,111.328125
185,111.328125
186,111.328125
187,109.375000
188,109.375000
189,111.328125
190,111.328125
191,111.328125
192,111.328125
193,109.375000
194,111.328125
195,111.328125
196,111.328125
197,105.468750
198,115.234375
199,115.234375
200,111.328125
201,107.421875
202,113.281250
203,111.328125
204,111.328125
205,107.421875
206,103.515625
207,107.421875
208,111.328125
209,109.375000
210,105.468750
211,111.328125
212,107.421875
213,113.281250
214,109.375000
215,111.328125
216,107.421875
217,111.328125
218,111.328125
219,115.234375
220,109.375000
221,113.281250
222,115.234375
223,107.421875
224,111.328125
225,107.421875
226,109.375000
227,115.234375
228,111.328125
229,107.421875
230,115.234375
231,107.421875
232,111.328125
233,111.328125
234,109.375000
235,111.328125
236,111.328125
237,111.328125
238,117.187500
239,111.328125
240,111.328125
241,117.187500
242,115.234375
243,111.328125
244,107.421875
245,111.328125
246,117.187500
247,111.328125
248,107.421875
249,111.328125
250,111.328125
251,111.328125
252,111.328125
253,109.375000
254,113.281250
255,111.328125
256,111.328125
257,107.421875
258,109.375000
259,111.328125
260,107.421875
261,109.375000
262,111.328125
263,109.375000
264,111.328125
265,109.375000
266,111.328125
267,115.234375
268,109.375000
269,111.328125
270,109.375000
271,113.281250
272,109.375000
273,115.234375
274,117.187500
275,119.140625
276,121.093750
277,115.234375
278,115.234375
279,115.234375
280,121.093750
281,123.046875
282,125.000000
283,121.093750
284,125.000000
285,121.093750
286,126.953125
287,126.953125
288,123.046875
289,126.953125
290,126.953125
291,125.000000
292,125.000000
293,130.859375
294,130.859375
295,126.953125
296,126.953125
297,130.859375
298,138.671875
299,130.859375
300,126.953125
301,130.859375
302,134.765625
303,134.765625
304,126.953125
305,126.953125
306,130.859375
307,130.859375
308,136.718750
309,128.906250
310,130.859375
311,130.859375
312,130.859375
313,132.812500
314,136.718750
315,130.859375
316,132.812500
317,136.718750
318,130.859375
319,140.625000
320,134.765625
321,140.625000
322,144.531250
323,146.484375
324,142.578125
325,146.484375
326,142.578125
327,142.578125
328,142.578125
329,142.578125
330,148.437500
331,146.484375
332,146.484375
333,140.625000
334,146.484375
335,146.484375
336,146.484375
337,146.484375
338,146.484375
339,146.484375
340,146.484375
341,148.437500
342,146.484375
343,146.484375
344,136.718750
345,146.484375
346,148.437500
347,142.578125
348,142.578125
349,148.437500
350,142.578125
351,142.578125
352,142.578125
353,146.484375
354,150.390625
355,144.531250
356,142.578125
357,142.578125
358,148.437500
359,140.625000
360,146.484375
361,142.578125
362,146.484375
363,146.484375
364,146.484375
365,146.484375
366,146.484375
367,146.484375
368,148.437500
369,146.484375
370,142.578125
371,154.296875
372,142.578125
373,146.484375
374,148.437500
375,146.484375
376,152.343750
377,152.343750
378,148.437500
379,146.484375
380,150.390625
381,146.484375
382,146.484375
383,148.437500
384,146.484375
385,148.437500
386,150.390625
387,150.390625
388,150.390625
389,150.390625
390,142.578125
391,150.390625
392,150.390625
393,146.484375
394,146.484375
395,146.484375
396,152.343750
397,148.437500
398,150.390625
399,146.484375
400,146.484375
401,146.484375
402,148.437500
403,146.484375
404,142.578125
405,146.484375
406,148.437500
407,146.484375
408,142.578125
409,146.484375
410,146.484375
411,146.484375
412,146.484375
413,144.531250
414,146.484375
415,146.484375
416,146.484375
417,158.203125
418,146.484375
419,142.578125
420,148.437500
421,146.484375
422,146.484375
423,154.296875
424,150.390625
425,144.531250
426,148.437500
427,146.484375
428,150.390625
429,152.343750
430,148.437500
431,152.343750
432,154.296875
433,148.437500
434,152.343750
435,148.437500
436,158.203125
437,150.390625
438,148.437500
439,150.390625
440,154.296875
441,146.484375
442,152.343750
443,152.343750
444,152.343750
445,146.484375
446,152.343750
447,146.484375
448,152.343750
449,152.343750
450,146.484375
451,146.484375
452,152.343750
453,154.296875
454,150.390625
455,146.484375
456,146.484375
457,152.343750
458,146.484375
459,140.625000
460,148.437500
461,148.437500
462,150.390625
463,146.484375
464,154.296875
465,146.484375
466,150.390625
467,154.296875
468,146.484375
469,150.390625
470,146.484375
471,146.484375
472,146.484375
473,148.437500
474,148.437500
475,152.343750
476,150.390625
477,148.437500
478,154.296875
479,150.390625
480,146.484375
481,148.437500
482,144.531250
483,150.390625
484,152.343750
485,148.437500
486,150.390625
487,148.437500
488,150.390625
489,142.578125
490,148.437500
491,150.390625
492,146.484375
493,148.437500
494,146.484375
495,148.437500
496,154.296875
497,152.343750
498,146.484375
499,148.437500
500,150.390625
501,148.437500
502,142.578125
503,142.578125
504,142.578125
505,146.484375
506,136.718750
507,140.625000
508,134.765625
509,148.437500
510,138.671875
511,136.718750
512,134.765625
513,134.765625
514,132.812500
515,136.718750
516,126.953125
517,126.953125
518,126.953125
519,126.953125
520,126.953125
521,128.906250
522,132.812500
523,130.859375
524,132.812500
525,126.953125
526,130.859375
527,126.953125
528,130.859375
529,130.859375
530,130.859375
531,126.953125
532,130.859375
533,126.953125
534,128.906250
535,130.859375
536,130.859375
537,128.906250
538,132.812500
539,130.859375
540,126.953125
541,130.859375
542,130.859375
543,130.859375
544,126.953125
545,126.953125
546,130.859375
547,130.859375
548,128.906250
549,126.953125
550,130.859375
551,125.000000
552,130.859375
553,125.000000
554,123.046875
555,126.953125
556,130.859375
557,130.859375
558,126.953125
559,123.046875
560,126.953125
561,126.953125
562,126.953125
563,126.953125
564,126.953125
565,126.953125
566,123.046875
567,123.046875
568,130.859375
569,126.953125
570,126.953125
571,126.953125
572,125.000000
573,126.953125
574,123.046875
575,125.000000
576,134.765625
577,130.859375
578,126.953125
579,130.859375
580,126.953125
581,130.859375
582,142.578125
583,126.953125
584,128.906250
585,130.859375
586,130.859375
587,128.906250
588,132.812500
589,132.812500
590,134.765625
591,130.859375
592,126.953125
593,132.812500
594,130.859375
595,126.953125
596,126.953125
597,130.859375
598,130.859375
599,134.765625
600,130.859375
601,126.953125
602,125.000000
603,128.906250
604,130.859375
605,130.859375
606,125.000000
607,126.953125
608,128.906250
609,126.953125
610,125.000000
611,126.953125
612,128.906250
613,125.000000
614,126.953125
615,126.953125
616,126.953125
617,126.953125
618,123.046875
619,126.953125
620,123.046875
621,125.000000
622,126.953125
623,126.953125
624,126.953125
625,126.953125
626,121.093750
627,123.046875
628,115.234375
629,123.046875
630,125.000000
631,130.859375
632,126.953125
633,126.953125
634,126.953125
635,130.859375
636,126.953125
637,126.953125
638,126.953125
639,126.953125
640,130.859375
641,126.953125
642,130.859375
643,130.859375
644,126.953125
645,130.859375
646,130.859375
647,123.046875
648,126.953125
649,126.953125
650,130.859375
651,130.859375
652,125.000000
653,125.000000
654,128.906250
