Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,66.41mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,113.281250
2,113.281250
3,115.234375
4,107.421875
5,109.375000
6,115.234375
7,107.421875
8,111.328125
9,111.328125
10,111.328125
11,109.375000
12,107.421875
13,107.421875
14,109.375000
15,107.421875
16,111.328125
17,113.281250
18,109.375000
19,107.421875
20,115.234375
21,107.421875
22,105.468750
23,109.375000
24,111.328125
25,117.187500
26,115.234375
27,111.328125
28,109.375000
29,107.421875
30,107.421875
31,111.328125
32,111.328125
33,109.375000
34,111.328125
35,111.328125
36,113.281250
37,111.328125
38,107.421875
39,111.328125
40,113.281250
41,107.421875
42,107.421875
43,111.328125
44,111.328125
45,111.328125
46,109.375000
47,115.234375
48,111.328125
49,111.328125
50,111.328125
51,107.421875
52,105.468750
53,111.328125
54,115.234375
55,107.421875
56,101.562500
57,107.421875
58,109.375000
59,113.281250
60,111.328125
61,111.328125
62,111.328125
63,115.234375
64,111.328125
65,111.328125
66,115.234375
67,111.328125
68,111.328125
69,115.234375
70,115.234375
71,111.328125
72,117.187500
73,117.187500
74,115.234375
75,115.234375
76,111.328125
77,111.328125
78,115.234375
79,115.234375
80,115.234375
81,117.187500
82,111.328125
83,117.187500
84,119.140625
85,113.281250
86,115.234375
87,115.234375
88,115.234375
89,115.234375
90,115.234375
91,115.234375
92,115.234375
93,111.328125
94,111.328125
95,115.234375
96,115.234375
97,111.328125
98,111.328125
99,107.421875
100,111.328125
101,115.234375
102,111.328125
103,109.375000
104,109.375000
105,115.234375
106,115.234375
107,109.375000
108,111.328125
109,111.328125
110,111.328125
111,111.328125
112,111.328125
113,117.187500
114,109.375000
115,115.234375
116,109.375000
117,115.234375
118,115.234375
119,115.234375
120,109.375000
121,109.375000
122,111.328125
123,109.375000
124,111.328125
125,111.328125
126,113.281250
127,119.140625
128,111.328125
129,111.328125
130,111.328125
131,111.328125
132,111.328125
133,111.328125
134,111.328125
135,111.328125
136,111.328125
137,107.421875
138,113.281250
139,115.234375
140,115.234375
141,109.375000
142,115.234375
143,115.234375
144,113.281250
145,107.421875
146,113.281250
147,115.234375
148,117.187500
149,117.187500
150,113.281250
151,107.421875
152,115.234375
153,115.234375
154,115.234375
155,111.328125
156,111.328125
157,111.328125
158,115.234375
159,113.281250
160,109.375000
161,111.328125
162,107.421875
163,105.468750
164,111.328125
165,111.328125
166,109.375000
167,111.328125
168,111.328125
169,109.375000
170,115.234375
171,109.375000
172,111.328125
173,101.562500
174,111.328125
175,109.375000
176,109.375000
177,107.421875
178,111.328125
179,111.328125
180,111.328125
181,115.234375
182,111.328125
183,109.375000
184,111.328125
185,111.328125
186,113.281250
187,109.375000
188,111.328125
189,111.328125
190,115.234375
191,111.328125
192,111.328125
193,111.328125
194,115.234375
195,115.234375
196,111.328125
197,107.421875
198,113.281250
199,111.328125
200,109.375000
201,105.468750
202,105.468750
203,109.375000
204,115.234375
205,111.328125
206,107.421875
207,109.375000
208,107.421875
209,105.468750
210,105.468750
211,109.375000
212,105.468750
213,109.375000
214,99.609375
215,107.421875
216,111.328125
217,109.375000
218,107.421875
219,111.328125
220,111.328125
221,105.468750
222,109.375000
223,105.468750
224,107.421875
225,111.328125
226,109.375000
227,115.234375
228,115.234375
229,111.328125
230,111.328125
231,109.375000
232,105.468750
233,111.328125
234,105.468750
235,107.421875
236,107.421875
237,107.421875
238,107.421875
239,107.421875
240,105.468750
241,103.515625
242,109.375000
243,107.421875
244,103.515625
245,107.421875
246,111.328125
247,105.468750
248,107.421875
249,105.468750
250,107.421875
251,109.375000
252,107.421875
253,105.468750
254,105.468750
255,103.515625
256,111.328125
257,107.421875
258,105.468750
259,105.468750
260,105.468750
261,107.421875
262,101.562500
263,101.562500
264,99.609375
265,105.468750
266,93.750000
267,97.656250
268,103.515625
269,101.562500
270,103.515625
271,105.468750
272,107.421875
273,109.375000
274,109.375000
275,103.515625
276,103.515625
277,103.515625
278,103.515625
279,105.468750
280,105.468750
281,103.515625
282,107.421875
283,105.468750
284,105.468750
285,103.515625
286,105.468750
287,105.468750
288,99.609375
289,105.468750
290,105.468750
291,105.468750
292,103.515625
293,111.328125
294,103.515625
295,103.515625
296,103.515625
297,101.562500
298,103.515625
299,99.609375
300,99.609375
301,103.515625
302,103.515625
303,101.562500
304,99.609375
305,95.703125
306,99.609375
307,99.609375
308,99.609375
309,95.703125
310,99.609375
311,95.703125
312,95.703125
313,91.796875
314,93.750000
315,89.843750
316,91.796875
317,97.656250
318,99.609375
319,97.656250
320,105.468750
321,95.703125
322,91.796875
323,93.750000
324,89.843750
325,93.750000
326,95.703125
327,99.609375
328,99.609375
329,99.609375
330,91.796875
331,95.703125
332,99.609375
333,89.843750
334,93.750000
335,93.750000
336,95.703125
337,93.750000
338,93.750000
339,97.656250
340,99.609375
341,99.609375
342,93.750000
343,91.796875
344,95.703125
345,95.703125
346,93.750000
347,91.796875
348,95.703125
349,99.609375
350,99.609375
351,95.703125
352,99.609375
353,93.750000
354,99.609375
355,93.750000
356,91.796875
357,93.750000
358,95.703125
359,95.703125
360,95.703125
361,95.703125
362,93.750000
363,95.703125
364,93.750000
365,95.703125
366,99.609375
367,95.703125
368,91.796875
369,95.703125
370,99.609375
371,95.703125
372,99.609375
373,95.703125
374,99.609375
375,103.515625
376,95.703125
377,95.703125
378,99.609375
379,95.703125
380,97.656250
381,91.796875
382,93.750000
383,95.703125
384,99.609375
385,99.609375
386,95.703125
387,97.656250
388,95.703125
389,95.703125
390,95.703125
391,99.609375
392,105.468750
393,99.609375
394,95.703125
395,95.703125
396,95.703125
397,99.609375
398,99.609375
399,93.750000
400,95.703125
401,99.609375
402,95.703125
403,99.609375
404,99.609375
405,91.796875
406,99.609375
407,99.609375
408,93.750000
409,91.796875
410,93.750000
411,95.703125
412,95.703125
413,99.609375
414,91.796875
415,99.609375
416,93.750000
417,95.703125
418,99.609375
419,97.656250
420,95.703125
421,91.796875
422,95.703125
423,93.750000
424,95.703125
425,95.703125
426,97.656250
427,99.609375
428,95.703125
429,99.609375
430,95.703125
431,101.562500
432,99.609375
433,101.562500
434,97.656250
435,95.703125
436,99.609375
437,99.609375
438,95.703125
439,99.609375
440,103.515625
441,99.609375
442,95.703125
443,101.562500
444,101.562500
445,97.656250
446,91.796875
447,99.609375
448,99.609375
449,95.703125
450,95.703125
451,99.609375
452,95.703125
453,89.843750
454,97.656250
455,93.750000
456,97.656250
457,99.609375
458,95.703125
459,95.703125
460,99.609375
461,95.703125
462,95.703125
463,99.609375
464,95.703125
465,99.609375
466,95.703125
467,95.703125
468,95.703125
469,95.703125
470,99.609375
471,95.703125
472,95.703125
473,99.609375
474,99.609375
475,101.562500
476,101.562500
477,99.609375
478,99.609375
479,101.562500
480,93.750000
481,99.609375
482,103.515625
483,99.609375
484,101.562500
485,103.515625
486,101.562500
487,99.609375
488,99.609375
489,99.609375
490,103.515625
491,105.468750
492,103.515625
493,95.703125
494,97.656250
495,99.609375
496,105.468750
497,99.609375
498,101.562500
499,99.609375
500,105.468750
501,101.562500
502,95.703125
503,95.703125
504,103.515625
505,101.562500
506,101.562500
507,107.421875
508,97.656250
509,101.562500
510,99.609375
511,95.703125
512,97.656250
513,107.421875
514,99.609375
515,95.703125
516,101.562500
517,99.609375
518,101.562500
519,99.609375
520,105.468750
521,103.515625
522,105.468750
523,101.562500
524,99.609375
525,101.562500
526,101.562500
527,101.562500
528,103.515625
529,103.515625
530,101.562500
531,103.515625
532,101.562500
533,99.609375
534,107.421875
535,103.515625
536,101.562500
537,99.609375
538,103.515625
539,103.515625
540,103.515625
541,101.562500
542,99.609375
543,109.375000
544,101.562500
545,99.609375
546,101.562500
547,101.562500
548,103.515625
549,95.703125
550,95.703125
551,103.515625
552,103.515625
553,103.515625
554,101.562500
555,99.609375
556,105.468750
557,99.609375
558,105.468750
559,99.609375
560,101.562500
561,107.421875
562,101.562500
563,101.562500
564,101.562500
565,101.562500
566,107.421875
567,101.562500
568,103.515625
569,101.562500
570,97.656250
571,99.609375
572,99.609375
573,95.703125
574,107.421875
575,107.421875
576,103.515625
577,105.468750
578,99.609375
579,95.703125
580,105.468750
581,95.703125
582,103.515625
583,105.468750
584,105.468750
585,101.562500
586,105.468750
587,101.562500
588,105.468750
589,101.562500
590,107.421875
591,99.609375
592,99.609375
593,103.515625
594,101.562500
595,105.468750
596,101.562500
597,101.562500
598,107.421875
599,107.421875
600,101.562500
601,101.562500
602,101.562500
603,107.421875
604,101.562500
605,99.609375
606,101.562500
607,99.609375
608,99.609375
609,99.609375
610,101.562500
611,101.562500
612,105.468750
613,99.609375
614,99.609375
615,97.656250
616,103.515625
617,105.468750
618,101.562500
619,103.515625
620,105.468750
621,107.421875
622,99.609375
623,115.234375
624,105.468750
625,105.468750
626,105.468750
627,103.515625
628,103.515625
629,109.375000
630,101.562500
631,109.375000
632,107.421875
633,101.562500
634,105.468750
635,103.515625
636,105.468750
637,105.468750
638,107.421875
639,101.562500
640,107.421875
641,105.468750
642,111.328125
643,105.468750
644,101.562500
645,99.609375
646,107.421875
647,101.562500
648,105.468750
649,101.562500
650,103.515625
651,109.375000
652,97.656250
653,97.656250
654,99.609375
