Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,64.45mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,123.046875
2,123.046875
3,119.140625
4,125.000000
5,126.953125
6,121.093750
7,123.046875
8,125.000000
9,123.046875
10,123.046875
11,130.859375
12,126.953125
13,130.859375
14,126.953125
15,126.953125
16,126.953125
17,130.859375
18,126.953125
19,130.859375
20,134.765625
21,126.953125
22,134.765625
23,130.859375
24,130.859375
25,134.765625
26,130.859375
27,130.859375
28,134.765625
29,128.906250
30,126.953125
31,130.859375
32,126.953125
33,125.000000
34,123.046875
35,119.140625
36,123.046875
37,123.046875
38,117.187500
39,119.140625
40,121.093750
41,123.046875
42,123.046875
43,115.234375
44,111.328125
45,117.187500
46,119.140625
47,121.093750
48,111.328125
49,115.234375
50,115.234375
51,115.234375
52,117.187500
53,115.234375
54,111.328125
55,107.421875
56,107.421875
57,113.281250
58,111.328125
59,115.234375
60,115.234375
61,115.234375
62,109.375000
63,111.328125
64,109.375000
65,111.328125
66,115.234375
67,107.421875
68,111.328125
69,111.328125
70,111.328125
71,115.234375
72,115.234375
73,111.328125
74,111.328125
75,109.375000
76,111.328125
77,111.328125
78,111.328125
79,111.328125
80,113.281250
81,111.328125
82,107.421875
83,115.234375
84,117.187500
85,111.328125
86,111.328125
87,111.328125
88,109.375000
89,111.328125
90,107.421875
91,107.421875
92,115.234375
93,105.468750
94,111.328125
95,105.468750
96,111.328125
97,111.328125
98,109.375000
99,109.375000
100,107.421875
101,109.375000
102,111.328125
103,115.234375
104,109.375000
105,111.328125
106,111.328125
107,107.421875
108,107.421875
109,113.281250
110,107.421875
111,113.281250
112,111.328125
113,107.421875
114,109.375000
115,111.328125
116,111.328125
117,107.421875
118,111.328125
119,107.421875
120,111.328125
121,107.421875
122,113.281250
123,115.234375
124,111.328125
125,111.328125
126,109.375000
127,113.281250
128,105.468750
129,111.328125
130,111.328125
131,117.187500
132,99.609375
133,107.421875
134,107.421875
135,111.328125
136,107.421875
137,109.375000
138,107.421875
139,111.328125
140,109.375000
141,107.421875
142,111.328125
143,107.421875
144,111.328125
145,109.375000
146,115.234375
147,107.421875
148,105.468750
149,107.421875
150,111.328125
151,111.328125
152,113.281250
153,111.328125
154,109.375000
155,107.421875
156,105.468750
157,107.421875
158,113.281250
159,111.328125
160,109.375000
161,113.281250
162,107.421875
163,109.375000
164,107.421875
165,107.421875
166,105.468750
167,117.187500
168,109.375000
169,113.281250
170,107.421875
171,107.421875
172,115.234375
173,111.328125
174,111.328125
175,107.421875
176,109.375000
177,107.421875
178,109.375000
179,115.234375
180,107.421875
181,111.328125
182,109.375000
183,111.328125
184,111.328125
185,107.421875
186,109.375000
187,115.234375
188,105.468750
189,111.328125
190,154.296875
191,158.203125
192,154.296875
193,158.203125
194,158.203125
195,158.203125
196,158.203125
197,162.109375
198,158.203125
199,152.343750
200,158.203125
201,158.203125
202,156.250000
203,160.156250
204,158.203125
205,158.203125
206,162.109375
207,162.109375
208,156.250000
209,162.109375
210,162.109375
211,158.203125
212,162.109375
213,156.250000
214,162.109375
215,158.203125
216,158.203125
217,158.203125
218,162.109375
219,160.156250
220,162.109375
221,160.156250
222,164.062500
223,162.109375
224,158.203125
225,158.203125
226,162.109375
227,164.062500
228,162.109375
229,158.203125
230,162.109375
231,169.921875
232,162.109375
233,162.109375
234,152.343750
235,160.156250
236,162.109375
237,154.296875
238,154.296875
239,156.250000
240,158.203125
241,158.203125
242,158.203125
243,158.203125
244,156.250000
245,156.250000
246,156.250000
247,158.203125
248,162.109375
249,156.250000
250,158.203125
251,152.343750
252,156.250000
253,154.296875
254,152.343750
255,154.296875
256,154.296875
257,152.343750
258,154.296875
259,162.109375
260,154.296875
261,154.296875
262,146.484375
263,152.343750
264,150.390625
265,150.390625
266,152.343750
267,152.343750
268,152.343750
269,154.296875
270,152.343750
271,152.343750
272,146.484375
273,146.484375
274,154.296875
275,148.437500
276,154.296875
277,154.296875
278,154.296875
279,152.343750
280,154.296875
281,146.484375
282,148.437500
283,152.343750
284,150.390625
285,146.484375
286,148.437500
287,150.390625
288,150.390625
289,150.390625
290,146.484375
291,152.343750
292,150.390625
293,144.531250
294,152.343750
295,152.343750
296,152.343750
297,152.343750
298,154.296875
299,154.296875
300,152.343750
301,148.437500
302,152.343750
303,148.437500
304,156.250000
305,154.296875
306,154.296875
307,156.250000
308,156.250000
309,154.296875
310,154.296875
311,156.250000
312,158.203125
313,156.250000
314,156.250000
315,154.296875
316,162.109375
317,154.296875
318,156.250000
319,156.250000
320,156.250000
321,158.203125
322,154.296875
323,156.250000
324,154.296875
325,162.109375
326,154.296875
327,154.296875
328,154.296875
329,156.250000
330,160.156250
331,156.250000
332,152.343750
333,160.156250
334,154.296875
335,156.250000
336,156.250000
337,152.343750
338,154.296875
339,158.203125
340,162.109375
341,154.296875
342,154.296875
343,154.296875
344,154.296875
345,154.296875
346,152.343750
347,154.296875
348,156.250000
349,154.296875
350,156.250000
351,154.296875
352,154.296875
353,156.250000
354,146.484375
355,152.343750
356,154.296875
357,154.296875
358,154.296875
359,162.109375
360,160.156250
361,154.296875
362,158.203125
363,156.250000
364,152.343750
365,154.296875
366,152.343750
367,154.296875
368,158.203125
369,158.203125
370,156.250000
371,156.250000
372,158.203125
373,154.296875
374,158.203125
375,154.296875
376,154.296875
377,162.109375
378,156.250000
379,152.343750
380,154.296875
381,154.296875
382,154.296875
383,154.296875
384,154.296875
385,154.296875
386,162.109375
387,156.250000
388,152.343750
389,148.437500
390,156.250000
391,158.203125
392,154.296875
393,150.390625
394,152.343750
395,154.296875
396,148.437500
397,154.296875
398,148.437500
399,148.437500
400,150.390625
401,148.437500
402,148.437500
403,148.437500
404,150.390625
405,154.296875
406,150.390625
407,150.390625
408,150.390625
409,150.390625
410,150.390625
411,154.296875
412,148.437500
413,146.484375
414,150.390625
415,146.484375
416,146.484375
417,148.437500
418,146.484375
419,146.484375
420,142.578125
421,146.484375
422,142.578125
423,146.484375
424,146.484375
425,138.671875
426,130.859375
427,136.718750
428,138.671875
429,134.765625
430,132.812500
431,132.812500
432,136.718750
433,140.625000
434,138.671875
435,138.671875
436,138.671875
437,130.859375
438,138.671875
439,138.671875
440,134.765625
441,134.765625
442,136.718750
443,132.812500
444,134.765625
445,132.812500
446,132.812500
447,134.765625
448,132.812500
449,134.765625
450,138.671875
451,138.671875
452,140.625000
453,138.671875
454,138.671875
455,138.671875
456,132.812500
457,138.671875
458,136.718750
459,132.812500
460,138.671875
461,138.671875
462,138.671875
463,142.578125
464,138.671875
465,138.671875
466,138.671875
467,138.671875
468,138.671875
469,138.671875
470,138.671875
471,138.671875
472,142.578125
473,134.765625
474,138.671875
475,138.671875
476,136.718750
477,138.671875
478,132.812500
479,130.859375
480,132.812500
481,132.812500
482,130.859375
483,130.859375
484,126.953125
485,132.812500
486,132.812500
487,130.859375
488,130.859375
489,134.765625
490,126.953125
491,125.000000
492,126.953125
493,130.859375
494,130.859375
495,130.859375
496,130.859375
497,130.859375
498,136.718750
499,130.859375
500,130.859375
501,126.953125
502,126.953125
503,132.812500
504,130.859375
505,134.765625
506,132.812500
507,138.671875
508,130.859375
509,134.765625
510,119.140625
511,117.187500
512,115.234375
513,115.234375
514,117.187500
515,121.093750
516,123.046875
517,119.140625
518,121.093750
519,123.046875
520,123.046875
521,119.140625
522,123.046875
523,117.187500
524,117.187500
525,115.234375
526,117.187500
527,117.187500
528,119.140625
529,111.328125
530,115.234375
531,119.140625
532,115.234375
533,123.046875
534,115.234375
535,113.281250
536,115.234375
537,115.234375
538,117.187500
539,115.234375
540,117.187500
541,119.140625
542,119.140625
543,111.328125
544,115.234375
545,115.234375
546,115.234375
547,111.328125
548,115.234375
549,111.328125
550,115.234375
551,111.328125
552,121.093750
553,117.187500
554,117.187500
555,123.046875
556,117.187500
557,115.234375
558,113.281250
559,115.234375
560,115.234375
561,119.140625
562,115.234375
563,117.187500
564,119.140625
565,115.234375
566,115.234375
567,119.140625
568,121.093750
569,117.187500
570,115.234375
571,119.140625
572,117.187500
573,111.328125
574,117.187500
575,121.093750
576,121.093750
577,117.187500
578,123.046875
579,125.000000
580,126.953125
581,123.046875
582,130.859375
583,132.812500
584,130.859375
585,132.812500
586,132.812500
587,132.812500
588,132.812500
589,138.671875
590,134.765625
591,136.718750
592,134.765625
593,142.578125
594,142.578125
595,140.625000
596,142.578125
597,138.671875
598,140.625000
599,140.625000
600,142.578125
601,144.531250
602,142.578125
603,146.484375
604,146.484375
605,146.484375
606,142.578125
607,148.437500
608,148.437500
609,146.484375
610,150.390625
611,146.484375
612,146.484375
613,146.484375
614,146.484375
615,148.437500
616,154.296875
617,152.343750
618,148.437500
619,148.437500
620,148.437500
621,150.390625
622,152.343750
623,150.390625
624,146.484375
625,152.343750
626,150.390625
627,154.296875
628,146.484375
629,144.531250
630,148.437500
631,152.343750
632,150.390625
633,152.343750
634,148.437500
635,154.296875
636,152.343750
637,148.437500
638,152.343750
639,148.437500
640,152.343750
641,152.343750
642,152.343750
643,152.343750
644,154.296875
645,152.343750
646,150.390625
647,152.343750
648,156.250000
649,150.390625
650,154.296875
651,150.390625
652,152.343750
653,154.296875
654,156.250000
