Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,66.41mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-29.296875
2,-29.296875
3,-31.250000
4,-29.296875
5,-29.296875
6,-29.296875
7,-29.296875
8,-29.296875
9,-29.296875
10,-29.296875
11,-25.390625
12,-29.296875
13,-29.296875
14,-29.296875
15,-29.296875
16,-29.296875
17,-31.250000
18,-33.203125
19,-31.250000
20,-29.296875
21,-31.250000
22,-31.250000
23,-33.203125
24,-29.296875
25,-31.250000
26,-29.296875
27,-29.296875
28,-33.203125
29,-31.250000
30,-33.203125
31,-29.296875
32,-29.296875
33,-31.250000
34,-31.250000
35,-31.250000
36,-31.250000
37,-31.250000
38,-31.250000
39,-33.203125
40,-29.296875
41,-31.250000
42,-31.250000
43,-31.250000
44,-33.203125
45,-29.296875
46,-31.250000
47,-31.250000
48,-35.156250
49,-31.250000
50,-29.296875
51,-31.250000
52,-29.296875
53,-29.296875
54,-31.250000
55,-29.296875
56,-33.203125
57,-33.203125
58,-31.250000
59,-31.250000
60,-29.296875
61,-31.250000
62,-29.296875
63,-31.250000
64,-31.250000
65,-31.250000
66,-46.875000
67,-29.296875
68,-31.250000
69,-31.250000
70,-29.296875
71,-33.203125
72,-31.250000
73,-33.203125
74,-29.296875
75,-29.296875
76,-33.203125
77,-33.203125
78,-33.203125
79,-31.250000
80,-31.250000
81,-33.203125
82,-33.203125
83,-33.203125
84,-33.203125
85,-29.296875
86,-37.109375
87,-31.250000
88,-29.296875
89,-29.296875
90,-29.296875
91,-33.203125
92,-31.250000
93,-29.296875
94,-33.203125
95,-31.250000
96,-31.250000
97,-33.203125
98,-31.250000
99,-31.250000
100,-29.296875
101,-33.203125
102,-31.250000
103,-29.296875
104,-33.203125
105,-31.250000
106,-31.250000
107,-33.203125
108,-31.250000
109,-31.250000
110,-33.203125
111,-33.203125
112,-29.296875
113,-33.203125
114,-33.203125
115,-31.250000
116,-33.203125
117,-33.203125
118,-31.250000
119,-33.203125
120,-31.250000
121,-33.203125
122,-33.203125
123,-33.203125
124,-33.203125
125,-33.203125
126,-35.156250
127,-33.203125
128,-33.203125
129,-33.203125
130,-33.203125
131,-35.156250
132,-33.203125
133,-35.156250
134,-33.203125
135,-44.921875
136,-35.156250
137,-33.203125
138,-33.203125
139,-33.203125
140,-35.156250
141,-35.156250
142,-37.109375
143,-35.156250
144,-35.156250
145,-35.156250
146,-37.109375
147,-33.203125
148,-35.156250
149,-39.062500
150,-35.156250
151,-37.109375
152,-35.156250
153,-35.156250
154,-35.156250
155,-33.203125
156,-39.062500
157,-33.203125
158,-35.156250
159,-33.203125
160,-33.203125
161,-39.062500
162,-35.156250
163,-35.156250
164,-35.156250
165,-33.203125
166,-33.203125
167,-35.156250
168,-35.156250
169,-37.109375
170,-33.203125
171,-37.109375
172,-23.437500
173,-35.156250
174,-39.062500
175,-33.203125
176,-37.109375
177,-39.062500
178,-37.109375
179,-39.062500
180,-39.062500
181,-52.734375
182,-37.109375
183,-41.015625
184,-39.062500
185,-39.062500
186,-44.921875
187,-37.109375
188,-41.015625
189,-39.062500
190,-41.015625
191,-41.015625
192,-41.015625
193,-41.015625
194,-41.015625
195,-41.015625
196,-42.968750
197,-39.062500
198,-42.968750
199,-44.921875
200,-41.015625
201,-41.015625
202,-41.015625
203,-44.921875
204,-54.687500
205,-41.015625
206,-41.015625
207,-44.921875
208,-42.968750
209,-44.921875
210,-44.921875
211,-44.921875
212,-44.921875
213,-44.921875
214,-44.921875
215,-44.921875
216,-42.968750
217,-44.921875
218,-44.921875
219,-46.875000
220,-44.921875
221,-44.921875
222,-48.828125
223,-44.921875
224,-48.828125
225,-44.921875
226,-44.921875
227,-48.828125
228,-44.921875
229,-46.875000
230,-44.921875
231,-48.828125
232,-44.921875
233,-46.875000
234,-48.828125
235,-46.875000
236,-48.828125
237,-48.828125
238,-46.875000
239,-46.875000
240,-48.828125
241,-44.921875
242,-46.875000
243,-46.875000
244,-46.875000
245,-48.828125
246,-46.875000
247,-50.781250
248,-44.921875
249,-46.875000
250,-48.828125
251,-48.828125
252,-48.828125
253,-48.828125
254,-48.828125
255,-46.875000
256,-46.875000
257,-46.875000
258,-50.781250
259,-46.875000
260,-48.828125
261,-50.781250
262,-44.921875
263,-48.828125
264,-44.921875
265,-46.875000
266,-48.828125
267,-48.828125
268,-50.781250
269,-48.828125
270,-50.781250
271,-48.828125
272,-48.828125
273,-41.015625
274,-48.828125
275,-48.828125
276,-48.828125
277,-48.828125
278,-52.734375
279,-48.828125
280,-46.875000
281,-48.828125
282,-44.921875
283,-48.828125
284,-44.921875
285,-48.828125
286,-48.828125
287,-46.875000
288,-46.875000
289,-46.875000
290,-48.828125
291,-48.828125
292,-44.921875
293,-44.921875
294,-44.921875
295,-44.921875
296,-31.250000
297,-44.921875
298,-44.921875
299,-44.921875
300,-41.015625
301,-41.015625
302,-41.015625
303,-41.015625
304,-41.015625
305,-37.109375
306,-41.015625
307,-37.109375
308,-37.109375
309,-37.109375
310,-31.250000
311,-39.062500
312,-35.156250
313,-33.203125
314,-35.156250
315,-31.250000
316,-33.203125
317,-33.203125
318,-33.203125
319,-33.203125
320,-29.296875
321,-33.203125
322,-19.531250
323,-29.296875
324,-31.250000
325,-31.250000
326,-29.296875
327,-29.296875
328,-29.296875
329,-29.296875
330,-29.296875
331,-29.296875
332,-29.296875
333,-29.296875
334,-29.296875
335,-29.296875
336,-27.343750
337,-29.296875
338,-25.390625
339,-29.296875
340,-29.296875
341,-29.296875
342,-25.390625
343,-25.390625
344,-29.296875
345,-29.296875
346,-29.296875
347,-25.390625
348,-29.296875
349,-29.296875
350,-31.250000
351,-29.296875
352,-29.296875
353,-29.296875
354,-25.390625
355,-31.250000
356,-25.390625
357,-29.296875
358,-25.390625
359,-25.390625
360,-29.296875
361,-29.296875
362,-29.296875
363,-29.296875
364,-27.343750
365,-27.343750
366,-27.343750
367,-25.390625
368,-29.296875
369,-25.390625
370,-27.343750
371,-29.296875
372,-25.390625
373,-29.296875
374,-25.390625
375,-29.296875
376,-25.390625
377,-29.296875
378,-29.296875
379,-25.390625
380,-31.250000
381,-25.390625
382,-23.437500
383,-25.390625
384,-25.390625
385,-27.343750
386,-25.390625
387,-29.296875
388,-29.296875
389,-25.390625
390,-25.390625
391,-25.390625
392,-23.437500
393,-29.296875
394,-27.343750
395,-25.390625
396,-25.390625
397,-25.390625
398,-29.296875
399,-29.296875
400,-27.343750
401,-25.390625
402,-25.390625
403,-29.296875
404,-25.390625
405,-25.390625
406,-25.390625
407,-25.390625
408,-29.296875
409,-23.437500
410,-25.390625
411,-23.437500
412,-23.437500
413,-25.390625
414,-21.484375
415,-23.437500
416,-25.390625
417,-19.531250
418,-19.531250
419,-19.531250
420,-19.531250
421,-19.531250
422,-17.578125
423,-17.578125
424,-17.578125
425,-17.578125
426,-15.625000
427,-13.671875
428,-17.578125
429,-15.625000
430,-15.625000
431,-13.671875
432,-15.625000
433,-13.671875
434,-13.671875
435,-13.671875
436,-9.765625
437,-13.671875
438,-11.718750
439,-13.671875
440,-13.671875
441,-9.765625
442,-13.671875
443,-25.390625
444,-13.671875
445,-11.718750
446,-9.765625
447,-9.765625
448,-9.765625
449,-9.765625
450,-13.671875
451,-9.765625
452,-9.765625
453,-13.671875
454,-15.625000
455,-9.765625
456,-13.671875
457,-9.765625
458,-9.765625
459,-13.671875
460,-9.765625
461,-11.718750
462,-7.812500
463,-9.765625
464,-13.671875
465,-9.765625
466,-9.765625
467,-5.859375
468,-9.765625
469,-13.671875
470,-9.765625
471,-13.671875
472,-9.765625
473,-9.765625
474,-11.718750
475,-9.765625
476,-9.765625
477,-9.765625
478,-9.765625
479,-9.765625
480,-7.812500
481,-9.765625
482,-9.765625
483,-9.765625
484,-9.765625
485,-7.812500
486,-9.765625
487,-5.859375
488,-9.765625
489,-9.765625
490,-7.812500
491,-7.812500
492,-7.812500
493,-9.765625
494,-3.906250
495,-7.812500
496,-5.859375
497,-5.859375
498,-5.859375
499,-9.765625
500,-7.812500
501,-3.906250
502,-9.765625
503,-3.906250
504,-7.812500
505,-7.812500
506,-3.906250
507,-7.812500
508,-1.953125
509,-5.859375
510,-7.812500
511,-5.859375
512,-7.812500
513,-5.859375
514,-7.812500
515,-7.812500
516,-5.859375
517,-9.765625
518,-3.906250
519,-5.859375
520,-9.765625
521,-1.953125
522,-7.812500
523,-5.859375
524,-9.765625
525,-7.812500
526,-7.812500
527,-7.812500
528,-5.859375
529,-5.859375
530,-5.859375
531,-5.859375
532,-5.859375
533,-5.859375
534,-3.906250
535,-5.859375
536,-7.812500
537,-5.859375
538,-5.859375
539,-5.859375
540,-9.765625
541,-5.859375
542,-3.906250
543,-5.859375
544,-3.906250
545,-5.859375
546,-5.859375
547,-5.859375
548,-3.906250
549,-1.953125
550,-5.859375
551,-5.859375
552,-5.859375
553,-3.906250
554,-1.953125
555,-5.859375
556,-7.812500
557,-1.953125
558,-7.812500
559,-3.906250
560,-5.859375
561,-7.812500
562,-3.906250
563,-7.812500
564,-5.859375
565,-5.859375
566,-5.859375
567,-5.859375
568,-11.718750
569,-3.906250
570,-5.859375
571,-3.906250
572,-5.859375
