Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,58.59mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-60.546875
2,-60.546875
3,-60.546875
4,-60.546875
5,-64.453125
6,-60.546875
7,-62.500000
8,-60.546875
9,-62.500000
10,-60.546875
11,-60.546875
12,-60.546875
13,-60.546875
14,-56.640625
15,-62.500000
16,-60.546875
17,-60.546875
18,-60.546875
19,-56.640625
20,-60.546875
21,-60.546875
22,-60.546875
23,-62.500000
24,-62.500000
25,-62.500000
26,-60.546875
27,-60.546875
28,-62.500000
29,-60.546875
30,-60.546875
31,-60.546875
32,-60.546875
33,-60.546875
34,-58.593750
35,-60.546875
36,-60.546875
37,-62.500000
38,-60.546875
39,-60.546875
40,-60.546875
41,-60.546875
42,-60.546875
43,-62.500000
44,-60.546875
45,-60.546875
46,-60.546875
47,-60.546875
48,-41.015625
49,-60.546875
50,-56.640625
51,-64.453125
52,-56.640625
53,-60.546875
54,-60.546875
55,-56.640625
56,-60.546875
57,-62.500000
58,-60.546875
59,-60.546875
60,-60.546875
61,-60.546875
62,-58.593750
63,-60.546875
64,-60.546875
65,-60.546875
66,-60.546875
67,-60.546875
68,-58.593750
69,-60.546875
70,-60.546875
71,-60.546875
72,-60.546875
73,-60.546875
74,-62.500000
75,-60.546875
76,-60.546875
77,-60.546875
78,-68.359375
79,-60.546875
80,-60.546875
81,-58.593750
82,-58.593750
83,-60.546875
84,-58.593750
85,-60.546875
86,-60.546875
87,-60.546875
88,-60.546875
89,-60.546875
90,-58.593750
91,-60.546875
92,-56.640625
93,-56.640625
94,-60.546875
95,-58.593750
96,-56.640625
97,-60.546875
98,-58.593750
99,-60.546875
100,-58.593750
101,-56.640625
102,-56.640625
103,-54.687500
104,-60.546875
105,-56.640625
106,-56.640625
107,-56.640625
108,-52.734375
109,-56.640625
110,-58.593750
111,-54.687500
112,-56.640625
113,-56.640625
114,-56.640625
115,-58.593750
116,-56.640625
117,-60.546875
118,-56.640625
119,-41.015625
120,-58.593750
121,-56.640625
122,-56.640625
123,-56.640625
124,-56.640625
125,-56.640625
126,-56.640625
127,-56.640625
128,-56.640625
129,-54.687500
130,-56.640625
131,-56.640625
132,-54.687500
133,-56.640625
134,-56.640625
135,-56.640625
136,-56.640625
137,-52.734375
138,-56.640625
139,-56.640625
140,-54.687500
141,-56.640625
142,-66.406250
143,-56.640625
144,-56.640625
145,-56.640625
146,-56.640625
147,-56.640625
148,-56.640625
149,-54.687500
150,-56.640625
151,-54.687500
152,-56.640625
153,-56.640625
154,-56.640625
155,-56.640625
156,-56.640625
157,-56.640625
158,-56.640625
159,-54.687500
160,-56.640625
161,-56.640625
162,-56.640625
163,-56.640625
164,-52.734375
165,-56.640625
166,-54.687500
167,-56.640625
168,-56.640625
169,-54.687500
170,-52.734375
171,-56.640625
172,-54.687500
173,-52.734375
174,-54.687500
175,-54.687500
176,-52.734375
177,-54.687500
178,-52.734375
179,-56.640625
180,-52.734375
181,-52.734375
182,-50.781250
183,-48.828125
184,-50.781250
185,-48.828125
186,-46.875000
187,-48.828125
188,-44.921875
189,-48.828125
190,-48.828125
191,-46.875000
192,-50.781250
193,-44.921875
194,-44.921875
195,-46.875000
196,-46.875000
197,-44.921875
198,-44.921875
199,-46.875000
200,-44.921875
201,-44.921875
202,-48.828125
203,-46.875000
204,-41.015625
205,-44.921875
206,-44.921875
207,-44.921875
208,-46.875000
209,-44.921875
210,-46.875000
211,-41.015625
212,-44.921875
213,-41.015625
214,-44.921875
215,-44.921875
216,-44.921875
217,-44.921875
218,-44.921875
219,-44.921875
220,-48.828125
221,-44.921875
222,-44.921875
223,-42.968750
224,-41.015625
225,-44.921875
226,-44.921875
227,-41.015625
228,-46.875000
229,-41.015625
230,-44.921875
231,-44.921875
232,-41.015625
233,-44.921875
234,-41.015625
235,-44.921875
236,-41.015625
237,-41.015625
238,-46.875000
239,-44.921875
240,-41.015625
241,-44.921875
242,-44.921875
243,-44.921875
244,-44.921875
245,-41.015625
246,-46.875000
247,-44.921875
248,-41.015625
249,-44.921875
250,-42.968750
251,-42.968750
252,-46.875000
253,-41.015625
254,-44.921875
255,-44.921875
256,-44.921875
257,-46.875000
258,-41.015625
259,-44.921875
260,-41.015625
261,-48.828125
262,-44.921875
263,-44.921875
264,-44.921875
265,-41.015625
266,-42.968750
267,-44.921875
268,-41.015625
269,-41.015625
270,-41.015625
271,-42.968750
272,-44.921875
273,-44.921875
274,-41.015625
275,-44.921875
276,-41.015625
277,-44.921875
278,-42.968750
279,-42.968750
280,-44.921875
281,-42.968750
282,-44.921875
283,-41.015625
284,-41.015625
285,-44.921875
286,-42.968750
287,-41.015625
288,-42.968750
289,-42.968750
290,-42.968750
291,-44.921875
292,-41.015625
293,-44.921875
294,-42.968750
295,-41.015625
296,-41.015625
297,-41.015625
298,-41.015625
299,-41.015625
300,-41.015625
301,-44.921875
302,-39.062500
303,-44.921875
304,-44.921875
305,-41.015625
306,-42.968750
307,-42.968750
308,-44.921875
309,-41.015625
310,-41.015625
311,-46.875000
312,-41.015625
313,-46.875000
314,-41.015625
315,-41.015625
316,-44.921875
317,-41.015625
318,-44.921875
319,-41.015625
320,-41.015625
321,-44.921875
322,-42.968750
323,-41.015625
324,-44.921875
325,-41.015625
326,-42.968750
327,-41.015625
328,-41.015625
329,-41.015625
330,-41.015625
331,-42.968750
332,-42.968750
333,-41.015625
334,-48.828125
335,-44.921875
336,-42.968750
337,-39.062500
338,-44.921875
339,-44.921875
340,-44.921875
341,-42.968750
342,-44.921875
343,-41.015625
344,-44.921875
345,-42.968750
346,-42.968750
347,-44.921875
348,-42.968750
349,-44.921875
350,-44.921875
351,-41.015625
352,-44.921875
353,-41.015625
354,-44.921875
355,-44.921875
356,-41.015625
357,-44.921875
358,-44.921875
359,-41.015625
360,-41.015625
361,-42.968750
362,-44.921875
363,-44.921875
364,-41.015625
365,-44.921875
366,-44.921875
367,-44.921875
368,-41.015625
369,-44.921875
370,-44.921875
371,-41.015625
372,-44.921875
373,-44.921875
374,-41.015625
375,-44.921875
376,-42.968750
377,-44.921875
378,-46.875000
379,-44.921875
380,-44.921875
381,-44.921875
382,-44.921875
383,-44.921875
384,-42.968750
385,-39.062500
386,-44.921875
387,-41.015625
388,-44.921875
389,-41.015625
390,-44.921875
391,-44.921875
392,-41.015625
393,-46.875000
394,-44.921875
395,-44.921875
396,-44.921875
397,-42.968750
398,-44.921875
399,-44.921875
400,-44.921875
401,-41.015625
402,-44.921875
403,-42.968750
404,-41.015625
405,-44.921875
406,-39.062500
407,-44.921875
408,-44.921875
409,-44.921875
410,-46.875000
411,-42.968750
412,-44.921875
413,-44.921875
414,-41.015625
415,-44.921875
416,-35.156250
417,-44.921875
418,-44.921875
419,-41.015625
420,-46.875000
421,-41.015625
422,-44.921875
423,-41.015625
424,-44.921875
425,-44.921875
426,-44.921875
427,-44.921875
428,-41.015625
429,-46.875000
430,-41.015625
431,-44.921875
432,-41.015625
433,-42.968750
434,-44.921875
435,-48.828125
436,-41.015625
437,-41.015625
438,-42.968750
439,-37.109375
440,-29.296875
441,-41.015625
442,-42.968750
443,-41.015625
444,-41.015625
445,-41.015625
446,-41.015625
447,-44.921875
448,-42.968750
449,-44.921875
450,-41.015625
451,-41.015625
452,-42.968750
453,-41.015625
454,-44.921875
455,-41.015625
456,-41.015625
457,-44.921875
458,-44.921875
459,-44.921875
460,-41.015625
461,-44.921875
462,-42.968750
463,-41.015625
464,-44.921875
465,-44.921875
466,-41.015625
467,-44.921875
468,-41.015625
469,-44.921875
470,-44.921875
471,-52.734375
472,-44.921875
473,-41.015625
474,-42.968750
475,-41.015625
476,-41.015625
477,-44.921875
478,-41.015625
479,-41.015625
480,-44.921875
481,-41.015625
482,-44.921875
483,-42.968750
484,-41.015625
485,-41.015625
486,-41.015625
487,-41.015625
488,-44.921875
489,-41.015625
490,-44.921875
491,-41.015625
492,-42.968750
493,-41.015625
494,-41.015625
495,-44.921875
496,-41.015625
497,-60.546875
498,-41.015625
499,-42.968750
500,-44.921875
501,-41.015625
502,-41.015625
503,-37.109375
504,-31.250000
505,-41.015625
506,-41.015625
507,-41.015625
508,-42.968750
509,-42.968750
510,-44.921875
511,-42.968750
512,-44.921875
513,-46.875000
514,-48.828125
515,-44.921875
516,-41.015625
517,-41.015625
518,-41.015625
519,-41.015625
520,-44.921875
521,-41.015625
522,-44.921875
523,-41.015625
524,-44.921875
525,-41.015625
526,-41.015625
527,-41.015625
528,-41.015625
529,-44.921875
530,-41.015625
531,-44.921875
532,-41.015625
533,-41.015625
534,-41.015625
535,-35.156250
536,-44.921875
537,-41.015625
538,-41.015625
539,-41.015625
540,-41.015625
541,-44.921875
542,-41.015625
543,-41.015625
544,-42.968750
545,-42.968750
546,-41.015625
547,-42.968750
548,-41.015625
549,-41.015625
550,-41.015625
551,-42.968750
552,-41.015625
553,-41.015625
554,-41.015625
555,-41.015625
556,-41.015625
557,-42.968750
558,-42.968750
559,-44.921875
560,-41.015625
561,-41.015625
562,-44.921875
563,-41.015625
564,-44.921875
565,-41.015625
566,-39.062500
567,-41.015625
568,-41.015625
569,-41.015625
570,-41.015625
571,-41.015625
572,-48.828125
