Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,103.5mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-1.953125
2,-1.953125
3,-13.671875
4,-3.906250
5,-5.859375
6,-9.765625
7,-5.859375
8,-5.859375
9,-7.812500
10,-3.906250
11,-9.765625
12,-3.906250
13,-3.906250
14,-5.859375
15,-1.953125
16,-5.859375
17,-5.859375
18,-5.859375
19,-5.859375
20,-3.906250
21,-5.859375
22,-3.906250
23,-1.953125
24,-5.859375
25,-3.906250
26,-1.953125
27,-3.906250
28,-5.859375
29,-1.953125
30,-3.906250
31,-3.906250
32,-3.906250
33,-1.953125
34,-1.953125
35,-1.953125
36,-1.953125
37,-5.859375
38,-3.906250
39,-1.953125
40,-3.906250
41,-1.953125
42,-1.953125
43,-1.953125
44,-1.953125
45,-3.906250
46,-1.953125
47,-1.953125
48,-1.953125
49,-3.906250
50,-3.906250
51,-1.953125
52,-1.953125
53,-1.953125
54,-3.906250
55,-3.906250
56,-3.906250
57,-3.906250
58,-1.953125
59,-5.859375
60,-3.906250
61,-1.953125
62,-3.906250
63,-3.906250
64,-3.906250
65,-7.812500
66,-1.953125
67,-5.859375
68,-3.906250
69,-5.859375
70,-3.906250
71,-5.859375
72,-3.906250
73,-3.906250
74,-5.859375
75,-3.906250
76,-1.953125
77,-3.906250
78,-3.906250
79,-3.906250
80,-7.812500
81,-7.812500
82,-9.765625
83,-9.765625
84,-13.671875
85,-13.671875
86,-17.578125
87,-21.484375
88,-21.484375
89,-23.437500
90,-25.390625
91,-25.390625
92,-29.296875
93,-33.203125
94,-33.203125
95,-35.156250
96,-35.156250
97,-41.015625
98,-39.062500
99,-44.921875
100,-44.921875
101,-44.921875
102,-46.875000
103,-48.828125
104,-48.828125
105,-52.734375
106,-50.781250
107,-54.687500
108,-54.687500
109,-56.640625
110,-56.640625
111,-56.640625
112,-60.546875
113,-60.546875
114,-56.640625
115,-60.546875
116,-60.546875
117,-60.546875
118,-60.546875
119,-62.500000
120,-60.546875
121,-60.546875
122,-64.453125
123,-56.640625
124,-62.500000
125,-64.453125
126,-62.500000
127,-64.453125
128,-64.453125
129,-64.453125
130,-64.453125
131,-64.453125
132,-56.640625
133,-64.453125
134,-62.500000
135,-66.406250
136,-62.500000
137,-64.453125
138,-64.453125
139,-64.453125
140,-64.453125
141,-64.453125
142,-64.453125
143,-62.500000
144,-64.453125
145,-64.453125
146,-60.546875
147,-64.453125
148,-62.500000
149,-64.453125
150,-44.921875
151,-64.453125
152,-64.453125
153,-64.453125
154,-66.406250
155,-58.593750
156,-64.453125
157,-64.453125
158,-60.546875
159,-62.500000
160,-60.546875
161,-60.546875
162,-62.500000
163,-60.546875
164,-60.546875
165,-60.546875
166,-60.546875
167,-62.500000
168,-52.734375
169,-60.546875
170,-60.546875
171,-56.640625
172,-60.546875
173,-56.640625
174,-56.640625
175,-56.640625
176,-56.640625
177,-54.687500
178,-48.828125
179,-48.828125
180,-46.875000
181,-46.875000
182,-48.828125
183,-44.921875
184,-44.921875
185,-41.015625
186,-41.015625
187,-39.062500
188,-37.109375
189,-33.203125
190,-33.203125
191,-29.296875
192,-25.390625
193,-23.437500
194,-23.437500
195,-25.390625
196,-19.531250
197,-21.484375
198,-15.625000
199,-17.578125
200,-13.671875
201,-13.671875
202,-13.671875
203,-9.765625
204,-13.671875
205,-9.765625
206,-9.765625
207,-9.765625
208,-7.812500
209,-9.765625
210,-5.859375
211,-7.812500
212,-7.812500
213,-1.953125
214,-9.765625
215,-9.765625
216,-13.671875
217,-19.531250
218,-15.625000
219,-23.437500
220,-23.437500
221,-23.437500
222,-29.296875
223,-27.343750
224,-33.203125
225,-37.109375
226,-39.062500
227,-41.015625
228,-42.968750
229,-44.921875
230,-46.875000
231,-48.828125
232,-52.734375
233,-52.734375
234,-54.687500
235,-54.687500
236,-56.640625
237,-60.546875
238,-56.640625
239,-60.546875
240,-60.546875
241,-62.500000
242,-62.500000
243,-54.687500
244,-64.453125
245,-64.453125
246,-64.453125
247,-64.453125
248,-64.453125
249,-66.406250
250,-64.453125
251,-64.453125
252,-64.453125
253,-64.453125
254,-64.453125
255,-64.453125
256,-64.453125
257,-64.453125
258,-66.406250
259,-64.453125
260,-64.453125
261,-66.406250
262,-64.453125
263,-66.406250
264,-64.453125
265,-66.406250
266,-64.453125
267,-64.453125
268,-66.406250
269,-64.453125
270,-64.453125
271,-64.453125
272,-66.406250
273,-66.406250
274,-64.453125
275,-64.453125
276,-64.453125
277,-64.453125
278,-64.453125
279,-66.406250
280,-64.453125
281,-64.453125
282,-64.453125
283,-64.453125
284,-66.406250
285,-62.500000
286,-64.453125
287,-64.453125
288,-64.453125
289,-64.453125
290,-62.500000
291,-66.406250
292,-64.453125
293,-64.453125
294,-66.406250
295,-64.453125
296,-64.453125
297,-64.453125
298,-64.453125
299,-66.406250
300,-64.453125
301,-64.453125
302,-64.453125
303,-64.453125
304,-64.453125
305,-64.453125
306,-64.453125
307,-62.500000
308,-64.453125
309,-64.453125
310,-60.546875
311,-64.453125
312,-62.500000
313,-60.546875
314,-60.546875
315,-60.546875
316,-60.546875
317,-60.546875
318,-60.546875
319,-58.593750
320,-60.546875
321,-60.546875
322,-58.593750
323,-60.546875
324,-60.546875
325,-58.593750
326,-60.546875
327,-56.640625
328,-56.640625
329,-60.546875
330,-56.640625
331,-56.640625
332,-56.640625
333,-56.640625
334,-54.687500
335,-56.640625
336,-56.640625
337,-54.687500
338,-58.593750
339,-60.546875
340,-56.640625
341,-60.546875
342,-52.734375
343,-56.640625
344,-56.640625
345,-56.640625
346,-56.640625
347,-56.640625
348,-60.546875
349,-52.734375
350,-60.546875
351,-56.640625
352,-58.593750
353,-56.640625
354,-56.640625
355,-56.640625
356,-56.640625
357,-56.640625
358,-60.546875
359,-56.640625
360,-58.593750
361,-56.640625
362,-60.546875
363,-60.546875
364,-60.546875
365,-58.593750
366,-58.593750
367,-60.546875
368,-60.546875
369,-62.500000
370,-62.500000
371,-62.500000
372,-62.500000
373,-62.500000
374,-62.500000
375,-64.453125
376,-64.453125
377,-64.453125
378,-64.453125
379,-60.546875
380,-64.453125
381,-64.453125
382,-66.406250
383,-64.453125
384,-64.453125
385,-66.406250
386,-66.406250
387,-60.546875
388,-72.265625
389,-64.453125
390,-64.453125
391,-64.453125
392,-66.406250
393,-66.406250
394,-64.453125
395,-66.406250
396,-64.453125
397,-66.406250
398,-64.453125
399,-64.453125
400,-66.406250
401,-64.453125
402,-64.453125
403,-66.406250
404,-64.453125
405,-64.453125
406,-62.500000
407,-68.359375
408,-66.406250
409,-64.453125
410,-64.453125
411,-64.453125
412,-64.453125
413,-64.453125
414,-64.453125
415,-66.406250
416,-64.453125
417,-66.406250
418,-62.500000
419,-62.500000
420,-64.453125
421,-64.453125
422,-64.453125
423,-64.453125
424,-66.406250
425,-64.453125
426,-64.453125
427,-66.406250
428,-64.453125
429,-62.500000
430,-66.406250
431,-62.500000
432,-64.453125
433,-64.453125
434,-62.500000
435,-64.453125
436,-64.453125
437,-64.453125
438,-64.453125
439,-64.453125
440,-64.453125
441,-62.500000
442,-64.453125
443,-64.453125
444,-64.453125
445,-64.453125
446,-64.453125
447,-64.453125
448,-64.453125
449,-64.453125
450,-66.406250
451,-64.453125
452,-64.453125
453,-64.453125
454,-64.453125
455,-64.453125
456,-64.453125
457,-66.406250
458,-64.453125
459,-64.453125
460,-64.453125
461,-62.500000
462,-66.406250
463,-64.453125
464,-66.406250
465,-72.265625
466,-66.406250
467,-66.406250
468,-64.453125
469,-64.453125
470,-64.453125
471,-62.500000
472,-64.453125
473,-64.453125
474,-66.406250
475,-66.406250
476,-64.453125
477,-64.453125
478,-64.453125
479,-64.453125
480,-64.453125
481,-64.453125
482,-64.453125
483,-64.453125
484,-66.406250
485,-66.406250
486,-64.453125
487,-64.453125
488,-64.453125
489,-64.453125
490,-64.453125
491,-62.500000
492,-66.406250
493,-64.453125
494,-64.453125
495,-64.453125
496,-66.406250
497,-66.406250
498,-66.406250
499,-64.453125
500,-64.453125
501,-66.406250
502,-66.406250
503,-64.453125
504,-66.406250
505,-64.453125
506,-64.453125
507,-68.359375
508,-62.500000
509,-66.406250
510,-64.453125
511,-64.453125
512,-66.406250
513,-64.453125
514,-66.406250
515,-64.453125
516,-68.359375
517,-66.406250
518,-64.453125
519,-64.453125
520,-64.453125
521,-64.453125
522,-66.406250
523,-64.453125
524,-64.453125
525,-66.406250
526,-64.453125
527,-64.453125
528,-68.359375
529,-64.453125
530,-64.453125
531,-64.453125
532,-68.359375
533,-64.453125
534,-64.453125
535,-64.453125
536,-66.406250
537,-64.453125
538,-64.453125
539,-64.453125
540,-64.453125
541,-64.453125
542,-64.453125
543,-64.453125
544,-64.453125
545,-66.406250
546,-64.453125
547,-64.453125
548,-64.453125
549,-64.453125
550,-64.453125
551,-64.453125
552,-64.453125
553,-64.453125
554,-64.453125
555,-62.500000
556,-64.453125
557,-64.453125
558,-64.453125
559,-62.500000
560,-64.453125
561,-64.453125
562,-64.453125
563,-64.453125
564,-64.453125
565,-64.453125
566,-64.453125
567,-64.453125
568,-66.406250
569,-66.406250
570,-64.453125
571,-64.453125
572,-62.500000
