Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,89.84mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-9.765625
2,-9.765625
3,-9.765625
4,-9.765625
5,-9.765625
6,-9.765625
7,-9.765625
8,-7.812500
9,-9.765625
10,-9.765625
11,-9.765625
12,-9.765625
13,-9.765625
14,-11.718750
15,-9.765625
16,-13.671875
17,-7.812500
18,-9.765625
19,-3.906250
20,-9.765625
21,-13.671875
22,-9.765625
23,-9.765625
24,-9.765625
25,-9.765625
26,-9.765625
27,-9.765625
28,-15.625000
29,-11.718750
30,-9.765625
31,-9.765625
32,-9.765625
33,-9.765625
34,-9.765625
35,-9.765625
36,-11.718750
37,-9.765625
38,-9.765625
39,-9.765625
40,-9.765625
41,-9.765625
42,-7.812500
43,-13.671875
44,-7.812500
45,-9.765625
46,-9.765625
47,-9.765625
48,-13.671875
49,-9.765625
50,-9.765625
51,-9.765625
52,-9.765625
53,-13.671875
54,-7.812500
55,-13.671875
56,-9.765625
57,-11.718750
58,-13.671875
59,-9.765625
60,-9.765625
61,-13.671875
62,-13.671875
63,-9.765625
64,-13.671875
65,-9.765625
66,-13.671875
67,-11.718750
68,-9.765625
69,-9.765625
70,-9.765625
71,-13.671875
72,-9.765625
73,-9.765625
74,-13.671875
75,-9.765625
76,-13.671875
77,-9.765625
78,-11.718750
79,-9.765625
80,-13.671875
81,-9.765625
82,-11.718750
83,-9.765625
84,-9.765625
85,-9.765625
86,-9.765625
87,-7.812500
88,-9.765625
89,-11.718750
90,-9.765625
91,-9.765625
92,-13.671875
93,-9.765625
94,-11.718750
95,-9.765625
96,-17.578125
97,-9.765625
98,-9.765625
99,-15.625000
100,-9.765625
101,-13.671875
102,-9.765625
103,-9.765625
104,-11.718750
105,-9.765625
106,-9.765625
107,-13.671875
108,-9.765625
109,-13.671875
110,-9.765625
111,-9.765625
112,-11.718750
113,-9.765625
114,-13.671875
115,-13.671875
116,-9.765625
117,-13.671875
118,-9.765625
119,-13.671875
120,-11.718750
121,-11.718750
122,-13.671875
123,-9.765625
124,-13.671875
125,-13.671875
126,-11.718750
127,-13.671875
128,-17.578125
129,-13.671875
130,-13.671875
131,-15.625000
132,-17.578125
133,-17.578125
134,-17.578125
135,-23.437500
136,-19.531250
137,-29.296875
138,-23.437500
139,-23.437500
140,-25.390625
141,-25.390625
142,-25.390625
143,-29.296875
144,-31.250000
145,-29.296875
146,-29.296875
147,-31.250000
148,-31.250000
149,-33.203125
150,-31.250000
151,-33.203125
152,-33.203125
153,-33.203125
154,-35.156250
155,-29.296875
156,-33.203125
157,-35.156250
158,-33.203125
159,-33.203125
160,-35.156250
161,-33.203125
162,-33.203125
163,-33.203125
164,-42.968750
165,-33.203125
166,-31.250000
167,-33.203125
168,-29.296875
169,-31.250000
170,-31.250000
171,-25.390625
172,-29.296875
173,-25.390625
174,-23.437500
175,-23.437500
176,-21.484375
177,-25.390625
178,-25.390625
179,-21.484375
180,-19.531250
181,-21.484375
182,-17.578125
183,-17.578125
184,-17.578125
185,-17.578125
186,-15.625000
187,-15.625000
188,-17.578125
189,-15.625000
190,-17.578125
191,-17.578125
192,-17.578125
193,-15.625000
194,-15.625000
195,-17.578125
196,-13.671875
197,-17.578125
198,-15.625000
199,-17.578125
200,-17.578125
201,-17.578125
202,-21.484375
203,-19.531250
204,-21.484375
205,-21.484375
206,-19.531250
207,-25.390625
208,-23.437500
209,-27.343750
210,-29.296875
211,-29.296875
212,-33.203125
213,-31.250000
214,-33.203125
215,-35.156250
216,-35.156250
217,-37.109375
218,-37.109375
219,-39.062500
220,-41.015625
221,-39.062500
222,-44.921875
223,-44.921875
224,-41.015625
225,-44.921875
226,-42.968750
227,-44.921875
228,-46.875000
229,-44.921875
230,-46.875000
231,-46.875000
232,-60.546875
233,-48.828125
234,-48.828125
235,-48.828125
236,-48.828125
237,-48.828125
238,-50.781250
239,-48.828125
240,-46.875000
241,-46.875000
242,-48.828125
243,-48.828125
244,-46.875000
245,-44.921875
246,-41.015625
247,-44.921875
248,-41.015625
249,-39.062500
250,-41.015625
251,-37.109375
252,-37.109375
253,-35.156250
254,-33.203125
255,-33.203125
256,-29.296875
257,-31.250000
258,-33.203125
259,-29.296875
260,-31.250000
261,-25.390625
262,-25.390625
263,-25.390625
264,-25.390625
265,-25.390625
266,-25.390625
267,-25.390625
268,-25.390625
269,-21.484375
270,-25.390625
271,-25.390625
272,-25.390625
273,-29.296875
274,-25.390625
275,-31.250000
276,-31.250000
277,-33.203125
278,-33.203125
279,-33.203125
280,-37.109375
281,-37.109375
282,-31.250000
283,-39.062500
284,-41.015625
285,-41.015625
286,-41.015625
287,-44.921875
288,-41.015625
289,-44.921875
290,-46.875000
291,-33.203125
292,-46.875000
293,-44.921875
294,-46.875000
295,-50.781250
296,-46.875000
297,-50.781250
298,-48.828125
299,-50.781250
300,-56.640625
301,-48.828125
302,-54.687500
303,-50.781250
304,-50.781250
305,-56.640625
306,-48.828125
307,-56.640625
308,-52.734375
309,-54.687500
310,-54.687500
311,-54.687500
312,-50.781250
313,-52.734375
314,-48.828125
315,-54.687500
316,-54.687500
317,-48.828125
318,-54.687500
319,-48.828125
320,-44.921875
321,-46.875000
322,-41.015625
323,-44.921875
324,-41.015625
325,-41.015625
326,-41.015625
327,-35.156250
328,-37.109375
329,-33.203125
330,-41.015625
331,-33.203125
332,-33.203125
333,-31.250000
334,-31.250000
335,-31.250000
336,-31.250000
337,-25.390625
338,-29.296875
339,-29.296875
340,-27.343750
341,-29.296875
342,-29.296875
343,-25.390625
344,-25.390625
345,-29.296875
346,-31.250000
347,-29.296875
348,-31.250000
349,-31.250000
350,-31.250000
351,-33.203125
352,-33.203125
353,-35.156250
354,-33.203125
355,-35.156250
356,-37.109375
357,-37.109375
358,-41.015625
359,-41.015625
360,-41.015625
361,-41.015625
362,-41.015625
363,-41.015625
364,-41.015625
365,-41.015625
366,-46.875000
367,-44.921875
368,-44.921875
369,-48.828125
370,-46.875000
371,-48.828125
372,-44.921875
373,-48.828125
374,-50.781250
375,-48.828125
376,-50.781250
377,-56.640625
378,-54.687500
379,-48.828125
380,-50.781250
381,-52.734375
382,-50.781250
383,-52.734375
384,-52.734375
385,-50.781250
386,-54.687500
387,-54.687500
388,-50.781250
389,-52.734375
390,-50.781250
391,-56.640625
392,-54.687500
393,-52.734375
394,-56.640625
395,-52.734375
396,-54.687500
397,-50.781250
398,-54.687500
399,-54.687500
400,-50.781250
401,-56.640625
402,-50.781250
403,-54.687500
404,-56.640625
405,-54.687500
406,-60.546875
407,-54.687500
408,-54.687500
409,-50.781250
410,-52.734375
411,-52.734375
412,-52.734375
413,-54.687500
414,-52.734375
415,-52.734375
416,-52.734375
417,-52.734375
418,-48.828125
419,-52.734375
420,-50.781250
421,-48.828125
422,-56.640625
423,-46.875000
424,-52.734375
425,-48.828125
426,-48.828125
427,-44.921875
428,-48.828125
429,-46.875000
430,-44.921875
431,-46.875000
432,-42.968750
433,-44.921875
434,-42.968750
435,-41.015625
436,-44.921875
437,-41.015625
438,-41.015625
439,-41.015625
440,-39.062500
441,-39.062500
442,-39.062500
443,-37.109375
444,-39.062500
445,-37.109375
446,-35.156250
447,-35.156250
448,-33.203125
449,-39.062500
450,-31.250000
451,-35.156250
452,-33.203125
453,-33.203125
454,-33.203125
455,-31.250000
456,-33.203125
457,-31.250000
458,-33.203125
459,-33.203125
460,-31.250000
461,-33.203125
462,-33.203125
463,-31.250000
464,-33.203125
465,-33.203125
466,-33.203125
467,-37.109375
468,-31.250000
469,-31.250000
470,-33.203125
471,-33.203125
472,-35.156250
473,-33.203125
474,-33.203125
475,-33.203125
476,-33.203125
477,-35.156250
478,-33.203125
479,-33.203125
480,-37.109375
481,-35.156250
482,-37.109375
483,-35.156250
484,-33.203125
485,-39.062500
486,-33.203125
487,-39.062500
488,-37.109375
489,-37.109375
490,-41.015625
491,-35.156250
492,-41.015625
493,-39.062500
494,-37.109375
495,-41.015625
496,-39.062500
497,-41.015625
498,-41.015625
499,-41.015625
500,-41.015625
501,-41.015625
502,-41.015625
503,-42.968750
504,-41.015625
505,-44.921875
506,-41.015625
507,-41.015625
508,-41.015625
509,-41.015625
510,-44.921875
511,-41.015625
512,-44.921875
513,-44.921875
514,-41.015625
515,-44.921875
516,-41.015625
517,-41.015625
518,-44.921875
519,-41.015625
520,-44.921875
521,-44.921875
522,-44.921875
523,-46.875000
524,-44.921875
525,-41.015625
526,-42.968750
527,-41.015625
528,-44.921875
529,-41.015625
530,-42.968750
531,-44.921875
532,-44.921875
533,-44.921875
534,-44.921875
535,-44.921875
536,-41.015625
537,-44.921875
538,-44.921875
539,-44.921875
540,-46.875000
541,-42.968750
542,-44.921875
543,-44.921875
544,-44.921875
545,-46.875000
546,-44.921875
547,-46.875000
548,-44.921875
549,-44.921875
550,-48.828125
551,-44.921875
552,-48.828125
553,-46.875000
554,-44.921875
555,-48.828125
556,-48.828125
557,-48.828125
558,-50.781250
559,-44.921875
560,-44.921875
561,-48.828125
562,-46.875000
563,-48.828125
564,-48.828125
565,-48.828125
566,-48.828125
567,-48.828125
568,-48.828125
569,-50.781250
570,-48.828125
571,-50.781250
572,-50.781250
