Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,78.13mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-19.531250
2,-19.531250
3,-21.484375
4,-19.531250
5,-21.484375
6,-19.531250
7,-19.531250
8,-21.484375
9,-19.531250
10,-21.484375
11,-5.859375
12,-21.484375
13,-19.531250
14,-19.531250
15,-23.437500
16,-21.484375
17,-19.531250
18,-19.531250
19,-19.531250
20,-19.531250
21,-21.484375
22,-23.437500
23,-13.671875
24,-17.578125
25,-25.390625
26,-17.578125
27,-21.484375
28,-23.437500
29,-19.531250
30,-23.437500
31,-21.484375
32,-23.437500
33,-21.484375
34,-23.437500
35,-21.484375
36,-23.437500
37,-21.484375
38,-23.437500
39,-23.437500
40,-21.484375
41,-23.437500
42,-21.484375
43,-23.437500
44,-21.484375
45,-23.437500
46,-23.437500
47,-19.531250
48,-23.437500
49,-23.437500
50,-25.390625
51,-19.531250
52,-29.296875
53,-25.390625
54,-25.390625
55,-25.390625
56,-19.531250
57,-25.390625
58,-25.390625
59,-25.390625
60,-25.390625
61,-23.437500
62,-25.390625
63,-25.390625
64,-25.390625
65,-25.390625
66,-25.390625
67,-29.296875
68,-29.296875
69,-31.250000
70,-29.296875
71,-31.250000
72,-29.296875
73,-29.296875
74,-29.296875
75,-29.296875
76,-29.296875
77,-29.296875
78,-33.203125
79,-29.296875
80,-29.296875
81,-29.296875
82,-37.109375
83,-31.250000
84,-31.250000
85,-31.250000
86,-29.296875
87,-31.250000
88,-33.203125
89,-31.250000
90,-31.250000
91,-35.156250
92,-31.250000
93,-31.250000
94,-31.250000
95,-31.250000
96,-33.203125
97,-33.203125
98,-31.250000
99,-33.203125
100,-33.203125
101,-33.203125
102,-33.203125
103,-35.156250
104,-33.203125
105,-33.203125
106,-35.156250
107,-33.203125
108,-33.203125
109,-35.156250
110,-33.203125
111,-33.203125
112,-33.203125
113,-23.437500
114,-33.203125
115,-33.203125
116,-35.156250
117,-33.203125
118,-35.156250
119,-35.156250
120,-33.203125
121,-35.156250
122,-37.109375
123,-33.203125
124,-35.156250
125,-33.203125
126,-33.203125
127,-33.203125
128,-31.250000
129,-33.203125
130,-29.296875
131,-33.203125
132,-31.250000
133,-29.296875
134,-33.203125
135,-25.390625
136,-29.296875
137,-29.296875
138,-29.296875
139,-31.250000
140,-25.390625
141,-25.390625
142,-31.250000
143,-29.296875
144,-33.203125
145,-29.296875
146,-27.343750
147,-29.296875
148,-25.390625
149,-29.296875
150,-23.437500
151,-27.343750
152,-29.296875
153,-39.062500
154,-29.296875
155,-29.296875
156,-25.390625
157,-29.296875
158,-21.484375
159,-29.296875
160,-29.296875
161,-29.296875
162,-29.296875
163,-25.390625
164,-27.343750
165,-29.296875
166,-29.296875
167,-29.296875
168,-27.343750
169,-29.296875
170,-29.296875
171,-29.296875
172,-31.250000
173,-25.390625
174,-29.296875
175,-25.390625
176,-25.390625
177,-29.296875
178,-25.390625
179,-29.296875
180,-29.296875
181,-25.390625
182,-29.296875
183,-27.343750
184,-29.296875
185,-29.296875
186,-25.390625
187,-29.296875
188,-29.296875
189,-29.296875
190,-27.343750
191,-25.390625
192,-25.390625
193,-29.296875
194,-25.390625
195,-29.296875
196,-29.296875
197,-25.390625
198,-29.296875
199,-25.390625
200,-29.296875
201,-27.343750
202,-25.390625
203,-29.296875
204,-25.390625
205,-29.296875
206,-31.250000
207,-25.390625
208,-29.296875
209,-27.343750
210,-29.296875
211,-29.296875
212,-25.390625
213,-25.390625
214,-25.390625
215,-25.390625
216,-29.296875
217,-25.390625
218,-29.296875
219,-25.390625
220,-27.343750
221,-29.296875
222,-25.390625
223,-29.296875
224,-29.296875
225,-29.296875
226,-25.390625
227,-29.296875
228,-29.296875
229,-25.390625
230,-29.296875
231,-29.296875
232,-27.343750
233,-29.296875
234,-29.296875
235,-29.296875
236,-29.296875
237,-29.296875
238,-29.296875
239,-31.250000
240,-25.390625
241,-29.296875
242,-27.343750
243,-25.390625
244,-29.296875
245,-25.390625
246,-25.390625
247,-29.296875
248,-29.296875
249,-29.296875
250,-25.390625
251,-29.296875
252,-25.390625
253,-25.390625
254,-27.343750
255,-29.296875
256,-29.296875
257,-29.296875
258,-25.390625
259,-29.296875
260,-25.390625
261,-27.343750
262,-29.296875
263,-25.390625
264,-29.296875
265,-29.296875
266,-25.390625
267,-31.250000
268,-25.390625
269,-29.296875
270,-29.296875
271,-29.296875
272,-29.296875
273,-29.296875
274,-29.296875
275,-29.296875
276,-25.390625
277,-29.296875
278,-27.343750
279,-25.390625
280,-29.296875
281,-25.390625
282,-29.296875
283,-25.390625
284,-25.390625
285,-29.296875
286,-29.296875
287,-29.296875
288,-29.296875
289,-27.343750
290,-29.296875
291,-29.296875
292,-23.437500
293,-29.296875
294,-25.390625
295,-29.296875
296,-25.390625
297,-25.390625
298,-31.250000
299,-27.343750
300,-29.296875
301,-25.390625
302,-27.343750
303,-29.296875
304,-29.296875
305,-27.343750
306,-23.437500
307,-29.296875
308,-33.203125
309,-25.390625
310,-29.296875
311,-23.437500
312,-29.296875
313,-25.390625
314,-29.296875
315,-29.296875
316,-21.484375
317,-21.484375
318,-23.437500
319,-25.390625
320,-29.296875
321,-23.437500
322,-29.296875
323,-25.390625
324,-29.296875
325,-27.343750
326,-27.343750
327,-25.390625
328,-29.296875
329,-23.437500
330,-29.296875
331,-27.343750
332,-25.390625
333,-27.343750
334,-27.343750
335,-33.203125
336,-29.296875
337,-25.390625
338,-25.390625
339,-27.343750
340,-27.343750
341,-29.296875
342,-25.390625
343,-25.390625
344,-27.343750
345,-25.390625
346,-25.390625
347,-25.390625
348,-27.343750
349,-27.343750
350,-25.390625
351,-29.296875
352,-29.296875
353,-29.296875
354,-29.296875
355,-29.296875
356,-29.296875
357,-29.296875
358,-29.296875
359,-31.250000
360,-31.250000
361,-31.250000
362,-31.250000
363,-29.296875
364,-33.203125
365,-29.296875
366,-31.250000
367,-33.203125
368,-29.296875
369,-33.203125
370,-31.250000
371,-33.203125
372,-35.156250
373,-33.203125
374,-33.203125
375,-31.250000
376,-35.156250
377,-33.203125
378,-33.203125
379,-29.296875
380,-31.250000
381,-33.203125
382,-33.203125
383,-33.203125
384,-33.203125
385,-35.156250
386,-33.203125
387,-35.156250
388,-31.250000
389,-33.203125
390,-35.156250
391,-31.250000
392,-37.109375
393,-33.203125
394,-33.203125
395,-35.156250
396,-33.203125
397,-35.156250
398,-35.156250
399,-35.156250
400,-35.156250
401,-35.156250
402,-37.109375
403,-31.250000
404,-35.156250
405,-35.156250
406,-35.156250
407,-35.156250
408,-33.203125
409,-35.156250
410,-35.156250
411,-33.203125
412,-35.156250
413,-35.156250
414,-33.203125
415,-37.109375
416,-33.203125
417,-35.156250
418,-37.109375
419,-37.109375
420,-35.156250
421,-39.062500
422,-37.109375
423,-35.156250
424,-33.203125
425,-37.109375
426,-33.203125
427,-37.109375
428,-37.109375
429,-35.156250
430,-37.109375
431,-35.156250
432,-37.109375
433,-37.109375
434,-35.156250
435,-37.109375
436,-35.156250
437,-33.203125
438,-37.109375
439,-37.109375
440,-37.109375
441,-35.156250
442,-33.203125
443,-37.109375
444,-35.156250
445,-35.156250
446,-37.109375
447,-33.203125
448,-37.109375
449,-35.156250
450,-35.156250
451,-39.062500
452,-35.156250
453,-37.109375
454,-35.156250
455,-35.156250
456,-37.109375
457,-33.203125
458,-37.109375
459,-33.203125
460,-35.156250
461,-37.109375
462,-37.109375
463,-35.156250
464,-35.156250
465,-33.203125
466,-39.062500
467,-35.156250
468,-37.109375
469,-35.156250
470,-37.109375
471,-37.109375
472,-25.390625
473,-39.062500
474,-37.109375
475,-37.109375
476,-37.109375
477,-33.203125
478,-37.109375
479,-35.156250
480,-33.203125
481,-39.062500
482,-35.156250
483,-37.109375
484,-37.109375
485,-35.156250
486,-39.062500
487,-35.156250
488,-35.156250
489,-37.109375
490,-37.109375
491,-37.109375
492,-37.109375
493,-39.062500
494,-37.109375
495,-35.156250
496,-37.109375
497,-37.109375
498,-37.109375
499,-35.156250
500,-35.156250
501,-37.109375
502,-35.156250
503,-46.875000
504,-39.062500
505,-35.156250
506,-35.156250
507,-39.062500
508,-35.156250
509,-37.109375
510,-35.156250
511,-39.062500
512,-33.203125
513,-33.203125
514,-39.062500
515,-33.203125
516,-39.062500
517,-35.156250
518,-37.109375
519,-39.062500
520,-35.156250
521,-41.015625
522,-35.156250
523,-37.109375
524,-39.062500
525,-35.156250
526,-39.062500
527,-37.109375
528,-39.062500
529,-39.062500
530,-37.109375
531,-39.062500
532,-39.062500
533,-35.156250
534,-39.062500
535,-37.109375
536,-35.156250
537,-39.062500
538,-33.203125
539,-35.156250
540,-35.156250
541,-37.109375
542,-37.109375
543,-35.156250
544,-39.062500
545,-39.062500
546,-37.109375
547,-37.109375
548,-44.921875
549,-37.109375
550,-33.203125
551,-39.062500
552,-33.203125
553,-35.156250
554,-33.203125
555,-37.109375
556,-41.015625
557,-37.109375
558,-37.109375
559,-37.109375
560,-37.109375
561,-41.015625
562,-35.156250
563,-37.109375
564,-39.062500
565,-35.156250
566,-35.156250
567,-35.156250
568,-39.062500
569,-37.109375
570,-39.062500
571,-39.062500
572,-37.109375
