Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,113.3mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-85.937500
2,-85.937500
3,-80.078125
4,-83.984375
5,-87.890625
6,-83.984375
7,-87.890625
8,-87.890625
9,-85.937500
10,-87.890625
11,-83.984375
12,-91.796875
13,-85.937500
14,-85.937500
15,-87.890625
16,-72.265625
17,-87.890625
18,-87.890625
19,-83.984375
20,-85.937500
21,-85.937500
22,-87.890625
23,-85.937500
24,-87.890625
25,-85.937500
26,-85.937500
27,-85.937500
28,-85.937500
29,-85.937500
30,-87.890625
31,-85.937500
32,-87.890625
33,-87.890625
34,-87.890625
35,-85.937500
36,-83.984375
37,-85.937500
38,-87.890625
39,-83.984375
40,-87.890625
41,-85.937500
42,-85.937500
43,-85.937500
44,-85.937500
45,-85.937500
46,-83.984375
47,-85.937500
48,-83.984375
49,-85.937500
50,-85.937500
51,-83.984375
52,-87.890625
53,-83.984375
54,-87.890625
55,-83.984375
56,-83.984375
57,-85.937500
58,-83.984375
59,-87.890625
60,-85.937500
61,-85.937500
62,-83.984375
63,-87.890625
64,-83.984375
65,-82.031250
66,-87.890625
67,-83.984375
68,-87.890625
69,-87.890625
70,-85.937500
71,-85.937500
72,-83.984375
73,-85.937500
74,-85.937500
75,-83.984375
76,-87.890625
77,-85.937500
78,-87.890625
79,-85.937500
80,-83.984375
81,-87.890625
82,-83.984375
83,-85.937500
84,-85.937500
85,-82.031250
86,-87.890625
87,-85.937500
88,-83.984375
89,-85.937500
90,-85.937500
91,-82.031250
92,-85.937500
93,-82.031250
94,-83.984375
95,-83.984375
96,-85.937500
97,-83.984375
98,-83.984375
99,-82.031250
100,-83.984375
101,-85.937500
102,-85.937500
103,-83.984375
104,-82.031250
105,-83.984375
106,-83.984375
107,-85.937500
108,-83.984375
109,-85.937500
110,-82.031250
111,-83.984375
112,-95.703125
113,-82.031250
114,-85.937500
115,-82.031250
116,-85.937500
117,-85.937500
118,-82.031250
119,-85.937500
120,-82.031250
121,-85.937500
122,-83.984375
123,-83.984375
124,-82.031250
125,-82.031250
126,-87.890625
127,-82.031250
128,-80.078125
129,-83.984375
130,-82.031250
131,-83.984375
132,-83.984375
133,-85.937500
134,-82.031250
135,-82.031250
136,-83.984375
137,-83.984375
138,-82.031250
139,-82.031250
140,-82.031250
141,-83.984375
142,-82.031250
143,-82.031250
144,-83.984375
145,-83.984375
146,-83.984375
147,-80.078125
148,-83.984375
149,-85.937500
150,-82.031250
151,-83.984375
152,-93.750000
153,-82.031250
154,-83.984375
155,-80.078125
156,-83.984375
157,-85.937500
158,-83.984375
159,-83.984375
160,-82.031250
161,-85.937500
162,-82.031250
163,-85.937500
164,-83.984375
165,-82.031250
166,-85.937500
167,-83.984375
168,-85.937500
169,-85.937500
170,-82.031250
171,-83.984375
172,-82.031250
173,-83.984375
174,-83.984375
175,-87.890625
176,-85.937500
177,-83.984375
178,-83.984375
179,-85.937500
180,-82.031250
181,-85.937500
182,-85.937500
183,-83.984375
184,-85.937500
185,-82.031250
186,-87.890625
187,-83.984375
188,-85.937500
189,-85.937500
190,-85.937500
191,-83.984375
192,-82.031250
193,-85.937500
194,-83.984375
195,-82.031250
196,-85.937500
197,-85.937500
198,-85.937500
199,-83.984375
200,-85.937500
201,-83.984375
202,-83.984375
203,-85.937500
204,-83.984375
205,-87.890625
206,-83.984375
207,-82.031250
208,-87.890625
209,-83.984375
210,-87.890625
211,-85.937500
212,-85.937500
213,-83.984375
214,-83.984375
215,-85.937500
216,-85.937500
217,-85.937500
218,-85.937500
219,-85.937500
220,-85.937500
221,-87.890625
222,-83.984375
223,-82.031250
224,-82.031250
225,-85.937500
226,-82.031250
227,-83.984375
228,-87.890625
229,-82.031250
230,-83.984375
231,-83.984375
232,-82.031250
233,-85.937500
234,-66.406250
235,-85.937500
236,-83.984375
237,-83.984375
238,-83.984375
239,-85.937500
240,-85.937500
241,-85.937500
242,-83.984375
243,-80.078125
244,-83.984375
245,-85.937500
246,-82.031250
247,-76.171875
248,-82.031250
249,-82.031250
250,-85.937500
251,-80.078125
252,-82.031250
253,-85.937500
254,-82.031250
255,-83.984375
256,-83.984375
257,-83.984375
258,-87.890625
259,-82.031250
260,-87.890625
261,-83.984375
262,-85.937500
263,-85.937500
264,-85.937500
265,-85.937500
266,-82.031250
267,-85.937500
268,-85.937500
269,-82.031250
270,-87.890625
271,-83.984375
272,-85.937500
273,-85.937500
274,-83.984375
275,-85.937500
276,-83.984375
277,-87.890625
278,-85.937500
279,-83.984375
280,-87.890625
281,-85.937500
282,-87.890625
283,-83.984375
284,-82.031250
285,-85.937500
286,-83.984375
287,-83.984375
288,-85.937500
289,-85.937500
290,-82.031250
291,-83.984375
292,-85.937500
293,-85.937500
294,-83.984375
295,-87.890625
296,-83.984375
297,-85.937500
298,-85.937500
299,-85.937500
300,-85.937500
301,-83.984375
302,-85.937500
303,-85.937500
304,-85.937500
305,-87.890625
306,-83.984375
307,-87.890625
308,-80.078125
309,-85.937500
310,-83.984375
311,-87.890625
312,-83.984375
313,-85.937500
314,-87.890625
315,-83.984375
316,-87.890625
317,-82.031250
318,-83.984375
319,-87.890625
320,-82.031250
321,-87.890625
322,-85.937500
323,-87.890625
324,-87.890625
325,-82.031250
326,-85.937500
327,-83.984375
328,-85.937500
329,-87.890625
330,-85.937500
331,-85.937500
332,-83.984375
333,-85.937500
334,-85.937500
335,-83.984375
336,-85.937500
337,-85.937500
338,-82.031250
339,-83.984375
340,-87.890625
341,-82.031250
342,-87.890625
343,-95.703125
344,-85.937500
345,-83.984375
346,-83.984375
347,-83.984375
348,-83.984375
349,-85.937500
350,-83.984375
351,-85.937500
352,-85.937500
353,-83.984375
354,-85.937500
355,-85.937500
356,-87.890625
357,-85.937500
358,-83.984375
359,-85.937500
360,-83.984375
361,-72.265625
362,-85.937500
363,-83.984375
364,-85.937500
365,-85.937500
366,-87.890625
367,-83.984375
368,-83.984375
369,-91.796875
370,-82.031250
371,-83.984375
372,-85.937500
373,-80.078125
374,-83.984375
375,-80.078125
376,-82.031250
377,-82.031250
378,-80.078125
379,-83.984375
380,-80.078125
381,-83.984375
382,-82.031250
383,-80.078125
384,-80.078125
385,-80.078125
386,-80.078125
387,-83.984375
388,-80.078125
389,-80.078125
390,-80.078125
391,-78.125000
392,-82.031250
393,-80.078125
394,-80.078125
395,-80.078125
396,-80.078125
397,-80.078125
398,-80.078125
399,-80.078125
400,-78.125000
401,-80.078125
402,-80.078125
403,-80.078125
404,-80.078125
405,-76.171875
406,-80.078125
407,-80.078125
408,-78.125000
409,-80.078125
410,-78.125000
411,-82.031250
412,-80.078125
413,-80.078125
414,-80.078125
415,-78.125000
416,-82.031250
417,-80.078125
418,-78.125000
419,-80.078125
420,-76.171875
421,-80.078125
422,-80.078125
423,-78.125000
424,-80.078125
425,-76.171875
426,-78.125000
427,-80.078125
428,-76.171875
429,-78.125000
430,-83.984375
431,-76.171875
432,-76.171875
433,-72.265625
434,-76.171875
435,-72.265625
436,-72.265625
437,-72.265625
438,-72.265625
439,-72.265625
440,-72.265625
441,-72.265625
442,-72.265625
443,-76.171875
444,-72.265625
445,-72.265625
446,-72.265625
447,-72.265625
448,-70.312500
449,-72.265625
450,-72.265625
451,-72.265625
452,-72.265625
453,-72.265625
454,-72.265625
455,-70.312500
456,-72.265625
457,-72.265625
458,-72.265625
459,-72.265625
460,-70.312500
461,-72.265625
462,-72.265625
463,-70.312500
464,-72.265625
465,-72.265625
466,-72.265625
467,-72.265625
468,-72.265625
469,-76.171875
470,-72.265625
471,-72.265625
472,-72.265625
473,-70.312500
474,-76.171875
475,-70.312500
476,-72.265625
477,-70.312500
478,-72.265625
479,-72.265625
480,-72.265625
481,-72.265625
482,-72.265625
483,-70.312500
484,-72.265625
485,-72.265625
486,-72.265625
487,-70.312500
488,-72.265625
489,-72.265625
490,-72.265625
491,-76.171875
492,-74.218750
493,-70.312500
494,-72.265625
495,-70.312500
496,-72.265625
497,-72.265625
498,-72.265625
499,-72.265625
500,-74.218750
501,-72.265625
502,-72.265625
503,-72.265625
504,-72.265625
505,-72.265625
506,-72.265625
507,-72.265625
508,-72.265625
509,-72.265625
510,-70.312500
511,-72.265625
512,-70.312500
513,-72.265625
514,-72.265625
515,-72.265625
516,-76.171875
517,-72.265625
518,-72.265625
519,-72.265625
520,-72.265625
521,-72.265625
522,-72.265625
523,-72.265625
524,-72.265625
525,-72.265625
526,-74.218750
527,-72.265625
528,-72.265625
529,-72.265625
530,-70.312500
531,-72.265625
532,-72.265625
533,-72.265625
534,-72.265625
535,-80.078125
536,-76.171875
537,-72.265625
538,-72.265625
539,-72.265625
540,-72.265625
541,-72.265625
542,-72.265625
543,-76.171875
544,-72.265625
545,-76.171875
546,-76.171875
547,-74.218750
548,-76.171875
549,-76.171875
550,-78.125000
551,-78.125000
552,-76.171875
553,-78.125000
554,-76.171875
555,-78.125000
556,-76.171875
557,-80.078125
558,-82.031250
559,-78.125000
560,-80.078125
561,-78.125000
562,-82.031250
563,-80.078125
564,-80.078125
565,-80.078125
566,-80.078125
567,-83.984375
568,-80.078125
569,-83.984375
570,-85.937500
571,-82.031250
572,-85.937500
