Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,89.84mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-105.468750
2,-105.468750
3,-93.750000
4,-91.796875
5,-91.796875
6,-93.750000
7,-95.703125
8,-95.703125
9,-93.750000
10,-87.890625
11,-91.796875
12,-95.703125
13,-93.750000
14,-91.796875
15,-95.703125
16,-89.843750
17,-95.703125
18,-93.750000
19,-93.750000
20,-93.750000
21,-91.796875
22,-91.796875
23,-91.796875
24,-95.703125
25,-87.890625
26,-93.750000
27,-93.750000
28,-93.750000
29,-93.750000
30,-91.796875
31,-91.796875
32,-93.750000
33,-91.796875
34,-93.750000
35,-93.750000
36,-91.796875
37,-91.796875
38,-93.750000
39,-91.796875
40,-93.750000
41,-91.796875
42,-93.750000
43,-93.750000
44,-93.750000
45,-93.750000
46,-91.796875
47,-95.703125
48,-93.750000
49,-93.750000
50,-93.750000
51,-89.843750
52,-95.703125
53,-91.796875
54,-91.796875
55,-95.703125
56,-89.843750
57,-93.750000
58,-87.890625
59,-80.078125
60,-93.750000
61,-89.843750
62,-91.796875
63,-91.796875
64,-87.890625
65,-91.796875
66,-87.890625
67,-87.890625
68,-87.890625
69,-87.890625
70,-91.796875
71,-89.843750
72,-87.890625
73,-91.796875
74,-85.937500
75,-85.937500
76,-87.890625
77,-87.890625
78,-85.937500
79,-85.937500
80,-85.937500
81,-87.890625
82,-87.890625
83,-83.984375
84,-87.890625
85,-82.031250
86,-83.984375
87,-83.984375
88,-82.031250
89,-87.890625
90,-82.031250
91,-83.984375
92,-83.984375
93,-80.078125
94,-83.984375
95,-76.171875
96,-80.078125
97,-80.078125
98,-78.125000
99,-78.125000
100,-80.078125
101,-72.265625
102,-78.125000
103,-76.171875
104,-74.218750
105,-76.171875
106,-72.265625
107,-76.171875
108,-74.218750
109,-74.218750
110,-76.171875
111,-72.265625
112,-72.265625
113,-72.265625
114,-72.265625
115,-72.265625
116,-74.218750
117,-72.265625
118,-72.265625
119,-70.312500
120,-74.218750
121,-72.265625
122,-72.265625
123,-72.265625
124,-70.312500
125,-70.312500
126,-70.312500
127,-70.312500
128,-70.312500
129,-66.406250
130,-72.265625
131,-70.312500
132,-72.265625
133,-68.359375
134,-70.312500
135,-68.359375
136,-66.406250
137,-70.312500
138,-74.218750
139,-68.359375
140,-66.406250
141,-66.406250
142,-66.406250
143,-64.453125
144,-66.406250
145,-66.406250
146,-64.453125
147,-64.453125
148,-66.406250
149,-64.453125
150,-66.406250
151,-60.546875
152,-64.453125
153,-64.453125
154,-62.500000
155,-62.500000
156,-56.640625
157,-60.546875
158,-60.546875
159,-60.546875
160,-58.593750
161,-56.640625
162,-60.546875
163,-56.640625
164,-56.640625
165,-58.593750
166,-56.640625
167,-56.640625
168,-56.640625
169,-56.640625
170,-56.640625
171,-54.687500
172,-56.640625
173,-52.734375
174,-56.640625
175,-56.640625
176,-56.640625
177,-56.640625
178,-56.640625
179,-54.687500
180,-56.640625
181,-54.687500
182,-52.734375
183,-56.640625
184,-56.640625
185,-56.640625
186,-54.687500
187,-56.640625
188,-56.640625
189,-52.734375
190,-56.640625
191,-54.687500
192,-56.640625
193,-56.640625
194,-56.640625
195,-56.640625
196,-56.640625
197,-56.640625
198,-60.546875
199,-68.359375
200,-62.500000
201,-54.687500
202,-58.593750
203,-56.640625
204,-54.687500
205,-56.640625
206,-54.687500
207,-54.687500
208,-52.734375
209,-56.640625
210,-56.640625
211,-56.640625
212,-56.640625
213,-56.640625
214,-54.687500
215,-58.593750
216,-56.640625
217,-56.640625
218,-56.640625
219,-54.687500
220,-56.640625
221,-54.687500
222,-56.640625
223,-60.546875
224,-56.640625
225,-60.546875
226,-56.640625
227,-56.640625
228,-56.640625
229,-54.687500
230,-60.546875
231,-54.687500
232,-60.546875
233,-56.640625
234,-54.687500
235,-56.640625
236,-56.640625
237,-60.546875
238,-56.640625
239,-60.546875
240,-56.640625
241,-56.640625
242,-60.546875
243,-56.640625
244,-56.640625
245,-60.546875
246,-56.640625
247,-54.687500
248,-64.453125
249,-60.546875
250,-56.640625
251,-56.640625
252,-56.640625
253,-60.546875
254,-56.640625
255,-60.546875
256,-62.500000
257,-56.640625
258,-56.640625
259,-60.546875
260,-60.546875
261,-60.546875
262,-60.546875
263,-60.546875
264,-56.640625
265,-62.500000
266,-60.546875
267,-60.546875
268,-60.546875
269,-56.640625
270,-60.546875
271,-60.546875
272,-60.546875
273,-60.546875
274,-60.546875
275,-60.546875
276,-64.453125
277,-70.312500
278,-64.453125
279,-60.546875
280,-62.500000
281,-62.500000
282,-64.453125
283,-64.453125
284,-64.453125
285,-64.453125
286,-66.406250
287,-68.359375
288,-66.406250
289,-66.406250
290,-68.359375
291,-66.406250
292,-70.312500
293,-70.312500
294,-68.359375
295,-72.265625
296,-72.265625
297,-72.265625
298,-72.265625
299,-72.265625
300,-72.265625
301,-74.218750
302,-72.265625
303,-74.218750
304,-76.171875
305,-76.171875
306,-74.218750
307,-60.546875
308,-78.125000
309,-80.078125
310,-76.171875
311,-80.078125
312,-78.125000
313,-80.078125
314,-80.078125
315,-80.078125
316,-82.031250
317,-72.265625
318,-82.031250
319,-82.031250
320,-80.078125
321,-83.984375
322,-83.984375
323,-83.984375
324,-82.031250
325,-87.890625
326,-82.031250
327,-87.890625
328,-83.984375
329,-85.937500
330,-87.890625
331,-85.937500
332,-87.890625
333,-85.937500
334,-87.890625
335,-91.796875
336,-87.890625
337,-87.890625
338,-87.890625
339,-87.890625
340,-87.890625
341,-87.890625
342,-91.796875
343,-89.843750
344,-87.890625
345,-91.796875
346,-87.890625
347,-91.796875
348,-87.890625
349,-89.843750
350,-91.796875
351,-93.750000
352,-82.031250
353,-91.796875
354,-89.843750
355,-91.796875
356,-95.703125
357,-91.796875
358,-93.750000
359,-91.796875
360,-93.750000
361,-93.750000
362,-91.796875
363,-93.750000
364,-93.750000
365,-93.750000
366,-91.796875
367,-91.796875
368,-93.750000
369,-91.796875
370,-91.796875
371,-93.750000
372,-93.750000
373,-93.750000
374,-93.750000
375,-93.750000
376,-95.703125
377,-91.796875
378,-95.703125
379,-93.750000
380,-91.796875
381,-91.796875
382,-91.796875
383,-99.609375
384,-93.750000
385,-91.796875
386,-93.750000
387,-91.796875
388,-97.656250
389,-93.750000
390,-95.703125
391,-91.796875
392,-91.796875
393,-93.750000
394,-93.750000
395,-93.750000
396,-87.890625
397,-91.796875
398,-95.703125
399,-91.796875
400,-95.703125
401,-93.750000
402,-91.796875
403,-95.703125
404,-91.796875
405,-91.796875
406,-91.796875
407,-93.750000
408,-93.750000
409,-85.937500
410,-91.796875
411,-93.750000
412,-91.796875
413,-91.796875
414,-89.843750
415,-91.796875
416,-93.750000
417,-91.796875
418,-95.703125
419,-91.796875
420,-93.750000
421,-93.750000
422,-91.796875
423,-91.796875
424,-91.796875
425,-93.750000
426,-93.750000
427,-91.796875
428,-95.703125
429,-93.750000
430,-91.796875
431,-93.750000
432,-91.796875
433,-119.140625
434,-91.796875
435,-95.703125
436,-93.750000
437,-91.796875
438,-93.750000
439,-93.750000
440,-99.609375
441,-93.750000
442,-93.750000
443,-93.750000
444,-93.750000
445,-95.703125
446,-91.796875
447,-95.703125
448,-93.750000
449,-93.750000
450,-95.703125
451,-93.750000
452,-93.750000
453,-91.796875
454,-93.750000
455,-91.796875
456,-93.750000
457,-91.796875
458,-93.750000
459,-91.796875
460,-93.750000
461,-93.750000
462,-91.796875
463,-91.796875
464,-91.796875
465,-91.796875
466,-87.890625
467,-91.796875
468,-93.750000
469,-91.796875
470,-91.796875
471,-87.890625
472,-89.843750
473,-91.796875
474,-87.890625
475,-97.656250
476,-91.796875
477,-91.796875
478,-93.750000
479,-87.890625
480,-91.796875
481,-91.796875
482,-91.796875
483,-93.750000
484,-91.796875
485,-89.843750
486,-91.796875
487,-87.890625
488,-91.796875
489,-93.750000
490,-91.796875
491,-91.796875
492,-89.843750
493,-91.796875
494,-91.796875
495,-91.796875
496,-91.796875
497,-87.890625
498,-91.796875
499,-87.890625
500,-91.796875
501,-87.890625
502,-89.843750
503,-91.796875
504,-87.890625
505,-93.750000
506,-95.703125
507,-91.796875
508,-87.890625
509,-87.890625
510,-91.796875
511,-89.843750
512,-91.796875
513,-91.796875
514,-87.890625
515,-95.703125
516,-87.890625
517,-91.796875
518,-87.890625
519,-87.890625
520,-91.796875
521,-87.890625
522,-89.843750
523,-87.890625
524,-91.796875
525,-91.796875
526,-87.890625
527,-91.796875
528,-87.890625
529,-87.890625
530,-91.796875
531,-87.890625
532,-91.796875
533,-87.890625
534,-93.750000
535,-91.796875
536,-87.890625
537,-87.890625
538,-87.890625
539,-91.796875
540,-87.890625
541,-91.796875
542,-89.843750
543,-89.843750
544,-91.796875
545,-87.890625
546,-91.796875
547,-91.796875
548,-87.890625
549,-91.796875
550,-87.890625
551,-87.890625
552,-91.796875
553,-87.890625
554,-87.890625
555,-91.796875
556,-87.890625
557,-93.750000
558,-87.890625
559,-87.890625
560,-87.890625
561,-87.890625
562,-89.843750
563,-87.890625
564,-91.796875
565,-87.890625
566,-87.890625
567,-87.890625
568,-87.890625
569,-89.843750
570,-87.890625
571,-87.890625
572,-91.796875
