Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,52.73mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-50.781250
2,-50.781250
3,-50.781250
4,-52.734375
5,-52.734375
6,-50.781250
7,-50.781250
8,-52.734375
9,-48.828125
10,-54.687500
11,-50.781250
12,-54.687500
13,-52.734375
14,-54.687500
15,-54.687500
16,-52.734375
17,-56.640625
18,-54.687500
19,-56.640625
20,-56.640625
21,-54.687500
22,-56.640625
23,-52.734375
24,-54.687500
25,-56.640625
26,-54.687500
27,-56.640625
28,-56.640625
29,-56.640625
30,-56.640625
31,-54.687500
32,-54.687500
33,-56.640625
34,-54.687500
35,-56.640625
36,-54.687500
37,-56.640625
38,-54.687500
39,-52.734375
40,-56.640625
41,-54.687500
42,-56.640625
43,-52.734375
44,-56.640625
45,-56.640625
46,-54.687500
47,-56.640625
48,-54.687500
49,-54.687500
50,-56.640625
51,-54.687500
52,-52.734375
53,-54.687500
54,-56.640625
55,-56.640625
56,-56.640625
57,-56.640625
58,-54.687500
59,-56.640625
60,-56.640625
61,-54.687500
62,-62.500000
63,-56.640625
64,-56.640625
65,-56.640625
66,-56.640625
67,-56.640625
68,-54.687500
69,-56.640625
70,-56.640625
71,-52.734375
72,-56.640625
73,-54.687500
74,-54.687500
75,-56.640625
76,-54.687500
77,-56.640625
78,-56.640625
79,-54.687500
80,-56.640625
81,-56.640625
82,-54.687500
83,-54.687500
84,-56.640625
85,-54.687500
86,-60.546875
87,-50.781250
88,-54.687500
89,-56.640625
90,-56.640625
91,-54.687500
92,-56.640625
93,-54.687500
94,-56.640625
95,-54.687500
96,-56.640625
97,-56.640625
98,-52.734375
99,-54.687500
100,-54.687500
101,-54.687500
102,-54.687500
103,-50.781250
104,-54.687500
105,-56.640625
106,-54.687500
107,-33.203125
108,-54.687500
109,-56.640625
110,-52.734375
111,-56.640625
112,-54.687500
113,-54.687500
114,-56.640625
115,-54.687500
116,-56.640625
117,-56.640625
118,-52.734375
119,-54.687500
120,-70.312500
121,-52.734375
122,-56.640625
123,-48.828125
124,-54.687500
125,-56.640625
126,-52.734375
127,-54.687500
128,-50.781250
129,-56.640625
130,-54.687500
131,-48.828125
132,-52.734375
133,-54.687500
134,-48.828125
135,-52.734375
136,-48.828125
137,-48.828125
138,-48.828125
139,-50.781250
140,-48.828125
141,-46.875000
142,-48.828125
143,-44.921875
144,-50.781250
145,-48.828125
146,-29.296875
147,-29.296875
148,-29.296875
149,-29.296875
150,-31.250000
151,-29.296875
152,-29.296875
153,-29.296875
154,-29.296875
155,-31.250000
156,-29.296875
157,-29.296875
158,-29.296875
159,-29.296875
160,-29.296875
161,-29.296875
162,-29.296875
163,-21.484375
164,-29.296875
165,-29.296875
166,-29.296875
167,-31.250000
168,-29.296875
169,-29.296875
170,-31.250000
171,-29.296875
172,-31.250000
173,-27.343750
174,-29.296875
175,-31.250000
176,-29.296875
177,-29.296875
178,-29.296875
179,-29.296875
180,-29.296875
181,-29.296875
182,-29.296875
183,-29.296875
184,-25.390625
185,-29.296875
186,-29.296875
187,-29.296875
188,-29.296875
189,-29.296875
190,-31.250000
191,-27.343750
192,-29.296875
193,-29.296875
194,-29.296875
195,-31.250000
196,-29.296875
197,-31.250000
198,-29.296875
199,-25.390625
200,-39.062500
201,-29.296875
202,-31.250000
203,-29.296875
204,-31.250000
205,-29.296875
206,-29.296875
207,-33.203125
208,-29.296875
209,-29.296875
210,-29.296875
211,-25.390625
212,-31.250000
213,-25.390625
214,-29.296875
215,-29.296875
216,-29.296875
217,-29.296875
218,-29.296875
219,-31.250000
220,-29.296875
221,-29.296875
222,-29.296875
223,-29.296875
224,-29.296875
225,-29.296875
226,-29.296875
227,-31.250000
228,-29.296875
229,-29.296875
230,-29.296875
231,-29.296875
232,-31.250000
233,-31.250000
234,-25.390625
235,-31.250000
236,-29.296875
237,-29.296875
238,-29.296875
239,-29.296875
240,-31.250000
241,-29.296875
242,-31.250000
243,-29.296875
244,-29.296875
245,-29.296875
246,-29.296875
247,-29.296875
248,-29.296875
249,-29.296875
250,-29.296875
251,-29.296875
252,-31.250000
253,-29.296875
254,-31.250000
255,-29.296875
256,-29.296875
257,-29.296875
258,-25.390625
259,-29.296875
260,-31.250000
261,-25.390625
262,-31.250000
263,-31.250000
264,-29.296875
265,-29.296875
266,-29.296875
267,-31.250000
268,-31.250000
269,-29.296875
270,-29.296875
271,-29.296875
272,-29.296875
273,-31.250000
274,-29.296875
275,-29.296875
276,-29.296875
277,-29.296875
278,-31.250000
279,-25.390625
280,-23.437500
281,-29.296875
282,-29.296875
283,-31.250000
284,-31.250000
285,-31.250000
286,-29.296875
287,-33.203125
288,-29.296875
289,-33.203125
290,-33.203125
291,-31.250000
292,-31.250000
293,-29.296875
294,-35.156250
295,-33.203125
296,-33.203125
297,-31.250000
298,-31.250000
299,-33.203125
300,-31.250000
301,-33.203125
302,-35.156250
303,-31.250000
304,-33.203125
305,-33.203125
306,-33.203125
307,-33.203125
308,-33.203125
309,-33.203125
310,-31.250000
311,-33.203125
312,-33.203125
313,-33.203125
314,-35.156250
315,-33.203125
316,-33.203125
317,-35.156250
318,-33.203125
319,-35.156250
320,-33.203125
321,-33.203125
322,-35.156250
323,-35.156250
324,-33.203125
325,-35.156250
326,-33.203125
327,-25.390625
328,-35.156250
329,-33.203125
330,-35.156250
331,-35.156250
332,-39.062500
333,-35.156250
334,-37.109375
335,-35.156250
336,-37.109375
337,-37.109375
338,-37.109375
339,-39.062500
340,-37.109375
341,-39.062500
342,-37.109375
343,-35.156250
344,-39.062500
345,-41.015625
346,-39.062500
347,-41.015625
348,-37.109375
349,-41.015625
350,-37.109375
351,-39.062500
352,-37.109375
353,-35.156250
354,-37.109375
355,-39.062500
356,-39.062500
357,-41.015625
358,-37.109375
359,-39.062500
360,-41.015625
361,-39.062500
362,-41.015625
363,-39.062500
364,-39.062500
365,-41.015625
366,-41.015625
367,-41.015625
368,-39.062500
369,-41.015625
370,-41.015625
371,-41.015625
372,-42.968750
373,-41.015625
374,-41.015625
375,-41.015625
376,-41.015625
377,-41.015625
378,-41.015625
379,-41.015625
380,-41.015625
381,-44.921875
382,-44.921875
383,-41.015625
384,-41.015625
385,-41.015625
386,-42.968750
387,-35.156250
388,-41.015625
389,-44.921875
390,-41.015625
391,-44.921875
392,-42.968750
393,-41.015625
394,-46.875000
395,-44.921875
396,-41.015625
397,-44.921875
398,-44.921875
399,-46.875000
400,-41.015625
401,-44.921875
402,-46.875000
403,-44.921875
404,-46.875000
405,-48.828125
406,-44.921875
407,-44.921875
408,-44.921875
409,-41.015625
410,-44.921875
411,-46.875000
412,-44.921875
413,-44.921875
414,-48.828125
415,-44.921875
416,-44.921875
417,-60.546875
418,-44.921875
419,-44.921875
420,-44.921875
421,-46.875000
422,-44.921875
423,-44.921875
424,-46.875000
425,-41.015625
426,-44.921875
427,-44.921875
428,-44.921875
429,-46.875000
430,-44.921875
431,-44.921875
432,-48.828125
433,-44.921875
434,-44.921875
435,-44.921875
436,-46.875000
437,-44.921875
438,-44.921875
439,-46.875000
440,-46.875000
441,-44.921875
442,-44.921875
443,-44.921875
444,-44.921875
445,-44.921875
446,-44.921875
447,-56.640625
448,-44.921875
449,-46.875000
450,-44.921875
451,-48.828125
452,-41.015625
453,-46.875000
454,-44.921875
455,-46.875000
456,-46.875000
457,-44.921875
458,-46.875000
459,-44.921875
460,-48.828125
461,-41.015625
462,-44.921875
463,-48.828125
464,-44.921875
465,-44.921875
466,-46.875000
467,-44.921875
468,-46.875000
469,-44.921875
470,-44.921875
471,-48.828125
472,-44.921875
473,-44.921875
474,-46.875000
475,-42.968750
476,-44.921875
477,-39.062500
478,-42.968750
479,-44.921875
480,-44.921875
481,-44.921875
482,-46.875000
483,-41.015625
484,-44.921875
485,-44.921875
486,-44.921875
487,-44.921875
488,-44.921875
489,-48.828125
490,-44.921875
491,-42.968750
492,-44.921875
493,-42.968750
494,-44.921875
495,-44.921875
496,-42.968750
497,-44.921875
498,-42.968750
499,-42.968750
500,-44.921875
501,-44.921875
502,-44.921875
503,-44.921875
504,-44.921875
505,-44.921875
506,-41.015625
507,-44.921875
508,-44.921875
509,-41.015625
510,-44.921875
511,-39.062500
512,-42.968750
513,-41.015625
514,-44.921875
515,-44.921875
516,-37.109375
517,-41.015625
518,-41.015625
519,-41.015625
520,-42.968750
521,-41.015625
522,-44.921875
523,-42.968750
524,-54.687500
525,-44.921875
526,-41.015625
527,-41.015625
528,-41.015625
529,-39.062500
530,-44.921875
531,-41.015625
532,-41.015625
533,-44.921875
534,-41.015625
535,-44.921875
536,-41.015625
537,-41.015625
538,-41.015625
539,-41.015625
540,-41.015625
541,-41.015625
542,-41.015625
543,-41.015625
544,-44.921875
545,-41.015625
546,-41.015625
547,-44.921875
548,-42.968750
549,-39.062500
550,-44.921875
551,-41.015625
552,-44.921875
553,-41.015625
554,-46.875000
555,-42.968750
556,-41.015625
557,-42.968750
558,-44.921875
559,-41.015625
560,-48.828125
561,-41.015625
562,-44.921875
563,-42.968750
564,-42.968750
565,-44.921875
566,-41.015625
567,-44.921875
568,-41.015625
569,-44.921875
570,-41.015625
571,-41.015625
572,-44.921875
