Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,46.88mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,-46.875000
2,-46.875000
3,-46.875000
4,-44.921875
5,-44.921875
6,-44.921875
7,-46.875000
8,-44.921875
9,-46.875000
10,-46.875000
11,-44.921875
12,-48.828125
13,-46.875000
14,-48.828125
15,-46.875000
16,-48.828125
17,-46.875000
18,-46.875000
19,-46.875000
20,-46.875000
21,-48.828125
22,-46.875000
23,-44.921875
24,-44.921875
25,-46.875000
26,-46.875000
27,-46.875000
28,-44.921875
29,-46.875000
30,-44.921875
31,-48.828125
32,-44.921875
33,-46.875000
34,-46.875000
35,-46.875000
36,-48.828125
37,-48.828125
38,-48.828125
39,-46.875000
40,-46.875000
41,-46.875000
42,-44.921875
43,-46.875000
44,-46.875000
45,-46.875000
46,-48.828125
47,-44.921875
48,-48.828125
49,-44.921875
50,-48.828125
51,-44.921875
52,-48.828125
53,-46.875000
54,-46.875000
55,-44.921875
56,-44.921875
57,-46.875000
58,-48.828125
59,-44.921875
60,-46.875000
61,-46.875000
62,-46.875000
63,-48.828125
64,-44.921875
65,-48.828125
66,-44.921875
67,-48.828125
68,-44.921875
69,-46.875000
70,-50.781250
71,-44.921875
72,-48.828125
73,-46.875000
74,-50.781250
75,-46.875000
76,-48.828125
77,-48.828125
78,-46.875000
79,-50.781250
80,-46.875000
81,-41.015625
82,-46.875000
83,-48.828125
84,-46.875000
85,-46.875000
86,-48.828125
87,-44.921875
88,-44.921875
89,-48.828125
90,-44.921875
91,-46.875000
92,-48.828125
93,-48.828125
94,-46.875000
95,-48.828125
96,-48.828125
97,-48.828125
98,-44.921875
99,-48.828125
100,-46.875000
101,-48.828125
102,-48.828125
103,-48.828125
104,-46.875000
105,-46.875000
106,-48.828125
107,-44.921875
108,-46.875000
109,-50.781250
110,-48.828125
111,-54.687500
112,-46.875000
113,-52.734375
114,-48.828125
115,-46.875000
116,-46.875000
117,-48.828125
118,-48.828125
119,-48.828125
120,-48.828125
121,-44.921875
122,-50.781250
123,-33.203125
124,-48.828125
125,-50.781250
126,-46.875000
127,-50.781250
128,-39.062500
129,-50.781250
130,-48.828125
131,-46.875000
132,-48.828125
133,-44.921875
134,-50.781250
135,-50.781250
136,-48.828125
137,-52.734375
138,-46.875000
139,-52.734375
140,-48.828125
141,-48.828125
142,-52.734375
143,-48.828125
144,-54.687500
145,-46.875000
146,-44.921875
147,-52.734375
148,-48.828125
149,-48.828125
150,-48.828125
151,-48.828125
152,-48.828125
153,-48.828125
154,-46.875000
155,-50.781250
156,-48.828125
157,-48.828125
158,-44.921875
159,-48.828125
160,-50.781250
161,-48.828125
162,-48.828125
163,-48.828125
164,-48.828125
165,-50.781250
166,-48.828125
167,-48.828125
168,-48.828125
169,-50.781250
170,-48.828125
171,-48.828125
172,-48.828125
173,-48.828125
174,-48.828125
175,-48.828125
176,-48.828125
177,-48.828125
178,-48.828125
179,-50.781250
180,-46.875000
181,-50.781250
182,-48.828125
183,-48.828125
184,-46.875000
185,-48.828125
186,-50.781250
187,-48.828125
188,-48.828125
189,-48.828125
190,-48.828125
191,-48.828125
192,-46.875000
193,-48.828125
194,-48.828125
195,-48.828125
196,-50.781250
197,-46.875000
198,-50.781250
199,-46.875000
200,-48.828125
201,-48.828125
202,-44.921875
203,-48.828125
204,-46.875000
205,-48.828125
206,-46.875000
207,-46.875000
208,-48.828125
209,-48.828125
210,-50.781250
211,-44.921875
212,-48.828125
213,-48.828125
214,-46.875000
215,-48.828125
216,-46.875000
217,-48.828125
218,-46.875000
219,-48.828125
220,-46.875000
221,-46.875000
222,-50.781250
223,-48.828125
224,-46.875000
225,-60.546875
226,-46.875000
227,-44.921875
228,-46.875000
229,-50.781250
230,-46.875000
231,-46.875000
232,-48.828125
233,-48.828125
234,-48.828125
235,-44.921875
236,-44.921875
237,-48.828125
238,-46.875000
239,-48.828125
240,-44.921875
241,-50.781250
242,-48.828125
243,-48.828125
244,-48.828125
245,-46.875000
246,-48.828125
247,-48.828125
248,-48.828125
249,-48.828125
250,-46.875000
251,-48.828125
252,-48.828125
253,-50.781250
254,-48.828125
255,-46.875000
256,-46.875000
257,-46.875000
258,-46.875000
259,-48.828125
260,-44.921875
261,-46.875000
262,-46.875000
263,-46.875000
264,-50.781250
265,-48.828125
266,-48.828125
267,-46.875000
268,-48.828125
269,-50.781250
270,-56.640625
271,-50.781250
272,-48.828125
273,-48.828125
274,-48.828125
275,-48.828125
276,-48.828125
277,-48.828125
278,-50.781250
279,-48.828125
280,-48.828125
281,-50.781250
282,-48.828125
283,-50.781250
284,-48.828125
285,-48.828125
286,-48.828125
287,-41.015625
288,-48.828125
289,-46.875000
290,-50.781250
291,-48.828125
292,-50.781250
293,-48.828125
294,-46.875000
295,-48.828125
296,-48.828125
297,-50.781250
298,-48.828125
299,-48.828125
300,-44.921875
301,-48.828125
302,-48.828125
303,-48.828125
304,-48.828125
305,-48.828125
306,-50.781250
307,-48.828125
308,-48.828125
309,-52.734375
310,-54.687500
311,-48.828125
312,-48.828125
313,-56.640625
314,-50.781250
315,-48.828125
316,-48.828125
317,-48.828125
318,-48.828125
319,-50.781250
320,-48.828125
321,-50.781250
322,-50.781250
323,-48.828125
324,-48.828125
325,-48.828125
326,-48.828125
327,-48.828125
328,-48.828125
329,-48.828125
330,-41.015625
331,-52.734375
332,-48.828125
333,-50.781250
334,-48.828125
335,-48.828125
336,-52.734375
337,-50.781250
338,-48.828125
339,-50.781250
340,-48.828125
341,-52.734375
342,-50.781250
343,-54.687500
344,-50.781250
345,-48.828125
346,-50.781250
347,-50.781250
348,-50.781250
349,-50.781250
350,-50.781250
351,-52.734375
352,-48.828125
353,-48.828125
354,-52.734375
355,-50.781250
356,-56.640625
357,-50.781250
358,-56.640625
359,-48.828125
360,-48.828125
361,-50.781250
362,-48.828125
363,-54.687500
364,-50.781250
365,-52.734375
366,-50.781250
367,-48.828125
368,-54.687500
369,-48.828125
370,-56.640625
371,-48.828125
372,-56.640625
373,-48.828125
374,-52.734375
375,-50.781250
376,-52.734375
377,-52.734375
378,-50.781250
379,-54.687500
380,-52.734375
381,-56.640625
382,-54.687500
383,-52.734375
384,-52.734375
385,-56.640625
386,-56.640625
387,-50.781250
388,-54.687500
389,-54.687500
390,-50.781250
391,-56.640625
392,-54.687500
393,-54.687500
394,-54.687500
395,-52.734375
396,-52.734375
397,-54.687500
398,-52.734375
399,-52.734375
400,-46.875000
401,-56.640625
402,-52.734375
403,-52.734375
404,-52.734375
405,-50.781250
406,-52.734375
407,-48.828125
408,-54.687500
409,-54.687500
410,-52.734375
411,-52.734375
412,-52.734375
413,-54.687500
414,-54.687500
415,-48.828125
416,-41.015625
417,-50.781250
418,-48.828125
419,-50.781250
420,-48.828125
421,-52.734375
422,-50.781250
423,-52.734375
424,-52.734375
425,-50.781250
426,-56.640625
427,-48.828125
428,-54.687500
429,-52.734375
430,-52.734375
431,-52.734375
432,-48.828125
433,-54.687500
434,-48.828125
435,-52.734375
436,-52.734375
437,-50.781250
438,-52.734375
439,-48.828125
440,-52.734375
441,-52.734375
442,-48.828125
443,-54.687500
444,-48.828125
445,-54.687500
446,-48.828125
447,-54.687500
448,-54.687500
449,-48.828125
450,-54.687500
451,-52.734375
452,-52.734375
453,-52.734375
454,-48.828125
455,-52.734375
456,-48.828125
457,-54.687500
458,-52.734375
459,-50.781250
460,-50.781250
461,-48.828125
462,-48.828125
463,-50.781250
464,-52.734375
465,-50.781250
466,-52.734375
467,-52.734375
468,-52.734375
469,-52.734375
470,-48.828125
471,-50.781250
472,-54.687500
473,-50.781250
474,-48.828125
475,-50.781250
476,-50.781250
477,-52.734375
478,-48.828125
479,-52.734375
480,-50.781250
481,-56.640625
482,-48.828125
483,-52.734375
484,-52.734375
485,-48.828125
486,-48.828125
487,-54.687500
488,-56.640625
489,-66.406250
490,-50.781250
491,-50.781250
492,-52.734375
493,-48.828125
494,-50.781250
495,-52.734375
496,-52.734375
497,-50.781250
498,-48.828125
499,-52.734375
500,-48.828125
501,-52.734375
502,-56.640625
503,-50.781250
504,-54.687500
505,-52.734375
506,-54.687500
507,-50.781250
508,-50.781250
509,-52.734375
510,-48.828125
511,-54.687500
512,-50.781250
513,-52.734375
514,-52.734375
515,-48.828125
516,-52.734375
517,-50.781250
518,-54.687500
519,-48.828125
520,-52.734375
521,-54.687500
522,-48.828125
523,-54.687500
524,-48.828125
525,-54.687500
526,-50.781250
527,-48.828125
528,-52.734375
529,-48.828125
530,-54.687500
531,-50.781250
532,-50.781250
533,-48.828125
534,-48.828125
535,-52.734375
536,-52.734375
537,-54.687500
538,-52.734375
539,-48.828125
540,-50.781250
541,-54.687500
542,-50.781250
543,-50.781250
544,-48.828125
545,-50.781250
546,-48.828125
547,-48.828125
548,-48.828125
549,-50.781250
550,-50.781250
551,-48.828125
552,-50.781250
553,-48.828125
554,-48.828125
555,-52.734375
556,-48.828125
557,-48.828125
558,-48.828125
559,-48.828125
560,-50.781250
561,-48.828125
562,-52.734375
563,-48.828125
564,-48.828125
565,-48.828125
566,-50.781250
567,-50.781250
568,-48.828125
569,-52.734375
570,-48.828125
571,-48.828125
572,-50.781250
