Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,103.5mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,0.000000
2,0.000000
3,1.953125
4,1.953125
5,1.953125
6,1.953125
7,1.953125
8,5.859375
9,0.000000
10,5.859375
11,1.953125
12,1.953125
13,5.859375
14,0.000000
15,1.953125
16,1.953125
17,3.906250
18,3.906250
19,1.953125
20,1.953125
21,0.000000
22,0.000000
23,0.000000
24,3.906250
25,1.953125
26,5.859375
27,5.859375
28,1.953125
29,5.859375
30,1.953125
31,1.953125
32,1.953125
33,1.953125
34,1.953125
35,1.953125
36,5.859375
37,5.859375
38,5.859375
39,1.953125
40,1.953125
41,3.906250
42,-1.953125
43,5.859375
44,3.906250
45,7.812500
46,5.859375
47,5.859375
48,5.859375
49,3.906250
50,7.812500
51,5.859375
52,9.765625
53,9.765625
54,7.812500
55,7.812500
56,7.812500
57,7.812500
58,7.812500
59,11.718750
60,7.812500
61,11.718750
62,9.765625
63,5.859375
64,15.625000
65,9.765625
66,13.671875
67,9.765625
68,15.625000
69,5.859375
70,15.625000
71,7.812500
72,15.625000
73,13.671875
74,11.718750
75,17.578125
76,17.578125
77,17.578125
78,17.578125
79,17.578125
80,17.578125
81,21.484375
82,21.484375
83,21.484375
84,21.484375
85,21.484375
86,23.437500
87,27.343750
88,21.484375
89,27.343750
90,25.390625
91,27.343750
92,29.296875
93,29.296875
94,33.203125
95,29.296875
96,33.203125
97,33.203125
98,33.203125
99,37.109375
100,35.156250
101,37.109375
102,37.109375
103,39.062500
104,37.109375
105,39.062500
106,42.968750
107,41.015625
108,44.921875
109,41.015625
110,46.875000
111,44.921875
112,46.875000
113,46.875000
114,44.921875
115,48.828125
116,46.875000
117,46.875000
118,48.828125
119,48.828125
120,50.781250
121,46.875000
122,52.734375
123,50.781250
124,48.828125
125,48.828125
126,48.828125
127,50.781250
128,48.828125
129,48.828125
130,48.828125
131,48.828125
132,48.828125
133,41.015625
134,48.828125
135,44.921875
136,48.828125
137,46.875000
138,46.875000
139,46.875000
140,44.921875
141,44.921875
142,44.921875
143,46.875000
144,42.968750
145,44.921875
146,46.875000
147,42.968750
148,46.875000
149,44.921875
150,48.828125
151,42.968750
152,46.875000
153,44.921875
154,42.968750
155,44.921875
156,44.921875
157,48.828125
158,44.921875
159,46.875000
160,44.921875
161,44.921875
162,46.875000
163,44.921875
164,48.828125
165,44.921875
166,52.734375
167,46.875000
168,48.828125
169,46.875000
170,48.828125
171,46.875000
172,48.828125
173,52.734375
174,46.875000
175,52.734375
176,48.828125
177,52.734375
178,52.734375
179,52.734375
180,52.734375
181,52.734375
182,54.687500
183,52.734375
184,52.734375
185,54.687500
186,52.734375
187,52.734375
188,54.687500
189,58.593750
190,58.593750
191,60.546875
192,54.687500
193,56.640625
194,56.640625
195,48.828125
196,58.593750
197,52.734375
198,54.687500
199,44.921875
200,54.687500
201,52.734375
202,52.734375
203,54.687500
204,52.734375
205,52.734375
206,48.828125
207,52.734375
208,46.875000
209,48.828125
210,52.734375
211,44.921875
212,48.828125
213,44.921875
214,44.921875
215,48.828125
216,42.968750
217,42.968750
218,42.968750
219,39.062500
220,44.921875
221,37.109375
222,39.062500
223,37.109375
224,39.062500
225,37.109375
226,37.109375
227,37.109375
228,33.203125
229,37.109375
230,33.203125
231,33.203125
232,37.109375
233,33.203125
234,37.109375
235,33.203125
236,33.203125
237,33.203125
238,33.203125
239,33.203125
240,33.203125
241,37.109375
242,33.203125
243,33.203125
244,37.109375
245,37.109375
246,37.109375
247,33.203125
248,37.109375
249,29.296875
250,33.203125
251,33.203125
252,33.203125
253,33.203125
254,33.203125
255,37.109375
256,31.250000
257,27.343750
258,33.203125
259,29.296875
260,33.203125
261,31.250000
262,33.203125
263,29.296875
264,33.203125
265,33.203125
266,33.203125
267,33.203125
268,29.296875
269,33.203125
270,31.250000
271,29.296875
272,31.250000
273,31.250000
274,31.250000
275,29.296875
276,33.203125
277,29.296875
278,29.296875
279,27.343750
280,27.343750
281,27.343750
282,27.343750
283,27.343750
284,27.343750
285,25.390625
286,29.296875
287,21.484375
288,25.390625
289,23.437500
290,25.390625
291,23.437500
292,25.390625
293,23.437500
294,21.484375
295,25.390625
296,23.437500
297,25.390625
298,23.437500
299,23.437500
300,23.437500
301,25.390625
302,27.343750
303,23.437500
304,23.437500
305,21.484375
306,23.437500
307,23.437500
308,23.437500
309,25.390625
310,23.437500
311,23.437500
312,23.437500
313,23.437500
314,23.437500
315,23.437500
316,21.484375
317,23.437500
318,17.578125
319,27.343750
320,23.437500
321,21.484375
322,23.437500
323,23.437500
324,23.437500
325,23.437500
326,21.484375
327,25.390625
328,21.484375
329,23.437500
330,23.437500
331,21.484375
332,25.390625
333,23.437500
334,25.390625
335,23.437500
336,23.437500
337,25.390625
338,25.390625
339,23.437500
340,21.484375
341,23.437500
342,23.437500
343,21.484375
344,23.437500
345,21.484375
346,23.437500
347,21.484375
348,21.484375
349,21.484375
350,23.437500
351,21.484375
352,21.484375
353,21.484375
354,17.578125
355,23.437500
356,19.531250
357,21.484375
358,17.578125
359,17.578125
360,21.484375
361,17.578125
362,17.578125
363,17.578125
364,19.531250
365,17.578125
366,15.625000
367,21.484375
368,21.484375
369,21.484375
370,17.578125
371,13.671875
372,17.578125
373,13.671875
374,17.578125
375,13.671875
376,17.578125
377,13.671875
378,13.671875
379,13.671875
380,11.718750
381,13.671875
382,13.671875
383,13.671875
384,13.671875
385,9.765625
386,9.765625
387,7.812500
388,13.671875
389,9.765625
390,7.812500
391,9.765625
392,9.765625
393,11.718750
394,11.718750
395,15.625000
396,13.671875
397,-1.953125
398,17.578125
399,17.578125
400,17.578125
401,13.671875
402,19.531250
403,21.484375
404,23.437500
405,19.531250
406,25.390625
407,27.343750
408,27.343750
409,27.343750
410,15.625000
411,29.296875
412,29.296875
413,31.250000
414,31.250000
415,31.250000
416,33.203125
417,33.203125
418,33.203125
419,33.203125
420,37.109375
421,35.156250
422,33.203125
423,33.203125
424,37.109375
425,41.015625
426,39.062500
427,42.968750
428,42.968750
429,42.968750
430,42.968750
431,42.968750
432,42.968750
433,44.921875
434,48.828125
435,52.734375
436,52.734375
437,54.687500
438,54.687500
439,54.687500
440,52.734375
441,56.640625
442,52.734375
443,46.875000
444,50.781250
445,52.734375
446,52.734375
447,48.828125
448,52.734375
449,46.875000
450,48.828125
451,44.921875
452,42.968750
453,42.968750
454,41.015625
455,41.015625
456,33.203125
457,37.109375
458,31.250000
459,37.109375
460,33.203125
461,33.203125
462,33.203125
463,33.203125
464,29.296875
465,37.109375
466,33.203125
467,35.156250
468,31.250000
469,35.156250
470,31.250000
471,31.250000
472,48.828125
473,29.296875
474,31.250000
475,27.343750
476,27.343750
477,23.437500
478,23.437500
479,21.484375
480,21.484375
481,21.484375
482,19.531250
483,21.484375
484,17.578125
485,15.625000
486,17.578125
487,13.671875
488,17.578125
489,13.671875
490,17.578125
491,13.671875
492,13.671875
493,13.671875
494,11.718750
495,17.578125
496,13.671875
497,21.484375
498,17.578125
499,17.578125
500,15.625000
501,17.578125
502,17.578125
503,17.578125
504,21.484375
505,33.203125
506,25.390625
507,27.343750
508,29.296875
509,31.250000
510,29.296875
511,33.203125
512,29.296875
513,33.203125
514,33.203125
515,33.203125
516,31.250000
517,33.203125
518,27.343750
519,27.343750
520,27.343750
521,25.390625
522,27.343750
523,23.437500
524,23.437500
525,21.484375
526,13.671875
527,17.578125
528,11.718750
529,13.671875
530,9.765625
531,7.812500
532,5.859375
533,1.953125
534,3.906250
535,-1.953125
536,-1.953125
537,-1.953125
538,-1.953125
539,-3.906250
540,-9.765625
541,-5.859375
542,-9.765625
543,-15.625000
544,-9.765625
545,-9.765625
546,-9.765625
547,-9.765625
548,-9.765625
549,-11.718750
550,-9.765625
551,-9.765625
552,-9.765625
553,-9.765625
554,-9.765625
555,-9.765625
556,-13.671875
557,-7.812500
558,-9.765625
559,-9.765625
560,-7.812500
561,-9.765625
562,-7.812500
563,-7.812500
564,-7.812500
565,-7.812500
566,-3.906250
567,-7.812500
568,-3.906250
569,-7.812500
570,-7.812500
571,-3.906250
572,-7.812500
573,-7.812500
574,-7.812500
575,-7.812500
576,-7.812500
577,-7.812500
578,-5.859375
579,-9.765625
580,-9.765625
581,-9.765625
582,-9.765625
583,-5.859375
584,-9.765625
585,-9.765625
586,-9.765625
587,-9.765625
588,-9.765625
589,-13.671875
590,-13.671875
591,-13.671875
592,-5.859375
593,-13.671875
594,-9.765625
595,-13.671875
596,-11.718750
597,-13.671875
598,-15.625000
599,-9.765625
600,-17.578125
601,-9.765625
602,-13.671875
603,-9.765625
604,-15.625000
605,-17.578125
606,-13.671875
607,-13.671875
608,-11.718750
609,-15.625000
610,-13.671875
611,-15.625000
612,-15.625000
613,-13.671875
614,-17.578125
615,-15.625000
616,-17.578125
617,-13.671875
618,-15.625000
619,-17.578125
620,-17.578125
621,-25.390625
622,-15.625000
623,-17.578125
624,-21.484375
625,-17.578125
626,-17.578125
627,-21.484375
628,-23.437500
629,-23.437500
630,-25.390625
631,-23.437500
632,-25.390625
633,-23.437500
634,-25.390625
635,-25.390625
636,-25.390625
637,-29.296875
638,-25.390625
639,-29.296875
