Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,105.5mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,0.000000
2,0.000000
3,0.000000
4,1.953125
5,1.953125
6,1.953125
7,1.953125
8,1.953125
9,1.953125
10,1.953125
11,1.953125
12,1.953125
13,5.859375
14,1.953125
15,1.953125
16,1.953125
17,0.000000
18,5.859375
19,-1.953125
20,5.859375
21,1.953125
22,-1.953125
23,3.906250
24,-1.953125
25,1.953125
26,-1.953125
27,1.953125
28,0.000000
29,0.000000
30,1.953125
31,0.000000
32,1.953125
33,0.000000
34,1.953125
35,3.906250
36,0.000000
37,1.953125
38,0.000000
39,0.000000
40,1.953125
41,-1.953125
42,0.000000
43,1.953125
44,1.953125
45,1.953125
46,1.953125
47,0.000000
48,1.953125
49,1.953125
50,1.953125
51,1.953125
52,1.953125
53,1.953125
54,1.953125
55,5.859375
56,1.953125
57,1.953125
58,1.953125
59,1.953125
60,1.953125
61,0.000000
62,1.953125
63,1.953125
64,1.953125
65,1.953125
66,1.953125
67,3.906250
68,0.000000
69,1.953125
70,-1.953125
71,1.953125
72,-1.953125
73,0.000000
74,1.953125
75,0.000000
76,1.953125
77,0.000000
78,0.000000
79,1.953125
80,0.000000
81,1.953125
82,0.000000
83,1.953125
84,1.953125
85,1.953125
86,0.000000
87,0.000000
88,1.953125
89,-3.906250
90,0.000000
91,1.953125
92,-1.953125
93,1.953125
94,1.953125
95,0.000000
96,3.906250
97,0.000000
98,3.906250
99,1.953125
100,0.000000
101,3.906250
102,1.953125
103,5.859375
104,1.953125
105,1.953125
106,1.953125
107,1.953125
108,1.953125
109,-1.953125
110,1.953125
111,1.953125
112,-1.953125
113,0.000000
114,1.953125
115,1.953125
116,1.953125
117,0.000000
118,7.812500
119,1.953125
120,5.859375
121,0.000000
122,1.953125
123,1.953125
124,1.953125
125,5.859375
126,0.000000
127,5.859375
128,1.953125
129,1.953125
130,1.953125
131,1.953125
132,5.859375
133,1.953125
134,1.953125
135,1.953125
136,5.859375
137,5.859375
138,0.000000
139,1.953125
140,1.953125
141,1.953125
142,5.859375
143,1.953125
144,5.859375
145,1.953125
146,1.953125
147,0.000000
148,5.859375
149,1.953125
150,1.953125
151,1.953125
152,1.953125
153,5.859375
154,3.906250
155,1.953125
156,5.859375
157,1.953125
158,5.859375
159,1.953125
160,1.953125
161,5.859375
162,1.953125
163,7.812500
164,-1.953125
165,5.859375
166,1.953125
167,1.953125
168,5.859375
169,0.000000
170,7.812500
171,1.953125
172,1.953125
173,1.953125
174,1.953125
175,1.953125
176,5.859375
177,5.859375
178,5.859375
179,1.953125
180,1.953125
181,5.859375
182,1.953125
183,5.859375
184,1.953125
185,1.953125
186,1.953125
187,1.953125
188,5.859375
189,0.000000
190,1.953125
191,5.859375
192,1.953125
193,5.859375
194,0.000000
195,1.953125
196,1.953125
197,1.953125
198,5.859375
199,1.953125
200,5.859375
201,1.953125
202,5.859375
203,5.859375
204,1.953125
205,5.859375
206,1.953125
207,1.953125
208,1.953125
209,1.953125
210,-3.906250
211,0.000000
212,1.953125
213,1.953125
214,1.953125
215,1.953125
216,1.953125
217,1.953125
218,5.859375
219,5.859375
220,1.953125
221,1.953125
222,1.953125
223,1.953125
224,3.906250
225,5.859375
226,1.953125
227,1.953125
228,1.953125
229,1.953125
230,1.953125
231,1.953125
232,5.859375
233,1.953125
234,1.953125
235,1.953125
236,1.953125
237,1.953125
238,1.953125
239,1.953125
240,1.953125
241,1.953125
242,3.906250
243,0.000000
244,0.000000
245,1.953125
246,0.000000
247,3.906250
248,-1.953125
249,3.906250
250,1.953125
251,5.859375
252,3.906250
253,1.953125
254,3.906250
255,1.953125
256,5.859375
257,1.953125
258,1.953125
259,5.859375
260,1.953125
261,5.859375
262,1.953125
263,1.953125
264,1.953125
265,1.953125
266,5.859375
267,1.953125
268,1.953125
269,5.859375
270,1.953125
271,1.953125
272,1.953125
273,1.953125
274,1.953125
275,1.953125
276,5.859375
277,3.906250
278,1.953125
279,1.953125
280,0.000000
281,3.906250
282,1.953125
283,3.906250
284,1.953125
285,0.000000
286,5.859375
287,1.953125
288,3.906250
289,1.953125
290,5.859375
291,1.953125
292,0.000000
293,5.859375
294,-3.906250
295,1.953125
296,1.953125
297,0.000000
298,1.953125
299,1.953125
300,1.953125
301,3.906250
302,1.953125
303,1.953125
304,1.953125
305,1.953125
306,3.906250
307,0.000000
308,3.906250
309,1.953125
310,1.953125
311,3.906250
312,1.953125
313,5.859375
314,1.953125
315,1.953125
316,1.953125
317,0.000000
318,5.859375
319,-1.953125
320,5.859375
321,1.953125
322,1.953125
323,5.859375
324,0.000000
325,1.953125
326,-1.953125
327,1.953125
328,1.953125
329,0.000000
330,1.953125
331,-1.953125
332,0.000000
333,1.953125
334,1.953125
335,1.953125
336,-1.953125
337,0.000000
338,0.000000
339,1.953125
340,0.000000
341,0.000000
342,0.000000
343,0.000000
344,1.953125
345,0.000000
346,0.000000
347,1.953125
348,-1.953125
349,0.000000
350,0.000000
351,0.000000
352,1.953125
353,-1.953125
354,-1.953125
355,-1.953125
356,-3.906250
357,-1.953125
358,-5.859375
359,-1.953125
360,-3.906250
361,0.000000
362,-5.859375
363,-7.812500
364,-5.859375
365,-5.859375
366,-9.765625
367,-7.812500
368,-9.765625
369,-7.812500
370,-13.671875
371,-9.765625
372,-9.765625
373,-9.765625
374,-9.765625
375,-11.718750
376,-9.765625
377,-11.718750
378,-9.765625
379,-11.718750
380,-13.671875
381,-9.765625
382,-13.671875
383,-9.765625
384,-9.765625
385,-13.671875
386,-9.765625
387,-15.625000
388,-9.765625
389,-13.671875
390,-11.718750
391,-9.765625
392,-13.671875
393,-9.765625
394,-13.671875
395,-13.671875
396,-11.718750
397,-9.765625
398,-11.718750
399,-13.671875
400,-9.765625
401,-13.671875
402,-9.765625
403,-13.671875
404,-9.765625
405,-9.765625
406,-13.671875
407,-9.765625
408,-17.578125
409,-9.765625
410,-11.718750
411,-13.671875
412,-9.765625
413,-13.671875
414,-9.765625
415,-13.671875
416,-11.718750
417,-11.718750
418,-13.671875
419,-11.718750
420,-13.671875
421,-9.765625
422,-13.671875
423,-13.671875
424,-13.671875
425,-9.765625
426,-13.671875
427,-9.765625
428,-19.531250
429,-9.765625
430,-9.765625
431,-13.671875
432,-9.765625
433,-13.671875
434,-9.765625
435,-9.765625
436,-13.671875
437,-9.765625
438,-7.812500
439,-9.765625
440,-9.765625
441,-9.765625
442,-5.859375
443,-9.765625
444,-7.812500
445,-5.859375
446,-7.812500
447,-5.859375
448,-9.765625
449,-5.859375
450,-7.812500
451,-7.812500
452,-3.906250
453,-7.812500
454,-3.906250
455,-5.859375
456,-3.906250
457,-5.859375
458,-7.812500
459,-5.859375
460,-7.812500
461,-7.812500
462,-3.906250
463,-5.859375
464,-5.859375
465,-5.859375
466,-7.812500
467,-1.953125
468,-7.812500
469,-3.906250
470,5.859375
471,-3.906250
472,-3.906250
473,-7.812500
474,-3.906250
475,-5.859375
476,-9.765625
477,-5.859375
478,-7.812500
479,-5.859375
480,-9.765625
481,-3.906250
482,-5.859375
483,-3.906250
484,-3.906250
485,-5.859375
486,-3.906250
487,-7.812500
488,-3.906250
489,-7.812500
490,-5.859375
491,-9.765625
492,-7.812500
493,-3.906250
494,-7.812500
495,-7.812500
496,-3.906250
497,-5.859375
498,-3.906250
499,-9.765625
500,-5.859375
501,-3.906250
502,-5.859375
503,-3.906250
504,-9.765625
505,-5.859375
506,-5.859375
507,-7.812500
508,-9.765625
509,-5.859375
510,-7.812500
511,-7.812500
512,-9.765625
513,-7.812500
514,-7.812500
515,-5.859375
516,-9.765625
517,-5.859375
518,-5.859375
519,-5.859375
520,-3.906250
521,-7.812500
522,-5.859375
523,-7.812500
524,-7.812500
525,-5.859375
526,-9.765625
527,-5.859375
528,-9.765625
529,-9.765625
530,-7.812500
531,-9.765625
532,-5.859375
533,-9.765625
534,-7.812500
535,-5.859375
536,-13.671875
537,-3.906250
538,-9.765625
539,-7.812500
540,-7.812500
541,-9.765625
542,-7.812500
543,-9.765625
544,-5.859375
545,-11.718750
546,-7.812500
547,-5.859375
548,-9.765625
549,-5.859375
550,-7.812500
551,-7.812500
552,-7.812500
553,-9.765625
554,-9.765625
555,-13.671875
556,-9.765625
557,-9.765625
558,-9.765625
559,-9.765625
560,-9.765625
561,-13.671875
562,-7.812500
563,-9.765625
564,-9.765625
565,-9.765625
566,-13.671875
567,-9.765625
568,-13.671875
569,-9.765625
570,-13.671875
571,-9.765625
572,-9.765625
573,-13.671875
574,-9.765625
575,-13.671875
576,-9.765625
577,-9.765625
578,-9.765625
579,-9.765625
580,-9.765625
581,5.859375
582,-13.671875
583,-19.531250
584,-9.765625
585,-11.718750
586,-9.765625
587,-9.765625
588,-9.765625
589,-9.765625
590,-9.765625
591,-9.765625
592,-9.765625
593,-9.765625
594,-9.765625
595,-9.765625
596,-9.765625
597,-7.812500
598,-9.765625
599,-7.812500
600,-9.765625
601,-3.906250
602,-9.765625
603,-5.859375
604,-3.906250
605,-7.812500
606,-3.906250
607,-11.718750
608,-1.953125
609,-3.906250
610,-3.906250
611,-1.953125
612,-3.906250
613,-1.953125
614,-3.906250
