Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,50.78mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,83.984375
2,83.984375
3,87.890625
4,85.937500
5,87.890625
6,85.937500
7,85.937500
8,89.843750
9,87.890625
10,85.937500
11,85.937500
12,85.937500
13,87.890625
14,85.937500
15,85.937500
16,85.937500
17,85.937500
18,89.843750
19,85.937500
20,87.890625
21,87.890625
22,87.890625
23,87.890625
24,85.937500
25,89.843750
26,85.937500
27,89.843750
28,89.843750
29,91.796875
30,89.843750
31,87.890625
32,85.937500
33,87.890625
34,87.890625
35,87.890625
36,87.890625
37,89.843750
38,87.890625
39,85.937500
40,87.890625
41,85.937500
42,87.890625
43,85.937500
44,85.937500
45,85.937500
46,83.984375
47,89.843750
48,85.937500
49,85.937500
50,83.984375
51,83.984375
52,85.937500
53,83.984375
54,85.937500
55,87.890625
56,83.984375
57,85.937500
58,85.937500
59,85.937500
60,85.937500
61,85.937500
62,85.937500
63,83.984375
64,83.984375
65,83.984375
66,87.890625
67,85.937500
68,85.937500
69,85.937500
70,85.937500
71,87.890625
72,85.937500
73,91.796875
74,87.890625
75,87.890625
76,87.890625
77,83.984375
78,87.890625
79,85.937500
80,87.890625
81,85.937500
82,85.937500
83,85.937500
84,85.937500
85,87.890625
86,85.937500
87,85.937500
88,85.937500
89,83.984375
90,83.984375
91,83.984375
92,83.984375
93,83.984375
94,83.984375
95,85.937500
96,83.984375
97,83.984375
98,85.937500
99,85.937500
100,83.984375
101,87.890625
102,85.937500
103,85.937500
104,85.937500
105,87.890625
106,83.984375
107,87.890625
108,87.890625
109,87.890625
110,83.984375
111,83.984375
112,83.984375
113,83.984375
114,89.843750
115,85.937500
116,87.890625
117,85.937500
118,89.843750
119,87.890625
120,85.937500
121,87.890625
122,85.937500
123,89.843750
124,85.937500
125,87.890625
126,89.843750
127,83.984375
128,87.890625
129,83.984375
130,83.984375
131,85.937500
132,85.937500
133,83.984375
134,83.984375
135,83.984375
136,83.984375
137,85.937500
138,83.984375
139,85.937500
140,83.984375
141,83.984375
142,83.984375
143,83.984375
144,83.984375
145,82.031250
146,82.031250
147,83.984375
148,83.984375
149,83.984375
150,80.078125
151,91.796875
152,80.078125
153,83.984375
154,80.078125
155,80.078125
156,83.984375
157,80.078125
158,83.984375
159,80.078125
160,83.984375
161,82.031250
162,80.078125
163,76.171875
164,83.984375
165,80.078125
166,83.984375
167,83.984375
168,83.984375
169,83.984375
170,83.984375
171,83.984375
172,85.937500
173,85.937500
174,83.984375
175,83.984375
176,83.984375
177,87.890625
178,83.984375
179,82.031250
180,83.984375
181,83.984375
182,83.984375
183,85.937500
184,80.078125
185,83.984375
186,83.984375
187,83.984375
188,83.984375
189,83.984375
190,82.031250
191,83.984375
192,82.031250
193,83.984375
194,85.937500
195,83.984375
196,83.984375
197,82.031250
198,83.984375
199,82.031250
200,80.078125
201,83.984375
202,80.078125
203,83.984375
204,80.078125
205,83.984375
206,83.984375
207,83.984375
208,83.984375
209,83.984375
210,80.078125
211,80.078125
212,80.078125
213,83.984375
214,83.984375
215,83.984375
216,83.984375
217,83.984375
218,80.078125
219,80.078125
220,80.078125
221,80.078125
222,80.078125
223,80.078125
224,80.078125
225,78.125000
226,74.218750
227,76.171875
228,80.078125
229,80.078125
230,80.078125
231,78.125000
232,80.078125
233,78.125000
234,78.125000
235,80.078125
236,80.078125
237,76.171875
238,80.078125
239,80.078125
240,80.078125
241,82.031250
242,78.125000
243,80.078125
244,80.078125
245,80.078125
246,80.078125
247,80.078125
248,78.125000
249,80.078125
250,80.078125
251,80.078125
252,80.078125
253,82.031250
254,80.078125
255,83.984375
256,80.078125
257,83.984375
258,80.078125
259,78.125000
260,83.984375
261,80.078125
262,82.031250
263,83.984375
264,83.984375
265,83.984375
266,83.984375
267,83.984375
268,83.984375
269,83.984375
270,83.984375
271,85.937500
272,85.937500
273,83.984375
274,85.937500
275,80.078125
276,85.937500
277,85.937500
278,83.984375
279,85.937500
280,83.984375
281,83.984375
282,83.984375
283,83.984375
284,85.937500
285,83.984375
286,83.984375
287,83.984375
288,83.984375
289,83.984375
290,83.984375
291,83.984375
292,80.078125
293,80.078125
294,80.078125
295,80.078125
296,83.984375
297,80.078125
298,80.078125
299,80.078125
300,78.125000
301,76.171875
302,76.171875
303,78.125000
304,76.171875
305,78.125000
306,80.078125
307,78.125000
308,83.984375
309,80.078125
310,80.078125
311,80.078125
312,80.078125
313,80.078125
314,80.078125
315,82.031250
316,83.984375
317,83.984375
318,83.984375
319,83.984375
320,83.984375
321,83.984375
322,83.984375
323,83.984375
324,85.937500
325,83.984375
326,85.937500
327,87.890625
328,85.937500
329,87.890625
330,87.890625
331,83.984375
332,87.890625
333,89.843750
334,85.937500
335,87.890625
336,89.843750
337,87.890625
338,85.937500
339,87.890625
340,89.843750
341,85.937500
342,83.984375
343,83.984375
344,85.937500
345,83.984375
346,85.937500
347,83.984375
348,83.984375
349,85.937500
350,85.937500
351,85.937500
352,83.984375
353,85.937500
354,83.984375
355,83.984375
356,85.937500
357,83.984375
358,83.984375
359,85.937500
360,83.984375
361,83.984375
362,83.984375
363,83.984375
364,83.984375
365,83.984375
366,83.984375
367,83.984375
368,85.937500
369,83.984375
370,83.984375
371,83.984375
372,83.984375
373,83.984375
374,83.984375
375,85.937500
376,83.984375
377,85.937500
378,83.984375
379,85.937500
380,83.984375
381,83.984375
382,83.984375
383,83.984375
384,83.984375
385,83.984375
386,83.984375
387,83.984375
388,80.078125
389,83.984375
390,82.031250
391,83.984375
392,83.984375
393,83.984375
394,83.984375
395,80.078125
396,83.984375
397,83.984375
398,83.984375
399,83.984375
400,78.125000
401,83.984375
402,83.984375
403,83.984375
404,83.984375
405,83.984375
406,89.843750
407,83.984375
408,85.937500
409,85.937500
410,85.937500
411,87.890625
412,85.937500
413,85.937500
414,83.984375
415,87.890625
416,85.937500
417,85.937500
418,87.890625
419,85.937500
420,87.890625
421,87.890625
422,87.890625
423,89.843750
424,85.937500
425,87.890625
426,85.937500
427,89.843750
428,89.843750
429,87.890625
430,87.890625
431,85.937500
432,89.843750
433,89.843750
434,87.890625
435,87.890625
436,85.937500
437,89.843750
438,89.843750
439,83.984375
440,89.843750
441,85.937500
442,87.890625
443,87.890625
444,83.984375
445,89.843750
446,85.937500
447,87.890625
448,85.937500
449,87.890625
450,87.890625
451,85.937500
452,89.843750
453,87.890625
454,89.843750
455,89.843750
456,87.890625
457,89.843750
458,87.890625
459,91.796875
460,89.843750
461,89.843750
462,91.796875
463,91.796875
464,91.796875
465,91.796875
466,91.796875
467,89.843750
468,91.796875
469,91.796875
470,91.796875
471,91.796875
472,91.796875
473,91.796875
474,89.843750
475,91.796875
476,91.796875
477,89.843750
478,91.796875
479,91.796875
480,91.796875
481,91.796875
482,89.843750
483,91.796875
484,89.843750
485,85.937500
486,91.796875
487,91.796875
488,91.796875
489,89.843750
490,89.843750
491,87.890625
492,91.796875
493,87.890625
494,85.937500
495,89.843750
496,85.937500
497,85.937500
498,85.937500
499,83.984375
500,85.937500
501,83.984375
502,85.937500
503,85.937500
504,85.937500
505,87.890625
506,83.984375
507,85.937500
508,85.937500
509,83.984375
510,85.937500
511,83.984375
512,87.890625
513,83.984375
514,83.984375
515,83.984375
516,85.937500
517,83.984375
518,83.984375
519,89.843750
520,85.937500
521,85.937500
522,85.937500
523,85.937500
524,85.937500
525,83.984375
526,85.937500
527,83.984375
528,83.984375
529,83.984375
530,83.984375
531,83.984375
532,83.984375
533,83.984375
534,80.078125
535,83.984375
536,83.984375
537,83.984375
538,83.984375
539,83.984375
540,83.984375
541,80.078125
542,80.078125
543,85.937500
544,83.984375
545,83.984375
546,83.984375
547,85.937500
548,85.937500
549,83.984375
550,85.937500
551,85.937500
552,85.937500
553,85.937500
554,85.937500
555,85.937500
556,85.937500
557,76.171875
558,80.078125
559,87.890625
560,85.937500
561,85.937500
562,87.890625
563,87.890625
564,87.890625
565,89.843750
566,87.890625
567,89.843750
568,85.937500
569,91.796875
570,87.890625
571,89.843750
572,89.843750
573,87.890625
574,91.796875
575,85.937500
576,89.843750
577,89.843750
578,89.843750
579,93.750000
580,85.937500
581,89.843750
582,85.937500
583,89.843750
584,87.890625
585,89.843750
586,89.843750
587,87.890625
588,89.843750
589,87.890625
590,85.937500
591,99.609375
592,85.937500
593,87.890625
594,87.890625
595,82.031250
596,89.843750
597,85.937500
598,85.937500
599,87.890625
600,85.937500
601,87.890625
602,87.890625
603,87.890625
604,85.937500
605,87.890625
606,85.937500
607,85.937500
608,85.937500
609,87.890625
610,87.890625
611,87.890625
612,87.890625
613,85.937500
614,89.843750
615,87.890625
616,83.984375
617,85.937500
618,87.890625
619,91.796875
620,85.937500
621,87.890625
622,91.796875
623,87.890625
624,89.843750
625,85.937500
626,89.843750
627,87.890625
628,85.937500
629,85.937500
630,87.890625
631,85.937500
632,85.937500
633,83.984375
634,89.843750
635,87.890625
636,87.890625
637,87.890625
638,80.078125
639,87.890625
640,87.890625
641,89.843750
642,85.937500
643,89.843750
644,85.937500
645,87.890625
646,85.937500
647,87.890625
648,87.890625
649,85.937500
650,87.890625
651,85.937500
652,85.937500
653,89.843750
654,85.937500
