Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,82.03mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,89.843750
2,89.843750
3,95.703125
4,91.796875
5,93.750000
6,93.750000
7,95.703125
8,91.796875
9,95.703125
10,95.703125
11,95.703125
12,99.609375
13,95.703125
14,95.703125
15,95.703125
16,95.703125
17,97.656250
18,99.609375
19,101.562500
20,99.609375
21,99.609375
22,99.609375
23,99.609375
24,99.609375
25,95.703125
26,99.609375
27,97.656250
28,99.609375
29,99.609375
30,95.703125
31,99.609375
32,95.703125
33,97.656250
34,99.609375
35,99.609375
36,95.703125
37,95.703125
38,95.703125
39,95.703125
40,93.750000
41,97.656250
42,91.796875
43,95.703125
44,91.796875
45,93.750000
46,83.984375
47,91.796875
48,91.796875
49,89.843750
50,91.796875
51,89.843750
52,89.843750
53,91.796875
54,85.937500
55,87.890625
56,85.937500
57,85.937500
58,87.890625
59,85.937500
60,87.890625
61,83.984375
62,87.890625
63,83.984375
64,87.890625
65,83.984375
66,85.937500
67,83.984375
68,83.984375
69,85.937500
70,85.937500
71,82.031250
72,85.937500
73,83.984375
74,87.890625
75,87.890625
76,89.843750
77,85.937500
78,87.890625
79,85.937500
80,83.984375
81,89.843750
82,85.937500
83,85.937500
84,85.937500
85,85.937500
86,87.890625
87,87.890625
88,89.843750
89,87.890625
90,89.843750
91,97.656250
92,91.796875
93,91.796875
94,93.750000
95,93.750000
96,95.703125
97,93.750000
98,95.703125
99,93.750000
100,99.609375
101,99.609375
102,99.609375
103,101.562500
104,101.562500
105,103.515625
106,101.562500
107,105.468750
108,107.421875
109,101.562500
110,107.421875
111,105.468750
112,111.328125
113,109.375000
114,111.328125
115,111.328125
116,115.234375
117,115.234375
118,117.187500
119,115.234375
120,115.234375
121,117.187500
122,115.234375
123,121.093750
124,119.140625
125,119.140625
126,121.093750
127,121.093750
128,121.093750
129,121.093750
130,121.093750
131,123.046875
132,121.093750
133,123.046875
134,123.046875
135,121.093750
136,123.046875
137,123.046875
138,123.046875
139,121.093750
140,123.046875
141,123.046875
142,121.093750
143,123.046875
144,123.046875
145,119.140625
146,123.046875
147,123.046875
148,119.140625
149,121.093750
150,121.093750
151,121.093750
152,121.093750
153,119.140625
154,121.093750
155,121.093750
156,123.046875
157,123.046875
158,121.093750
159,121.093750
160,123.046875
161,119.140625
162,121.093750
163,121.093750
164,119.140625
165,123.046875
166,123.046875
167,123.046875
168,123.046875
169,123.046875
170,123.046875
171,123.046875
172,117.187500
173,123.046875
174,121.093750
175,123.046875
176,123.046875
177,123.046875
178,121.093750
179,121.093750
180,121.093750
181,121.093750
182,119.140625
183,121.093750
184,121.093750
185,121.093750
186,121.093750
187,121.093750
188,121.093750
189,121.093750
190,121.093750
191,119.140625
192,121.093750
193,119.140625
194,119.140625
195,121.093750
196,117.187500
197,119.140625
198,119.140625
199,117.187500
200,121.093750
201,119.140625
202,121.093750
203,115.234375
204,117.187500
205,119.140625
206,117.187500
207,117.187500
208,115.234375
209,119.140625
210,115.234375
211,117.187500
212,115.234375
213,117.187500
214,117.187500
215,117.187500
216,119.140625
217,115.234375
218,115.234375
219,117.187500
220,117.187500
221,117.187500
222,115.234375
223,117.187500
224,115.234375
225,115.234375
226,115.234375
227,115.234375
228,117.187500
229,115.234375
230,115.234375
231,115.234375
232,115.234375
233,117.187500
234,115.234375
235,115.234375
236,115.234375
237,115.234375
238,115.234375
239,115.234375
240,115.234375
241,115.234375
242,115.234375
243,113.281250
244,115.234375
245,115.234375
246,115.234375
247,115.234375
248,113.281250
249,115.234375
250,111.328125
251,111.328125
252,115.234375
253,111.328125
254,115.234375
255,115.234375
256,115.234375
257,115.234375
258,115.234375
259,115.234375
260,115.234375
261,111.328125
262,113.281250
263,115.234375
264,111.328125
265,115.234375
266,115.234375
267,113.281250
268,115.234375
269,111.328125
270,115.234375
271,111.328125
272,115.234375
273,115.234375
274,113.281250
275,115.234375
276,107.421875
277,117.187500
278,115.234375
279,113.281250
280,115.234375
281,115.234375
282,113.281250
283,115.234375
284,115.234375
285,111.328125
286,115.234375
287,115.234375
288,115.234375
289,115.234375
290,115.234375
291,115.234375
292,115.234375
293,115.234375
294,115.234375
295,115.234375
296,115.234375
297,117.187500
298,99.609375
299,117.187500
300,115.234375
301,117.187500
302,117.187500
303,117.187500
304,117.187500
305,115.234375
306,119.140625
307,117.187500
308,119.140625
309,119.140625
310,117.187500
311,121.093750
312,117.187500
313,121.093750
314,119.140625
315,121.093750
316,119.140625
317,121.093750
318,121.093750
319,119.140625
320,121.093750
321,121.093750
322,121.093750
323,123.046875
324,121.093750
325,121.093750
326,123.046875
327,121.093750
328,121.093750
329,123.046875
330,119.140625
331,115.234375
332,121.093750
333,119.140625
334,121.093750
335,117.187500
336,117.187500
337,119.140625
338,117.187500
339,117.187500
340,117.187500
341,117.187500
342,109.375000
343,119.140625
344,117.187500
345,117.187500
346,117.187500
347,117.187500
348,117.187500
349,119.140625
350,117.187500
351,119.140625
352,117.187500
353,115.234375
354,117.187500
355,115.234375
356,115.234375
357,115.234375
358,115.234375
359,115.234375
360,111.328125
361,111.328125
362,111.328125
363,111.328125
364,105.468750
365,107.421875
366,107.421875
367,105.468750
368,105.468750
369,105.468750
370,105.468750
371,101.562500
372,101.562500
373,99.609375
374,99.609375
375,95.703125
376,95.703125
377,93.750000
378,95.703125
379,95.703125
380,91.796875
381,91.796875
382,91.796875
383,91.796875
384,91.796875
385,89.843750
386,89.843750
387,91.796875
388,89.843750
389,89.843750
390,87.890625
391,87.890625
392,93.750000
393,89.843750
394,91.796875
395,89.843750
396,89.843750
397,89.843750
398,87.890625
399,91.796875
400,91.796875
401,91.796875
402,89.843750
403,87.890625
404,91.796875
405,89.843750
406,91.796875
407,89.843750
408,91.796875
409,89.843750
410,91.796875
411,91.796875
412,91.796875
413,91.796875
414,91.796875
415,95.703125
416,95.703125
417,93.750000
418,93.750000
419,95.703125
420,95.703125
421,95.703125
422,95.703125
423,99.609375
424,99.609375
425,99.609375
426,95.703125
427,107.421875
428,107.421875
429,99.609375
430,99.609375
431,101.562500
432,99.609375
433,101.562500
434,99.609375
435,99.609375
436,101.562500
437,99.609375
438,101.562500
439,101.562500
440,99.609375
441,101.562500
442,99.609375
443,99.609375
444,99.609375
445,99.609375
446,99.609375
447,95.703125
448,97.656250
449,99.609375
450,99.609375
451,95.703125
452,95.703125
453,95.703125
454,91.796875
455,93.750000
456,91.796875
457,93.750000
458,91.796875
459,91.796875
460,91.796875
461,91.796875
462,91.796875
463,83.984375
464,89.843750
465,89.843750
466,89.843750
467,91.796875
468,87.890625
469,89.843750
470,87.890625
471,89.843750
472,87.890625
473,85.937500
474,87.890625
475,83.984375
476,87.890625
477,85.937500
478,85.937500
479,85.937500
480,85.937500
481,87.890625
482,83.984375
483,87.890625
484,83.984375
485,85.937500
486,83.984375
487,80.078125
488,85.937500
489,83.984375
490,101.562500
491,83.984375
492,83.984375
493,83.984375
494,83.984375
495,83.984375
496,83.984375
497,83.984375
498,83.984375
499,83.984375
500,83.984375
501,78.125000
502,83.984375
503,83.984375
504,83.984375
505,85.937500
506,80.078125
507,83.984375
508,82.031250
509,82.031250
510,83.984375
511,83.984375
512,85.937500
513,85.937500
514,83.984375
515,83.984375
516,83.984375
517,85.937500
518,83.984375
519,85.937500
520,85.937500
521,89.843750
522,87.890625
523,85.937500
524,89.843750
525,87.890625
526,89.843750
527,87.890625
528,89.843750
529,89.843750
530,87.890625
531,89.843750
532,87.890625
533,89.843750
534,91.796875
535,89.843750
536,87.890625
537,85.937500
538,91.796875
539,91.796875
540,93.750000
541,91.796875
542,93.750000
543,93.750000
544,93.750000
545,97.656250
546,95.703125
547,93.750000
548,95.703125
549,93.750000
550,99.609375
551,93.750000
552,97.656250
553,95.703125
554,95.703125
555,95.703125
556,95.703125
557,99.609375
558,95.703125
559,99.609375
560,99.609375
561,99.609375
562,101.562500
563,99.609375
564,101.562500
565,99.609375
566,101.562500
567,101.562500
568,103.515625
569,101.562500
570,101.562500
571,103.515625
572,103.515625
573,105.468750
574,101.562500
575,103.515625
576,105.468750
577,103.515625
578,103.515625
579,101.562500
580,103.515625
581,105.468750
582,101.562500
583,105.468750
584,99.609375
585,105.468750
586,105.468750
587,105.468750
588,103.515625
589,101.562500
590,105.468750
591,101.562500
592,101.562500
593,103.515625
594,103.515625
595,103.515625
596,103.515625
597,105.468750
598,101.562500
599,103.515625
600,101.562500
601,105.468750
602,103.515625
603,99.609375
604,105.468750
605,101.562500
606,101.562500
607,103.515625
608,101.562500
609,103.515625
610,103.515625
611,107.421875
612,103.515625
613,101.562500
614,105.468750
615,101.562500
616,103.515625
617,103.515625
618,103.515625
619,103.515625
620,101.562500
621,105.468750
622,105.468750
623,107.421875
624,103.515625
625,103.515625
626,103.515625
627,101.562500
628,103.515625
629,101.562500
630,103.515625
631,101.562500
632,101.562500
633,105.468750
634,99.609375
635,101.562500
636,99.609375
637,99.609375
638,99.609375
639,99.609375
640,101.562500
641,95.703125
642,95.703125
643,99.609375
644,93.750000
645,95.703125
646,95.703125
647,93.750000
648,95.703125
649,95.703125
650,95.703125
651,95.703125
652,93.750000
653,95.703125
654,93.750000
