Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,56.64mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,95.703125
2,95.703125
3,93.750000
4,95.703125
5,93.750000
6,93.750000
7,93.750000
8,93.750000
9,93.750000
10,95.703125
11,95.703125
12,95.703125
13,91.796875
14,95.703125
15,93.750000
16,93.750000
17,93.750000
18,95.703125
19,93.750000
20,93.750000
21,93.750000
22,93.750000
23,91.796875
24,97.656250
25,91.796875
26,95.703125
27,93.750000
28,95.703125
29,93.750000
30,91.796875
31,93.750000
32,91.796875
33,93.750000
34,93.750000
35,95.703125
36,91.796875
37,91.796875
38,91.796875
39,91.796875
40,89.843750
41,91.796875
42,91.796875
43,93.750000
44,91.796875
45,93.750000
46,91.796875
47,91.796875
48,93.750000
49,91.796875
50,95.703125
51,89.843750
52,97.656250
53,93.750000
54,93.750000
55,93.750000
56,93.750000
57,95.703125
58,93.750000
59,93.750000
60,95.703125
61,95.703125
62,91.796875
63,93.750000
64,91.796875
65,91.796875
66,91.796875
67,91.796875
68,93.750000
69,93.750000
70,91.796875
71,91.796875
72,95.703125
73,91.796875
74,93.750000
75,91.796875
76,91.796875
77,91.796875
78,89.843750
79,91.796875
80,91.796875
81,91.796875
82,91.796875
83,101.562500
84,91.796875
85,91.796875
86,91.796875
87,95.703125
88,91.796875
89,93.750000
90,91.796875
91,93.750000
92,91.796875
93,93.750000
94,93.750000
95,91.796875
96,91.796875
97,91.796875
98,93.750000
99,91.796875
100,93.750000
101,93.750000
102,93.750000
103,93.750000
104,93.750000
105,93.750000
106,95.703125
107,93.750000
108,93.750000
109,91.796875
110,95.703125
111,93.750000
112,91.796875
113,91.796875
114,93.750000
115,103.515625
116,91.796875
117,91.796875
118,95.703125
119,91.796875
120,91.796875
121,91.796875
122,89.843750
123,91.796875
124,89.843750
125,91.796875
126,89.843750
127,87.890625
128,89.843750
129,87.890625
130,87.890625
131,89.843750
132,85.937500
133,87.890625
134,85.937500
135,85.937500
136,87.890625
137,83.984375
138,87.890625
139,83.984375
140,85.937500
141,87.890625
142,83.984375
143,87.890625
144,83.984375
145,85.937500
146,85.937500
147,85.937500
148,85.937500
149,83.984375
150,85.937500
151,85.937500
152,85.937500
153,89.843750
154,83.984375
155,85.937500
156,87.890625
157,85.937500
158,83.984375
159,89.843750
160,85.937500
161,85.937500
162,83.984375
163,83.984375
164,83.984375
165,85.937500
166,83.984375
167,87.890625
168,82.031250
169,85.937500
170,83.984375
171,89.843750
172,83.984375
173,85.937500
174,87.890625
175,85.937500
176,85.937500
177,83.984375
178,87.890625
179,87.890625
180,85.937500
181,85.937500
182,83.984375
183,87.890625
184,91.796875
185,87.890625
186,85.937500
187,85.937500
188,85.937500
189,85.937500
190,87.890625
191,87.890625
192,87.890625
193,87.890625
194,85.937500
195,85.937500
196,87.890625
197,89.843750
198,89.843750
199,87.890625
200,103.515625
201,89.843750
202,80.078125
203,89.843750
204,89.843750
205,91.796875
206,91.796875
207,89.843750
208,91.796875
209,91.796875
210,87.890625
211,89.843750
212,91.796875
213,91.796875
214,91.796875
215,93.750000
216,93.750000
217,91.796875
218,93.750000
219,95.703125
220,91.796875
221,93.750000
222,91.796875
223,93.750000
224,103.515625
225,91.796875
226,95.703125
227,91.796875
228,95.703125
229,95.703125
230,95.703125
231,93.750000
232,93.750000
233,95.703125
234,95.703125
235,95.703125
236,95.703125
237,95.703125
238,95.703125
239,95.703125
240,99.609375
241,95.703125
242,95.703125
243,99.609375
244,95.703125
245,99.609375
246,95.703125
247,99.609375
248,99.609375
249,95.703125
250,99.609375
251,95.703125
252,99.609375
253,99.609375
254,95.703125
255,99.609375
256,95.703125
257,99.609375
258,99.609375
259,99.609375
260,99.609375
261,99.609375
262,99.609375
263,99.609375
264,101.562500
265,99.609375
266,95.703125
267,99.609375
268,95.703125
269,89.843750
270,99.609375
271,99.609375
272,99.609375
273,95.703125
274,87.890625
275,95.703125
276,95.703125
277,99.609375
278,95.703125
279,99.609375
280,101.562500
281,99.609375
282,95.703125
283,95.703125
284,97.656250
285,109.375000
286,99.609375
287,95.703125
288,99.609375
289,99.609375
290,95.703125
291,99.609375
292,99.609375
293,99.609375
294,95.703125
295,99.609375
296,95.703125
297,95.703125
298,99.609375
299,97.656250
300,99.609375
301,95.703125
302,99.609375
303,101.562500
304,97.656250
305,101.562500
306,99.609375
307,99.609375
308,99.609375
309,99.609375
310,99.609375
311,99.609375
312,101.562500
313,99.609375
314,99.609375
315,99.609375
316,99.609375
317,99.609375
318,99.609375
319,101.562500
320,99.609375
321,99.609375
322,101.562500
323,99.609375
324,99.609375
325,101.562500
326,99.609375
327,99.609375
328,103.515625
329,101.562500
330,99.609375
331,99.609375
332,101.562500
333,99.609375
334,99.609375
335,99.609375
336,101.562500
337,101.562500
338,101.562500
339,101.562500
340,99.609375
341,101.562500
342,101.562500
343,99.609375
344,103.515625
345,101.562500
346,101.562500
347,103.515625
348,101.562500
349,103.515625
350,105.468750
351,103.515625
352,103.515625
353,105.468750
354,105.468750
355,105.468750
356,107.421875
357,107.421875
358,107.421875
359,107.421875
360,109.375000
361,109.375000
362,109.375000
363,107.421875
364,109.375000
365,109.375000
366,107.421875
367,109.375000
368,109.375000
369,109.375000
370,109.375000
371,109.375000
372,111.328125
373,111.328125
374,109.375000
375,111.328125
376,109.375000
377,109.375000
378,111.328125
379,125.000000
380,111.328125
381,111.328125
382,109.375000
383,111.328125
384,111.328125
385,111.328125
386,95.703125
387,111.328125
388,115.234375
389,109.375000
390,111.328125
391,111.328125
392,111.328125
393,111.328125
394,111.328125
395,111.328125
396,111.328125
397,115.234375
398,109.375000
399,111.328125
400,111.328125
401,111.328125
402,111.328125
403,109.375000
404,111.328125
405,111.328125
406,111.328125
407,111.328125
408,111.328125
409,115.234375
410,111.328125
411,111.328125
412,111.328125
413,111.328125
414,111.328125
415,111.328125
416,111.328125
417,111.328125
418,111.328125
419,111.328125
420,111.328125
421,111.328125
422,109.375000
423,111.328125
424,111.328125
425,111.328125
426,111.328125
427,109.375000
428,111.328125
429,109.375000
430,109.375000
431,111.328125
432,107.421875
433,109.375000
434,109.375000
435,107.421875
436,109.375000
437,109.375000
438,109.375000
439,107.421875
440,109.375000
441,107.421875
442,107.421875
443,111.328125
444,109.375000
445,109.375000
446,105.468750
447,107.421875
448,107.421875
449,107.421875
450,109.375000
451,103.515625
452,103.515625
453,105.468750
454,103.515625
455,115.234375
456,103.515625
457,103.515625
458,101.562500
459,103.515625
460,101.562500
461,99.609375
462,101.562500
463,97.656250
464,99.609375
465,99.609375
466,101.562500
467,99.609375
468,99.609375
469,99.609375
470,95.703125
471,95.703125
472,95.703125
473,95.703125
474,95.703125
475,95.703125
476,95.703125
477,95.703125
478,95.703125
479,95.703125
480,93.750000
481,95.703125
482,89.843750
483,99.609375
484,93.750000
485,95.703125
486,93.750000
487,95.703125
488,95.703125
489,95.703125
490,99.609375
491,99.609375
492,95.703125
493,93.750000
494,95.703125
495,95.703125
496,93.750000
497,93.750000
498,95.703125
499,91.796875
500,95.703125
501,93.750000
502,95.703125
503,99.609375
504,95.703125
505,95.703125
506,95.703125
507,95.703125
508,95.703125
509,95.703125
510,99.609375
511,95.703125
512,99.609375
513,99.609375
514,99.609375
515,99.609375
516,99.609375
517,99.609375
518,99.609375
519,99.609375
520,99.609375
521,95.703125
522,99.609375
523,99.609375
524,99.609375
525,99.609375
526,99.609375
527,99.609375
528,95.703125
529,99.609375
530,95.703125
531,99.609375
532,99.609375
533,95.703125
534,95.703125
535,97.656250
536,99.609375
537,97.656250
538,95.703125
539,99.609375
540,99.609375
541,99.609375
542,99.609375
543,97.656250
544,99.609375
545,97.656250
546,97.656250
547,97.656250
548,95.703125
549,95.703125
550,95.703125
551,95.703125
552,95.703125
553,95.703125
554,95.703125
555,95.703125
556,103.515625
557,95.703125
558,95.703125
559,93.750000
560,95.703125
561,93.750000
562,97.656250
563,95.703125
564,91.796875
565,95.703125
566,93.750000
567,93.750000
568,91.796875
569,91.796875
570,93.750000
571,91.796875
572,105.468750
573,91.796875
574,91.796875
575,91.796875
576,91.796875
577,93.750000
578,91.796875
579,91.796875
580,91.796875
581,99.609375
582,91.796875
583,87.890625
584,91.796875
585,91.796875
586,91.796875
587,91.796875
588,91.796875
589,91.796875
590,91.796875
591,91.796875
592,91.796875
593,91.796875
594,91.796875
595,91.796875
596,91.796875
597,91.796875
598,91.796875
599,93.750000
600,95.703125
601,93.750000
602,93.750000
603,93.750000
604,91.796875
605,91.796875
606,93.750000
607,91.796875
608,95.703125
609,91.796875
610,93.750000
611,93.750000
612,93.750000
613,91.796875
614,91.796875
615,93.750000
616,91.796875
617,95.703125
618,93.750000
619,91.796875
620,91.796875
621,91.796875
622,95.703125
623,91.796875
624,91.796875
625,105.468750
626,87.890625
627,91.796875
628,93.750000
629,91.796875
630,91.796875
631,93.750000
632,91.796875
633,93.750000
634,91.796875
635,93.750000
636,91.796875
637,91.796875
638,93.750000
639,91.796875
640,91.796875
641,111.328125
642,91.796875
643,91.796875
644,91.796875
645,93.750000
646,89.843750
647,93.750000
648,91.796875
649,93.750000
650,93.750000
651,91.796875
652,93.750000
653,93.750000
654,95.703125
