Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,58.59mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,83.984375
2,83.984375
3,85.937500
4,83.984375
5,83.984375
6,85.937500
7,80.078125
8,85.937500
9,83.984375
10,85.937500
11,83.984375
12,80.078125
13,83.984375
14,83.984375
15,83.984375
16,83.984375
17,83.984375
18,85.937500
19,83.984375
20,83.984375
21,83.984375
22,83.984375
23,83.984375
24,83.984375
25,83.984375
26,83.984375
27,83.984375
28,89.843750
29,83.984375
30,83.984375
31,80.078125
32,83.984375
33,83.984375
34,83.984375
35,83.984375
36,83.984375
37,83.984375
38,82.031250
39,83.984375
40,83.984375
41,83.984375
42,83.984375
43,83.984375
44,83.984375
45,83.984375
46,85.937500
47,83.984375
48,83.984375
49,83.984375
50,83.984375
51,83.984375
52,83.984375
53,83.984375
54,83.984375
55,83.984375
56,83.984375
57,83.984375
58,83.984375
59,83.984375
60,83.984375
61,83.984375
62,80.078125
63,83.984375
64,83.984375
65,83.984375
66,83.984375
67,82.031250
68,83.984375
69,82.031250
70,80.078125
71,83.984375
72,83.984375
73,83.984375
74,80.078125
75,82.031250
76,82.031250
77,78.125000
78,82.031250
79,82.031250
80,83.984375
81,82.031250
82,62.500000
83,83.984375
84,80.078125
85,82.031250
86,85.937500
87,83.984375
88,80.078125
89,83.984375
90,83.984375
91,80.078125
92,82.031250
93,83.984375
94,83.984375
95,80.078125
96,83.984375
97,82.031250
98,83.984375
99,85.937500
100,82.031250
101,83.984375
102,83.984375
103,83.984375
104,83.984375
105,83.984375
106,83.984375
107,83.984375
108,83.984375
109,83.984375
110,82.031250
111,83.984375
112,83.984375
113,83.984375
114,83.984375
115,83.984375
116,83.984375
117,83.984375
118,83.984375
119,83.984375
120,85.937500
121,83.984375
122,83.984375
123,83.984375
124,83.984375
125,85.937500
126,83.984375
127,85.937500
128,83.984375
129,83.984375
130,85.937500
131,82.031250
132,83.984375
133,83.984375
134,83.984375
135,83.984375
136,83.984375
137,83.984375
138,83.984375
139,82.031250
140,83.984375
141,83.984375
142,85.937500
143,83.984375
144,83.984375
145,83.984375
146,83.984375
147,83.984375
148,83.984375
149,83.984375
150,83.984375
151,83.984375
152,83.984375
153,83.984375
154,87.890625
155,85.937500
156,87.890625
157,85.937500
158,87.890625
159,85.937500
160,87.890625
161,89.843750
162,87.890625
163,87.890625
164,87.890625
165,87.890625
166,83.984375
167,87.890625
168,89.843750
169,89.843750
170,89.843750
171,89.843750
172,87.890625
173,89.843750
174,99.609375
175,87.890625
176,89.843750
177,89.843750
178,95.703125
179,91.796875
180,89.843750
181,91.796875
182,91.796875
183,91.796875
184,91.796875
185,89.843750
186,89.843750
187,91.796875
188,91.796875
189,91.796875
190,68.359375
191,91.796875
192,91.796875
193,91.796875
194,93.750000
195,91.796875
196,93.750000
197,91.796875
198,91.796875
199,93.750000
200,93.750000
201,95.703125
202,93.750000
203,93.750000
204,91.796875
205,91.796875
206,91.796875
207,93.750000
208,95.703125
209,91.796875
210,93.750000
211,91.796875
212,95.703125
213,93.750000
214,91.796875
215,93.750000
216,93.750000
217,115.234375
218,91.796875
219,91.796875
220,91.796875
221,91.796875
222,91.796875
223,91.796875
224,91.796875
225,93.750000
226,87.890625
227,91.796875
228,95.703125
229,93.750000
230,91.796875
231,89.843750
232,89.843750
233,89.843750
234,91.796875
235,89.843750
236,85.937500
237,89.843750
238,87.890625
239,91.796875
240,85.937500
241,87.890625
242,87.890625
243,83.984375
244,87.890625
245,87.890625
246,89.843750
247,89.843750
248,85.937500
249,87.890625
250,85.937500
251,87.890625
252,87.890625
253,89.843750
254,85.937500
255,103.515625
256,87.890625
257,83.984375
258,89.843750
259,85.937500
260,87.890625
261,83.984375
262,83.984375
263,87.890625
264,83.984375
265,83.984375
266,85.937500
267,85.937500
268,85.937500
269,83.984375
270,83.984375
271,93.750000
272,85.937500
273,83.984375
274,83.984375
275,83.984375
276,83.984375
277,83.984375
278,83.984375
279,83.984375
280,83.984375
281,85.937500
282,83.984375
283,83.984375
284,83.984375
285,83.984375
286,83.984375
287,83.984375
288,83.984375
289,83.984375
290,83.984375
291,82.031250
292,83.984375
293,83.984375
294,83.984375
295,83.984375
296,83.984375
297,85.937500
298,83.984375
299,85.937500
300,83.984375
301,83.984375
302,83.984375
303,83.984375
304,83.984375
305,83.984375
306,85.937500
307,85.937500
308,83.984375
309,83.984375
310,83.984375
311,85.937500
312,83.984375
313,85.937500
314,83.984375
315,83.984375
316,85.937500
317,85.937500
318,83.984375
319,83.984375
320,83.984375
321,83.984375
322,83.984375
323,83.984375
324,85.937500
325,83.984375
326,85.937500
327,83.984375
328,83.984375
329,83.984375
330,83.984375
331,83.984375
332,82.031250
333,83.984375
334,83.984375
335,83.984375
336,91.796875
337,85.937500
338,85.937500
339,85.937500
340,85.937500
341,83.984375
342,87.890625
343,83.984375
344,85.937500
345,83.984375
346,85.937500
347,87.890625
348,85.937500
349,85.937500
350,83.984375
351,87.890625
352,85.937500
353,85.937500
354,85.937500
355,85.937500
356,87.890625
357,83.984375
358,85.937500
359,83.984375
360,87.890625
361,87.890625
362,83.984375
363,83.984375
364,85.937500
365,83.984375
366,87.890625
367,85.937500
368,85.937500
369,83.984375
370,83.984375
371,85.937500
372,83.984375
373,85.937500
374,83.984375
375,83.984375
376,85.937500
377,83.984375
378,85.937500
379,83.984375
380,87.890625
381,83.984375
382,83.984375
383,83.984375
384,85.937500
385,83.984375
386,83.984375
387,85.937500
388,83.984375
389,85.937500
390,82.031250
391,83.984375
392,83.984375
393,83.984375
394,83.984375
395,83.984375
396,85.937500
397,85.937500
398,83.984375
399,87.890625
400,85.937500
401,85.937500
402,85.937500
403,85.937500
404,87.890625
405,85.937500
406,87.890625
407,85.937500
408,85.937500
409,85.937500
410,85.937500
411,85.937500
412,82.031250
413,83.984375
414,83.984375
415,85.937500
416,85.937500
417,85.937500
418,85.937500
419,80.078125
420,85.937500
421,83.984375
422,83.984375
423,85.937500
424,83.984375
425,87.890625
426,85.937500
427,83.984375
428,87.890625
429,83.984375
430,85.937500
431,83.984375
432,85.937500
433,83.984375
434,83.984375
435,83.984375
436,83.984375
437,87.890625
438,83.984375
439,85.937500
440,85.937500
441,83.984375
442,87.890625
443,85.937500
444,74.218750
445,83.984375
446,89.843750
447,83.984375
448,83.984375
449,87.890625
450,85.937500
451,87.890625
452,87.890625
453,85.937500
454,87.890625
455,85.937500
456,89.843750
457,87.890625
458,85.937500
459,85.937500
460,91.796875
461,85.937500
462,85.937500
463,87.890625
464,85.937500
465,85.937500
466,87.890625
467,85.937500
468,85.937500
469,85.937500
470,87.890625
471,95.703125
472,85.937500
473,87.890625
474,85.937500
475,85.937500
476,89.843750
477,85.937500
478,85.937500
479,83.984375
480,87.890625
481,85.937500
482,83.984375
483,85.937500
484,85.937500
485,83.984375
486,87.890625
487,85.937500
488,87.890625
489,85.937500
490,87.890625
491,83.984375
492,87.890625
493,87.890625
494,85.937500
495,87.890625
496,85.937500
497,87.890625
498,107.421875
499,85.937500
500,89.843750
501,87.890625
502,89.843750
503,83.984375
504,89.843750
505,87.890625
506,87.890625
507,87.890625
508,91.796875
509,87.890625
510,87.890625
511,85.937500
512,87.890625
513,87.890625
514,89.843750
515,85.937500
516,89.843750
517,87.890625
518,87.890625
519,87.890625
520,87.890625
521,89.843750
522,89.843750
523,89.843750
524,89.843750
525,87.890625
526,87.890625
527,85.937500
528,87.890625
529,85.937500
530,85.937500
531,87.890625
532,83.984375
533,85.937500
534,85.937500
535,89.843750
536,85.937500
537,87.890625
538,87.890625
539,85.937500
540,87.890625
541,87.890625
542,85.937500
543,85.937500
544,87.890625
545,85.937500
546,89.843750
547,85.937500
548,87.890625
549,89.843750
550,87.890625
551,87.890625
552,103.515625
553,89.843750
554,89.843750
555,85.937500
556,87.890625
557,87.890625
558,89.843750
559,89.843750
560,87.890625
561,89.843750
562,87.890625
563,87.890625
564,87.890625
565,85.937500
566,87.890625
567,85.937500
568,85.937500
569,87.890625
570,83.984375
571,87.890625
572,89.843750
573,85.937500
574,83.984375
575,83.984375
576,87.890625
577,83.984375
578,83.984375
579,74.218750
580,85.937500
581,85.937500
582,82.031250
583,83.984375
584,85.937500
585,85.937500
586,85.937500
587,83.984375
588,87.890625
589,85.937500
590,85.937500
591,83.984375
592,85.937500
593,87.890625
594,85.937500
595,87.890625
596,85.937500
597,87.890625
598,85.937500
599,89.843750
600,85.937500
601,89.843750
602,87.890625
603,87.890625
604,91.796875
605,87.890625
606,93.750000
607,87.890625
608,89.843750
609,85.937500
610,87.890625
611,87.890625
612,85.937500
613,89.843750
614,87.890625
615,87.890625
616,89.843750
617,85.937500
618,89.843750
619,87.890625
620,87.890625
621,87.890625
622,87.890625
623,87.890625
624,85.937500
625,89.843750
626,85.937500
627,87.890625
628,89.843750
629,87.890625
630,87.890625
631,85.937500
632,85.937500
633,95.703125
634,83.984375
635,85.937500
636,85.937500
637,87.890625
638,87.890625
639,89.843750
640,85.937500
641,87.890625
642,85.937500
643,85.937500
644,87.890625
645,85.937500
646,85.937500
647,85.937500
648,85.937500
649,85.937500
650,83.984375
651,83.984375
652,83.984375
653,83.984375
654,83.984375
