Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,60.55mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,41.015625
2,41.015625
3,42.968750
4,41.015625
5,42.968750
6,39.062500
7,42.968750
8,41.015625
9,44.921875
10,42.968750
11,42.968750
12,39.062500
13,42.968750
14,41.015625
15,44.921875
16,42.968750
17,41.015625
18,42.968750
19,41.015625
20,42.968750
21,41.015625
22,41.015625
23,44.921875
24,41.015625
25,37.109375
26,42.968750
27,37.109375
28,42.968750
29,41.015625
30,39.062500
31,39.062500
32,41.015625
33,39.062500
34,37.109375
35,39.062500
36,39.062500
37,39.062500
38,37.109375
39,39.062500
40,37.109375
41,39.062500
42,37.109375
43,37.109375
44,39.062500
45,37.109375
46,37.109375
47,39.062500
48,39.062500
49,39.062500
50,39.062500
51,39.062500
52,41.015625
53,39.062500
54,42.968750
55,37.109375
56,42.968750
57,37.109375
58,31.250000
59,41.015625
60,41.015625
61,41.015625
62,35.156250
63,41.015625
64,37.109375
65,42.968750
66,41.015625
67,41.015625
68,37.109375
69,41.015625
70,37.109375
71,39.062500
72,42.968750
73,39.062500
74,39.062500
75,39.062500
76,33.203125
77,37.109375
78,41.015625
79,39.062500
80,41.015625
81,37.109375
82,39.062500
83,44.921875
84,39.062500
85,39.062500
86,39.062500
87,37.109375
88,41.015625
89,39.062500
90,37.109375
91,41.015625
92,33.203125
93,42.968750
94,39.062500
95,39.062500
96,37.109375
97,39.062500
98,37.109375
99,41.015625
100,39.062500
101,42.968750
102,41.015625
103,42.968750
104,42.968750
105,39.062500
106,42.968750
107,39.062500
108,42.968750
109,41.015625
110,42.968750
111,39.062500
112,42.968750
113,41.015625
114,42.968750
115,41.015625
116,41.015625
117,42.968750
118,41.015625
119,39.062500
120,41.015625
121,41.015625
122,39.062500
123,41.015625
124,39.062500
125,41.015625
126,39.062500
127,42.968750
128,41.015625
129,39.062500
130,39.062500
131,39.062500
132,37.109375
133,41.015625
134,37.109375
135,39.062500
136,39.062500
137,39.062500
138,39.062500
139,37.109375
140,39.062500
141,37.109375
142,39.062500
143,37.109375
144,37.109375
145,37.109375
146,39.062500
147,35.156250
148,39.062500
149,39.062500
150,37.109375
151,37.109375
152,42.968750
153,33.203125
154,41.015625
155,37.109375
156,39.062500
157,33.203125
158,37.109375
159,31.250000
160,37.109375
161,37.109375
162,35.156250
163,37.109375
164,37.109375
165,37.109375
166,33.203125
167,39.062500
168,33.203125
169,37.109375
170,33.203125
171,39.062500
172,37.109375
173,37.109375
174,37.109375
175,33.203125
176,39.062500
177,35.156250
178,37.109375
179,37.109375
180,37.109375
181,37.109375
182,37.109375
183,37.109375
184,33.203125
185,37.109375
186,35.156250
187,37.109375
188,37.109375
189,35.156250
190,37.109375
191,37.109375
192,33.203125
193,37.109375
194,37.109375
195,37.109375
196,39.062500
197,37.109375
198,35.156250
199,35.156250
200,35.156250
201,39.062500
202,37.109375
203,37.109375
204,39.062500
205,37.109375
206,41.015625
207,35.156250
208,39.062500
209,33.203125
210,37.109375
211,39.062500
212,39.062500
213,39.062500
214,37.109375
215,39.062500
216,39.062500
217,39.062500
218,37.109375
219,39.062500
220,37.109375
221,39.062500
222,37.109375
223,41.015625
224,39.062500
225,39.062500
226,37.109375
227,37.109375
228,39.062500
229,39.062500
230,39.062500
231,37.109375
232,39.062500
233,37.109375
234,41.015625
235,37.109375
236,39.062500
237,37.109375
238,39.062500
239,39.062500
240,39.062500
241,37.109375
242,39.062500
243,37.109375
244,37.109375
245,39.062500
246,37.109375
247,41.015625
248,37.109375
249,21.484375
250,37.109375
251,37.109375
252,37.109375
253,37.109375
254,37.109375
255,37.109375
256,35.156250
257,37.109375
258,39.062500
259,37.109375
260,39.062500
261,37.109375
262,37.109375
263,37.109375
264,37.109375
265,37.109375
266,39.062500
267,37.109375
268,37.109375
269,39.062500
270,37.109375
271,39.062500
272,41.015625
273,39.062500
274,37.109375
275,37.109375
276,37.109375
277,39.062500
278,37.109375
279,39.062500
280,39.062500
281,37.109375
282,39.062500
283,37.109375
284,39.062500
285,37.109375
286,39.062500
287,37.109375
288,39.062500
289,37.109375
290,31.250000
291,37.109375
292,37.109375
293,37.109375
294,37.109375
295,37.109375
296,39.062500
297,37.109375
298,37.109375
299,39.062500
300,35.156250
301,39.062500
302,37.109375
303,33.203125
304,37.109375
305,37.109375
306,37.109375
307,37.109375
308,37.109375
309,37.109375
310,41.015625
311,37.109375
312,39.062500
313,37.109375
314,39.062500
315,37.109375
316,37.109375
317,39.062500
318,39.062500
319,37.109375
320,37.109375
321,37.109375
322,37.109375
323,39.062500
324,37.109375
325,42.968750
326,33.203125
327,39.062500
328,37.109375
329,37.109375
330,37.109375
331,39.062500
332,33.203125
333,39.062500
334,37.109375
335,39.062500
336,52.734375
337,37.109375
338,37.109375
339,35.156250
340,37.109375
341,21.484375
342,37.109375
343,35.156250
344,37.109375
345,33.203125
346,44.921875
347,33.203125
348,37.109375
349,37.109375
350,33.203125
351,37.109375
352,37.109375
353,39.062500
354,37.109375
355,39.062500
356,41.015625
357,37.109375
358,37.109375
359,37.109375
360,37.109375
361,37.109375
362,37.109375
363,37.109375
364,37.109375
365,39.062500
366,37.109375
367,37.109375
368,39.062500
369,35.156250
370,39.062500
371,37.109375
372,39.062500
373,37.109375
374,37.109375
375,37.109375
376,17.578125
377,37.109375
378,37.109375
379,37.109375
380,37.109375
381,37.109375
382,37.109375
383,39.062500
384,37.109375
385,37.109375
386,39.062500
387,35.156250
388,37.109375
389,35.156250
390,33.203125
391,37.109375
392,33.203125
393,39.062500
394,33.203125
395,37.109375
396,37.109375
397,33.203125
398,33.203125
399,33.203125
400,29.296875
401,37.109375
402,31.250000
403,37.109375
404,33.203125
405,33.203125
406,33.203125
407,37.109375
408,33.203125
409,37.109375
410,37.109375
411,33.203125
412,37.109375
413,29.296875
414,37.109375
415,33.203125
416,37.109375
417,33.203125
418,33.203125
419,33.203125
420,37.109375
421,33.203125
422,33.203125
423,31.250000
424,33.203125
425,37.109375
426,31.250000
427,37.109375
428,33.203125
429,33.203125
430,33.203125
431,33.203125
432,33.203125
433,37.109375
434,33.203125
435,31.250000
436,37.109375
437,33.203125
438,37.109375
439,31.250000
440,33.203125
441,33.203125
442,33.203125
443,35.156250
444,35.156250
445,33.203125
446,33.203125
447,33.203125
448,33.203125
449,39.062500
450,33.203125
451,37.109375
452,33.203125
453,31.250000
454,33.203125
455,33.203125
456,33.203125
457,37.109375
458,33.203125
459,33.203125
460,33.203125
461,33.203125
462,35.156250
463,33.203125
464,37.109375
465,33.203125
466,33.203125
467,31.250000
468,33.203125
469,33.203125
470,33.203125
471,33.203125
472,33.203125
473,33.203125
474,33.203125
475,35.156250
476,33.203125
477,37.109375
478,33.203125
479,33.203125
480,33.203125
481,33.203125
482,33.203125
483,37.109375
484,31.250000
485,35.156250
486,33.203125
487,37.109375
488,35.156250
489,33.203125
490,35.156250
491,37.109375
492,33.203125
493,44.921875
494,37.109375
495,33.203125
496,35.156250
497,31.250000
498,37.109375
499,33.203125
500,33.203125
501,37.109375
502,33.203125
503,37.109375
504,33.203125
505,39.062500
506,33.203125
507,33.203125
508,37.109375
509,37.109375
510,33.203125
511,37.109375
512,33.203125
513,29.296875
514,35.156250
515,35.156250
516,33.203125
517,33.203125
518,37.109375
519,33.203125
520,33.203125
521,33.203125
522,37.109375
523,13.671875
524,35.156250
525,33.203125
526,37.109375
527,33.203125
528,33.203125
529,33.203125
530,37.109375
531,33.203125
532,33.203125
533,33.203125
534,33.203125
535,35.156250
536,33.203125
537,37.109375
538,29.296875
539,33.203125
540,33.203125
541,33.203125
542,31.250000
543,37.109375
544,33.203125
545,33.203125
546,29.296875
547,33.203125
548,31.250000
549,33.203125
550,33.203125
551,33.203125
552,23.437500
553,35.156250
554,33.203125
555,33.203125
556,35.156250
557,37.109375
558,37.109375
559,31.250000
560,37.109375
561,33.203125
562,33.203125
563,35.156250
564,33.203125
565,37.109375
566,33.203125
567,37.109375
568,33.203125
569,33.203125
570,33.203125
571,37.109375
572,31.250000
573,33.203125
574,33.203125
575,35.156250
576,33.203125
577,37.109375
578,33.203125
579,37.109375
580,37.109375
581,37.109375
582,33.203125
583,33.203125
584,33.203125
585,33.203125
586,33.203125
587,33.203125
588,33.203125
589,33.203125
590,35.156250
591,33.203125
592,37.109375
593,33.203125
594,33.203125
595,33.203125
596,33.203125
597,33.203125
598,39.062500
599,31.250000
600,33.203125
601,33.203125
602,31.250000
603,33.203125
604,31.250000
605,33.203125
606,33.203125
607,33.203125
608,31.250000
609,35.156250
610,33.203125
611,33.203125
612,31.250000
613,33.203125
614,33.203125
615,31.250000
616,33.203125
617,33.203125
618,31.250000
619,31.250000
620,31.250000
621,29.296875
622,33.203125
623,27.343750
624,33.203125
625,31.250000
626,33.203125
627,33.203125
628,31.250000
629,29.296875
630,33.203125
631,29.296875
632,31.250000
633,31.250000
634,31.250000
635,31.250000
636,29.296875
637,31.250000
638,31.250000
639,29.296875
640,31.250000
641,31.250000
642,29.296875
643,33.203125
644,31.250000
645,31.250000
646,29.296875
647,33.203125
648,31.250000
649,29.296875
650,31.250000
651,33.203125
652,29.296875
653,33.203125
654,29.296875
