Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,76.17mV
Probe attenuation    :,10X
Voltage per ADC value:,0.122070mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
1,99.609375
2,99.609375
3,101.562500
4,101.562500
5,103.515625
6,103.515625
7,103.515625
8,103.515625
9,103.515625
10,105.468750
11,101.562500
12,105.468750
13,107.421875
14,105.468750
15,103.515625
16,101.562500
17,105.468750
18,101.562500
19,103.515625
20,103.515625
21,103.515625
22,103.515625
23,99.609375
24,105.468750
25,101.562500
26,103.515625
27,101.562500
28,101.562500
29,103.515625
30,101.562500
31,101.562500
32,101.562500
33,101.562500
34,103.515625
35,101.562500
36,101.562500
37,101.562500
38,101.562500
39,101.562500
40,103.515625
41,103.515625
42,103.515625
43,105.468750
44,103.515625
45,101.562500
46,105.468750
47,101.562500
48,103.515625
49,103.515625
50,105.468750
51,105.468750
52,107.421875
53,105.468750
54,105.468750
55,105.468750
56,103.515625
57,105.468750
58,103.515625
59,103.515625
60,103.515625
61,103.515625
62,103.515625
63,101.562500
64,105.468750
65,105.468750
66,103.515625
67,119.140625
68,105.468750
69,103.515625
70,105.468750
71,103.515625
72,103.515625
73,101.562500
74,103.515625
75,101.562500
76,105.468750
77,103.515625
78,119.140625
79,99.609375
80,99.609375
81,103.515625
82,103.515625
83,103.515625
84,103.515625
85,103.515625
86,101.562500
87,99.609375
88,103.515625
89,111.328125
90,103.515625
91,101.562500
92,101.562500
93,105.468750
94,101.562500
95,103.515625
96,103.515625
97,101.562500
98,105.468750
99,103.515625
100,103.515625
101,105.468750
102,103.515625
103,103.515625
104,101.562500
105,105.468750
106,105.468750
107,103.515625
108,103.515625
109,101.562500
110,103.515625
111,105.468750
112,103.515625
113,107.421875
114,103.515625
115,101.562500
116,103.515625
117,105.468750
118,103.515625
119,105.468750
120,103.515625
121,101.562500
122,101.562500
123,101.562500
124,103.515625
125,101.562500
126,101.562500
127,101.562500
128,101.562500
129,103.515625
130,101.562500
131,101.562500
132,103.515625
133,101.562500
134,101.562500
135,101.562500
136,103.515625
137,103.515625
138,105.468750
139,103.515625
140,103.515625
141,105.468750
142,103.515625
143,103.515625
144,101.562500
145,103.515625
146,105.468750
147,103.515625
148,105.468750
149,105.468750
150,103.515625
151,103.515625
152,105.468750
153,105.468750
154,103.515625
155,105.468750
156,101.562500
157,103.515625
158,105.468750
159,105.468750
160,107.421875
161,103.515625
162,105.468750
163,105.468750
164,103.515625
165,105.468750
166,103.515625
167,105.468750
168,103.515625
169,105.468750
170,107.421875
171,101.562500
172,105.468750
173,101.562500
174,103.515625
175,103.515625
176,101.562500
177,103.515625
178,103.515625
179,101.562500
180,101.562500
181,99.609375
182,99.609375
183,101.562500
184,101.562500
185,103.515625
186,103.515625
187,103.515625
188,103.515625
189,105.468750
190,101.562500
191,99.609375
192,103.515625
193,103.515625
194,105.468750
195,101.562500
196,105.468750
197,105.468750
198,103.515625
199,105.468750
200,105.468750
201,105.468750
202,101.562500
203,105.468750
204,101.562500
205,105.468750
206,105.468750
207,101.562500
208,103.515625
209,105.468750
210,107.421875
211,101.562500
212,103.515625
213,103.515625
214,101.562500
215,103.515625
216,101.562500
217,101.562500
218,103.515625
219,101.562500
220,103.515625
221,101.562500
222,103.515625
223,101.562500
224,103.515625
225,101.562500
226,99.609375
227,99.609375
228,101.562500
229,101.562500
230,101.562500
231,101.562500
232,101.562500
233,101.562500
234,101.562500
235,101.562500
236,103.515625
237,101.562500
238,99.609375
239,103.515625
240,99.609375
241,103.515625
242,101.562500
243,101.562500
244,101.562500
245,103.515625
246,101.562500
247,103.515625
248,105.468750
249,101.562500
250,105.468750
251,101.562500
252,103.515625
253,101.562500
254,105.468750
255,105.468750
256,101.562500
257,105.468750
258,103.515625
259,105.468750
260,101.562500
261,103.515625
262,103.515625
263,101.562500
264,103.515625
265,103.515625
266,101.562500
267,103.515625
268,103.515625
269,101.562500
270,101.562500
271,101.562500
272,99.609375
273,101.562500
274,101.562500
275,101.562500
276,99.609375
277,101.562500
278,101.562500
279,101.562500
280,103.515625
281,99.609375
282,101.562500
283,101.562500
284,101.562500
285,101.562500
286,99.609375
287,103.515625
288,99.609375
289,101.562500
290,101.562500
291,101.562500
292,103.515625
293,101.562500
294,101.562500
295,101.562500
296,101.562500
297,95.703125
298,95.703125
299,103.515625
300,101.562500
301,101.562500
302,103.515625
303,103.515625
304,105.468750
305,101.562500
306,105.468750
307,99.609375
308,107.421875
309,101.562500
310,103.515625
311,105.468750
312,99.609375
313,105.468750
314,101.562500
315,99.609375
316,101.562500
317,101.562500
318,101.562500
319,95.703125
320,101.562500
321,99.609375
322,99.609375
323,101.562500
324,95.703125
325,99.609375
326,93.750000
327,95.703125
328,95.703125
329,95.703125
330,95.703125
331,93.750000
332,93.750000
333,93.750000
334,95.703125
335,95.703125
336,95.703125
337,95.703125
338,93.750000
339,95.703125
340,93.750000
341,95.703125
342,91.796875
343,91.796875
344,93.750000
345,93.750000
346,93.750000
347,91.796875
348,91.796875
349,93.750000
350,93.750000
351,91.796875
352,91.796875
353,91.796875
354,91.796875
355,89.843750
356,91.796875
357,87.890625
358,89.843750
359,89.843750
360,89.843750
361,89.843750
362,87.890625
363,91.796875
364,85.937500
365,87.890625
366,85.937500
367,85.937500
368,66.406250
369,83.984375
370,83.984375
371,83.984375
372,83.984375
373,83.984375
374,80.078125
375,83.984375
376,80.078125
377,80.078125
378,80.078125
379,89.843750
380,78.125000
381,78.125000
382,80.078125
383,78.125000
384,78.125000
385,76.171875
386,78.125000
387,78.125000
388,78.125000
389,78.125000
390,74.218750
391,76.171875
392,76.171875
393,80.078125
394,78.125000
395,78.125000
396,78.125000
397,76.171875
398,80.078125
399,76.171875
400,76.171875
401,76.171875
402,78.125000
403,78.125000
404,78.125000
405,76.171875
406,76.171875
407,76.171875
408,76.171875
409,76.171875
410,76.171875
411,76.171875
412,72.265625
413,76.171875
414,70.312500
415,76.171875
416,76.171875
417,76.171875
418,76.171875
419,74.218750
420,76.171875
421,76.171875
422,76.171875
423,76.171875
424,72.265625
425,76.171875
426,76.171875
427,74.218750
428,74.218750
429,74.218750
430,76.171875
431,74.218750
432,76.171875
433,76.171875
434,74.218750
435,76.171875
436,74.218750
437,76.171875
438,74.218750
439,76.171875
440,76.171875
441,74.218750
442,76.171875
443,76.171875
444,74.218750
445,74.218750
446,76.171875
447,76.171875
448,76.171875
449,76.171875
450,78.125000
451,76.171875
452,76.171875
453,76.171875
454,74.218750
455,76.171875
456,76.171875
457,76.171875
458,76.171875
459,76.171875
460,76.171875
461,83.984375
462,76.171875
463,76.171875
464,72.265625
465,76.171875
466,74.218750
467,76.171875
468,76.171875
469,74.218750
470,76.171875
471,74.218750
472,74.218750
473,74.218750
474,74.218750
475,76.171875
476,72.265625
477,74.218750
478,72.265625
479,74.218750
480,74.218750
481,74.218750
482,76.171875
483,72.265625
484,76.171875
485,74.218750
486,74.218750
487,74.218750
488,74.218750
489,78.125000
490,72.265625
491,76.171875
492,74.218750
493,76.171875
494,72.265625
495,74.218750
496,76.171875
497,72.265625
498,76.171875
499,76.171875
500,76.171875
501,76.171875
502,76.171875
503,78.125000
504,76.171875
505,78.125000
506,76.171875
507,76.171875
508,78.125000
509,78.125000
510,78.125000
511,78.125000
512,78.125000
513,78.125000
514,76.171875
515,80.078125
516,82.031250
517,80.078125
518,80.078125
519,76.171875
520,80.078125
521,82.031250
522,80.078125
523,83.984375
524,80.078125
525,83.984375
526,82.031250
527,85.937500
528,82.031250
529,85.937500
530,85.937500
531,83.984375
532,85.937500
533,89.843750
534,87.890625
535,89.843750
536,89.843750
537,91.796875
538,91.796875
539,91.796875
540,89.843750
541,91.796875
542,91.796875
543,93.750000
544,95.703125
545,95.703125
546,93.750000
547,95.703125
548,95.703125
549,95.703125
550,99.609375
551,99.609375
552,95.703125
553,99.609375
554,78.125000
555,99.609375
556,95.703125
557,95.703125
558,99.609375
559,99.609375
560,97.656250
561,97.656250
562,99.609375
563,99.609375
564,97.656250
565,89.843750
566,95.703125
567,99.609375
568,95.703125
569,97.656250
570,99.609375
571,93.750000
572,101.562500
573,99.609375
574,99.609375
575,99.609375
576,95.703125
577,101.562500
578,99.609375
579,99.609375
580,101.562500
581,99.609375
582,99.609375
583,99.609375
584,99.609375
585,99.609375
586,99.609375
587,85.937500
588,99.609375
589,99.609375
590,93.750000
591,99.609375
592,101.562500
593,99.609375
594,99.609375
595,99.609375
596,99.609375
597,99.609375
598,99.609375
599,97.656250
600,99.609375
601,101.562500
602,101.562500
603,103.515625
604,99.609375
605,101.562500
606,103.515625
607,101.562500
608,101.562500
609,101.562500
610,101.562500
611,103.515625
612,101.562500
613,103.515625
614,101.562500
615,105.468750
616,101.562500
617,101.562500
618,101.562500
619,101.562500
620,101.562500
621,101.562500
622,101.562500
623,99.609375
624,99.609375
625,103.515625
626,99.609375
627,101.562500
628,99.609375
629,103.515625
630,101.562500
631,103.515625
632,99.609375
633,99.609375
634,101.562500
635,99.609375
636,107.421875
637,99.609375
638,101.562500
639,103.515625
640,101.562500
641,101.562500
642,101.562500
643,101.562500
644,97.656250
645,103.515625
646,101.562500
647,99.609375
648,103.515625
649,103.515625
650,101.562500
651,103.515625
652,101.562500
653,103.515625
654,101.562500
